release_date,date,value
1997-01-17,1992-02-01,2066.0
1997-01-17,1992-03-01,-1829.0
1997-01-17,1992-04-01,-849.0
1997-01-17,1992-05-01,-1551.0
1997-01-17,1992-06-01,1031.0
1997-01-17,1992-07-01,-598.0
1997-01-17,1992-08-01,292.0
1997-01-17,1992-09-01,-869.0
1997-01-17,1992-10-01,378.0
1997-01-17,1992-11-01,-522.0
1997-01-17,1992-12-01,21.0
1997-01-17,1993-01-01,463.0
1997-01-17,1993-02-01,589.0
1997-01-17,1993-03-01,-2737.0
1997-01-17,1993-04-01,-12.0
1997-01-17,1993-05-01,1499.0
1997-01-17,1993-06-01,-2558.0
1997-01-17,1993-07-01,122.0
1997-01-17,1993-08-01,673.0
1997-01-17,1993-09-01,-1255.0
1997-01-17,1993-10-01,202.0
1997-01-17,1993-11-01,285.0
1997-01-17,1993-12-01,2600.0
1997-01-17,1994-01-01,-2611.0
1997-01-17,1994-02-01,-2208.0
1997-01-17,1994-03-01,3313.0
1997-01-17,1994-04-01,-2312.0
1997-01-17,1994-05-01,-550.0
1997-01-17,1994-06-01,440.0
1997-01-17,1994-07-01,-1555.0
1997-01-17,1994-08-01,985.0
1997-01-17,1994-09-01,-198.0
1997-01-17,1994-10-01,-565.0
1997-01-17,1994-11-01,-4.0
1997-01-17,1994-12-01,2217.0
1997-01-17,1995-01-01,-3022.0
1997-01-17,1995-02-01,1129.0
1997-01-17,1995-03-01,208.0
1997-01-17,1995-04-01,-1396.0
1997-01-17,1995-05-01,239.0
1997-01-17,1995-06-01,-143.0
1997-01-17,1995-07-01,556.0
1997-01-17,1995-08-01,2695.0
1997-01-17,1995-09-01,478.0
1997-01-17,1995-10-01,-8.0
1997-01-17,1995-11-01,804.0
1997-01-17,1995-12-01,-300.0
1997-01-17,1996-01-01,-3170.0
1997-01-17,1996-02-01,2784.0
1997-01-17,1996-03-01,-1089.0
1997-01-17,1996-04-01,-1655.0
1997-01-17,1996-05-01,-1149.0
1997-01-17,1996-06-01,2307.0
1997-01-17,1996-07-01,-3385.0
1997-01-17,1996-08-01,1262.0
1997-01-17,1996-09-01,-944.0
1997-01-17,1996-10-01,3430.0
1997-01-17,1996-11-01,-393.0
1997-02-19,1996-12-01,-2349.0
1997-03-20,1997-01-01,-2217.0
1997-04-17,1997-02-01,1078.0
1997-05-21,1997-03-01,2030.0
1997-06-19,1997-04-01,-605.0
1997-07-18,1997-05-01,-1483.0
1997-08-20,1997-06-01,1378.0
1997-09-18,1997-07-01,-2051.0
1997-10-21,1997-08-01,-339.0
1997-11-20,1997-09-01,-1611.0
1997-12-18,1997-10-01,1538.0
1998-01-21,1997-11-01,1054.0
1998-02-19,1997-12-01,-2108.0
1998-03-19,1998-01-01,-1147.0
1998-04-17,1998-02-01,-489.0
1998-05-20,1998-03-01,-848.0
1998-06-18,1998-04-01,-1249.0
1998-07-17,1998-05-01,-1471.0
1998-08-18,1998-06-01,1385.0
1998-09-17,1998-07-01,-284.0
1998-10-20,1998-08-01,-2227.0
1998-11-18,1998-09-01,1868.0
1998-12-17,1998-10-01,176.0
1999-01-21,1998-11-01,-1904.0
1999-02-19,1998-12-01,1471.0
1999-03-18,1999-01-01,-2935.0
1999-04-20,1999-02-01,-2629.0
1999-05-20,1999-03-01,-552.0
1999-06-17,1999-04-01,9.0
1999-07-20,1999-05-01,-2744.0
1999-08-19,1999-06-01,-3453.0
1999-09-21,1999-07-01,-579.0
1999-10-20,1999-08-01,791.0
1999-11-18,1999-09-01,-859.0
1999-12-16,1999-10-01,-1785.0
2000-01-20,1999-11-01,-940.0
