release_date,date,value
2026-04-03,2006-04-01,0.648702594810392
2026-04-03,2006-05-01,-0.19831432821022657
2026-04-03,2006-06-01,0.44709388971683983
2026-04-03,2006-07-01,0.3461918892185969
2026-04-03,2006-08-01,0.14785608674224318
2026-04-03,2006-09-01,0.3937007874015664
2026-04-03,2006-10-01,0.09803921568628984
2026-04-03,2006-11-01,0.34280117531829934
2026-04-03,2006-12-01,0.4392386530014635
2026-04-03,2007-01-01,0.04859086491740313
2026-04-03,2007-02-01,0.4371053909664879
2026-04-03,2007-03-01,0.1934235976789127
2026-04-03,2007-04-01,0.33783783783783927
2026-04-03,2007-05-01,0.24050024050024393
2026-04-03,2007-06-01,0.5278310940499014
2026-04-03,2007-07-01,-0.04773269689736521
2026-04-03,2007-08-01,0.28653295128939216
2026-04-03,2007-09-01,0.1904761904761864
2026-04-03,2007-10-01,0.0950570342205303
2026-04-03,2007-11-01,0.28490028490029573
2026-04-03,2007-12-01,0.18939393939393534
2026-04-03,2008-01-01,0.14177693761815283
2026-04-03,2008-02-01,0.3775365738555842
2026-04-03,2008-03-01,0.42313117066290484
2026-04-03,2008-04-01,0.09363295880149614
2026-04-03,2008-05-01,0.42095416276894226
2026-04-03,2008-06-01,0.2328830926874742
2026-04-03,2008-07-01,0.3717472118959194
2026-04-03,2008-08-01,0.46296296296295303
2026-04-03,2008-09-01,0.13824884792627254
2026-04-03,2008-10-01,0.13805798435343367
2026-04-03,2008-11-01,0.45955882352940197
2026-04-03,2008-12-01,0.4117108874656901
2026-04-03,2009-01-01,0.04555808656037159
2026-04-03,2009-02-01,0.09107468123861373
2026-04-03,2009-03-01,0.3184713375796191
2026-04-03,2009-04-01,0.22675736961451567
2026-04-03,2009-05-01,0.09049773755655915
2026-04-03,2009-06-01,0.0904159132007214
2026-04-03,2009-07-01,0.18066847335139632
2026-04-03,2009-08-01,0.225428313796216
2026-04-03,2009-09-01,0.17993702204228137
2026-04-03,2009-10-01,0.17961383026492658
2026-04-03,2009-11-01,0.1344688480502068
2026-04-03,2009-12-01,0.13428827215757
2026-04-03,2010-01-01,0.13410818059900573
2026-04-03,2010-02-01,0.267857142857153
2026-04-03,2010-03-01,0.0
2026-04-03,2010-04-01,0.13357079252002488
2026-04-03,2010-05-01,0.08892841262784851
2026-04-03,2010-06-01,0.0888494002665463
2026-04-03,2010-07-01,0.2663115845539224
2026-04-03,2010-08-01,0.1328021248340024
2026-04-03,2010-09-01,0.2210433244916035
2026-04-03,2010-10-01,0.26466696074106183
2026-04-03,2010-11-01,0.0
2026-04-03,2010-12-01,0.13198416190057694
2026-04-03,2011-01-01,0.4833040421792593
2026-04-03,2011-02-01,0.0
2026-04-03,2011-03-01,0.0
2026-04-03,2011-04-01,0.1749016178399613
2026-04-03,2011-05-01,0.2618943692710551
2026-04-03,2011-06-01,0.13060513713539895
2026-04-03,2011-07-01,0.47826086956521496
2026-04-03,2011-08-01,-0.21635655560363784
2026-04-03,2011-09-01,0.2168256721595868
2026-04-03,2011-10-01,0.30289917784508996
2026-04-03,2011-11-01,0.04314063848145627
2026-04-03,2011-12-01,0.12936610608019655
2026-04-03,2012-01-01,0.17226528854436995
2026-04-03,2012-02-01,0.0859845227858967
2026-04-03,2012-03-01,0.34364261168384147
2026-04-03,2012-04-01,0.12842465753425145
2026-04-03,2012-05-01,0.08550662676357235
2026-04-03,2012-06-01,0.21358393848782872
2026-04-03,2012-07-01,0.1278772378516521
2026-04-03,2012-08-01,-0.04257130693911457
2026-04-03,2012-09-01,0.38330494037478646
2026-04-03,2012-10-01,-0.042426813746294284
2026-04-03,2012-11-01,0.29711375212224234
2026-04-03,2012-12-01,0.38087177316969895
2026-04-03,2013-01-01,0.08431703204047038
2026-04-03,2013-02-01,0.16849199663017145
2026-04-03,2013-03-01,0.08410428931875347
2026-04-03,2013-04-01,0.2941176470588247
2026-04-03,2013-05-01,0.08378718056137233
2026-04-03,2013-06-01,0.2930096274591891
2026-04-03,2013-07-01,0.08347245409014846
2026-04-03,2013-08-01,0.1668056713928238
2026-04-03,2013-09-01,0.16652789342214466
2026-04-03,2013-10-01,0.12468827930175036
2026-04-03,2013-11-01,0.2905770029057712
2026-04-03,2013-12-01,0.08278145695364061
2026-04-03,2014-01-01,0.16542597187758123
2026-04-03,2014-02-01,0.4541701073492958
2026-04-03,2014-03-01,-0.08220304151253421
2026-04-03,2014-04-01,0.12340600575895162
2026-04-03,2014-05-01,0.24650780608052061
2026-04-03,2014-06-01,0.24590163934427164
2026-04-03,2014-07-01,0.0817661488143891
2026-04-03,2014-08-01,0.24509803921568107
2026-04-03,2014-09-01,0.08149959250203576
2026-04-03,2014-10-01,0.12214983713355512
2026-04-03,2014-11-01,0.28466856445709754
2026-04-03,2014-12-01,-0.12165450121654961
2026-04-03,2015-01-01,0.44660982541615685
2026-04-03,2015-02-01,0.20210185933710878
2026-04-03,2015-03-01,0.24203307785398256
2026-04-03,2015-04-01,0.16096579476860823
2026-04-03,2015-05-01,0.32141422257934227
2026-04-03,2015-06-01,0.0
2026-04-03,2015-07-01,0.160192230676823
2026-04-03,2015-08-01,0.3598560575769686
2026-04-03,2015-09-01,0.03984063745019127
2026-04-03,2015-10-01,0.3584229390680998
2026-04-03,2015-11-01,0.19841269841270123
2026-04-03,2015-12-01,0.0
2026-04-03,2016-01-01,0.4752475247524792
2026-04-03,2016-02-01,0.03941663381946397
2026-04-03,2016-03-01,0.2758077226162344
2026-04-03,2016-04-01,0.31434184675835697
2026-04-03,2016-05-01,0.19584802193496734
2026-04-03,2016-06-01,0.15637216575450627
2026-04-03,2016-07-01,0.2732240437158481
2026-04-03,2016-08-01,0.0778513040093405
2026-04-03,2016-09-01,0.23337222870477917
2026-04-03,2016-10-01,0.5044625533566124
2026-04-03,2016-11-01,0.0
2026-04-03,2016-12-01,0.11583011583012022
2026-04-03,2017-01-01,0.2699575780948719
2026-04-03,2017-02-01,0.26923076923077033
2026-04-03,2017-03-01,0.15343306482546662
2026-04-03,2017-04-01,0.2680965147453094
2026-04-03,2017-05-01,0.11459129106188365
2026-04-03,2017-06-01,0.19076688286913662
2026-04-03,2017-07-01,0.34272658035034215
2026-04-03,2017-08-01,0.07590132827324315
2026-04-03,2017-09-01,0.455062571103517
2026-04-03,2017-10-01,0.03775009437524184
2026-04-03,2017-11-01,0.15094339622641187
2026-04-03,2017-12-01,0.3391107761868872
2026-04-03,2018-01-01,0.3379647014645132
2026-04-03,2018-02-01,0.07485029940119602
2026-04-03,2018-03-01,0.41136873597607704
2026-04-03,2018-04-01,0.2234636871508332
2026-04-03,2018-05-01,0.2601263470828699
2026-04-03,2018-06-01,0.1853224610822858
2026-04-03,2018-07-01,0.2589715131335563
2026-04-03,2018-08-01,0.4059040590405883
2026-04-03,2018-09-01,0.40426313855200086
2026-04-03,2018-10-01,0.18301610541727933
2026-04-03,2018-11-01,0.2557544757033258
2026-04-03,2018-12-01,0.43731778425655043
2026-04-03,2019-01-01,0.10885341074020732
2026-04-03,2019-02-01,0.36245016310257855
2026-04-03,2019-03-01,0.2889129649692968
2026-04-03,2019-04-01,0.07202016564637945
