release_date,date,value
1990-02-21,1990-01-01,127.7
1990-03-20,1990-02-01,128.3
1990-04-17,1990-03-01,128.9
1990-05-16,1990-04-01,129.1
1990-06-15,1990-05-01,129.3
1990-07-18,1990-06-01,130.0
1990-08-16,1990-07-01,130.5
1990-09-18,1990-08-01,131.5
1990-10-18,1990-09-01,132.5
1990-11-16,1990-10-01,133.3
1990-12-18,1990-11-01,133.7
1991-01-16,1990-12-01,134.1
1991-02-20,1991-01-01,134.8
1991-03-19,1991-02-01,135.1
1991-04-12,1991-03-01,135.0
1991-05-14,1991-04-01,135.3
1991-06-14,1991-05-01,135.7
1991-07-17,1991-06-01,136.0
1991-08-14,1991-07-01,136.3
1991-09-13,1991-08-01,136.6
1991-10-17,1991-09-01,137.1
1991-11-14,1991-10-01,137.2
1991-12-13,1991-11-01,137.8
1992-01-16,1991-12-01,138.2
1992-02-19,1992-01-01,138.3
1992-03-17,1992-02-01,138.7
1992-04-10,1992-03-01,139.4
1992-05-13,1992-04-01,139.7
1992-06-12,1992-05-01,139.9
1992-07-14,1992-06-01,140.3
1992-08-13,1992-07-01,140.5
1992-09-15,1992-08-01,140.9
1992-10-15,1992-09-01,141.2
1992-11-13,1992-10-01,141.8
1992-12-13,1992-11-01,142.1
1993-01-15,1992-12-01,142.2
1993-02-18,1993-01-01,142.9
1993-03-17,1993-02-01,143.4
1993-04-09,1993-03-01,143.6
1993-05-13,1993-04-01,144.2
1993-06-15,1993-05-01,144.4
1993-07-14,1993-06-01,144.4
1993-08-13,1993-07-01,144.5
1993-09-14,1993-08-01,144.9
1993-10-15,1993-09-01,144.9
1993-11-10,1993-10-01,145.5
1993-12-10,1993-11-01,145.8
1994-01-13,1993-12-01,146.1
1994-02-17,1994-01-01,146.3
1994-03-16,1994-02-01,146.7
1994-04-13,1994-03-01,147.2
1994-05-13,1994-04-01,147.4
1994-06-14,1994-05-01,147.7
1994-07-13,1994-06-01,148.1
1994-08-12,1994-07-01,148.6
1994-09-13,1994-08-01,149.1
1994-10-14,1994-09-01,149.4
1994-11-16,1994-10-01,149.5
1994-12-14,1994-11-01,149.9
1995-01-11,1994-12-01,150.2
1995-02-15,1995-01-01,150.6
1995-03-16,1995-02-01,151.0
1995-04-12,1995-03-01,151.3
1995-05-12,1995-04-01,151.9
1995-06-13,1995-05-01,152.3
1995-07-14,1995-06-01,152.5
1995-08-11,1995-07-01,152.8
1995-09-13,1995-08-01,153.0
1995-10-13,1995-09-01,153.2
1995-11-15,1995-10-01,153.7
1995-12-14,1995-11-01,153.7
1996-02-01,1995-12-01,154.0
1996-02-28,1996-01-01,154.7
1996-03-15,1996-02-01,155.0
1996-04-12,1996-03-01,155.6
1996-05-14,1996-04-01,156.2
1996-06-12,1996-05-01,156.7
1996-07-16,1996-06-01,156.8
1996-08-13,1996-07-01,157.2
1996-09-13,1996-08-01,157.4
1996-10-16,1996-09-01,157.8
1996-11-14,1996-10-01,158.3
1996-12-12,1996-11-01,158.7
1997-01-14,1996-12-01,159.1
1997-02-19,1997-01-01,159.4
1997-03-19,1997-02-01,159.8
1997-04-15,1997-03-01,159.9
1997-05-15,1997-04-01,160.0
1997-06-17,1997-05-01,160.1
1997-07-16,1997-06-01,160.3
1997-08-14,1997-07-01,160.6
1997-09-16,1997-08-01,160.9
1997-10-16,1997-09-01,161.3
1997-11-18,1997-10-01,161.6
1997-12-16,1997-11-01,161.8
1998-01-13,1997-12-01,161.9
1998-02-24,1998-01-01,161.9
1998-03-19,1998-02-01,162.0
1998-04-14,1998-03-01,162.0
1998-05-14,1998-04-01,162.4
1998-06-16,1998-05-01,162.9
1998-07-14,1998-06-01,163.0
1998-08-18,1998-07-01,163.3
1998-09-17,1998-08-01,163.6
1998-10-16,1998-09-01,163.6
1998-11-17,1998-10-01,164.0
1998-12-15,1998-11-01,164.3
1999-01-14,1998-12-01,164.5
1999-02-19,1999-01-01,164.6
1999-03-18,1999-02-01,164.7
1999-04-13,1999-03-01,165.0
1999-05-14,1999-04-01,166.2
1999-06-16,1999-05-01,166.2
1999-07-15,1999-06-01,166.2
1999-08-17,1999-07-01,166.7
1999-09-15,1999-08-01,167.2
1999-10-19,1999-09-01,167.9
1999-11-17,1999-10-01,168.2
1999-12-14,1999-11-01,168.4
2000-01-14,1999-12-01,168.8
2000-02-18,2000-01-01,169.1
2000-03-17,2000-02-01,170.0
2000-04-14,2000-03-01,171.2
2000-05-16,2000-04-01,171.2
2000-06-14,2000-05-01,171.3
2000-07-18,2000-06-01,172.3
2000-08-16,2000-07-01,172.7
2000-09-15,2000-08-01,172.6
2000-10-18,2000-09-01,173.6
2000-11-16,2000-10-01,173.9
2000-12-15,2000-11-01,174.2
2001-01-17,2000-12-01,174.5
2001-02-21,2001-01-01,175.7
2001-03-21,2001-02-01,176.2
2001-04-17,2001-03-01,176.3
2001-05-16,2001-04-01,176.8
2001-06-15,2001-05-01,177.5
2001-07-18,2001-06-01,177.9
2001-08-16,2001-07-01,177.4
2001-09-18,2001-08-01,177.5
2001-10-19,2001-09-01,178.2
2001-11-16,2001-10-01,177.6
2001-12-14,2001-11-01,177.6
2002-01-16,2001-12-01,177.3
2002-02-20,2002-01-01,177.6
2002-03-21,2002-02-01,178.0
2002-04-16,2002-03-01,178.6
2002-05-15,2002-04-01,179.5
2002-06-18,2002-05-01,179.5
2002-07-19,2002-06-01,179.7
2002-08-16,2002-07-01,179.9
2002-09-18,2002-08-01,180.5
2002-10-18,2002-09-01,180.8
2002-11-19,2002-10-01,181.3
2002-12-17,2002-11-01,181.5
2003-01-16,2002-12-01,181.6
2003-02-21,2003-01-01,182.2
2003-03-21,2003-02-01,183.3
2003-04-16,2003-03-01,183.9
2003-05-16,2003-04-01,183.3
2003-06-17,2003-05-01,183.3
2003-07-16,2003-06-01,183.6
2003-08-15,2003-07-01,183.9
2003-09-16,2003-08-01,184.5
2003-10-16,2003-09-01,185.0
2003-11-18,2003-10-01,185.0
2003-12-16,2003-11-01,184.6
2004-01-15,2003-12-01,185.0
2004-02-20,2004-01-01,185.8
2004-03-17,2004-02-01,186.3
2004-04-14,2004-03-01,187.2
2004-05-14,2004-04-01,187.6
2004-06-15,2004-05-01,188.8
2004-07-16,2004-06-01,189.4
2004-08-17,2004-07-01,189.3
2004-09-16,2004-08-01,189.4
2004-10-19,2004-09-01,189.7
2004-11-17,2004-10-01,190.9
2004-12-17,2004-11-01,191.2
2005-01-19,2004-12-01,191.1
2005-02-23,2005-01-01,191.3
2005-03-23,2005-02-01,192.0
2005-04-20,2005-03-01,193.2
2005-05-18,2005-04-01,194.2
2005-06-15,2005-05-01,194.1
2005-07-14,2005-06-01,194.1
2005-08-16,2005-07-01,195.1
2005-09-15,2005-08-01,196.1
2005-10-14,2005-09-01,198.5
2005-11-16,2005-10-01,198.9
2005-12-15,2005-11-01,197.8
2006-01-18,2005-12-01,197.7
2006-02-22,2006-01-01,199.0
2006-03-16,2006-02-01,199.1
2006-04-19,2006-03-01,199.8
2006-05-17,2006-04-01,201.0
2006-06-14,2006-05-01,201.9
2006-07-19,2006-06-01,202.3
2006-08-16,2006-07-01,203.2
2006-09-15,2006-08-01,203.7
2006-10-18,2006-09-01,202.7
2006-11-16,2006-10-01,201.7
2006-12-15,2006-11-01,201.7
2007-01-18,2006-12-01,202.8
2007-02-21,2007-01-01,203.153
2007-03-16,2007-02-01,203.906
2007-04-17,2007-03-01,205.146
2007-05-15,2007-04-01,205.999
2007-06-15,2007-05-01,207.387
2007-07-18,2007-06-01,207.784
2007-08-15,2007-07-01,208.028
2007-09-19,2007-08-01,207.738
2007-10-17,2007-09-01,208.292
2007-11-15,2007-10-01,208.903
2007-12-14,2007-11-01,210.565
2008-01-16,2007-12-01,211.16
2008-02-20,2008-01-01,212.516
2008-03-14,2008-02-01,212.571
2008-04-16,2008-03-01,213.301
2008-05-14,2008-04-01,213.743
2008-06-13,2008-05-01,215.132
2008-07-16,2008-06-01,217.403
2008-08-14,2008-07-01,219.181
2008-09-16,2008-08-01,218.88
2008-10-16,2008-09-01,218.813
2008-11-19,2008-10-01,216.71
2008-12-16,2008-11-01,213.06
2009-01-16,2008-12-01,211.49
2009-02-20,2009-01-01,212.174
2009-03-18,2009-02-01,213.007
2009-04-15,2009-03-01,212.714
2009-05-15,2009-04-01,212.671
2009-06-17,2009-05-01,212.876
2009-07-15,2009-06-01,214.459
2009-08-14,2009-07-01,214.469
2009-09-16,2009-08-01,215.428
2009-10-15,2009-09-01,215.791
2009-11-18,2009-10-01,216.385
2009-12-16,2009-11-01,217.25
2010-01-15,2009-12-01,217.541
2010-02-19,2010-01-01,217.587
2010-03-18,2010-02-01,217.591
2010-04-14,2010-03-01,217.729
2010-05-19,2010-04-01,217.579
2010-06-17,2010-05-01,217.224
2010-07-16,2010-06-01,216.929
2010-08-13,2010-07-01,217.597
2010-09-17,2010-08-01,218.15
2010-10-15,2010-09-01,218.372
2010-11-17,2010-10-01,218.879
2010-12-15,2010-11-01,219.146
2011-01-14,2010-12-01,220.252
2011-02-17,2011-01-01,221.062
2011-03-17,2011-02-01,222.27
2011-04-15,2011-03-01,223.49
2011-05-13,2011-04-01,224.433
2011-06-15,2011-05-01,224.804
2011-07-15,2011-06-01,224.304
2011-08-18,2011-07-01,225.425
2011-09-15,2011-08-01,226.268
2011-10-19,2011-09-01,226.955
2011-11-16,2011-10-01,226.763
2011-12-16,2011-11-01,226.72
2012-01-19,2011-12-01,226.747
2012-02-17,2012-01-01,227.505
2012-03-16,2012-02-01,228.433
2012-04-13,2012-03-01,229.098
2012-05-15,2012-04-01,229.177
2012-06-14,2012-05-01,228.527
2012-07-17,2012-06-01,228.618
2012-08-15,2012-07-01,228.723
2012-09-14,2012-08-01,230.102
2012-10-16,2012-09-01,231.414
2012-11-15,2012-10-01,231.751
2012-12-14,2012-11-01,231.025
2013-01-16,2012-12-01,230.979
2013-02-21,2013-01-01,231.198
2013-03-15,2013-02-01,232.77
2013-04-16,2013-03-01,232.34
2013-05-16,2013-04-01,231.485
2013-06-18,2013-05-01,231.831
2013-07-16,2013-06-01,232.944
2013-08-15,2013-07-01,233.318
2013-09-17,2013-08-01,233.526
2013-10-30,2013-09-01,233.947
2013-11-20,2013-10-01,233.808
2013-12-17,2013-11-01,233.887
2014-01-16,2013-12-01,234.582
2014-02-20,2014-01-01,234.933
2014-03-18,2014-02-01,235.169
2014-04-15,2014-03-01,235.64
2014-05-15,2014-04-01,236.254
2014-06-17,2014-05-01,237.083
2014-07-22,2014-06-01,237.693
2014-08-19,2014-07-01,237.909
2014-09-17,2014-08-01,237.428
2014-10-22,2014-09-01,237.633
2014-11-20,2014-10-01,237.642
2014-12-17,2014-11-01,237.032
2015-01-16,2014-12-01,236.149
2015-02-26,2015-01-01,234.677
2015-03-24,2015-02-01,235.186
2015-04-17,2015-03-01,235.74
2015-05-22,2015-04-01,235.982
2015-06-18,2015-05-01,237.031
2015-07-17,2015-06-01,237.786
2015-08-19,2015-07-01,238.099
2015-09-16,2015-08-01,237.931
2015-10-15,2015-09-01,237.566
2015-11-17,2015-10-01,238.042
2015-12-15,2015-11-01,238.111
2016-01-20,2015-12-01,237.847
2016-02-19,2016-01-01,238.107
2016-03-16,2016-02-01,237.707
2016-04-14,2016-03-01,237.92
2016-05-17,2016-04-01,238.89
2016-06-16,2016-05-01,239.41
2016-07-15,2016-06-01,239.927
2016-08-16,2016-07-01,239.828
2016-09-16,2016-08-01,240.305
2016-10-18,2016-09-01,241.002
2016-11-17,2016-10-01,241.863
2016-12-15,2016-11-01,242.348
2017-01-18,2016-12-01,243.032
2017-02-15,2017-01-01,244.158
2017-03-15,2017-02-01,244.456
2017-04-14,2017-03-01,243.752
2017-05-12,2017-04-01,244.158
2017-06-14,2017-05-01,243.846
2017-07-14,2017-06-01,243.79
2017-08-11,2017-07-01,244.048
2017-09-14,2017-08-01,245.03
2017-10-13,2017-09-01,246.373
2017-11-15,2017-10-01,246.639
2017-12-13,2017-11-01,247.592
2018-01-12,2017-12-01,247.963
2018-02-14,2018-01-01,249.245
2018-03-13,2018-02-01,249.619
2018-04-11,2018-03-01,249.462
2018-05-10,2018-04-01,250.013
2018-06-12,2018-05-01,250.535
2018-07-12,2018-06-01,250.857
2018-08-10,2018-07-01,251.286
2018-09-13,2018-08-01,251.846
2018-10-11,2018-09-01,251.994
2018-11-14,2018-10-01,252.827
2018-12-12,2018-11-01,252.876
2019-01-11,2018-12-01,252.733
2019-02-13,2019-01-01,252.673
2019-03-12,2019-02-01,253.113
2019-04-10,2019-03-01,254.148
2019-05-10,2019-04-01,254.958
2019-06-12,2019-05-01,255.155
2019-07-11,2019-06-01,255.305
2019-08-13,2019-07-01,256.161
2019-09-12,2019-08-01,256.3
2019-10-10,2019-09-01,256.358
2019-11-13,2019-10-01,257.271
2019-12-11,2019-11-01,257.936
2020-01-14,2019-12-01,258.501
2020-02-13,2020-01-01,258.82
2020-03-11,2020-02-01,259.05
2020-04-10,2020-03-01,257.953
2020-05-12,2020-04-01,255.902
2020-06-10,2020-05-01,255.768
2020-07-14,2020-06-01,257.214
2020-08-12,2020-07-01,258.723
2020-09-11,2020-08-01,259.681
2020-10-13,2020-09-01,260.209
2020-11-12,2020-10-01,260.325
2020-12-10,2020-11-01,260.817
2021-01-13,2020-12-01,261.775
2021-02-10,2021-01-01,262.231
2021-03-10,2021-02-01,263.161
2021-04-13,2021-03-01,264.793
2021-05-12,2021-04-01,266.832
2021-06-10,2021-05-01,268.551
2021-07-13,2021-06-01,270.981
2021-08-11,2021-07-01,272.265
2021-09-14,2021-08-01,273.012
2021-10-13,2021-09-01,274.138
2021-11-10,2021-10-01,276.724
2021-12-10,2021-11-01,278.88
2022-01-12,2021-12-01,280.192
2022-02-10,2022-01-01,281.933
2022-03-10,2022-02-01,284.182
2022-04-12,2022-03-01,287.708
2022-05-11,2022-04-01,288.663
2022-06-10,2022-05-01,291.474
2022-07-13,2022-06-01,295.328
2022-08-10,2022-07-01,295.271
2022-09-13,2022-08-01,295.62
2022-10-13,2022-09-01,296.761
2022-11-10,2022-10-01,298.062
2022-12-13,2022-11-01,298.349
2023-01-12,2022-12-01,298.112
2023-02-14,2023-01-01,300.536
2023-03-14,2023-02-01,301.648
2023-04-12,2023-03-01,301.808
2023-05-10,2023-04-01,302.918
2023-06-13,2023-05-01,303.294
2023-07-12,2023-06-01,303.841
2023-08-10,2023-07-01,304.348
2023-09-13,2023-08-01,306.269
2023-10-12,2023-09-01,307.481
2023-11-14,2023-10-01,307.619
2023-12-12,2023-11-01,307.917
2024-01-11,2023-12-01,308.85
2024-02-13,2024-01-01,309.685
2024-03-12,2024-02-01,311.054
2024-04-10,2024-03-01,312.23
2024-05-15,2024-04-01,313.207
2024-06-12,2024-05-01,313.225
2024-07-11,2024-06-01,313.049
2024-08-14,2024-07-01,313.534
2024-09-11,2024-08-01,314.121
2024-10-10,2024-09-01,314.686
2024-11-13,2024-10-01,315.454
2024-12-11,2024-11-01,316.441
2025-01-15,2024-12-01,317.685
2025-02-12,2025-01-01,319.086
2025-03-12,2025-02-01,319.775
2025-04-10,2025-03-01,319.615
2025-05-13,2025-04-01,320.321
2025-06-11,2025-05-01,320.58
2025-07-15,2025-06-01,321.5
2025-08-12,2025-07-01,322.132
2025-09-11,2025-08-01,323.364
2025-10-24,2025-09-01,324.368
