release_date,date,value
2026-04-10,1990-01-01,0.950118764845608
2026-04-10,1990-02-01,0.39215686274509803
2026-04-10,1990-03-01,0.46874999999999556
2026-04-10,1990-04-01,0.2332814930015641
2026-04-10,1990-05-01,0.15515903801395547
2026-04-10,1990-06-01,0.6196746707978399
2026-04-10,1990-07-01,0.46189376443417574
2026-04-10,1990-08-01,0.8429118773946316
2026-04-10,1990-09-01,0.6838905775076032
2026-04-10,1990-10-01,0.6792452830188722
2026-04-10,1990-11-01,0.22488755622187626
2026-04-10,1990-12-01,0.3739715781600599
2026-04-10,1991-01-01,0.3725782414307005
2026-04-10,1991-02-01,0.07423904974018021
2026-04-10,1991-03-01,0.0
2026-04-10,1991-04-01,0.22255192878337013
2026-04-10,1991-05-01,0.3700962250185048
2026-04-10,1991-06-01,0.29498525073746734
2026-04-10,1991-07-01,0.14705882352940342
2026-04-10,1991-08-01,0.2936857562408265
2026-04-10,1991-09-01,0.2928257686676469
2026-04-10,1991-10-01,0.14598540145984573
2026-04-10,1991-11-01,0.43731778425657636
2026-04-10,1991-12-01,0.2902757619738587
2026-04-10,1992-01-01,0.07235890014473427
2026-04-10,1992-02-01,0.21691973969630002
2026-04-10,1992-03-01,0.36075036075036077
2026-04-10,1992-04-01,0.2156721782890089
2026-04-10,1992-05-01,0.21520803443327327
2026-04-10,1992-06-01,0.2863278453829676
2026-04-10,1992-07-01,0.2855103497501825
2026-04-10,1992-08-01,0.21352313167260595
2026-04-10,1992-09-01,0.2130681818181697
2026-04-10,1992-10-01,0.42523033309709024
2026-04-10,1992-11-01,0.282286520818635
2026-04-10,1992-12-01,0.14074595355384734
2026-04-10,1993-01-01,0.35137034434293746
2026-04-10,1993-02-01,0.2100840336134334
2026-04-10,1993-03-01,0.13976240391335923
2026-04-10,1993-04-01,0.3489183531053733
2026-04-10,1993-05-01,0.27816411682891323
2026-04-10,1993-06-01,0.06934812760057056
2026-04-10,1993-07-01,0.1386001386001307
2026-04-10,1993-08-01,0.20761245674741272
2026-04-10,1993-09-01,0.13812154696131812
2026-04-10,1993-10-01,0.41379310344827197
2026-04-10,1993-11-01,0.27472527472527863
2026-04-10,1993-12-01,0.2054794520548023
2026-04-10,1994-01-01,0.0
2026-04-10,1994-02-01,0.2734107997265737
2026-04-10,1994-03-01,0.2726653033401539
2026-04-10,1994-04-01,0.06798096532970382
2026-04-10,1994-05-01,0.20380434782609472
2026-04-10,1994-06-01,0.27118644067796993
2026-04-10,1994-07-01,0.3380662609871535
2026-04-10,1994-08-01,0.40431266846360797
2026-04-10,1994-09-01,0.20134228187920225
2026-04-10,1994-10-01,0.06697923643670081
2026-04-10,1994-11-01,0.2677376171352113
2026-04-10,1994-12-01,0.20026702269691785
2026-04-10,1995-01-01,0.2664890073284515
