release_date,date,value
2026-04-10,1990-01-01,0.3799392097264438
2026-04-10,1990-02-01,0.45420136260408356
2026-04-10,1990-03-01,0.6028636021100312
2026-04-10,1990-04-01,0.37453183520599254
2026-04-10,1990-05-01,0.2985074626865714
2026-04-10,1990-06-01,0.5208333333333249
2026-04-10,1990-07-01,0.5181347150259195
2026-04-10,1990-08-01,0.5891016200294424
2026-04-10,1990-09-01,0.36603221083455345
2026-04-10,1990-10-01,0.36469730123997085
2026-04-10,1990-11-01,0.29069767441860883
2026-04-10,1990-12-01,0.434782608695648
2026-04-10,1991-01-01,0.6493506493506535
2026-04-10,1991-02-01,0.5017921146953324
2026-04-10,1991-03-01,0.2139800285306786
2026-04-10,1991-04-01,0.28469750889680123
2026-04-10,1991-05-01,0.283889283179564
2026-04-10,1991-06-01,0.3538570417551309
2026-04-10,1991-07-01,0.35260930888575454
2026-04-10,1991-08-01,0.4216444132115209
2026-04-10,1991-09-01,0.3498950314905528
2026-04-10,1991-10-01,0.2092050209204902
2026-04-10,1991-11-01,0.3479471120389701
2026-04-10,1991-12-01,0.34674063800277394
2026-04-10,1992-01-01,0.27643400138217394
2026-04-10,1992-02-01,0.20675396278429453
2026-04-10,1992-03-01,0.34387895460797796
2026-04-10,1992-04-01,0.2741603838245412
2026-04-10,1992-05-01,0.3417634996582365
2026-04-10,1992-06-01,0.20435967302451152
2026-04-10,1992-07-01,0.3399048266485384
2026-04-10,1992-08-01,0.20325203252033291
2026-04-10,1992-09-01,0.1352265043948537
2026-04-10,1992-10-01,0.47265361242404935
2026-04-10,1992-11-01,0.26881720430106
2026-04-10,1992-12-01,0.26809651474531215
2026-04-10,1993-01-01,0.3342245989304813
2026-04-10,1993-02-01,0.3331112591605596
2026-04-10,1993-03-01,0.13280212483400866
2026-04-10,1993-04-01,0.39787798408487685
2026-04-10,1993-05-01,0.26420079260238155
2026-04-10,1993-06-01,0.19762845849801247
2026-04-10,1993-07-01,0.1314924391847581
2026-04-10,1993-08-01,0.32829940906106364
2026-04-10,1993-09-01,0.06544502617800675
2026-04-10,1993-10-01,0.3270111183780248
2026-04-10,1993-11-01,0.32594524119947843
2026-04-10,1993-12-01,0.25990903183886005
2026-04-10,1994-01-01,0.1296176279974003
2026-04-10,1994-02-01,0.19417475728156075
2026-04-10,1994-03-01,0.32299741602067183
2026-04-10,1994-04-01,0.12878300064390766
2026-04-10,1994-05-01,0.25723472668810654
2026-04-10,1994-06-01,0.32071840923669015
2026-04-10,1994-07-01,0.1918158567774827
2026-04-10,1994-08-01,0.2552648372686699
2026-04-10,1994-09-01,0.2546148949713595
2026-04-10,1994-10-01,0.1904761904761977
2026-04-10,1994-11-01,0.2534854245880718
2026-04-10,1994-12-01,0.0632111251580422
2026-04-10,1995-01-01,0.4421983575489505
2026-04-10,1995-02-01,0.25157232704402877
2026-04-10,1995-03-01,0.3136762860727729
2026-04-10,1995-04-01,0.31269543464665417
2026-04-10,1995-05-01,0.18703241895260783
2026-04-10,1995-06-01,0.24891101431238688
2026-04-10,1995-07-01,0.18621973929237207
2026-04-10,1995-08-01,0.24783147459727736
2026-04-10,1995-09-01,0.24721878862792165
2026-04-10,1995-10-01,0.3082614056720099
2026-04-10,1995-11-01,0.18438844499078758
2026-04-10,1995-12-01,0.06134969325153025
2026-04-10,1996-01-01,0.3678724708767592
2026-04-10,1996-02-01,0.18326206475260318
2026-04-10,1996-03-01,0.2439024390243937
2026-04-10,1996-04-01,0.12165450121653809
2026-04-10,1996-05-01,0.2430133657351189
2026-04-10,1996-06-01,0.24242424242424584
2026-04-10,1996-07-01,0.18137847642078775
2026-04-10,1996-08-01,0.18105009052505214
2026-04-10,1996-09-01,0.30120481927710846
2026-04-10,1996-10-01,0.180180180180187
2026-04-10,1996-11-01,0.23980815347720458
2026-04-10,1996-12-01,0.11961722488039299
2026-04-10,1997-01-01,0.2389486260454036
2026-04-10,1997-02-01,0.17878426698449518
2026-04-10,1997-03-01,0.17846519928614596
2026-04-10,1997-04-01,0.29691211401425177
2026-04-10,1997-05-01,0.17761989342805384
2026-04-10,1997-06-01,0.11820330969268147
2026-04-10,1997-07-01,0.1770956316410761
2026-04-10,1997-08-01,0.05892751915145712
2026-04-10,1997-09-01,0.2355712603062292
2026-04-10,1997-10-01,0.23501762632197754
2026-04-10,1997-11-01,0.11723329425557859
2026-04-10,1997-12-01,0.23419203747071268
2026-04-10,1998-01-01,0.23364485981308744
2026-04-10,1998-02-01,0.17482517482518145
2026-04-10,1998-03-01,0.17452006980801799
2026-04-10,1998-04-01,0.17421602787457108
2026-04-10,1998-05-01,0.23188405797101777
2026-04-10,1998-06-01,0.17351069982647943
2026-04-10,1998-07-01,0.17321016166282413
2026-04-10,1998-08-01,0.2881844380403458
2026-04-10,1998-09-01,0.11494252873562566
2026-04-10,1998-10-01,0.1148105625717664
2026-04-10,1998-11-01,0.22935779816514087
2026-04-10,1998-12-01,0.34324942791761687
2026-04-10,1999-01-01,0.11402508551880766
2026-04-10,1999-02-01,0.0
2026-04-10,1999-03-01,0.056947608200452346
2026-04-10,1999-04-01,0.3414911781445776
2026-04-10,1999-05-01,0.11344299489505878
2026-04-10,1999-06-01,0.05665722379603077
2026-04-10,1999-07-01,0.28312570781426954
2026-04-10,1999-08-01,0.11293054771316605
2026-04-10,1999-09-01,0.2820078962210942
2026-04-10,1999-10-01,0.1687289088863796
2026-04-10,1999-11-01,0.16844469399214565
2026-04-10,1999-12-01,0.1681614349775689
2026-04-10,2000-01-01,0.33575825405709164
2026-04-10,2000-02-01,0.055772448410482046
2026-04-10,2000-03-01,0.3344481605351139
2026-04-10,2000-04-01,0.16666666666667299
2026-04-10,2000-05-01,0.22185246810869508
2026-04-10,2000-06-01,0.2213613724405123
2026-04-10,2000-07-01,0.2208724461623444
2026-04-10,2000-08-01,0.22038567493113262
2026-04-10,2000-09-01,0.21990104452996465
2026-04-10,2000-10-01,0.16456390565001805
2026-04-10,2000-11-01,0.2738225629791895
2026-04-10,2000-12-01,0.10922992900055546
2026-04-10,2001-01-01,0.32733224222585616
2026-04-10,2001-02-01,0.2718868950516585
2026-04-10,2001-03-01,0.16268980477222503
2026-04-10,2001-04-01,0.216567406605309
2026-04-10,2001-05-01,0.10804970286332634
2026-04-10,2001-06-01,0.3777657852131617
2026-04-10,2001-07-01,0.21505376344086324
2026-04-10,2001-08-01,0.16094420600857454
2026-04-10,2001-09-01,0.21424745581146531
2026-04-10,2001-10-01,0.16034206306788423
2026-04-10,2001-11-01,0.37353255069369723
2026-04-10,2001-12-01,0.15948963317384976
2026-04-10,2002-01-01,0.15923566878979986
2026-04-10,2002-02-01,0.21197668256492086
2026-04-10,2002-03-01,0.05288207297725771
2026-04-10,2002-04-01,0.2642706131078224
2026-04-10,2002-05-01,0.15814443858724903
2026-04-10,2002-06-01,0.10526315789473085
2026-04-10,2002-07-01,0.15772870662461166
2026-04-10,2002-08-01,0.31496062992125684
2026-04-10,2002-09-01,0.1046572475143993
2026-04-10,2002-10-01,0.10454783063250843
2026-04-10,2002-11-01,0.20887728459530325
2026-04-10,2002-12-01,0.10422094841062461
2026-04-10,2003-01-01,0.15616866215513345
2026-04-10,2003-02-01,0.051975051975049015
2026-04-10,2003-03-01,0.0
2026-04-10,2003-04-01,0.0
2026-04-10,2003-05-01,0.20779220779221075
2026-04-10,2003-06-01,0.05184033177812043
2026-04-10,2003-07-01,0.20725388601036562
2026-04-10,2003-08-01,0.1034126163391875
