date,value,realtime_start
1996-12-01,167.6,1997-01-14
1997-01-01,167.9,1997-02-19
1997-02-01,168.3,1997-03-19
1997-03-01,168.7,1997-04-15
1997-04-01,169.2,1997-05-15
1997-05-01,169.5,1997-06-17
1997-06-01,169.7,1997-07-16
1997-07-01,170.0,1997-08-14
1997-08-01,170.1,1997-09-16
1997-09-01,170.4,1997-10-16
1997-10-01,170.8,1997-11-18
1997-11-01,171.0,1997-12-16
1997-12-01,171.4,1998-01-13
1998-01-01,171.7,1998-02-24
1998-02-01,172.2,1998-03-19
1998-03-01,172.4,1998-04-14
1998-04-01,172.9,1998-05-14
1998-05-01,173.3,1998-06-16
1998-06-01,173.5,1998-07-14
1998-07-01,173.8,1998-08-18
1998-08-01,174.2,1998-09-17
1998-09-01,174.5,1998-10-16
1998-10-01,174.8,1998-11-17
1998-11-01,175.1,1998-12-15
1998-12-01,175.6,1999-01-14
1999-01-01,175.7,1999-02-19
1999-02-01,175.8,1999-03-18
1999-03-01,176.0,1999-04-13
1999-04-01,176.7,1999-05-14
1999-05-01,176.9,1999-06-16
1999-06-01,177.0,1999-07-15
1999-07-01,177.3,1999-08-17
1999-08-01,177.5,1999-09-15
1999-09-01,178.1,1999-10-19
1999-10-01,178.4,1999-11-17
1999-11-01,178.8,1999-12-14
1999-12-01,179.0,2000-01-14
2000-01-01,179.2,2000-02-18
2000-02-01,179.5,2000-03-17
2000-03-01,180.3,2000-04-14
2000-04-01,180.6,2000-05-16
2000-05-01,180.9,2000-06-14
2000-06-01,181.2,2000-07-18
2000-07-01,181.6,2000-08-16
2000-08-01,182.0,2000-09-15
2000-09-01,182.6,2000-10-18
2000-10-01,182.9,2000-11-16
2000-11-01,183.4,2000-12-15
2000-12-01,183.5,2001-01-17
2001-01-01,184.1,2001-02-21
2001-02-01,184.7,2001-03-21
2001-03-01,185.1,2001-04-17
2001-04-01,185.5,2001-05-16
2001-05-01,185.7,2001-06-15
2001-06-01,186.3,2001-07-18
2001-07-01,186.6,2001-08-16
2001-08-01,187.0,2001-09-18
2001-09-01,187.4,2001-10-19
2001-10-01,187.7,2001-11-16
2001-11-01,188.4,2001-12-14
2001-12-01,188.6,2002-01-16
2002-01-01,188.6,2002-02-20
2002-02-01,189.1,2002-03-21
2002-03-01,189.3,2002-04-16
2002-04-01,189.8,2002-05-15
2002-05-01,190.1,2002-06-18
2002-06-01,190.2,2002-07-19
2002-07-01,190.5,2002-08-16
2002-08-01,191.1,2002-09-18
2002-09-01,191.3,2002-10-18
2002-10-01,191.6,2002-11-19
2002-11-01,191.9,2002-12-17
2002-12-01,192.0,2003-01-16
2003-01-01,192.3,2003-02-21
2003-02-01,192.5,2003-03-21
2003-03-01,192.5,2003-04-16
2003-04-01,192.5,2003-05-16
2003-05-01,193.0,2003-06-17
2003-06-01,193.0,2003-07-16
2003-07-01,193.4,2003-08-15
2003-08-01,193.6,2003-09-16
2003-09-01,193.7,2003-10-16
2003-10-01,194.1,2003-11-18
2003-11-01,194.0,2003-12-16
2003-12-01,194.2,2004-01-15
2004-01-01,194.4,2004-02-20
2004-02-01,194.8,2004-03-17
2004-03-01,195.5,2004-04-14
2004-04-01,196.0,2004-05-14
2004-05-01,196.4,2004-06-15
2004-06-01,196.6,2004-07-16
2004-07-01,196.8,2004-08-17
2004-08-01,196.9,2004-09-16
2004-09-01,197.5,2004-10-19
2004-10-01,197.9,2004-11-17
2004-11-01,198.2,2004-12-17
2004-12-01,198.5,2005-01-19
2005-01-01,198.9,2005-02-23
2005-02-01,199.4,2005-03-23
2005-03-01,200.1,2005-04-20
2005-04-01,200.2,2005-05-18
2005-05-01,200.5,2005-06-15
2005-06-01,200.7,2005-07-14
2005-07-01,201.0,2005-08-16
2005-08-01,201.2,2005-09-15
2005-09-01,201.4,2005-10-14
2005-10-01,201.9,2005-11-16
2005-11-01,202.4,2005-12-15
2005-12-01,202.8,2006-01-18
2006-01-01,203.2,2006-02-22
2006-02-01,203.5,2006-03-16
2006-03-01,204.2,2006-04-19
2006-04-01,204.8,2006-05-17
2006-05-01,205.4,2006-06-14
2006-06-01,206.0,2006-07-19
2006-07-01,206.4,2006-08-16
2006-08-01,206.9,2006-09-15
2006-09-01,207.4,2006-10-18
2006-10-01,207.6,2006-11-16
2006-11-01,207.7,2006-12-15
2006-12-01,208.1,2007-01-18
2007-01-01,208.632,2007-02-21
2007-02-01,209.135,2007-03-16
2007-03-01,209.263,2007-04-17
2007-04-01,209.634,2007-05-15
2007-05-01,209.948,2007-06-15
2007-06-01,210.436,2007-07-18
2007-07-01,210.933,2007-08-15
2007-08-01,211.25,2007-09-19
2007-09-01,211.714,2007-10-17
2007-10-01,212.05,2007-11-15
2007-11-01,212.633,2007-12-14
2007-12-01,213.148,2008-01-16
2008-01-01,213.765,2008-02-20
2008-02-01,213.851,2008-03-14
2008-03-01,214.176,2008-04-16
2008-04-01,214.398,2008-05-14
2008-05-01,214.832,2008-06-13
2008-06-01,215.526,2008-07-16
2008-07-01,216.23,2008-08-14
2008-08-01,216.65,2008-09-16
2008-09-01,216.956,2008-10-16
2008-10-01,216.801,2008-11-19
2008-11-01,216.849,2008-12-16
2008-12-01,216.816,2009-01-16
2009-01-01,217.265,2009-02-20
2009-02-01,217.67,2009-03-18
2009-03-01,218.042,2009-04-15
2009-04-01,218.594,2009-05-15
2009-05-01,218.91,2009-06-17
2009-06-01,219.344,2009-07-15
2009-07-01,219.543,2009-08-14
2009-08-01,219.692,2009-09-16
2009-09-01,220.053,2009-10-15
2009-10-01,220.453,2009-11-18
2009-11-01,220.527,2009-12-16
2009-12-01,220.774,2010-01-15
2010-01-01,220.463,2010-02-19
2010-02-01,220.579,2010-03-18
2010-03-01,220.664,2010-04-14
2010-04-01,220.768,2010-05-19
2010-05-01,221.037,2010-06-17
2010-06-01,221.388,2010-07-16
2010-07-01,221.676,2010-08-13
2010-08-01,221.779,2010-09-17
2010-09-01,221.781,2010-10-15
2010-10-01,221.765,2010-11-17
2010-11-01,221.982,2010-12-15
2010-12-01,222.187,2011-01-14
2011-01-01,222.587,2011-02-17
2011-02-01,223.029,2011-03-17
2011-03-01,223.331,2011-04-15
2011-04-01,223.745,2011-05-13
2011-05-01,224.387,2011-06-15
2011-06-01,224.958,2011-07-15
2011-07-01,225.463,2011-08-18
2011-08-01,226.014,2011-09-15
2011-09-01,226.137,2011-10-19
2011-10-01,226.444,2011-11-16
2011-11-01,226.836,2011-12-16
2011-12-01,227.166,2012-01-19
2012-01-01,227.684,2012-02-17
2012-02-01,227.907,2012-03-16
2012-03-01,228.432,2012-04-13
2012-04-01,228.984,2012-05-15
2012-05-01,229.446,2012-06-14
2012-06-01,229.916,2012-07-17
2012-07-01,230.124,2012-08-15
2012-08-01,230.244,2012-09-14
2012-09-01,230.58,2012-10-16
2012-10-01,230.994,2012-11-15
