release_date,date,value
2014-09-26,1990-01-01,4.5
2014-09-26,1990-04-01,1.6
2014-09-26,1990-07-01,0.1
2014-09-26,1990-10-01,-3.4
2014-09-26,1991-01-01,-1.9
2014-09-26,1991-04-01,3.1
2014-09-26,1991-07-01,1.9
2014-09-26,1991-10-01,1.8
2014-09-26,1992-01-01,4.8
2014-09-26,1992-04-01,4.5
2014-09-26,1992-07-01,3.9
2014-09-26,1992-10-01,4.1
2014-09-26,1993-01-01,0.8
2014-09-26,1993-04-01,2.4
2014-09-26,1993-07-01,2.0
2014-09-26,1993-10-01,5.4
2014-09-26,1994-01-01,4.0
2014-09-26,1994-04-01,5.6
2014-09-26,1994-07-01,2.4
2014-09-26,1994-10-01,4.6
2014-09-26,1995-01-01,1.4
2014-09-26,1995-04-01,1.4
2014-09-26,1995-07-01,3.5
2014-09-26,1995-10-01,2.9
2014-09-26,1996-01-01,2.7
2014-09-26,1996-04-01,7.2
2014-09-26,1996-07-01,3.7
2014-09-26,1996-10-01,4.3
2014-09-26,1997-01-01,3.1
2014-09-26,1997-04-01,6.2
2014-09-26,1997-07-01,5.2
2014-09-26,1997-10-01,3.1
2014-09-26,1998-01-01,4.0
2014-09-26,1998-04-01,3.9
2014-09-26,1998-07-01,5.3
2014-09-26,1998-10-01,6.7
2014-09-26,1999-01-01,3.2
2014-09-26,1999-04-01,3.3
2014-09-26,1999-07-01,5.1
2014-09-26,1999-10-01,7.1
2014-09-26,2000-01-01,1.2
2014-09-26,2000-04-01,7.8
2014-09-26,2000-07-01,0.5
2014-09-26,2000-10-01,2.3
2014-09-26,2001-01-01,-1.1
2014-09-26,2001-04-01,2.1
2014-09-26,2001-07-01,-1.3
2014-09-26,2001-10-01,1.1
2014-09-26,2002-01-01,3.7
2014-09-26,2002-04-01,2.2
2014-09-26,2002-07-01,2.0
2014-09-26,2002-10-01,0.3
2014-09-26,2003-01-01,2.1
2014-09-26,2003-04-01,3.8
2014-09-26,2003-07-01,6.9
2014-09-26,2003-10-01,4.8
2014-09-26,2004-01-01,2.3
2014-09-26,2004-04-01,3.0
2014-09-26,2004-07-01,3.7
2014-09-26,2004-10-01,3.5
2014-09-26,2005-01-01,4.3
2014-09-26,2005-04-01,2.1
2014-09-26,2005-07-01,3.4
2014-09-26,2005-10-01,2.3
2014-09-26,2006-01-01,4.9
2014-09-26,2006-04-01,1.2
2014-09-26,2006-07-01,0.4
2014-09-26,2006-10-01,3.2
2014-09-26,2007-01-01,0.2
2014-09-26,2007-04-01,3.1
2014-09-26,2007-07-01,2.7
2014-09-26,2007-10-01,1.4
2014-09-26,2008-01-01,-2.7
2014-09-26,2008-04-01,2.0
2014-09-26,2008-07-01,-1.9
2014-09-26,2008-10-01,-8.2
2014-09-26,2009-01-01,-5.4
2014-09-26,2009-04-01,-0.5
2014-09-26,2009-07-01,1.3
2014-09-26,2009-10-01,3.9
2014-09-26,2010-01-01,1.7
2014-09-26,2010-04-01,3.9
2014-09-26,2010-07-01,2.7
2014-09-26,2010-10-01,2.5
2014-09-26,2011-01-01,-1.5
2014-09-26,2011-04-01,2.9
2014-09-26,2011-07-01,0.8
2014-09-26,2011-10-01,4.6
2014-09-26,2012-01-01,2.3
2014-09-26,2012-04-01,1.6
2014-09-26,2012-07-01,2.5
2014-09-26,2012-10-01,0.1
2014-09-26,2013-01-01,2.7
2014-09-26,2013-04-01,1.8
2014-09-26,2013-07-01,4.5
2014-09-26,2013-10-01,3.5
2014-09-26,2014-01-01,-2.1
2014-09-26,2014-04-01,4.6
2014-10-30,2014-07-01,3.5
2015-01-30,2014-10-01,2.6
2015-04-29,2015-01-01,0.2
2015-07-30,2015-04-01,2.3
2015-10-29,2015-07-01,1.5
2016-01-29,2015-10-01,0.7
2016-04-28,2016-01-01,0.5
2016-07-29,2016-04-01,1.2
2016-10-28,2016-07-01,2.9
2017-01-27,2016-10-01,1.9
2017-04-28,2017-01-01,0.7
2017-07-28,2017-04-01,2.6
2017-10-27,2017-07-01,3.0
2018-01-26,2017-10-01,2.6
2018-04-27,2018-01-01,2.3
2018-07-27,2018-04-01,4.1
2018-10-26,2018-07-01,3.5
2019-02-28,2018-10-01,2.6
2019-04-26,2019-01-01,3.2
2019-07-26,2019-04-01,2.1
2019-10-30,2019-07-01,1.9
2020-01-30,2019-10-01,2.1
2020-04-29,2020-01-01,-4.8
2020-07-30,2020-04-01,-32.9
2020-10-29,2020-07-01,33.1
2021-01-28,2020-10-01,4.0
2021-04-29,2021-01-01,6.4
2021-07-29,2021-04-01,6.5
2021-10-28,2021-07-01,2.0
2022-01-27,2021-10-01,6.9
2022-04-28,2022-01-01,-1.4
2022-07-28,2022-04-01,-0.9
2022-10-27,2022-07-01,2.6
2023-01-26,2022-10-01,2.9
2023-04-27,2023-01-01,1.1
2023-07-27,2023-04-01,2.4
2023-10-26,2023-07-01,4.9
2024-01-25,2023-10-01,3.3
2024-04-25,2024-01-01,1.6
2024-07-25,2024-04-01,2.8
2024-10-30,2024-07-01,2.8
2025-01-30,2024-10-01,2.3
2025-04-30,2025-01-01,-0.3
2025-07-30,2025-04-01,3.0
2025-12-23,2025-07-01,4.3
