release_date,date,value
1999-08-06,1990-01-01,9.83
1999-08-06,1990-02-01,9.88
1999-08-06,1990-03-01,9.92
1999-08-06,1990-04-01,9.93
1999-08-06,1990-05-01,9.97
1999-08-06,1990-06-01,10.01
1999-08-06,1990-07-01,10.03
1999-08-06,1990-08-01,10.05
1999-08-06,1990-09-01,10.08
1999-08-06,1990-10-01,10.11
1999-08-06,1990-11-01,10.13
1999-08-06,1990-12-01,10.15
1999-08-06,1991-01-01,10.18
1999-08-06,1991-02-01,10.19
1999-08-06,1991-03-01,10.22
1999-08-06,1991-04-01,10.26
1999-08-06,1991-05-01,10.3
1999-08-06,1991-06-01,10.32
1999-08-06,1991-07-01,10.35
1999-08-06,1991-08-01,10.37
1999-08-06,1991-09-01,10.39
1999-08-06,1991-10-01,10.39
1999-08-06,1991-11-01,10.42
1999-08-06,1991-12-01,10.45
1999-08-06,1992-01-01,10.45
1999-08-06,1992-02-01,10.47
1999-08-06,1992-03-01,10.5
1999-08-06,1992-04-01,10.52
1999-08-06,1992-05-01,10.54
1999-08-06,1992-06-01,10.57
1999-08-06,1992-07-01,10.59
1999-08-06,1992-08-01,10.62
1999-08-06,1992-09-01,10.62
1999-08-06,1992-10-01,10.65
1999-08-06,1992-11-01,10.67
1999-08-06,1992-12-01,10.69
1999-08-06,1993-01-01,10.72
1999-08-06,1993-02-01,10.73
1999-08-06,1993-03-01,10.78
1999-08-06,1993-04-01,10.78
1999-08-06,1993-05-01,10.8
1999-08-06,1993-06-01,10.82
1999-08-06,1993-07-01,10.84
1999-08-06,1993-08-01,10.86
1999-08-06,1993-09-01,10.89
1999-08-06,1993-10-01,10.91
1999-08-06,1993-11-01,10.93
1999-08-06,1993-12-01,10.96
1999-08-06,1994-01-01,10.99
1999-08-06,1994-02-01,11.02
1999-08-06,1994-03-01,11.03
1999-08-06,1994-04-01,11.05
1999-08-06,1994-05-01,11.07
1999-08-06,1994-06-01,11.09
1999-08-06,1994-07-01,11.12
1999-08-06,1994-08-01,11.14
1999-08-06,1994-09-01,11.17
1999-08-06,1994-10-01,11.21
1999-08-06,1994-11-01,11.22
1999-08-06,1994-12-01,11.25
1999-08-06,1995-01-01,11.27
1999-08-06,1995-02-01,11.3
1999-08-06,1995-03-01,11.33
1999-08-06,1995-04-01,11.35
1999-08-06,1995-05-01,11.37
1999-08-06,1995-06-01,11.41
1999-08-06,1995-07-01,11.45
1999-08-06,1995-08-01,11.47
1999-08-06,1995-09-01,11.5
1999-08-06,1995-10-01,11.53
1999-08-06,1995-11-01,11.56
1999-08-06,1995-12-01,11.58
1999-08-06,1996-01-01,11.63
1999-08-06,1996-02-01,11.64
1999-08-06,1996-03-01,11.66
1999-08-06,1996-04-01,11.72
1999-08-06,1996-05-01,11.75
1999-08-06,1996-06-01,11.81
1999-08-06,1996-07-01,11.83
1999-08-06,1996-08-01,11.87
1999-08-06,1996-09-01,11.91
1999-08-06,1996-10-01,11.93
1999-08-06,1996-11-01,11.99
1999-08-06,1996-12-01,12.02
1999-08-06,1997-01-01,12.06
1999-08-06,1997-02-01,12.09
1999-08-06,1997-03-01,12.14
1999-08-06,1997-04-01,12.16
1999-08-06,1997-05-01,12.21
1999-08-06,1997-06-01,12.24
1999-08-06,1997-07-01,12.27
1999-08-06,1997-08-01,12.33
1999-08-06,1997-09-01,12.37
1999-08-06,1997-10-01,12.43
1999-08-06,1997-11-01,12.47
1999-08-06,1997-12-01,12.51
1999-08-06,1998-01-01,12.54
1999-08-06,1998-02-01,12.6
1999-08-06,1998-03-01,12.64
1999-08-06,1998-04-01,12.69
1999-08-06,1998-05-01,12.73
1999-08-06,1998-06-01,12.76
1999-08-06,1998-07-01,12.8
1999-08-06,1998-08-01,12.85
1999-08-06,1998-09-01,12.88
1999-08-06,1998-10-01,12.91
1999-08-06,1998-11-01,12.94
1999-08-06,1998-12-01,12.98
1999-08-06,1999-01-01,13.04
1999-08-06,1999-02-01,13.06
1999-08-06,1999-03-01,13.11
1999-08-06,1999-04-01,13.14
1999-08-06,1999-05-01,13.18
1999-08-06,1999-06-01,13.23
1999-08-06,1999-07-01,13.29
1999-09-03,1999-08-01,13.3
1999-10-08,1999-09-01,13.37
1999-11-05,1999-10-01,13.37
1999-12-03,1999-11-01,13.41
2000-01-07,1999-12-01,13.46
2000-02-04,2000-01-01,13.5
2000-03-03,2000-02-01,13.53
2000-04-07,2000-03-01,13.6
2000-05-05,2000-04-01,13.64
2000-06-02,2000-05-01,13.65
2000-07-07,2000-06-01,13.71
2000-08-04,2000-07-01,13.76
2000-09-01,2000-08-01,13.8
2000-10-06,2000-09-01,13.83
2000-11-03,2000-10-01,13.89
2000-12-08,2000-11-01,13.94
2001-01-05,2000-12-01,14.01
2001-02-02,2001-01-01,14.02
2001-03-09,2001-02-01,14.1
2001-04-06,2001-03-01,14.17
2001-05-04,2001-04-01,14.22
2001-06-01,2001-05-01,14.26
2001-07-06,2001-06-01,14.29
2001-08-03,2001-07-01,14.35
2001-09-07,2001-08-01,14.38
2001-10-05,2001-09-01,14.44
2001-11-02,2001-10-01,14.47
2001-12-07,2001-11-01,14.52
2002-01-04,2001-12-01,14.61
2002-02-01,2002-01-01,14.59
2002-03-08,2002-02-01,14.63
2002-04-05,2002-03-01,14.67
2002-05-03,2002-04-01,14.69
2002-06-07,2002-05-01,14.7
2002-07-05,2002-06-01,14.76
2002-08-02,2002-07-01,14.79
2002-09-06,2002-08-01,14.82
2002-10-04,2002-09-01,14.87
2002-11-01,2002-10-01,14.89
2002-12-06,2002-11-01,14.93
2003-01-10,2002-12-01,14.98
2003-02-07,2003-01-01,14.98
2003-03-07,2003-02-01,15.08
2003-04-04,2003-03-01,15.1
2003-05-02,2003-04-01,15.11
2003-06-06,2003-05-01,15.34
2003-07-03,2003-06-01,15.38
2003-08-01,2003-07-01,15.44
2003-09-05,2003-08-01,15.45
2003-10-03,2003-09-01,15.45
2003-11-07,2003-10-01,15.46
2003-12-05,2003-11-01,15.46
2004-01-09,2003-12-01,15.5
2004-02-06,2004-01-01,15.49
2004-03-05,2004-02-01,15.52
2004-04-02,2004-03-01,15.54
2004-05-07,2004-04-01,15.59
