release_date,date,value
1997-01-17,1992-02-01,35.0
1997-01-17,1992-03-01,-1794.0
1997-01-17,1992-04-01,-2643.0
1997-01-17,1992-05-01,-4194.0
1997-01-17,1992-06-01,-3163.0
1997-01-17,1992-07-01,-3761.0
1997-01-17,1992-08-01,-3469.0
1997-01-17,1992-09-01,-4338.0
1997-01-17,1992-10-01,-3960.0
1997-01-17,1992-11-01,-4482.0
1997-01-17,1992-12-01,-4461.0
1997-01-17,1993-01-01,-3998.0
1997-01-17,1993-02-01,-3409.0
1997-01-17,1993-03-01,-6146.0
1997-01-17,1993-04-01,-6158.0
1997-01-17,1993-05-01,-4659.0
1997-01-17,1993-06-01,-7217.0
1997-01-17,1993-07-01,-7095.0
1997-01-17,1993-08-01,-6422.0
1997-01-17,1993-09-01,-7677.0
1997-01-17,1993-10-01,-7475.0
1997-01-17,1993-11-01,-7190.0
1997-01-17,1993-12-01,-4590.0
1997-01-17,1994-01-01,-7201.0
1997-01-17,1994-02-01,-9409.0
1997-01-17,1994-03-01,-6096.0
1997-01-17,1994-04-01,-8408.0
1997-01-17,1994-05-01,-8958.0
1997-01-17,1994-06-01,-8518.0
1997-01-17,1994-07-01,-10073.0
1997-01-17,1994-08-01,-9088.0
1997-01-17,1994-09-01,-9286.0
1997-01-17,1994-10-01,-9851.0
1997-01-17,1994-11-01,-9855.0
1997-01-17,1994-12-01,-7638.0
1997-01-17,1995-01-01,-10660.0
1997-01-17,1995-02-01,-9531.0
1997-01-17,1995-03-01,-9323.0
1997-01-17,1995-04-01,-10719.0
1997-01-17,1995-05-01,-10480.0
1997-01-17,1995-06-01,-10623.0
1997-01-17,1995-07-01,-10067.0
1997-01-17,1995-08-01,-7372.0
1997-01-17,1995-09-01,-6894.0
1997-01-17,1995-10-01,-6902.0
1997-01-17,1995-11-01,-6098.0
1997-01-17,1995-12-01,-6398.0
1997-01-17,1996-01-01,-9568.0
1997-01-17,1996-02-01,-6784.0
1997-01-17,1996-03-01,-7873.0
1997-01-17,1996-04-01,-9528.0
1997-01-17,1996-05-01,-10677.0
1997-01-17,1996-06-01,-8370.0
1997-01-17,1996-07-01,-11755.0
1997-01-17,1996-08-01,-10493.0
1997-01-17,1996-09-01,-11437.0
1997-01-17,1996-10-01,-8007.0
1997-01-17,1996-11-01,-8400.0
1997-02-19,1996-12-01,-10287.0
1997-03-20,1997-01-01,-12706.0
1997-04-17,1997-02-01,-11589.0
1997-05-21,1997-03-01,-8508.0
1997-06-19,1997-04-01,-8360.0
1997-07-18,1997-05-01,-10230.0
1997-08-20,1997-06-01,-8158.0
1997-09-18,1997-07-01,-10344.0
1997-10-21,1997-08-01,-10358.0
1997-11-20,1997-09-01,-11068.0
1997-12-18,1997-10-01,-9690.0
1998-01-21,1997-11-01,-8037.0
1998-02-19,1997-12-01,-10785.0
1998-03-19,1998-01-01,-12043.0
1998-04-17,1998-02-01,-12108.0
1998-05-20,1998-03-01,-13025.0
1998-06-18,1998-04-01,-14458.0
1998-07-17,1998-05-01,-15745.0
1998-08-18,1998-06-01,-14151.0
1998-09-17,1998-07-01,-13923.0
1998-10-20,1998-08-01,-16774.0
1998-11-18,1998-09-01,-14031.0
1998-12-17,1998-10-01,-14194.0
