release_date,date,value
1990-02-21,1990-01-01,1.1084718923198777
1990-03-20,1990-02-01,0.46985121378230893
1990-04-17,1990-03-01,0.46765393608729094
1990-05-16,1990-04-01,0.15515903801395547
1990-06-15,1990-05-01,0.154918667699471
1990-07-18,1990-06-01,0.5413766434648016
1990-08-16,1990-07-01,0.38461538461538464
1990-09-18,1990-08-01,0.7662835249042145
1990-10-18,1990-09-01,0.7604562737642585
1990-11-16,1990-10-01,0.6037735849056689
1990-12-18,1990-11-01,0.3000750187546716
1991-01-16,1990-12-01,0.29917726252805216
1991-02-20,1991-01-01,0.44709388971685754
1991-03-19,1991-02-01,0.22255192878337013
1991-04-12,1991-03-01,-0.07401924500369676
1991-05-14,1991-04-01,0.22222222222223065
1991-06-14,1991-05-01,0.2956393200295471
1991-07-17,1991-06-01,0.22107590272661118
1991-08-14,1991-07-01,0.22058823529412602
1991-09-13,1991-08-01,0.2201027146001342
1991-10-17,1991-09-01,0.36603221083455345
1991-11-14,1991-10-01,0.07293946024799003
1991-12-13,1991-11-01,0.43731778425657636
1992-01-16,1991-12-01,0.2902757619738587
1992-02-19,1992-01-01,0.07235890014473427
1992-03-17,1992-02-01,0.28922631959506667
1992-04-10,1992-03-01,0.5046863734679288
1992-05-13,1992-04-01,0.21520803443327327
1992-06-12,1992-05-01,0.14316392269149397
1992-07-14,1992-06-01,0.2859185132237353
1992-08-13,1992-07-01,0.14255167498217292
1992-09-15,1992-08-01,0.28469750889680123
1992-10-15,1992-09-01,0.21291696238465788
1992-11-13,1992-10-01,0.4249291784702711
1992-12-13,1992-11-01,0.2115655853314407
1993-01-15,1992-12-01,0.07037297677691366
1993-02-18,1993-01-01,0.49226441631506124
1993-03-17,1993-02-01,0.3498950314905528
1993-04-09,1993-03-01,0.13947001394699346
1993-05-13,1993-04-01,0.4178272980501353
1993-06-15,1993-05-01,0.13869625520112142
1993-07-14,1993-06-01,0.0
1993-08-13,1993-07-01,0.06925207756232293
1993-09-14,1993-08-01,0.27681660899654376
1993-10-15,1993-09-01,0.0
1993-11-10,1993-10-01,0.4140786749482362
1993-12-10,1993-11-01,0.2061855670103171
1994-01-13,1993-12-01,0.20576131687241628
1994-02-17,1994-01-01,0.0
1994-03-16,1994-02-01,0.2734107997265737
1994-04-13,1994-03-01,0.3408316291751875
1994-05-13,1994-04-01,0.1358695652174029
1994-06-14,1994-05-01,0.2035278154681024
1994-07-13,1994-06-01,0.2708192281652036
1994-08-12,1994-07-01,0.337609723160027
1994-09-13,1994-08-01,0.3364737550471063
1994-10-14,1994-09-01,0.20120724346077223
1994-11-16,1994-10-01,0.06693440428379807
1994-12-14,1994-11-01,0.26755852842809746
1995-01-11,1994-12-01,0.20013342228150963
1995-02-15,1995-01-01,0.3331112591605596
1995-03-16,1995-02-01,0.2656042496679985
1995-04-12,1995-03-01,0.19867549668874926
1995-05-12,1995-04-01,0.3965631196298706
1995-06-13,1995-05-01,0.2633311389071795
1995-07-14,1995-06-01,0.131319763624418
1995-08-11,1995-07-01,0.1967213114754173
1995-09-13,1995-08-01,0.1308900523560135
1995-10-13,1995-09-01,0.13071895424835858
