release_date,date,value
1996-12-12,1990-01-01,0.3793626707132018
1996-12-12,1990-02-01,0.45351473922902064
1996-12-12,1990-03-01,0.6019563581640203
1996-12-12,1990-04-01,0.3739715781600599
1996-12-12,1990-05-01,0.2980625931445646
1996-12-12,1990-06-01,0.5200594353640543
1996-12-12,1990-07-01,0.5173688100517284
1996-12-12,1990-08-01,0.5882352941176554
1996-12-12,1990-09-01,0.36549707602339176
1996-12-12,1990-10-01,0.36416605972323374
1996-12-12,1990-11-01,0.2902757619738587
1996-12-12,1990-12-01,0.4341534008683233
1996-12-12,1991-01-01,0.6484149855907616
1996-12-12,1991-02-01,0.5010737294201983
1996-12-12,1991-03-01,0.2136752136752015
1996-12-12,1991-04-01,0.2842928216062585
1996-12-12,1991-05-01,0.2834868887314002
1996-12-12,1991-06-01,0.35335689045936397
1996-12-12,1991-07-01,0.35211267605633806
1996-12-12,1991-08-01,0.42105263157894335
1996-12-12,1991-09-01,0.3494060097833683
1996-12-12,1991-10-01,0.20891364902507753
1996-12-12,1991-11-01,0.34746351633078526
1996-12-12,1991-12-01,0.3462603878116343
1996-12-12,1992-01-01,0.2760524499654973
1996-12-12,1992-02-01,0.20646937370955468
1996-12-12,1992-03-01,0.4120879120879082
1996-12-12,1992-04-01,0.27359781121751414
1996-12-12,1992-05-01,0.2728512960436601
1996-12-12,1992-06-01,0.20408163265306897
1996-12-12,1992-07-01,0.3394433129667345
1996-12-12,1992-08-01,0.20297699594044855
1996-12-12,1992-09-01,0.13504388926402233
1996-12-12,1992-10-01,0.47201618341199497
1996-12-12,1992-11-01,0.26845637583892995
1996-12-12,1992-12-01,0.2677376171352113
1996-12-12,1993-01-01,0.3337783711615487
1996-12-12,1993-02-01,0.332667997338656
1996-12-12,1993-03-01,0.19893899204242899
1996-12-12,1993-04-01,0.3309066843150232
1996-12-12,1993-05-01,0.2638522427440671
1996-12-12,1993-06-01,0.19736842105263905
1996-12-12,1993-07-01,0.19697964543662702
1996-12-12,1993-08-01,0.26212319790301813
1996-12-12,1993-09-01,0.06535947712417929
1996-12-12,1993-10-01,0.26126714565643744
1996-12-12,1993-11-01,0.32573289902280134
1996-12-12,1993-12-01,0.3246753246753247
1996-12-12,1994-01-01,0.12944983818769493
1996-12-12,1994-02-01,0.1939237233354954
