release_date,date,value
1991-12-04,1990-01-01,0.4341831800316967
1991-12-04,1990-04-01,0.39952466808719883
1991-12-04,1990-07-01,0.06122074158724976
1991-12-04,1990-10-01,-0.9830114412742402
1991-12-04,1991-01-01,-0.6405635311322189
1991-12-04,1991-04-01,0.346185737976779
1991-12-04,1991-07-01,0.419360836242696
1992-01-29,1991-10-01,0.07403294466038135
1992-04-28,1992-01-01,0.4909613804437066
1992-07-30,1992-04-01,0.3447073065638054
1992-10-27,1992-07-01,0.6561196958548027
1993-01-28,1992-10-01,0.9343900115532027
1993-04-29,1993-01-01,0.446822152761084
1993-07-29,1993-04-01,0.39200784015681045
1993-10-28,1993-07-01,0.7036318378706735
1994-01-28,1993-10-01,1.4362726971955742
1994-04-28,1994-01-01,0.6391610532761718
1994-07-29,1994-04-01,0.9142574746725866
1994-10-28,1994-07-01,0.8486855723452598
1995-01-27,1994-10-01,1.1142165082914137
1995-04-28,1995-01-01,0.6974861054878655
1995-07-28,1995-04-01,0.13162465037201912
1995-10-27,1995-07-01,1.0350231422427965
1996-02-23,1995-10-01,0.22900876143196963
1996-05-02,1996-01-01,0.6950490666273204
1996-08-01,1996-04-01,1.0389915325125132
1996-10-30,1996-07-01,0.5382584220758415
1997-01-31,1996-10-01,1.1589977483979013
1997-04-30,1997-01-01,1.374172422175503
1997-07-31,1997-04-01,0.5364988171679544
1997-10-31,1997-07-01,0.8687636180792198
1998-01-30,1997-10-01,1.0576656501247599
1998-04-30,1998-01-01,1.0439560439560438
1998-07-31,1998-04-01,0.3523249427304538
1998-10-30,1998-07-01,0.8121516016322997
1999-01-29,1998-10-01,1.3678715390206833
1999-04-30,1999-01-01,1.1044974406397774
1999-07-29,1999-04-01,0.5670395381205217
1999-10-28,1999-07-01,1.1846991547627184
2000-01-28,1999-10-01,1.4190054603060385
2000-04-27,2000-01-01,1.321205683176201
2000-07-28,2000-04-01,1.2728736482517027
2000-10-27,2000-07-01,0.6792647200850003
2001-01-31,2000-10-01,0.34153369977053205
2001-04-27,2001-01-01,0.49181898506444643
2001-07-27,2001-04-01,0.18319138679094074
2001-10-31,2001-07-01,-0.08884892471392884
2002-01-30,2001-10-01,0.055851520879884084
2002-04-26,2002-01-01,1.4280213080033375
2002-07-31,2002-04-01,0.26379870129868965
2002-10-31,2002-07-01,0.7750947574634928
2003-01-30,2002-10-01,0.18554440414945142
2003-04-25,2003-01-01,0.3971339118740862
2003-07-31,2003-04-01,0.5873115577889485
2003-10-30,2003-07-01,1.7425800153696085
2004-01-30,2003-10-01,0.9911275028351964
2004-04-29,2004-01-01,1.0235752492901011
2004-07-30,2004-04-01,0.7525122692217808
2004-10-29,2004-07-01,0.9151854015410619
2005-01-28,2004-10-01,0.777706363052068
2005-04-28,2005-01-01,0.7631227090401523
2005-07-29,2005-04-01,0.8427809042393674
2005-10-28,2005-07-01,0.9378494390938932
2006-01-27,2005-10-01,0.2785142336841607
2006-04-28,2006-01-01,1.1832899193655964
2006-07-28,2006-04-01,0.6088508713018242
2006-10-27,2006-07-01,0.3933931033271509
2007-01-31,2006-10-01,0.8572552103814425
2007-04-27,2007-01-01,0.31355858594632474
2007-07-27,2007-04-01,0.8350419711546823
2007-10-31,2007-07-01,0.9600611105806404
2008-01-30,2007-10-01,0.15867706215852267
2008-04-30,2008-01-01,0.14902746730388441
2008-07-31,2008-04-01,0.46883049974240393
2008-10-30,2008-07-01,-0.06310009038661286
2009-01-30,2008-10-01,-0.9647894539120933
2009-04-29,2009-01-01,-1.572629989324869
2009-07-31,2009-04-01,-0.2553112476209634
2009-10-29,2009-07-01,0.8719916288803629
2010-01-29,2009-10-01,1.4029137439297001
2010-04-30,2010-01-01,0.8000304194075875
2010-07-30,2010-04-01,0.5913782080555358
2010-10-29,2010-07-01,0.4986775193446036
2011-01-28,2010-10-01,0.7839740934593543
2011-04-28,2011-01-01,0.43420747793462633
2011-07-29,2011-04-01,0.31902267177708277
2011-10-27,2011-07-01,0.6103166111605057
2012-01-27,2011-10-01,0.6810885415103909
2012-04-27,2012-01-01,0.5465783006925284
2012-07-27,2012-04-01,0.38204110643843187
2012-10-26,2012-07-01,0.49968631213788045
2013-01-30,2012-10-01,-0.03589086247939671
2013-04-26,2013-01-01,0.6198135436942989
2013-07-31,2013-04-01,0.41581375650511804
2013-11-07,2013-07-01,0.7040951038604032
2014-01-30,2013-10-01,0.7973837227655332
2014-04-30,2014-01-01,0.026972268744165466
2014-07-30,2014-04-01,0.9727319239247838
2014-10-30,2014-07-01,0.8756808074751457
2015-01-30,2014-10-01,0.6540948807819519
2015-04-29,2015-01-01,0.06198334427757826
2015-07-30,2015-04-01,0.5754977653873042
2015-10-29,2015-07-01,0.37101435078611184
2016-01-29,2015-10-01,0.17241379310344385
2016-04-28,2016-01-01,0.13417847558681642
2016-07-29,2016-04-01,0.3031770045385691
2016-10-28,2016-07-01,0.7175980365552882
2017-01-27,2016-10-01,0.4651162790697631
2017-04-28,2017-01-01,0.173077266211881
2017-07-28,2017-04-01,0.6359742533958067
2017-10-27,2017-07-01,0.7390075265316378
2018-01-26,2017-10-01,0.6325720725145502
2018-04-27,2018-01-01,0.574633484158178
2018-07-27,2018-04-01,0.9999856472096182
2018-10-26,2018-07-01,0.8638972716315372
2019-02-28,2018-10-01,0.6410885244784422
2019-04-26,2019-01-01,0.783735644213965
2019-07-26,2019-04-01,0.5100521305727995
2019-10-30,2019-07-01,0.47672519932330853
2020-01-30,2019-10-01,0.5159480264536855
2020-04-29,2020-01-01,-1.217840835252582
2020-07-30,2020-04-01,-9.49471585907163
2020-10-29,2020-07-01,7.4062834001377125
2021-01-28,2020-10-01,0.9883784176620997
2021-04-29,2021-01-01,1.5597284003246485
