release_date,date,value
1990-02-16,1990-01-01,-1.1228070175438556
1990-03-16,1990-02-01,0.5673758865248308
1990-04-17,1990-03-01,0.6475485661424634
1990-05-15,1990-04-01,-0.36663611365718746
1990-06-15,1990-05-01,0.6422018348623879
1990-07-17,1990-06-01,0.4574565416285453
1990-08-15,1990-07-01,0.0
1990-09-14,1990-08-01,-0.1818181818181844
1990-10-17,1990-09-01,0.27173913043478
1990-11-13,1990-10-01,-0.8144796380090549
1990-12-14,1990-11-01,-1.7367458866544843
1991-01-16,1990-12-01,-0.649350649350652
1991-02-15,1991-01-01,-0.46728971962616817
1991-03-15,1991-02-01,-0.8442776735459583
1991-04-16,1991-03-01,-0.3784295175023706
1991-05-13,1991-04-01,0.09523809523808983
1991-06-14,1991-05-01,0.4748338081671415
1991-07-15,1991-06-01,0.6591337099811703
1991-08-16,1991-07-01,0.4668534080298786
1991-09-17,1991-08-01,0.1851851851851878
1991-10-17,1991-09-01,0.09259259259258733
1991-11-15,1991-10-01,0.0
1991-12-16,1991-11-01,-0.36968576709797196
1992-01-17,1991-12-01,-0.1851851851851878
1992-02-14,1992-01-01,-0.8364312267657914
1992-03-17,1992-02-01,0.5628517823639856
1992-04-15,1992-03-01,0.28063610851262594
1992-05-15,1992-04-01,0.5576208178438741
1992-06-16,1992-05-01,0.6475485661424634
1992-07-15,1992-06-01,-0.36832412523019475
1992-08-14,1992-07-01,0.3686635944700513
1992-09-16,1992-08-01,-0.5494505494505573
1992-10-16,1992-09-01,-0.2754820936639223
1992-11-16,1992-10-01,0.2759889604415797
1992-12-16,1992-11-01,0.3659652333028415
1993-01-15,1992-12-01,0.36330608537693526
1993-02-18,1993-01-01,0.4524886877828055
1993-03-17,1993-02-01,0.44923629829290207
1993-04-16,1993-03-01,0.0
1993-05-14,1993-04-01,0.09099181073702849
1993-06-16,1993-05-01,0.18148820326679024
1993-07-16,1993-06-01,-0.1813236627379899
1993-08-16,1993-07-01,0.3629764065335676
1993-09-16,1993-08-01,0.18034265103695998
1993-10-15,1993-09-01,0.09017132551847999
1993-11-15,1993-10-01,0.7181328545780944
1993-12-15,1993-11-01,0.8912655971479502
1994-01-14,1993-12-01,0.7067137809187254
1994-02-15,1994-01-01,0.4389815627743635
1994-03-15,1994-02-01,0.4363001745200698
1994-04-15,1994-03-01,0.5217391304347777
1994-05-16,1994-04-01,0.2592912705272231
1994-06-15,1994-05-01,0.1725625539257883
1994-07-15,1994-06-01,0.4299226139294927
1994-08-15,1994-07-01,0.2566295979469608
1994-09-16,1994-08-01,0.6796941376380604
1994-10-14,1994-09-01,0.0
1994-11-15,1994-10-01,0.5877413937867363
1994-12-14,1994-11-01,0.5016722408026827
1995-01-17,1994-12-01,0.9143807148794751
1995-02-15,1995-01-01,0.41186161449752884
1995-03-15,1995-02-01,0.49180327868852
1995-04-14,1995-03-01,-0.3270645952575564
1995-05-16,1995-04-01,-0.41118421052631576
1995-06-15,1995-05-01,-0.2475247524752452
1995-07-14,1995-06-01,0.08271298593878769
1995-08-15,1995-07-01,0.16515276630883802
1995-09-15,1995-08-01,1.151315789473689
1995-10-17,1995-09-01,-0.24410089503662438
1995-11-15,1995-10-01,-0.40650406504065045
1995-12-14,1995-11-01,0.24489795918367116
1996-01-24,1995-12-01,0.08149959250203286
1996-02-16,1996-01-01,-0.5709624796084736
1996-03-15,1996-02-01,1.3104013104013175
1996-04-16,1996-03-01,-0.4834810636583355
1996-05-15,1996-04-01,0.8914100486223616
1996-06-14,1996-05-01,0.7234726688102825
1996-07-16,1996-06-01,0.4796163069544433
1996-08-15,1996-07-01,0.158730158730161
1996-09-17,1996-08-01,0.47505938242280965
1996-10-17,1996-09-01,0.23659305993690627
1996-11-15,1996-10-01,-0.47169811320755384
1996-12-16,1996-11-01,0.8668242710795857
1997-01-17,1996-12-01,0.78064012490242
1997-02-14,1997-01-01,0.016146851363976585
1997-03-14,1997-02-01,0.4805852081827055
1997-04-16,1997-03-01,0.8832238090819339
1997-05-15,1997-04-01,-0.04116159706997185
1997-06-17,1997-05-01,0.41259591597131134
1997-07-16,1997-06-01,0.29028183270731245
1997-08-14,1997-07-01,0.16385904777829885
1997-09-16,1997-08-01,0.7348667275595706
1997-10-17,1997-09-01,0.7084903642019027
1997-11-17,1997-10-01,0.48977853492333817
1997-12-15,1997-11-01,0.7565026786208886
1998-01-16,1997-12-01,0.48464126351780157
1998-02-17,1998-01-01,0.022674673171949367
1998-03-17,1998-02-01,0.04373394144338532
1998-04-17,1998-03-01,0.1890907949659477
1998-05-15,1998-04-01,0.0908435923942094
1998-06-16,1998-05-01,0.47599353897295704
1998-07-16,1998-06-01,-0.6176863146785798
1998-08-14,1998-07-01,-0.5880600291677774
1998-09-16,1998-08-01,1.6656035154865763
1998-10-16,1998-09-01,-0.2852138328709124
1998-11-16,1998-10-01,-0.10045320749429137
1998-12-16,1998-11-01,-0.2904799727674921
1999-01-15,1998-12-01,0.2287293067916731
1999-02-17,1999-01-01,-0.022635359449508917
1999-03-16,1999-02-01,0.1548478714082727
1999-04-16,1999-03-01,0.10934318678831295
1999-05-14,1999-04-01,0.5871576165305222
1999-06-16,1999-05-01,0.2069496223356284
1999-07-16,1999-06-01,0.15226153157188219
1999-08-17,1999-07-01,0.7079092087810464
1999-09-16,1999-08-01,0.31582139449567875
1999-10-15,1999-09-01,-0.32402828420011
1999-11-16,1999-10-01,0.6774296131403571
1999-12-15,1999-11-01,0.29900953092879606
2000-01-14,1999-12-01,0.4052170805788664
