release_date,date,value
1990-02-02,1990-01-01,5.3
1990-03-09,1990-02-01,5.3
1990-04-06,1990-03-01,5.2
1990-05-04,1990-04-01,5.4
1990-06-01,1990-05-01,5.3
1990-07-06,1990-06-01,5.2
1990-08-03,1990-07-01,5.5
1990-09-07,1990-08-01,5.6
1990-10-05,1990-09-01,5.7
1990-11-02,1990-10-01,5.7
1990-12-07,1990-11-01,5.9
1991-01-04,1990-12-01,6.1
1991-02-01,1991-01-01,6.2
1991-03-08,1991-02-01,6.5
1991-04-05,1991-03-01,6.8
1991-05-03,1991-04-01,6.6
1991-06-07,1991-05-01,6.9
1991-07-05,1991-06-01,7.0
1991-08-02,1991-07-01,6.8
1991-09-06,1991-08-01,6.8
1991-10-04,1991-09-01,6.7
1991-11-01,1991-10-01,6.8
1991-12-06,1991-11-01,6.8
1992-01-10,1991-12-01,7.1
1992-02-07,1992-01-01,7.1
1992-03-06,1992-02-01,7.3
1992-04-03,1992-03-01,7.3
1992-05-08,1992-04-01,7.2
1992-06-05,1992-05-01,7.5
1992-07-02,1992-06-01,7.8
1992-08-07,1992-07-01,7.7
1992-09-04,1992-08-01,7.6
1992-10-02,1992-09-01,7.5
1992-11-06,1992-10-01,7.4
1992-12-04,1992-11-01,7.2
1993-01-08,1992-12-01,7.3
1993-02-05,1993-01-01,7.1
1993-03-05,1993-02-01,7.0
1993-04-02,1993-03-01,7.0
1993-05-07,1993-04-01,7.0
1993-06-04,1993-05-01,6.9
1993-07-02,1993-06-01,7.0
1993-08-06,1993-07-01,6.8
1993-09-03,1993-08-01,6.7
1993-10-08,1993-09-01,6.7
1993-11-05,1993-10-01,6.8
1993-12-03,1993-11-01,6.4
1994-01-07,1993-12-01,6.4
1994-02-04,1994-01-01,6.7
1994-03-04,1994-02-01,6.5
1994-04-01,1994-03-01,6.5
1994-05-06,1994-04-01,6.4
1994-06-03,1994-05-01,6.0
1994-07-08,1994-06-01,6.0
1994-08-05,1994-07-01,6.1
1994-09-02,1994-08-01,6.1
