date,PAYEMS_realtime_start,PAYEMS_value,UNRATE_realtime_start,UNRATE_value,ICSA_realtime_start,ICSA_value,CPILFESL_realtime_start,CPILFESL_value,PPIFID_realtime_start,PPIFID_value,A191RL1Q225SBEA_realtime_start,A191RL1Q225SBEA_value,RSAFS_realtime_start,RSAFS_value,DGORDER_realtime_start,DGORDER_value,HSN1F_realtime_start,HSN1F_value,UMCSENT_realtime_start,UMCSENT_value,CES0500000003_realtime_start,CES0500000003_value,CPIAUCSL_realtime_start,CPIAUCSL_value,BOPGSTB_realtime_start,BOPGSTB_value,INDPRO_realtime_start,INDPRO_value,JTSJOL_realtime_start,JTSJOL_value
1990-06-01,1990-07-06,110797.0,1990-07-06,5.2,,,,,,,,,,,,,,,,,,,1990-07-18,130.0,,,1990-07-17,109.8,,
1990-07-01,1990-08-03,110706.0,1990-08-03,5.5,,,,,,,,,,,,,,,,,,,1990-08-16,130.5,,,1990-08-15,109.9,,
1990-08-01,1990-09-07,110665.0,1990-09-07,5.6,,,,,,,,,,,,,,,,,,,1990-09-18,131.5,,,1990-09-14,109.8,,
1990-09-01,1990-10-05,110556.0,1990-10-05,5.7,,,,,,,,,,,,,,,,,,,1990-10-18,132.5,,,1990-10-17,110.7,,
1990-10-01,1990-11-02,110493.0,1990-11-02,5.7,,,,,,,,,,,,,,,,,,,1990-11-16,133.3,,,1990-11-13,109.6,,
1990-11-01,1990-12-07,110167.0,1990-12-07,5.9,,,,,,,,,,,,,,,,,,,1990-12-18,133.7,,,1990-12-14,107.5,,
1990-12-01,1991-01-04,110097.0,1991-01-04,6.1,,,,,,,,,,,,,,,,,,,1991-01-16,134.1,,,1991-01-16,107.1,,
1991-01-01,1991-02-01,109785.0,1991-02-01,6.2,,,,,,,,,,,,,,,,,,,1991-02-20,134.8,,,1991-02-15,106.5,,
1991-02-01,1991-03-08,109587.0,1991-03-08,6.5,,,,,,,,,,,,,,,,,,,1991-03-19,135.1,,,1991-03-15,105.7,,
1991-03-01,1991-04-05,109316.0,1991-04-05,6.8,,,,,,,,,,,,,,,,,,,1991-04-12,135.0,,,1991-04-16,105.3,,
1991-04-01,1991-05-03,109162.0,1991-05-03,6.6,,,,,,,,,,,,,,,,,,,1991-05-14,135.3,,,1991-05-13,105.1,,
1991-05-01,1991-06-07,108781.0,1991-06-07,6.9,,,,,,,,,,,,,,,,,,,1991-06-14,135.7,,,1991-06-14,105.8,,
