Method,p,Adj.R2,Cp,BIC,target
AR(1),1,0.001265001282924283,44.98651642272921,-10924.880647779171,ret_CADUSD
Fwd (Cp),10,0.04285057254009916,9.471418565973636,-10843.642848849735,ret_CADUSD
Fwd (CV),0,0.0,47.29069331619007,-10856.44466063774,ret_CADUSD
Bwd (Cp),11,0.045349770087793395,7.711710165910063,-10840.47748326389,ret_CADUSD
Bwd (CV),0,0.0,47.29069331619007,-10856.44466063774,ret_CADUSD
Ridge,29,-0.02785782734562825,105.29069150800683,-10654.130568329578,ret_CADUSD
Lasso,0,0.0,47.29069331619007,-10856.44466063774,ret_CADUSD
PCR,2,-0.0009269803192606396,50.23701399176821,-10843.503370841141,ret_CADUSD
PLS,1,0.03243352542270128,12.076025080501722,-10885.781815599232,ret_CADUSD
AR(1),1,0.020960902798709546,294.4909937030584,-10251.009261910067,ret_EURUSD
Fwd (Cp),8,0.23701709422331318,1.84955836045242,-10407.347506181426,ret_EURUSD
Fwd (CV),0,0.0,323.94823821959017,-10165.394182372762,ret_EURUSD
Bwd (Cp),8,0.23701709422331318,1.84955836045242,-10407.347506181426,ret_EURUSD
Bwd (CV),0,0.0,323.94823821959017,-10165.394182372762,ret_EURUSD
Ridge,29,-0.027857819893852387,381.94822586466057,-9963.080097829148,ret_EURUSD
Lasso,0,0.0,323.94823821959017,-10165.394182372762,ret_EURUSD
PCR,17,0.21698078012761568,38.37628101160885,-10325.91327244062,ret_EURUSD
PLS,3,0.24044209400172756,-7.941577818579162,-10442.017205861703,ret_EURUSD
AR(1),1,0.00016921044548956488,58.9127211684131,-10986.91507547884,ret_GBPUSD
Fwd (Cp),11,0.053482574639878266,3.723152269108141,-10919.413656426485,ret_GBPUSD
Fwd (CV),0,0.0,52.624547950166516,-10926.217742073248,ret_GBPUSD
Bwd (Cp),13,0.05417415884026122,4.9725102594482,-10908.26836045492,ret_GBPUSD
Bwd (CV),0,0.0,52.624547950166516,-10926.217742073248,ret_GBPUSD
Ridge,29,-0.027857827255690193,110.62454603520064,-10723.903649858798,ret_GBPUSD
Lasso,0,0.0,52.624547950166516,-10926.217742073248,ret_GBPUSD
PCR,1,0.00021931241738493146,53.33054441171885,-10920.47770595953,ret_GBPUSD
PLS,1,0.027084390204113906,23.226174927204056,-10949.650242334357,ret_GBPUSD
AR(1),1,0.0005612816472252424,-3.1992656464901756,-9353.59094808118,ret_GC
Fwd (Cp),1,0.0039234608997972265,-8.635906357175827,-9298.310218365352,ret_GC
Fwd (CV),0,0.0,-5.473149742206942,-9300.074872346027,ret_GC
Bwd (Cp),1,0.0039234608997972265,-8.635906357175827,-9298.310218365352,ret_GC
Bwd (CV),0,0.0,-5.473149742206942,-9300.074872346027,ret_GC
Ridge,29,-0.027857827820292558,52.52684902621377,-9097.760779543276,ret_GC
Lasso,0,0.0,-5.473149742206942,-9300.074872346027,ret_GC
PCR,1,-0.00011102709730770322,-4.349130125877309,-9293.981023452492,ret_GC
PLS,1,0.0077610900534662575,-12.713513590681487,-9302.444477775023,ret_GC
AR(1),1,0.0217228514459209,253.4280659307001,-10171.653358606312,ret_JPYUSD
Fwd (Cp),9,0.21495234287533083,2.9284414258888773,-10289.837755784467,ret_JPYUSD
Fwd (CV),0,0.0,284.890361730751,-10084.384753652817,ret_JPYUSD
Bwd (Cp),10,0.21578326535277126,2.820642298743678,-10285.005493765459,ret_JPYUSD
Bwd (CV),0,0.0,284.890361730751,-10084.384753652817,ret_JPYUSD
Ridge,29,-0.02785782082088617,342.8903509433353,-9882.070668143258,ret_JPYUSD
Lasso,1,0.1699476928069702,55.749538236864964,-10277.901293364444,ret_JPYUSD
PCR,17,0.18653356864267445,48.84636648553351,-10204.04795775741,ret_JPYUSD
PLS,4,0.22273957267409417,-12.608525621857552,-10330.360983310147,ret_JPYUSD
AR(1),1,0.001387022794543613,55.860077583002976,-8512.740998035002,ret_XLE
Fwd (Cp),11,0.05827153589232559,2.1130215682046583,-8460.058392061084,ret_XLE
Fwd (CV),0,0.0,56.60081208599718,-8461.429934703736,ret_XLE
Bwd (Cp),11,0.05827153589232559,2.1130215682046583,-8460.058392061084,ret_XLE
Bwd (CV),0,0.0,56.60081208599718,-8461.429934703736,ret_XLE
Ridge,29,-0.027857821016422424,114.60080333165865,-8259.115848990432,ret_XLE
Lasso,0,0.0,56.60081208599718,-8461.429934703736,ret_XLE
PCR,1,-0.0009089622950444465,58.57102121262892,-8454.481932781642,ret_XLE
PLS,1,0.05172194327157742,-0.6150030488915945,-8512.333133456603,ret_XLE
AR(1),1,0.007122983385234427,16.37279020472124,-8393.378039239826,ret_XLF
Fwd (Cp),6,0.04166257955329644,-10.403939407356347,-8340.82489806288,ret_XLF
Fwd (CV),0,0.0,29.2540132749848,-8331.083698208316,ret_XLF
Bwd (Cp),6,0.04166257955329644,-10.403939407356347,-8340.82489806288,ret_XLF
Bwd (CV),0,0.0,29.2540132749848,-8331.083698208316,ret_XLF
Ridge,29,-0.02785782189794217,87.25400567522934,-8128.769611576495,ret_XLF
Lasso,0,0.0,29.2540132749848,-8331.083698208316,ret_XLF
PCR,1,0.0013027666658799175,28.7981761029655,-8326.504925475774,ret_XLF
PLS,1,0.03014865797060773,-2.8523322040000494,-8357.894713320451,ret_XLF
AR(1),1,-0.0007352904377468938,55.88229147449715,-9232.461078366476,ret_XLI
Fwd (Cp),10,0.0587828267610635,1.561362252967001,-9180.624833066644,ret_XLI
Fwd (CV),0,0.0,57.70311236599787,-9175.449247962128,ret_XLI
Bwd (Cp),10,0.0587828267610635,1.561362252967001,-9180.624833066644,ret_XLI
Bwd (CV),0,0.0,57.70311236599787,-9175.449247962128,ret_XLI
Ridge,29,-0.02785782315912,115.70310595183923,-8973.135160016192,ret_XLI
Lasso,0,0.0,57.70311236599787,-9175.449247962128,ret_XLI
PCR,2,0.0025056040700601745,56.779330105900726,-9166.18716370253,ret_XLI
PLS,1,0.04163483708507243,11.783859491881913,-9215.020078489153,ret_XLI
AR(1),1,0.004440599861431527,36.569991884463434,-9313.545787985007,ret_XLK
Fwd (Cp),7,0.051058989884957384,-4.886304426971037,-9264.104420335749,ret_XLK
Fwd (CV),0,0.0,44.90363176785536,-9249.779639769225,ret_XLK
Bwd (Cp),7,0.051058989884957384,-4.886304426971037,-9264.104420335749,ret_XLK
Bwd (CV),1,0.014822531595729993,29.367159281105614,-9259.79845466434,ret_XLK
Ridge,29,-0.02785782450940366,102.90362688988307,-9047.465550416331,ret_XLK
Lasso,0,0.0,44.90363176785536,-9249.779639769225,ret_XLK
PCR,1,-0.0008583209036994166,46.81779356911056,-9242.885826893578,ret_XLK
PLS,1,0.028963605926618063,13.630086529684604,-9275.282809122715,ret_XLK
AR(1),1,0.004288888796670887,15.217517208516938,-9777.073114890496,ret_XLV
Fwd (Cp),6,0.032175983209364434,-5.254079757382442,-9709.142574091216,ret_XLV
Fwd (CV),0,0.0,23.840020437207613,-9709.951088959795,ret_XLV
Bwd (Cp),6,0.032175983209364434,-5.254079757382442,-9709.142574091216,ret_XLV
Bwd (CV),0,0.0,23.840020437207613,-9709.951088959795,ret_XLV
Ridge,29,-0.027857826008405695,81.84001724524705,-9507.636998044982,ret_XLV
Lasso,0,0.0,23.840020437207613,-9709.951088959795,ret_XLV
PCR,13,0.018022866060822484,17.1057140719347,-9651.828956757978,ret_XLV
