Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum3,ret_EURUSD_cum3,ret_GBPUSD_cum3,ret_GC_cum3,ret_JPYUSD_cum3,ret_XLE_cum3,ret_XLF_cum3,ret_XLI_cum3,ret_XLK_cum3,ret_XLV_cum3,ret_ZN_cum3,ret_ZT_cum3,ret_GSPC_cum3,ret_RUT_cum3,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
AR(1),0.011397355435487817,0.04339799465629941,0.09870318984686811,0.05473458069775227,-0.016618834262356413,-0.07203298855933336,0.03836462742939373,-0.059861040163342434,0.026282213350142893,0.04816656403714425,-0.0381563754624486,0.06763048876275238,0.030938457305561478,0.020010708588624717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fwd (Cp),-0.003060084569641733,0.005821910622826054,-0.03126417598844476,-0.030944220131315175,0.033606044538993275,0.007526094206955164,-0.0657752809465124,-0.08091144422790932,-0.026781565640135264,0.029190228376680248,-0.10688045082786027,-0.09619845013263743,-0.04551516048700143,-0.035787821469251205,-0.1062738389711401,-0.007533156944524658,-0.04998244703678218,0.06628910768637164,9.287633387861834e-05,-0.13397976121735736,-0.08961570979110806,-0.05434776948554813,-0.06958219729954729,-0.015628326955386646,-0.13528572044326131,-0.05456700549512365,-0.01693835895778058,-0.09953021554048952,-0.023260308628998354,-0.021913632755523653,0.015184408269996126,0.03957649088084997,-0.050189203310641355,-0.06183288218476418,-0.09316974099304814,0.0285937112428479,-0.06435542246215346,0.02359126771477092,-0.14270361468533913,-0.08994627206297368,-0.026377228777091036,-0.03342759260528494,-0.11619446798059146,0.04967750771717383,-0.02463083961149261,0.11971621605171753,-0.10229455267990196,-0.07288087301915307,-0.09722440655028121,-0.02185246955794156,-0.05859079124108665,-0.05925176856830907,-0.227391744141444,-0.2401350432087882,-0.05202249095857016,-0.08001507314065402,-0.12976165629548847,0.041446445158179426,-0.07658495897893003,0.11341016022703956,-0.07724703682327104,-0.17717549683048903,-0.10317491481258238,-0.0481216366544256,-0.0925892297121909,-0.0730614111910795,-0.2164281194001907,-0.2669648654208077,-0.04954259025692469,-0.10442442393043283
Fwd (CV),-0.11200370242763952,-0.05308130966502478,0.00013599907050514318,-0.02319391741405143,-0.017827681929085522,-0.0809986369765921,0.001243659951376055,-0.0530529494274845,-0.10991787102081994,-0.01924661831985084,-0.07570073854611617,-0.07495120815339179,-0.03505259904581777,-0.05248004029199584,-0.15397399067320203,-0.02455547896636901,-0.04393832309678184,0.11589055586267648,-0.10923265721559226,-0.06916516653282528,-0.07798633390364615,-0.14149086693335278,-0.07535179896529152,-0.0348780104812518,-0.12694050613704802,-0.10620278299572358,-0.08854438323062336,-0.11145078009280242,-0.18840756967419725,-0.04735282353373229,-0.07035929874724971,0.11123297260090508,-0.08697212407369456,-0.08948406819793302,-0.0694517487235467,-0.09900255053017556,-0.05393050821049856,-0.015126921437602085,-0.2053715292045652,-0.08278623089275916,-0.0899616915658214,-0.14751193068764518,-0.2512991982174327,0.01448826905533444,-0.01662701106086712,0.12603744580059786,-0.16972514142047546,-0.11769747615617324,-0.08780043796263298,-0.0666532074929148,-0.08942762758661642,-0.1134917873024568,-0.2622689470225866,-0.20420307573519728,-0.07080184223460761,-0.08519344303569873,-0.1858518201684234,-0.061825574093741745,-0.02734464653345275,0.14168553915548607,-0.17916050151580054,-0.2329619871110698,-0.03685005578369929,-0.06939639064273423,-0.12390752947231315,-0.19416341137936388,-0.2565631440564731,-0.23358992013402996,-0.09330537449824684,-0.1927391297165302
Bwd (Cp),0.023576096196913855,0.005821910622826054,-0.0363319399231728,-0.030944220131315175,0.05590189281966653,0.007526094206955164,-0.0657752809465124,-0.08091144422790932,-0.026781565640135264,0.029190228376680248,-0.10688045082786027,-0.07407776104565542,-0.04551516048700143,-0.021518902104150608,-0.0995911599738037,-0.032912133716484944,-0.027737926794007505,0.06628910768637164,9.287633387861834e-05,-0.13397976121735736,-0.08961570979110806,-0.08668656158797276,-0.09229590530650505,-0.015628326955386646,-0.13288571387521117,-0.05456700549512365,-0.045472166794289615,-0.09953021554048952,-0.023260308628998354,-0.021913632755523653,0.009869418953340163,0.03957649088084997,-0.050189203310641355,-0.06183288218476418,-0.08492663282752508,0.013911425455516492,-0.04151243307455945,0.02359126771477092,-0.14270361468533913,-0.08994627206297368,-0.026377228777091036,-0.03342759260528494,-0.11619446798059146,0.03300250739605316,-0.02463083961149261,0.11971621605171753,-0.10229455267990196,-0.07288087301915307,-0.03661833869641233,-0.02185246955794156,-0.06085942748355712,-0.05925176856830907,-0.22927609446499492,-0.2401350432087882,-0.05202249095857016,-0.067258799295205,-0.12976165629548847,0.041446445158179426,-0.07658495897893003,0.11341016022703956,-0.07724703682327104,-0.17717549683048903,-0.06182381246967041,-0.0481216366544256,-0.04143668541715875,-0.0730614111910795,-0.22927690658349395,-0.2752164162711234,-0.04954259025692469,-0.10442442393043283
Bwd (CV),-0.11200370242763952,-0.05308130966502478,0.00013599907050514318,-0.02319391741405143,-0.017827681929085522,-0.0809986369765921,0.001243659951376055,-0.0530529494274845,-0.11740705844819553,-0.01924661831985084,-0.08292870456577434,-0.07495120815339179,-0.03505259904581777,-0.05248004029199584,-0.15397399067320203,-0.02455547896636901,-0.04393832309678184,0.11589055586267648,-0.10923265721559226,-0.10968530492582047,-0.09204774545009511,-0.14149086693335278,-0.07535179896529152,-0.021477999622251498,-0.129785758141747,-0.10620278299572358,-0.07352381749649052,-0.09833918298853427,-0.18840756967419725,-0.04735282353373229,-0.07035929874724971,0.11123297260090508,-0.08697212407369456,-0.08948406819793302,-0.05460317515014608,-0.09900255053017556,-0.0986054425335538,-0.05039858686819993,-0.2053715292045652,-0.08278623089275916,-0.0899616915658214,-0.1053362677548616,-0.14693514189018048,0.01448826905533444,-0.01662701106086712,0.12603744580059786,-0.16972514142047546,-0.12137720153443814,-0.08780043796263298,-0.0666532074929148,-0.08942762758661642,-0.1134917873024568,-0.2622689470225866,-0.20420307573519728,-0.07080184223460761,-0.12329264463085919,-0.1432967811051799,-0.061825574093741745,-0.04240537111275004,0.14168553915548607,-0.17916050151580054,-0.2329619871110698,-0.03685005578369929,-0.0343885092319407,-0.12390752947231315,-0.19416341137936388,-0.2565631440564731,-0.23358992013402996,-0.0641714230547095,-0.14409637356495134
Ridge,-0.11113510273867169,-0.052439927997750456,-0.0004106057589484553,-0.02169175046234298,-0.016149193258717554,-0.0829899102069249,-0.0010644597869785186,-0.05237286144512692,-0.10848474293953606,-0.01752347740640928,-0.06617424748134333,-0.07158197537452417,-0.034580962208190666,-0.05233702535074241,-0.1557109195885938,-0.0228854470481746,0.015104462784812209,0.11681995537830944,-0.05116859979433794,-0.10470231339040696,-0.0804462497574504,-0.022916132157378696,-0.06382430876403665,0.024318205608704315,-0.09519701071618432,-0.08499288213187027,-0.06576003628847699,-0.07386039198944187,-0.18900939436420253,-0.04698485448690188,0.005079257892435865,0.1106339810388603,-0.17190762858497521,-0.15422777176846805,-0.10306409801172811,-0.023656782435391946,-0.025157171387110617,0.0008486126020356852,-0.09889697808118524,-0.14791783307289497,-0.02302748113224975,-0.14725281040707547,-0.25178596140827264,0.015056620898678328,-0.007197143957840089,0.12602882390025713,-0.0911671481178107,-0.18071643753581795,-0.10961855022738541,0.03372100851651126,-0.08645372687237118,-0.11159879597733753,-0.17172263094660736,-0.21190187955035744,-0.06773645651126829,-0.12093524949641916,-0.1869388994934001,-0.06061713845422741,-0.012447867523047832,0.14218929678772388,-0.06126529841129897,-0.23088528764744073,-0.1278669091798141,-0.06821417855198059,-0.12176633113840235,-0.19169680000127007,-0.15765199716138958,-0.2496255140483167,-0.09088114933027526,-0.19103435173684957
Lasso,-0.11200370242763952,-0.05308130966502478,0.00013599907050514318,-0.025732447822784926,0.030823771045090917,-0.0808770172110426,0.001243659951376055,-0.0516541916608438,-0.1071010219406339,-0.00880220497696498,-0.09687478438792756,-0.08984992216493622,-0.03505259904581777,-0.05248004029199584,-0.16808020823277875,-0.02455547896636901,0.011982791708657719,0.11589055586267648,-0.13355356339788393,-0.09961173886247424,-0.0655321730900586,-0.048248789013534285,-0.10148735796502083,-0.044330902692844315,-0.12396348276922038,-0.11867783141832791,-0.05874857499805374,-0.10235740329601391,-0.18840756967419725,-0.04735282353373229,0.07504418425044111,0.11123297260090508,-0.09304987369767584,-0.09097190475674108,-0.0825136715818453,-0.017830387957486784,-0.08813783105159148,0.0020414484055134843,-0.1799100885203873,-0.10365695234881178,-0.0605301720373693,-0.11137561712824638,-0.2512991982174327,0.01448826905533444,-0.032624030100982936,0.12603744580059786,-0.12384811846774078,-0.09843275795574552,-0.08861181749347508,-0.07922951206695338,-0.0874536223148025,-0.11571035749002394,-0.19109242610506394,-0.23441295897650127,-0.06989718972554924,-0.10066394635591502,-0.1858518201684234,-0.061825574093741745,-0.041675236343824223,0.14168553915548607,-0.13135876676871888,-0.22000055827439705,-0.10544516809135202,-0.09383589810858324,-0.12540419041510178,-0.1893022627638275,-0.21323225960311326,-0.2406077648005058,-0.09556522892340291,-0.18586376563427834
PCR,-0.09134710708179483,-0.039973050469307714,-0.013983481353921436,-0.019317138368055216,0.10807911216382363,-0.0763327404917251,-0.006397023522131271,-0.037523987386631534,-0.08366935568246382,0.03211171461137714,-0.07121994750203596,-0.0690997074216667,-0.03403275372772423,-0.0643340768059677,-0.17475405731034246,-0.016797685583335217,0.07337897444002243,0.13240860660868997,-0.10619705792404462,-0.07281453263192034,-0.07181152138135131,0.01183973136674966,-0.02921868938664675,0.029183899246111002,-0.10577393181953464,-0.10324590488467467,-0.0826155001878052,-0.022736434410835647,-0.13488619826890832,-0.04516365733661463,0.02537853520166993,0.1003927488726558,-0.08615413982147221,-0.16520072576953948,-0.08222870361058032,-0.015122422296888182,-0.03982290894835255,-0.03486587836381661,-0.15932406554093026,-0.1832635401001805,-0.06668448934436494,-0.05709523877941,-0.2340867617766441,0.019811184710591134,-0.03067677028359696,-0.014442599262675338,-0.10176956671890526,0.016576610160052897,-0.08457374015435529,-0.08031028975587498,0.03696015446332431,-0.10340862007416467,-0.19506241410450298,-0.23210900951556918,-0.06975275395456947,0.028814965255310403,-0.17993699385655704,-0.05299236845628598,-0.04430560678472335,0.12087452908120362,-0.1033478562511609,-0.22397493301694432,-0.09389270116216858,-0.09358365036617755,-0.12248709686466906,-0.1810516935083986,-0.18869720801182435,-0.27998784964678775,-0.09480016743779426,-0.1886346569774303
PLS,-0.03604402235600064,-0.051635444482530025,-0.07583645144671569,-0.005606075788450796,0.17481091199428583,-0.09689603797318364,-0.04211072717928789,-0.05435082265917064,-0.08865236640849866,0.03235825959734988,-0.07308941338638356,-0.08251925197540966,-0.02111593140684463,-0.07048466597934162,-0.17927205479395825,-0.0016957884431052922,-0.07751992479582602,0.13717064820497246,-0.11499978448585511,-0.10079370780797486,-0.10062032412866413,-0.09153398863316826,-0.07770229081273464,0.026588903689807417,-0.11919050834655498,-0.09451829994839477,-0.06607160816654935,-0.07951815142229075,-0.07137941367837491,-0.06198853875252205,0.061189802281165925,0.06933572382991215,-0.09774161701289188,-0.12937129392640093,-0.11384072888936328,-0.07161955801127654,-0.028608373853413447,-0.02619133140533696,-0.17930007163279676,-0.17169309819507433,-0.06646538329703802,-0.09396180678849034,-0.2277977672469431,0.018863555041896848,-0.012142563564226248,-0.019063034152070404,-0.18031301181456588,-0.17282132448311016,-0.09289212294396258,0.0071477936571461105,-0.07917897307322921,-0.07188489473528915,-0.21753373586555444,-0.23251233134145133,-0.06818871305636491,-0.11681870715095206,-0.18563644089906262,-0.056629007274865216,-0.04388732981699853,0.11503061137550356,-0.17755772608468093,-0.2122502655243782,-0.1096876311415246,-0.04152997078305745,-0.1226528412299163,-0.16401865523743195,-0.2116915397873794,-0.25778900615296846,0.0006459373314839677,-0.18624163009477376
RF,0.03453188363806052,0.061061728436872326,0.10459963897787902,-0.08217789846767294,-0.02740847741439668,-0.006179315607938056,0.06436594822554642,0.048720212452689905,0.0104028709488808,0.04367392965230691,-0.06052140472162274,-0.07969812659815319,0.09104808263285981,0.09187187898399055,0.003119002805788916,0.06510083293155469,-0.06759200914600982,-0.0593389462795075,-0.04810491228574303,0.008714109868657742,0.001218065640642988,-0.05095801299442572,-0.04522620891187446,0.04277355635148703,-0.020255353473985396,-0.07808339766901425,-0.03143232914512363,-0.026138378513012404,-0.016151092250088064,-0.01849999503547708,-0.06310650891369506,-0.0322924342220042,-0.12016052725022427,-0.1004289734176377,-0.0015981929633541634,-0.045314623351672786,-0.14820623815586337,0.02953780577546129,-0.0057002484083572705,-0.07512233571579965,-0.11649656310003693,-0.0439444196104265,-0.062030628303889106,0.0399690183990918,0.020695855935340617,0.004738460152657109,-0.06638587037478257,-0.04996734048708466,-0.0247141143202983,0.06168881252809885,-0.08837371560319669,0.03630189037194801,-0.03344817927520097,-0.139479174055684,-0.03799854759426332,0.01397917469150218,-0.06557899479000667,-0.04447612333373264,-0.03191748724331919,-0.04689835245232335,-0.09393556608421527,-0.10438863819080856,-0.08528777133369292,-0.04611630942411595,-0.10568018987997252,-0.013790016589784123,-0.10854806212312773,-0.21368863310583025,-0.0773702317404693,-0.07306120156154298
