Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum3,ret_EURUSD_cum3,ret_GBPUSD_cum3,ret_GC_cum3,ret_JPYUSD_cum3,ret_XLE_cum3,ret_XLF_cum3,ret_XLI_cum3,ret_XLK_cum3,ret_XLV_cum3,ret_ZN_cum3,ret_ZT_cum3,ret_GSPC_cum3,ret_RUT_cum3,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
AR(1),0.002204370619169227,-0.0004649392084232762,0.00478566293920224,0.0011507647765341966,-0.013973804889400032,0.00021455134218473226,-0.006690302606176202,-0.0013491981164082123,-0.008336297257174774,0.0008971639400962017,-0.0007992577523165956,-0.005282842670133903,-0.005293981389274061,-0.0038940191113872036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fwd (Cp),-0.08149066838966279,-0.02176290176134188,-0.03852859413918863,-0.00013414891361485104,0.01108244613450926,-0.04696839535953412,-0.07565193682139193,-0.05393882880982481,-0.033319789970588376,-0.008136576437303589,-0.020607373459950118,-0.01131946440235665,-0.05609754632407937,-0.033339533847939196,-0.03595380161110784,-0.000762872335511755,-0.018137120941990936,-0.008057012058815927,-0.019053697752900778,-0.022755485439670542,-0.052506599407240895,-0.0023792851153916494,-0.007420643199476329,-0.0032512896435914485,-0.024091272601918456,-0.009690638358444525,-0.012393715760256496,-0.009419887694323226,-0.07571630925567074,-0.020292022207476723,-0.021546955933041456,-0.0049673665540643785,-0.004215873141869997,0.0004936348131924229,-0.06947612867555386,0.006382942997901875,-0.01918242208619958,0.00011424190587649985,-0.02612599170440033,-0.016090774707949285,-0.019503988223363633,0.0014266286734506695,-0.05967047435238926,-0.006076479938299073,-0.025603727169600132,7.058266279491576e-05,-0.021860160330797518,-0.013824565950148804,-0.03025769910544307,-0.02172991937247959,-0.0034228199393515624,-0.004945944418678794,-0.031368810349461373,-0.027696053534312703,-0.021399923397024345,0.0005260249108762771,-0.05618090280824717,-0.003657966544474034,-0.032235950623391574,-0.005066110834394344,-0.014719834507998852,-0.020363740778950312,-0.06326685293618661,-0.015348333845824014,-0.005364589307637502,0.0002172710780228293,-0.03540460808130863,-0.03181532278969046,-0.010410949348404586,-0.005093196215380402
Fwd (CV),-0.00011342749634946081,-1.0307098745165888e-05,3.232457679236411e-05,-6.672469989266183e-05,-0.00013664750936137615,-5.7230410588360314e-06,7.755477844617609e-05,0.00015561399026131628,9.225971819626366e-06,4.294759736955811e-05,-0.00013537450091116732,-7.577104157818759e-05,0.00010146427560742133,0.00010175480093777001,-0.00026236121607037255,-0.00022651318076660765,-8.105040383643569e-05,-0.00036514223097294796,-0.0007994450686426013,-0.0031783144614574432,-0.00016101350979713658,-0.00012395233087780788,-0.00022943959358223687,0.0015836307848352549,-0.02477383094288821,-0.00040198214760645,-0.0030386231620120885,-0.0029574551378457326,-0.0006282131314874206,-0.0005880784443414999,-0.0004107969385984678,-0.0005235488578523295,-0.0009406363801056639,0.0034919803086685963,-0.0002510011122658362,-0.000358898536928276,-0.0013589386294534656,0.007603456875103332,-0.0007444147718091987,-0.0006658892224769009,-0.00047188123323671505,-0.00044618869154899876,-0.0013434274015742265,-0.0014118883340454857,-0.0012931706929761866,-0.0011886017241127256,-0.001654850801525054,-0.005330332930169712,-0.0009985537091612429,-0.00134518224817759,-0.0014623079460955868,-0.0012192156791475117,-0.0013204434598157455,-0.0014382236489689504,-0.001313644351823795,0.0038677689161001894,-0.0018121147359659862,-0.0018381648713627907,-0.020271460718838785,-0.0017754934394775823,-0.0022048521068989135,-0.00166172383028651,-0.006240861763360472,-0.001957722678251672,-0.0020659065017702982,-0.0019354354191996048,-0.0019777847453628095,-0.00199535278741636,-0.002011322317039488,-0.0015770592669319683
Bwd (Cp),-0.09081307782751469,-0.02176290176134188,-0.039018804017148634,-0.00013414891361485104,0.012516245673289461,-0.04696839535953412,-0.07565193682139193,-0.05393882880982481,-0.033319789970588376,-0.008136576437303589,-0.020607373459950118,-0.010144373086169223,-0.05609754632407937,-0.03342663984659944,-0.03353988682565601,-0.0008849208214434245,-0.01652072481628797,-0.008057012058815927,-0.019053697752900778,-0.022755485439670542,-0.052506599407240895,-0.02795894218383954,-0.026001424722463806,-0.0032512896435914485,-0.02494620501116951,-0.009690638358444525,-0.032981383484273596,-0.009419887694323226,-0.07571630925567074,-0.020292022207476723,-0.019870254104005003,-0.0049673665540643785,-0.004215873141869997,0.0004936348131924229,-0.072325879147916,-0.0005730499619773788,-0.01585153598180189,0.00011424190587649985,-0.02612599170440033,-0.016090774707949285,-0.019503988223363633,0.0014266286734506695,-0.05967047435238926,-0.007024778992489988,-0.025603727169600132,7.058266279491576e-05,-0.021860160330797518,-0.013824565950148804,-0.03658268290834199,-0.02172991937247959,-0.011088440961585677,-0.004945944418678794,-0.032112049244563234,-0.027696053534312703,-0.021399923397024345,-0.009262091073561018,-0.05618090280824717,-0.003657966544474034,-0.032235950623391574,-0.005066110834394344,-0.014719834507998852,-0.020363740778950312,-0.06378075293355678,-0.015348333845824014,-0.004024108495230605,0.0002172710780228293,-0.03676177016299298,-0.03237490104408769,-0.010410949348404586,-0.005093196215380402
Bwd (CV),-0.00011342749634946081,-1.0307098745165888e-05,3.232457679236411e-05,-6.672469989266183e-05,-0.00013664750936137615,-5.7230410588360314e-06,7.755477844617609e-05,0.00015561399026131628,-0.006281208640657621,4.294759736955811e-05,-0.014466284218364489,-7.577104157818759e-05,0.00010146427560742133,0.00010175480093777001,-0.00026236121607037255,-0.00022651318076660765,-8.105040383643569e-05,-0.00036514223097294796,-0.0007994450686426013,-0.0015599297739425921,-0.008644048878395427,-0.00012395233087780788,-0.00022943959358223687,-0.00016870288630932428,-0.021453523452111822,-0.00040198214760645,-0.00016688210416671012,-0.00013761785218502354,-0.0006282131314874206,-0.0005880784443414999,-0.0004107969385984678,-0.0005235488578523295,-0.0009406363801056639,0.0034919803086685963,-0.00371592068000548,-0.000358898536928276,-0.001861338907544141,-0.0004546996879724041,-0.0007444147718091987,-0.0006658892224769009,-0.00047188123323671505,0.005576753632863252,0.00028830114535771667,-0.0014118883340454857,-0.0012931706929761866,-0.0011886017241127256,-0.001654850801525054,-0.0031707437984598297,-0.0009985537091612429,-0.00134518224817759,-0.0014623079460955868,-0.0012192156791475117,-0.0013204434598157455,-0.0014382236489689504,-0.001313644351823795,-0.0010243330494927871,-0.005605379812935629,-0.0018381648713627907,-0.01840010703865147,-0.0017754934394775823,-0.0022048521068989135,-0.00166172383028651,-0.006240861763360472,-0.002117855327925078,-0.0020659065017702982,-0.0019354354191996048,-0.0019777847453628095,-0.00199535278741636,-0.0009430551802307452,0.0032144649260645863
Ridge,-0.00011342873001174425,-1.0302092753100567e-05,3.232295266353269e-05,-6.672305959787295e-05,-0.00013664329856832858,-5.725761027308707e-06,7.754396165671196e-05,0.00015561002633857068,9.228004709926907e-06,4.295225468220476e-05,-0.021569762520978975,-0.008411242952482523,0.0001014637543593766,0.00010175416563229511,-0.0002623685737370707,-0.00022651184477751052,-0.030235629263536623,-0.000365138734963244,-0.0029854529109887284,-0.019506553966284645,-0.00016101075724517244,-0.010814238716965185,-0.001936594437933481,0.003293249584138902,-0.027151009783241475,-0.012109034339464975,-0.00192707916701651,-0.005607580198011997,-0.0006282144506053466,-0.0005880787836824997,-0.03484627519881123,-0.0005235574797679554,-0.0030266658075350783,-0.0005237418267232119,-0.026248488604727838,-0.006554415006200243,-0.0015742533492448807,0.0018018453265965517,-0.01680056943719843,-0.012400214586424374,-0.0004988158177914315,-0.0004461921156200255,-0.0013434302804944398,-0.0014118897518347051,-0.031113358401862357,-0.0011886052143690318,-0.01660820460003376,-0.0011202924341173759,-0.010739985176733358,-0.013851938361557625,-0.001462307537829055,-0.0012192107577755351,-0.02418444974672429,-0.02382942893696871,-0.0013136472320403048,-0.0010243395436138059,-0.0018121185563151343,-0.00183816405244408,-0.023667787355938108,-0.0017754968724401632,-0.012790473872327013,-0.0016617313513491716,-0.01737456495024814,-0.001957763012606639,-0.0020659073716833287,-0.0019354281012518015,-0.029405646309092814,-0.0274353505713556,-0.002011332616035366,-0.0015770628875377835
Lasso,-0.00011342749634946081,-1.0307098745165888e-05,3.232457679236411e-05,-6.804754554656789e-05,0.005061105706552826,-2.744583878055984e-05,7.755477844617609e-05,0.00014606450595522347,5.697930891179759e-05,0.00021875287844230762,-0.010650754093724846,-0.0010673943518542117,0.00010146427560742133,0.00010175480093777001,-0.0007146155934341092,-0.00022651318076660765,-0.017006327303314084,-0.00036514223097294796,-0.0023399675121131835,-0.006228928826389701,-0.001964397522656869,0.001727743355218414,-0.0016241606412457088,-7.881490672412284e-05,-0.02238664312655514,-0.0034157830137733214,0.0004579214863136283,-0.0010809923793826393,-0.0006282131314874206,-0.0005880784443414999,0.0043334047251138985,-0.0005235488578523295,-0.0010839936099307224,0.0012091651636735312,-0.0008814036100452949,0.004268204750337623,-0.0007821271794248297,0.005504510388822381,-0.010707897823333257,-0.0014442304736017597,0.0017442816765340652,0.002143544814631193,-0.0013434274015742265,-0.0014118883340454857,-0.013717661032330408,-0.0011886017241127256,-0.008161293444449713,-0.0055004209442335306,-0.0010157353072959285,-0.0016773626076715953,-0.001457381273108238,-0.0011941479621304651,-0.010736778016323667,-0.0041894182572979055,-0.0013083000393436794,0.0017129723378087602,-0.0018121147359659862,-0.0018381648713627907,-0.018087644020255977,-0.0017754934394775823,-0.007440798065791121,-0.001950012589747363,-0.042051758767797764,-0.002662716803890852,-0.002098134473851765,-0.0019523975752038236,-0.0113637051765072,-0.0024241009530365787,-0.0021380352187743146,-0.0015816936715242758
PCR,-0.0005557341386273063,-0.059366679537680156,-0.00010098325876950476,-8.89722366625989e-06,0.012231048545314649,-9.941101090427118e-05,-0.0004560415347114599,-1.0880982751704238e-05,0.00017742611811533138,-0.017454205018454294,-0.00015551037331729134,-0.005480883834247274,0.00010401478204813408,-1.8788282116766197e-05,-0.0009542031410900709,-0.00014341609154100432,-0.009392597267081193,-0.00029017699191613566,-0.004173031798333948,-0.022061788113346248,0.0001983512181938929,-0.0004843658301723064,0.001161801337942081,0.0001925793241774887,-0.022341865463191946,-0.011194385872615342,-0.008159930339704635,-0.00557083191012131,-0.0006939843267825818,-0.0005860567749604861,-0.01757574628192815,-0.0018067563647097273,-0.0010275387360076937,-0.007655636303766089,-0.03100882152553841,-0.003729082259465777,5.185592007295181e-05,-0.0011177890974345406,-0.016625856038457787,-0.014440763409525825,-0.0015032335610023484,-0.006704288807682479,-0.0013054507035459295,-0.0014727275979600218,-0.025164805387615896,-0.015091700320349455,-0.012123200510038679,-0.00273045942721839,-0.0011420302735354326,-0.0017992973248188715,0.00175509167078014,-0.0010989972641501922,-0.025044573793060465,-0.026588874046014066,-0.0014483639104811985,0.0012975306035469814,-0.0018328377062064583,-0.0017391336364533938,-0.02102677783691398,-0.002612703058588073,-0.011350640406805557,-0.0018191823302562415,-0.0020359463658639054,-0.00284697016030111,-0.0021749663216314996,-0.0017897961933568407,-0.03000009799565362,-0.029948450954577766,-0.0023488157006816834,-0.0017021678732989098
PLS,-0.00257532819830697,-0.009900797099445136,-0.0017510204866879597,8.786377734359974e-05,0.00861670045648033,-0.0002239618971695556,-0.0007578159729291212,-0.00031523388367471483,0.0003258709830916695,-0.0035511010255446784,-0.00030173026800617286,-0.00018264581247917633,-0.009475768626293846,-0.00010564476371355269,-0.0010886985866578325,0.00012317888236945684,-0.0008407503056246934,0.0003864056973337249,-0.0011199436860362955,-0.0006704093783438392,-6.459746137643663e-05,0.00048274366548617387,9.971900807548284e-05,0.0011356712107141176,-0.0014355108843095987,-0.001148989962622915,0.00018878811717060184,6.6399716063259e-05,-0.002332013513334452,-0.0011939338231685692,-0.0028641016481338877,-0.0014437260512489836,-0.0011798779416911653,-0.004042462098662769,-0.009679496892804673,-0.0022799812029474786,-0.0007608106470098353,-1.7268861634445187e-05,-0.002345416462280925,-0.008710474647692479,-0.0006928526713581018,-0.0035174914696320947,-0.0016888542381530147,-0.001506799622320365,-0.010401487077083438,-0.010786990771408433,-0.002185661750188972,-0.0009025867467649107,-0.0020654687433168117,-0.002979656281867804,-0.0014370572604187615,-0.0008757162355199632,-0.0040478053735715225,-0.012761433714911119,-0.0014646624849954382,-0.0012370092900200191,-0.002048348160428315,-0.0017992751587048161,-0.018496182284295948,-0.0021651447053510076,-0.002797161899638745,-0.0018661687114973624,-0.002794746304016771,-0.010402771338998917,-0.0021046510134090646,-0.0016878262462320937,-0.007819006652770799,-0.014178423848214106,-0.002592344445640604,-0.001681207875524393
RF,0.0002863439460921713,0.005307747914075289,0.005607191296646219,-0.010483592163974986,-0.0009028280954910262,-0.0005035682596745694,0.004068329063939835,0.002374905714043085,0.001842324347825608,0.004695592644559654,-0.007358634686299714,-0.006763196142857142,0.006492327871378434,0.005076201766875954,-0.0007379708395389706,0.002000815413620516,-0.004870885503503342,-0.009481799442981886,-0.005071733292383529,-0.0019806416741521282,-0.004204106980518096,-0.003428155827736923,-0.00032795295850474027,0.003304648391144749,-0.009976990029362698,-0.007072506289107716,-0.002864048059092239,-0.0019128830852837009,-0.002850942207504037,-0.0025494059918824696,-0.0021814296623987595,-0.008857835405779113,-0.009084310650563365,-0.0026807723631963043,-0.004433707942734788,-0.004311988631189534,-0.003666266218966596,0.002284324139875671,0.0056759887159142375,-0.004209935010447197,-0.004271090096788388,-0.002975152433253303,-0.007301765571082086,-0.0020318220829578237,-0.001557986271485401,-0.009151762668743624,-0.017586230987243434,-0.0006015989959349266,-0.003021742009675199,0.0037102272734297337,-0.004927768526086673,0.001979971701376204,0.0017346385264096487,-0.0029971870416205526,-0.0014755797432701723,-0.0020506023986883726,-0.005801379993622069,-0.0049003711460882116,-0.00541746470251514,-0.01992034118840702,-0.018162864923031874,-0.0043196956484867766,-0.007959814021365474,-0.0027232712816636084,-0.0015905627152512647,-0.0019423761351833324,0.00441491810456851,-0.00357672287576416,-0.005474702324554714,-0.004172538247952051
