Asset,Horizon,Model,Feature,Rank,MaxRank
CADUSD,spot,Fwd (Cp),surp_nfp,11,14
CADUSD,spot,Fwd (Cp),surp_unemp,0,14
CADUSD,spot,Fwd (Cp),surp_corecpi,13,14
CADUSD,spot,Fwd (Cp),surp_gdp,14,14
CADUSD,spot,Fwd (Cp),surp_retsales,0,14
CADUSD,spot,Fwd (Cp),surp_ism_pmi,0,14
CADUSD,spot,Fwd (Cp),surp_dgorders,10,14
CADUSD,spot,Fwd (Cp),surp_newhomesales,0,14
CADUSD,spot,Fwd (Cp),surp_consconfid,8,14
CADUSD,spot,Fwd (Cp),surp_avghourlyearnings,12,14
CADUSD,spot,Fwd (Cp),surp_cpi,7,14
CADUSD,spot,Fwd (Cp),surp_tradebal,9,14
CADUSD,spot,Fwd (Cp),surp_indprod,0,14
CADUSD,spot,Fwd (Cp),surp_fedratedec,0,14
CADUSD,spot,Fwd (CV),surp_nfp,0,14
CADUSD,spot,Fwd (CV),surp_unemp,0,14
CADUSD,spot,Fwd (CV),surp_corecpi,0,14
CADUSD,spot,Fwd (CV),surp_gdp,0,14
CADUSD,spot,Fwd (CV),surp_retsales,0,14
CADUSD,spot,Fwd (CV),surp_ism_pmi,0,14
CADUSD,spot,Fwd (CV),surp_dgorders,0,14
CADUSD,spot,Fwd (CV),surp_newhomesales,0,14
CADUSD,spot,Fwd (CV),surp_consconfid,0,14
CADUSD,spot,Fwd (CV),surp_avghourlyearnings,0,14
CADUSD,spot,Fwd (CV),surp_cpi,0,14
CADUSD,spot,Fwd (CV),surp_tradebal,0,14
CADUSD,spot,Fwd (CV),surp_indprod,0,14
CADUSD,spot,Fwd (CV),surp_fedratedec,0,14
CADUSD,spot,Bwd (Cp),surp_nfp,10,14
CADUSD,spot,Bwd (Cp),surp_unemp,0,14
CADUSD,spot,Bwd (Cp),surp_corecpi,12,14
CADUSD,spot,Bwd (Cp),surp_gdp,13,14
CADUSD,spot,Bwd (Cp),surp_retsales,0,14
CADUSD,spot,Bwd (Cp),surp_ism_pmi,0,14
CADUSD,spot,Bwd (Cp),surp_dgorders,0,14
CADUSD,spot,Bwd (Cp),surp_newhomesales,14,14
CADUSD,spot,Bwd (Cp),surp_consconfid,8,14
CADUSD,spot,Bwd (Cp),surp_avghourlyearnings,11,14
CADUSD,spot,Bwd (Cp),surp_cpi,7,14
CADUSD,spot,Bwd (Cp),surp_tradebal,9,14
CADUSD,spot,Bwd (Cp),surp_indprod,0,14
CADUSD,spot,Bwd (Cp),surp_fedratedec,0,14
CADUSD,spot,Bwd (CV),surp_nfp,0,14
CADUSD,spot,Bwd (CV),surp_unemp,0,14
CADUSD,spot,Bwd (CV),surp_corecpi,0,14
CADUSD,spot,Bwd (CV),surp_gdp,0,14
CADUSD,spot,Bwd (CV),surp_retsales,0,14
CADUSD,spot,Bwd (CV),surp_ism_pmi,0,14
CADUSD,spot,Bwd (CV),surp_dgorders,0,14
CADUSD,spot,Bwd (CV),surp_newhomesales,0,14
CADUSD,spot,Bwd (CV),surp_consconfid,0,14
CADUSD,spot,Bwd (CV),surp_avghourlyearnings,0,14
CADUSD,spot,Bwd (CV),surp_cpi,0,14
CADUSD,spot,Bwd (CV),surp_tradebal,0,14
CADUSD,spot,Bwd (CV),surp_indprod,0,14
CADUSD,spot,Bwd (CV),surp_fedratedec,0,14
CADUSD,spot,Lasso,surp_nfp,0,14
CADUSD,spot,Lasso,surp_unemp,0,14
CADUSD,spot,Lasso,surp_corecpi,0,14
CADUSD,spot,Lasso,surp_gdp,0,14
CADUSD,spot,Lasso,surp_retsales,0,14
CADUSD,spot,Lasso,surp_ism_pmi,0,14
CADUSD,spot,Lasso,surp_dgorders,0,14
CADUSD,spot,Lasso,surp_newhomesales,0,14
CADUSD,spot,Lasso,surp_consconfid,0,14
CADUSD,spot,Lasso,surp_avghourlyearnings,0,14
CADUSD,spot,Lasso,surp_cpi,0,14
CADUSD,spot,Lasso,surp_tradebal,0,14
CADUSD,spot,Lasso,surp_indprod,0,14
CADUSD,spot,Lasso,surp_fedratedec,0,14
CADUSD,spot,Ridge,surp_nfp,0,14
CADUSD,spot,Ridge,surp_unemp,0,14
CADUSD,spot,Ridge,surp_corecpi,0,14
CADUSD,spot,Ridge,surp_gdp,0,14
CADUSD,spot,Ridge,surp_retsales,0,14
CADUSD,spot,Ridge,surp_ism_pmi,0,14
CADUSD,spot,Ridge,surp_dgorders,0,14
CADUSD,spot,Ridge,surp_newhomesales,0,14
CADUSD,spot,Ridge,surp_consconfid,0,14
CADUSD,spot,Ridge,surp_avghourlyearnings,0,14
CADUSD,spot,Ridge,surp_cpi,0,14
CADUSD,spot,Ridge,surp_tradebal,0,14
CADUSD,spot,Ridge,surp_indprod,0,14
CADUSD,spot,Ridge,surp_fedratedec,0,14
CADUSD,spot,LGB,surp_nfp,14,14
CADUSD,spot,LGB,surp_unemp,13,14
CADUSD,spot,LGB,surp_corecpi,12,14
CADUSD,spot,LGB,surp_gdp,11,14
CADUSD,spot,LGB,surp_retsales,10,14
CADUSD,spot,LGB,surp_ism_pmi,9,14
CADUSD,spot,LGB,surp_dgorders,8,14
CADUSD,spot,LGB,surp_newhomesales,7,14
CADUSD,spot,LGB,surp_consconfid,6,14
CADUSD,spot,LGB,surp_avghourlyearnings,5,14
CADUSD,spot,LGB,surp_cpi,4,14
CADUSD,spot,LGB,surp_tradebal,3,14
CADUSD,spot,LGB,surp_indprod,2,14
CADUSD,spot,LGB,surp_fedratedec,1,14
CADUSD,spot,RF,surp_nfp,12,14
CADUSD,spot,RF,surp_unemp,3,14
CADUSD,spot,RF,surp_corecpi,13,14
CADUSD,spot,RF,surp_gdp,2,14
CADUSD,spot,RF,surp_retsales,5,14
CADUSD,spot,RF,surp_ism_pmi,11,14
CADUSD,spot,RF,surp_dgorders,14,14
CADUSD,spot,RF,surp_newhomesales,8,14
CADUSD,spot,RF,surp_consconfid,9,14
CADUSD,spot,RF,surp_avghourlyearnings,7,14
CADUSD,spot,RF,surp_cpi,6,14
CADUSD,spot,RF,surp_tradebal,10,14
CADUSD,spot,RF,surp_indprod,4,14
CADUSD,spot,RF,surp_fedratedec,1,14
GBPUSD,spot,Fwd (Cp),surp_nfp,7,14
GBPUSD,spot,Fwd (Cp),surp_unemp,11,14
GBPUSD,spot,Fwd (Cp),surp_corecpi,12,14
GBPUSD,spot,Fwd (Cp),surp_gdp,14,14
GBPUSD,spot,Fwd (Cp),surp_retsales,8,14
GBPUSD,spot,Fwd (Cp),surp_ism_pmi,0,14
GBPUSD,spot,Fwd (Cp),surp_dgorders,10,14
GBPUSD,spot,Fwd (Cp),surp_newhomesales,0,14
GBPUSD,spot,Fwd (Cp),surp_consconfid,9,14
GBPUSD,spot,Fwd (Cp),surp_avghourlyearnings,13,14
GBPUSD,spot,Fwd (Cp),surp_cpi,0,14
GBPUSD,spot,Fwd (Cp),surp_tradebal,0,14
GBPUSD,spot,Fwd (Cp),surp_indprod,0,14
GBPUSD,spot,Fwd (Cp),surp_fedratedec,0,14
GBPUSD,spot,Fwd (CV),surp_nfp,0,14
GBPUSD,spot,Fwd (CV),surp_unemp,0,14
GBPUSD,spot,Fwd (CV),surp_corecpi,0,14
GBPUSD,spot,Fwd (CV),surp_gdp,0,14
GBPUSD,spot,Fwd (CV),surp_retsales,0,14
GBPUSD,spot,Fwd (CV),surp_ism_pmi,0,14
GBPUSD,spot,Fwd (CV),surp_dgorders,0,14
GBPUSD,spot,Fwd (CV),surp_newhomesales,0,14
