model,target,val_r2
LGB,ret_EURUSD_cum15,0.068030825
Bwd (CV),ret_XLE_cum5,0.040546778
Fwd (CV),ret_XLE_cum5,0.040546778
Bwd (CV),ret_XLK_cum5,0.039672996
Fwd (CV),ret_XLK_cum5,0.037658136
PLS,ret_ZT_cum3,0.032956997
Fwd (CV),ret_GSPC_cum3,0.031547161
Fwd (CV),ret_XLV_cum5,0.030265604
Bwd (CV),ret_RUT_cum5,0.025839805
Fwd (CV),ret_XLV_cum3,0.025137834
PLS,ret_ZT_cum5,0.020009351
Bwd (CV),ret_XLF_cum3,0.0182393
Fwd (Cp),ret_ZT_cum10,0.017917166
Bwd (Cp),ret_ZT_cum10,0.017917166
RF,ret_EURUSD_cum15,0.016490665
Bwd (Cp),ret_ZT_cum15,0.016433425
Lasso,ret_ZT_cum3,0.015375375
RF,ret_ZT_cum3,0.014413264
LGB,ret_ZT_cum3,0.014241815
Fwd (Cp),ret_ZT_cum15,0.013993586
Bwd (CV),ret_GSPC_cum15,0.013642701
PLS,ret_ZT_cum15,0.011296089
PLS,ret_ZT_cum10,0.00996043
RF,ret_ZT_cum5,0.009254685
Bwd (CV),ret_RUT_cum15,0.008645093
Bwd (CV),ret_XLE_cum10,0.007815957
RF,ret_ZT_cum10,0.007131843
Lasso,ret_ZN_cum5,0.006482381
Fwd (CV),ret_XLE_cum10,0.006155146
Lasso,ret_ZT,0.005745314
Ridge,ret_XLF_cum15,0.005705184
Lasso,ret_ZT_cum15,0.005030407
PCR,ret_XLF,0.005016484
Lasso,ret_ZT_cum5,0.004689072
Bwd (CV),ret_ZN,0.00415012
Fwd (CV),ret_XLE_cum3,0.003564674
LGB,ret_GBPUSD_cum15,0.002532658
RF,ret_XLV,0.002511094
RF,ret_ZT_cum15,0.002390403
PLS,ret_ZT,0.002068531
PCR,ret_GC,0.001677338
PCR,ret_CADUSD,0.001667547
PCR,ret_CADUSD_cum3,0.001106134
RF,ret_GC,0.000796201
RF,ret_CADUSD_cum10,0.00061793
RF,ret_CADUSD_cum15,0.000578662
