model,target,horizon,substrategy,cum_return,ann_return,ann_excess_ret,ann_vol,sharpe,max_drawdown,oos_r2,hit_rate,n_trades
PCR,ret_CADUSD,1,full,-0.0237,-0.0046,-0.0176,0.0418,-0.4221,-0.1007,-0.000556,0.5092,489
PCR,ret_CADUSD,1,long,-0.0013,-0.0003,-0.0133,0.0089,-1.4886,-0.014,-0.000556,0.5,14
PCR,ret_CADUSD,1,short,-0.0224,-0.0044,-0.0174,0.0408,-0.4258,-0.1067,-0.000556,0.5095,475
RF,ret_CADUSD_cum10,10,full,0.0143,0.0028,-0.0103,0.0485,-0.2117,-0.0689,-0.007302,0.5133,487
RF,ret_CADUSD_cum10,10,long,-0.0957,-0.0193,-0.0323,0.0459,-0.7045,-0.1561,-0.007302,0.5114,88
RF,ret_CADUSD_cum10,10,short,0.0711,0.0134,0.0004,0.0622,0.0062,-0.0713,-0.007302,0.5138,399
RF,ret_CADUSD_cum15,15,full,-0.0142,-0.0028,-0.0158,0.0394,-0.4008,-0.0684,-0.005801,0.5248,484
RF,ret_CADUSD_cum15,15,long,-0.0839,-0.0169,-0.0299,0.0567,-0.5266,-0.1674,-0.005801,0.4503,151
RF,ret_CADUSD_cum15,15,short,0.0546,0.0104,-0.0027,0.0625,-0.0425,-0.0797,-0.005801,0.5586,333
PCR,ret_CADUSD_cum3,3,full,0.0699,0.0132,0.0002,0.0569,0.003,-0.0681,-0.000954,0.5256,489
PCR,ret_CADUSD_cum3,3,long,0.0,0.0,-0.013,0.0,,0.0,-0.000954,,0
PCR,ret_CADUSD_cum3,3,short,0.0699,0.0132,0.0002,0.0569,0.003,-0.0681,-0.000954,0.5256,489
RF,ret_EURUSD_cum15,15,full,0.0096,0.0019,-0.0112,0.0744,-0.1501,-0.2047,-0.0049,0.5083,484
RF,ret_EURUSD_cum15,15,long,-0.0001,-0.0,-0.013,0.0116,-1.1228,-0.037,-0.0049,0.3333,3
RF,ret_EURUSD_cum15,15,short,0.0106,0.002,-0.011,0.0749,-0.1467,-0.2066,-0.0049,0.5094,481
LGB,ret_GBPUSD_cum15,15,full,0.0199,0.0038,-0.0092,0.0547,-0.1681,-0.1371,-0.033117,0.5186,484
LGB,ret_GBPUSD_cum15,15,long,0.052,0.0099,-0.0031,0.0744,-0.0421,-0.1824,-0.033117,0.5278,144
LGB,ret_GBPUSD_cum15,15,short,-0.0356,-0.007,-0.02,0.0825,-0.2424,-0.2216,-0.033117,0.5147,340
PCR,ret_GC,1,full,0.106,0.0197,0.0067,0.0995,0.0674,-0.1445,-9e-06,0.4724,489
PCR,ret_GC,1,long,0.1075,0.02,0.007,0.0729,0.0957,-0.1125,-9e-06,0.5193,233
PCR,ret_GC,1,short,-0.0014,-0.0003,-0.0133,0.0677,-0.1963,-0.1241,-9e-06,0.4297,256
Bwd (CV),ret_GSPC_cum15,15,full,0.799,0.1206,0.1075,0.1605,0.6702,-0.2542,-0.000943,0.657,484
Bwd (CV),ret_GSPC_cum15,15,long,0.8477,0.1264,0.1134,0.1665,0.6811,-0.2543,-0.000943,0.6618,476
Bwd (CV),ret_GSPC_cum15,15,short,-0.0709,-0.0142,-0.0272,0.0587,-0.4627,-0.1216,-0.000943,0.375,8
Fwd (CV),ret_GSPC_cum3,3,full,0.5814,0.0929,0.0799,0.1444,0.5533,-0.297,-0.003039,0.5951,489
Fwd (CV),ret_GSPC_cum3,3,long,0.6499,0.1019,0.0889,0.1463,0.6075,-0.2854,-0.003039,0.6013,479
Fwd (CV),ret_GSPC_cum3,3,short,-0.0499,-0.0099,-0.0229,0.0286,-0.8003,-0.0754,-0.003039,0.3,10
Bwd (CV),ret_RUT_cum15,15,full,0.3351,0.0576,0.0446,0.2161,0.2064,-0.3234,0.003214,0.5434,484
Bwd (CV),ret_RUT_cum15,15,long,0.2772,0.0486,0.0356,0.2252,0.1579,-0.3299,0.003214,0.5433,473
Bwd (CV),ret_RUT_cum15,15,short,0.1282,0.0237,0.0106,0.0831,0.1281,-0.1257,0.003214,0.5455,11
Bwd (CV),ret_RUT_cum5,5,full,0.541,0.0874,0.0744,0.2126,0.35,-0.3134,0.005577,0.5194,489
Bwd (CV),ret_RUT_cum5,5,long,0.4819,0.0792,0.0662,0.2183,0.3033,-0.3235,0.005577,0.5137,475
Bwd (CV),ret_RUT_cum5,5,short,0.0423,0.0081,-0.0049,0.0585,-0.0845,-0.0914,0.005577,0.7143,14
Bwd (CV),ret_XLE_cum10,10,full,1.3235,0.1775,0.1645,0.2504,0.6571,-0.2271,-0.003171,0.5626,487
Bwd (CV),ret_XLE_cum10,10,long,1.8034,0.2212,0.2082,0.2621,0.7943,-0.2604,-0.003171,0.5717,474
Bwd (CV),ret_XLE_cum10,10,short,-0.3313,-0.075,-0.0881,0.0921,-0.9557,-0.3361,-0.003171,0.2308,13
Fwd (CV),ret_XLE_cum3,3,full,0.3229,0.0557,0.0427,0.2285,0.187,-0.3676,-0.003178,0.5399,489
Fwd (CV),ret_XLE_cum3,3,long,0.729,0.112,0.099,0.2302,0.4298,-0.2642,-0.003178,0.5501,449
Fwd (CV),ret_XLE_cum3,3,short,-0.2662,-0.0582,-0.0712,0.0769,-0.9268,-0.2954,-0.003178,0.425,40
Bwd (CV),ret_XLE_cum5,5,full,1.1605,0.1611,0.148,0.2463,0.601,-0.2726,0.003492,0.546,489
Bwd (CV),ret_XLE_cum5,5,long,1.495,0.1939,0.1809,0.2533,0.7142,-0.2438,0.003492,0.5537,475
Bwd (CV),ret_XLE_cum5,5,short,-0.1982,-0.0419,-0.0549,0.0744,-0.7382,-0.2174,0.003492,0.2857,14
PCR,ret_XLF,1,full,-0.3136,-0.0704,-0.0834,0.1166,-0.7148,-0.3279,-0.000456,0.407,489
PCR,ret_XLF,1,long,-0.0139,-0.0027,-0.0157,0.0178,-0.8838,-0.0398,-0.000456,0.4286,7
