model,target,horizon,substrategy,cum_return,ann_return,ann_excess_ret,ann_vol,sharpe,max_drawdown,oos_r2,hit_rate,n_trades,net_cum_return,net_ann_return,net_ann_excess_ret,net_ann_vol,net_sharpe,net_max_drawdown,net_oos_r2,net_hit_rate,net_n_trades
PCR,ret_CADUSD,1,full,-0.0237,-0.0046,-0.0176,0.0418,-0.4221,-0.1007,-0.000556,0.5092,489,-0.6332,-0.1767,-0.1897,0.0447,-4.2485,-0.6389,-0.000556,0.5092,489
PCR,ret_CADUSD,1,long,-0.0013,-0.0003,-0.0133,0.0089,-1.4886,-0.014,-0.000556,0.5,14,-0.0289,-0.0057,-0.0187,0.0095,-1.9581,-0.0335,-0.000556,0.5,14
PCR,ret_CADUSD,1,short,-0.0224,-0.0044,-0.0174,0.0408,-0.4258,-0.1067,-0.000556,0.5095,475,-0.6223,-0.172,-0.185,0.0437,-4.232,-0.6281,-0.000556,0.5095,475
RF,ret_CADUSD_cum10,10,full,0.0143,0.0028,-0.0103,0.0485,-0.2117,-0.0689,-0.007302,0.5133,487,-0.2118,-0.0451,-0.0581,0.0485,-1.1987,-0.2196,-0.007302,0.5133,487
RF,ret_CADUSD_cum10,10,long,-0.0957,-0.0193,-0.0323,0.0459,-0.7045,-0.1561,-0.007302,0.5114,88,-0.2081,-0.0442,-0.0572,0.046,-1.2433,-0.2453,-0.007302,0.5114,88
RF,ret_CADUSD_cum10,10,short,0.0711,0.0134,0.0004,0.0622,0.0062,-0.0713,-0.007302,0.5138,399,-0.1702,-0.0355,-0.0485,0.0623,-0.7795,-0.1783,-0.007302,0.5138,399
RF,ret_CADUSD_cum15,15,full,-0.0142,-0.0028,-0.0158,0.0394,-0.4008,-0.0684,-0.005801,0.5248,484,-0.1714,-0.0358,-0.0488,0.0394,-1.2374,-0.1743,-0.005801,0.5248,484
RF,ret_CADUSD_cum15,15,long,-0.0839,-0.0169,-0.0299,0.0567,-0.5266,-0.1674,-0.005801,0.4503,151,-0.1951,-0.0412,-0.0542,0.0567,-0.956,-0.2447,-0.005801,0.4503,151
RF,ret_CADUSD_cum15,15,short,0.0546,0.0104,-0.0027,0.0625,-0.0425,-0.0797,-0.005801,0.5586,333,-0.1134,-0.0231,-0.0361,0.0625,-0.5776,-0.125,-0.005801,0.5586,333
PCR,ret_CADUSD_cum3,3,full,0.0699,0.0132,0.0002,0.0569,0.003,-0.0681,-0.000954,0.5256,489,-0.4583,-0.112,-0.1251,0.0575,-2.1767,-0.4603,-0.000954,0.5256,489
PCR,ret_CADUSD_cum3,3,long,0.0,0.0,-0.013,0.0,,0.0,-0.000954,,0,0.0,0.0,-0.013,0.0,,0.0,-0.000954,,0
PCR,ret_CADUSD_cum3,3,short,0.0699,0.0132,0.0002,0.0569,0.003,-0.0681,-0.000954,0.5256,489,-0.4583,-0.112,-0.1251,0.0575,-2.1767,-0.4603,-0.000954,0.5256,489
RF,ret_EURUSD_cum15,15,full,0.0096,0.0019,-0.0112,0.0744,-0.1501,-0.2047,-0.0049,0.5083,484,-0.1514,-0.0313,-0.0443,0.0744,-0.5959,-0.287,-0.0049,0.5083,484
RF,ret_EURUSD_cum15,15,long,-0.0001,-0.0,-0.013,0.0116,-1.1228,-0.037,-0.0049,0.3333,3,-0.0061,-0.0012,-0.0142,0.0117,-1.211,-0.0389,-0.0049,0.3333,3
RF,ret_EURUSD_cum15,15,short,0.0106,0.002,-0.011,0.0749,-0.1467,-0.2066,-0.0049,0.5094,481,-0.1512,-0.0313,-0.0443,0.0749,-0.5915,-0.2869,-0.0049,0.5094,481
LGB,ret_GBPUSD_cum15,15,full,0.0199,0.0038,-0.0092,0.0547,-0.1681,-0.1371,-0.033117,0.5186,484,-0.1427,-0.0294,-0.0424,0.0547,-0.7755,-0.2099,-0.033117,0.5186,484
LGB,ret_GBPUSD_cum15,15,long,0.052,0.0099,-0.0031,0.0744,-0.0421,-0.1824,-0.033117,0.5278,144,-0.0775,-0.0155,-0.0285,0.0747,-0.3821,-0.218,-0.033117,0.5278,144
LGB,ret_GBPUSD_cum15,15,short,-0.0356,-0.007,-0.02,0.0825,-0.2424,-0.2216,-0.033117,0.5147,340,-0.1879,-0.0395,-0.0526,0.0826,-0.636,-0.2949,-0.033117,0.5147,340
PCR,ret_GC,1,full,0.106,0.0197,0.0067,0.0995,0.0674,-0.1445,-9e-06,0.4724,489,-0.5844,-0.1565,-0.1695,0.1003,-1.6895,-0.6058,-9e-06,0.4724,489
PCR,ret_GC,1,long,0.1075,0.02,0.007,0.0729,0.0957,-0.1125,-9e-06,0.5193,233,-0.3052,-0.0682,-0.0812,0.0734,-1.1059,-0.341,-9e-06,0.5193,233
