model,target,horizon,substrategy,cum_return,ann_return,ann_excess_ret,ann_vol,sharpe,max_drawdown,oos_r2,hit_rate,n_trades,net_cum_return,net_ann_return,net_ann_excess_ret,net_ann_vol,net_sharpe,net_max_drawdown,net_oos_r2,net_hit_rate,net_n_trades
PCR,ret_CADUSD,1,full,0.0109,0.0021,-0.0109,0.0387,-0.2818,-0.095,-0.000556,0.4803,406,-0.5516,-0.144,-0.157,0.0413,-3.798,-0.5548,-0.000556,0.4803,406
PCR,ret_CADUSD,1,long,0.0088,0.0017,-0.0113,0.0371,-0.3047,-0.0868,-0.000556,0.4783,391,-0.5388,-0.1393,-0.1523,0.0398,-3.8289,-0.5422,-0.000556,0.4783,391
PCR,ret_CADUSD,1,short,0.002,0.0004,-0.0126,0.0111,-1.1411,-0.0221,-0.000556,0.5333,15,-0.0276,-0.0054,-0.0184,0.0115,-1.6038,-0.0384,-0.000556,0.5333,15
RF,ret_CADUSD_cum10,10,full,0.0041,0.0008,-0.0122,0.0451,-0.2709,-0.1098,-0.007302,0.5098,204,-0.1953,-0.0412,-0.0543,0.0452,-1.1992,-0.2069,-0.007302,0.5098,204
RF,ret_CADUSD_cum10,10,long,-0.0834,-0.0167,-0.0297,0.0525,-0.5662,-0.1872,-0.007302,0.5083,120,-0.2293,-0.0492,-0.0623,0.0527,-1.1823,-0.2856,-0.007302,0.5083,120
RF,ret_CADUSD_cum10,10,short,0.1106,0.0205,0.0075,0.0456,0.1649,-0.0748,-0.007302,0.5119,84,-0.027,-0.0053,-0.0183,0.0456,-0.4018,-0.1135,-0.007302,0.5119,84
RF,ret_CADUSD_cum15,15,full,-0.0848,-0.017,-0.0301,0.0467,-0.6429,-0.1877,-0.005801,0.5104,192,-0.2197,-0.0469,-0.06,0.0468,-1.2807,-0.266,-0.005801,0.5104,192
RF,ret_CADUSD_cum15,15,long,-0.1155,-0.0235,-0.0365,0.0528,-0.6926,-0.2002,-0.005801,0.4757,103,-0.2107,-0.0448,-0.0578,0.0529,-1.0931,-0.2655,-0.005801,0.4757,103
RF,ret_CADUSD_cum15,15,short,0.0189,0.0036,-0.0094,0.0504,-0.1863,-0.0585,-0.005801,0.5506,89,-0.0965,-0.0195,-0.0325,0.0505,-0.6432,-0.1375,-0.005801,0.5506,89
PCR,ret_CADUSD_cum3,3,full,-0.0569,-0.0113,-0.0243,0.0128,-1.8951,-0.062,-0.000954,0.2308,13,-0.0812,-0.0163,-0.0293,0.0137,-2.1311,-0.0836,-0.000954,0.2308,13
PCR,ret_CADUSD_cum3,3,long,-0.0411,-0.0081,-0.0211,0.011,-1.917,-0.0447,-0.000954,0.2222,9,-0.0582,-0.0116,-0.0246,0.0118,-2.0748,-0.0607,-0.000954,0.2222,9
PCR,ret_CADUSD_cum3,3,short,-0.0165,-0.0032,-0.0162,0.0066,-2.464,-0.0191,-0.000954,0.25,4,-0.0243,-0.0048,-0.0178,0.007,-2.54,-0.0243,-0.000954,0.25,4
