release_date,date,value
2026-03-16,1990-01-01,-0.5057798809853851
2026-03-16,1990-02-01,0.9081631000016214
2026-03-16,1990-03-01,0.4981569957103562
2026-03-16,1990-04-01,-0.2619812491713269
2026-03-16,1990-05-01,0.3041519382278489
2026-03-16,1990-06-01,0.33915734409780374
2026-03-16,1990-07-01,-0.1747344767991443
2026-03-16,1990-08-01,0.34928357809221566
2026-03-16,1990-09-01,0.007625402120819769
2026-03-16,1990-10-01,-0.5842518859517485
2026-03-16,1990-11-01,-1.2715608497311632
2026-03-16,1990-12-01,-0.7339529719835476
2026-03-16,1991-01-01,-0.32558791688948596
2026-03-16,1991-02-01,-0.738850585993412
2026-03-16,1991-03-01,-0.5754418806996203
2026-03-16,1991-04-01,0.2638618636735778
2026-03-16,1991-05-01,0.9414187900247595
2026-03-16,1991-06-01,0.8103066817548429
2026-03-16,1991-07-01,0.28006062565283224
2026-03-16,1991-08-01,-0.001133961331921694
2026-03-16,1991-09-01,0.7932959445843
2026-03-16,1991-10-01,-0.05464524787244983
2026-03-16,1991-11-01,-0.1582362447837487
2026-03-16,1991-12-01,-0.4862523777080847
2026-03-16,1992-01-01,-0.5237500242776686
2026-03-16,1992-02-01,0.7059692556002468
2026-03-16,1992-03-01,0.8525660185312389
2026-03-16,1992-04-01,0.7590126747747586
2026-03-16,1992-05-01,0.32910949647837057
2026-03-16,1992-06-01,0.05118534482758515
2026-03-16,1992-07-01,0.920706471554397
2026-03-16,1992-08-01,-0.5591861589262581
2026-03-16,1992-09-01,0.32985434326632057
2026-03-16,1992-10-01,0.6751580533676802
2026-03-16,1992-11-01,0.37922171266962906
2026-03-16,1992-12-01,0.16889209896299703
2026-03-16,1993-01-01,0.3839896069506675
2026-03-16,1993-02-01,0.4815953484483932
2026-03-16,1993-03-01,-0.08735319809765134
2026-03-16,1993-04-01,0.27431606021076876
2026-03-16,1993-05-01,-0.37844013772083757
2026-03-16,1993-06-01,0.22551864657938672
2026-03-16,1993-07-01,0.2696746193213941
2026-03-16,1993-08-01,-0.12057408624808945
2026-03-16,1993-09-01,0.5305512966212322
2026-03-16,1993-10-01,0.7330389143926066
2026-03-16,1993-11-01,0.4569413629882031
2026-03-16,1993-12-01,0.5922741331301695
2026-03-16,1994-01-01,0.28778124417675766
2026-03-16,1994-02-01,0.0582901651454754
2026-03-16,1994-03-01,1.020157546350382
2026-03-16,1994-04-01,0.5913554477638455
2026-03-16,1994-05-01,0.4601048425961058
2026-03-16,1994-06-01,0.6751136558680552
2026-03-16,1994-07-01,0.13303898639738868
2026-03-16,1994-08-01,0.6704230927066972
2026-03-16,1994-09-01,0.31454859530056944
2026-03-16,1994-10-01,0.8045120691220438
2026-03-16,1994-11-01,0.6835881660052645
2026-03-16,1994-12-01,1.0218279603479117
2026-03-16,1995-01-01,0.17019829295749883
2026-03-16,1995-02-01,-0.1128050577073598
2026-03-16,1995-03-01,0.16616802213701481
2026-03-16,1995-04-01,-0.17262341311967105
2026-03-16,1995-05-01,0.4910926249013312
2026-03-16,1995-06-01,0.33143317239277426
2026-03-16,1995-07-01,-0.4181127385757423
2026-03-16,1995-08-01,1.3256420444688268
2026-03-16,1995-09-01,0.4033288089441935
2026-03-16,1995-10-01,-0.17575610883125417
2026-03-16,1995-11-01,0.26354726629983805
2026-03-16,1995-12-01,0.34708338657752014
2026-03-16,1996-01-01,-0.5723636015089673
2026-03-16,1996-02-01,1.4635221208469709
2026-03-16,1996-03-01,-0.12242925706344882
2026-03-16,1996-04-01,0.9950397499490468
2026-03-16,1996-05-01,0.7473370902025451
2026-03-16,1996-06-01,0.76222810480735
2026-03-16,1996-07-01,0.01537578552369977
2026-03-16,1996-08-01,0.5118289203219437
2026-03-16,1996-09-01,0.6259139173877998
2026-03-16,1996-10-01,0.02961378901878388
2026-03-16,1996-11-01,0.9186726470557458
2026-03-16,1996-12-01,0.6407086216587042
2026-03-16,1997-01-01,0.15851253590392947
2026-03-16,1997-02-01,1.1938518753170975
2026-03-16,1997-03-01,0.6346132066227805
2026-03-16,1997-04-01,0.11722010065502615
2026-03-16,1997-05-01,0.5539648397783559
2026-03-16,1997-06-01,0.45959657494414946
2026-03-16,1997-07-01,0.8542220977454129
2026-03-16,1997-08-01,1.000466140357822
2026-03-16,1997-09-01,0.915926716043081
2026-03-16,1997-10-01,0.8866930363580626
2026-03-16,1997-11-01,0.7875135934105566
2026-03-16,1997-12-01,0.42584852711434334
2026-03-16,1998-01-01,0.43833632307292225
2026-03-16,1998-02-01,0.16187984601846506
2026-03-16,1998-03-01,0.03516528274900796
2026-03-16,1998-04-01,0.3431256509800243
2026-03-16,1998-05-01,0.6591340431881314
2026-03-16,1998-06-01,-0.59985914618212
2026-03-16,1998-07-01,-0.3845573464364196
2026-03-16,1998-08-01,2.070330159316259
2026-03-16,1998-09-01,-0.05321862535943229
2026-03-16,1998-10-01,0.6836260369526895
2026-03-16,1998-11-01,-0.07581396313459152
2026-03-16,1998-12-01,0.4530380879463473
2026-03-16,1999-01-01,0.43205518919632896
2026-03-16,1999-02-01,0.6081497321558168
2026-03-16,1999-03-01,0.22686221273017698
2026-03-16,1999-04-01,0.22986238859666128
2026-03-16,1999-05-01,0.6322550732504434
2026-03-16,1999-06-01,-0.0784370132803536
2026-03-16,1999-07-01,0.5786177951119427
2026-03-16,1999-08-01,0.401528289798093
2026-03-16,1999-09-01,-0.40370899987080994
2026-03-16,1999-10-01,1.2222981351874402
2026-03-16,1999-11-01,0.48473868519602814
2026-03-16,1999-12-01,0.7713127928427089
2026-03-16,2000-01-01,-0.13680487522827986
2026-03-16,2000-02-01,0.3123293058620442
2026-03-16,2000-03-01,0.35557191537280597
2026-03-16,2000-04-01,0.595222592631166
2026-03-16,2000-05-01,0.2707691245527237
2026-03-16,2000-06-01,0.03905329645324752
2026-03-16,2000-07-01,-0.1950827111980019
2026-03-16,2000-08-01,-0.27229195041636245
2026-03-16,2000-09-01,0.4614698099773102
2026-03-16,2000-10-01,-0.3885815322136563
2026-03-16,2000-11-01,0.027964356781996703
2026-03-16,2000-12-01,-0.32630354108963844
2026-03-16,2001-01-01,-0.47595068306232335
2026-03-16,2001-02-01,-0.6513459989989387
2026-03-16,2001-03-01,-0.20503069984249223
2026-03-16,2001-04-01,-0.3589921440973191
2026-03-16,2001-05-01,-0.4775903715313825
2026-03-16,2001-06-01,-0.5280254107387011
2026-03-16,2001-07-01,-0.6404208352618586
2026-03-16,2001-08-01,-0.11477803607502367
2026-03-16,2001-09-01,-0.5065005386753089
2026-03-16,2001-10-01,-0.2741454785151354
2026-03-16,2001-11-01,-0.6047102317152023
2026-03-16,2001-12-01,-0.04274184381038722
2026-03-16,2002-01-01,0.6655112336294703
2026-03-16,2002-02-01,0.011523132122874483
2026-03-16,2002-03-01,0.723840420749187
2026-03-16,2002-04-01,0.4882884782311277
2026-03-16,2002-05-01,0.4017677782241858
2026-03-16,2002-06-01,0.824885509759468
2026-03-16,2002-07-01,-0.03219188125165011
2026-03-16,2002-08-01,-0.11105364210730995
2026-03-16,2002-09-01,0.08490089007928668
2026-03-16,2002-10-01,-0.20826645751772477
2026-03-16,2002-11-01,0.5602209932537062
2026-03-16,2002-12-01,-0.5561106769072937
2026-03-16,2003-01-01,0.8521508823282296
2026-03-16,2003-02-01,0.11881261912773909
2026-03-16,2003-03-01,-0.2628510747773519
2026-03-16,2003-04-01,-0.5956902191332103
2026-03-16,2003-05-01,-0.02727422298830049
2026-03-16,2003-06-01,0.12779305698221688
2026-03-16,2003-07-01,0.5138291523583981
2026-03-16,2003-08-01,-0.2181774282939155
2026-03-16,2003-09-01,0.644744758286698
2026-03-16,2003-10-01,0.123161457348656
2026-03-16,2003-11-01,0.6704970388108965
2026-03-16,2003-12-01,0.02959898257562841
2026-03-16,2004-01-01,0.15217829573315433
2026-03-16,2004-02-01,0.6032428360854813
2026-03-16,2004-03-01,-0.40007315131564425
2026-03-16,2004-04-01,0.3714380452357373
2026-03-16,2004-05-01,0.7223716776067879
2026-03-16,2004-06-01,-0.7802242062877329
2026-03-16,2004-07-01,0.7471654230061046
2026-03-16,2004-08-01,0.06711918678907364
2026-03-16,2004-09-01,0.12709913839600864
2026-03-16,2004-10-01,0.8531500308810768
2026-03-16,2004-11-01,0.2483434077411718
2026-03-16,2004-12-01,0.7967816436364579
2026-03-16,2005-01-01,0.35965311687155693
2026-03-16,2005-02-01,0.7259066271311753
2026-03-16,2005-03-01,-0.13512659964525162
2026-03-16,2005-04-01,0.21525087717842945
2026-03-16,2005-05-01,0.09001253967794474
2026-03-16,2005-06-01,0.4497613194928182
2026-03-16,2005-07-01,-0.3166442501335185
2026-03-16,2005-08-01,0.3259087661922116
2026-03-16,2005-09-01,-1.9373698979145628
2026-03-16,2005-10-01,1.2137396970635
2026-03-16,2005-11-01,1.1240218459586175
2026-03-16,2005-12-01,0.5164986354512016
2026-03-16,2006-01-01,0.1577843688421314
2026-03-16,2006-02-01,0.042158902402136746
2026-03-16,2006-03-01,0.22546525748336602
2026-03-16,2006-04-01,0.30366798425394403
2026-03-16,2006-05-01,0.025414684625036207
2026-03-16,2006-06-01,0.31664117408279413
2026-03-16,2006-07-01,-0.051261507350673405
2026-03-16,2006-08-01,0.43887413186819063
2026-03-16,2006-09-01,-0.16615804011917745
2026-03-16,2006-10-01,-0.11468178573333092
2026-03-16,2006-11-01,-0.04203442589240582
2026-03-16,2006-12-01,1.0193348910427038
2026-03-16,2007-01-01,-0.33831302689834086
2026-03-16,2007-02-01,0.9422584955516492
2026-03-16,2007-03-01,0.1780198123945065
2026-03-16,2007-04-01,0.672281726358448
2026-03-16,2007-05-01,0.09563785133627414
2026-03-16,2007-06-01,0.05770141923865755
2026-03-16,2007-07-01,-0.11995366900057591
2026-03-16,2007-08-01,0.19258915363067494
2026-03-16,2007-09-01,0.22225930907198704
2026-03-16,2007-10-01,-0.2820077304793577
2026-03-16,2007-11-01,0.533489192202468
2026-03-16,2007-12-01,0.03488215303983368
2026-03-16,2008-01-01,-0.13234968055378574
2026-03-16,2008-02-01,-0.39219598453906335
2026-03-16,2008-03-01,-0.30458407875589355
2026-03-16,2008-04-01,-0.6452051340639989
2026-03-16,2008-05-01,-0.6057782381776172
