releasedate_nfp,actual_nfp,forecast_nfp,surp_nfp,releasedate_unemp,actual_unemp,forecast_unemp,surp_unemp,releasedate_corecpi,actual_corecpi,forecast_corecpi,surp_corecpi,releasedate_gdp,actual_gdp,forecast_gdp,surp_gdp,releasedate_retsailes,actual_retsailes,forecast_retsailes,surp_retsailes,releasedate_ism_pmi,actual_ism_pmi,forecast_ism_pmi,surp_ism_pmi,releasedate_dgorders,actual_dgorders,forecast_dgorders,surp_dgorders,releasedate_newhomesales,actual_newhomesales,forecast_newhomesales,surp_newhomesales,releasedate_consconfid,actual_consconfid,forecast_consconfid,surp_consconfid,releasedate_avghourlyearnmings,actual_avghourlyearnmings,forecast_avghourlyearnmings,surp_avghourlyearnmings,releasedate_cpi,actual_cpi,forecast_cpi,surp_cpi,releasedate_tradebal,actual_tradebal,forecast_tradebal,surp_tradebal,releasedate_indprod,actual_indprod,forecast_indprod,surp_indprod
09.01.1998,370,225,145,09.01.1998,4.7,4.6,0.1,13.01.1998,0.233918129,NA,#VALUE!,30.01.1998,4.3,3.6,0.7,13.06.2001,0.1,0.4,-0.3,02.02.1998,NA,NA,-0.4,25.08.1999,3.30830418,0.8,2.50830418,30.07.1999,0.929,0.9,0.029,02.02.2001,94.7,94,0.7,06.10.2000,0.217391304,0.3,-0.1,13.01.1998,0.0618047,0.1,0,21.01.1998,-8.037,-10,2,16.01.1998,0.5,0.5,0
06.02.1998,358,263,95,06.02.1998,4.7,4.7,0,24.02.1998,0.175029172,NA,#VALUE!,30.04.1998,4.2,3.3,0.9,13.07.2001,0.2,0.3,-0.1,02.03.1998,NA,NA,0.8,29.09.1999,0.88666059,-0.9,1.78666059,30.08.1999,0.98,0.905,0.075,02.03.2001,90.6,88.5,2.1,03.11.2000,0.433839479,0.3,0.1,24.02.1998,0,0.1,-0.1,19.02.1998,-10.785,NA,#VALUE!,17.02.1998,0,0.2,-0.2
06.03.1998,310,253,57,06.03.1998,4.6,4.7,-0.1,19.03.1998,0.291205591,NA,#VALUE!,31.07.1998,1.4,0,1.4,14.08.2001,0,-0.2,0.2,01.04.1998,NA,NA,1.8,27.10.1999,-1.3139453,-0.4,-0.9139453,30.09.1999,0.983,0.95,0.033,30.03.2001,91.5,91,0.5,08.12.2000,0.359971202,0.3,0.1,19.03.1998,0.06176652,0.1,0,19.03.1998,-12.043,-11.5,-0.5,17.03.1998,0,0,0
03.04.1998,-36,250,-286,03.04.1998,4.7,4.6,0.1,14.04.1998,0.116144019,NA,#VALUE!,30.10.1998,3.3,2.3,1,14.09.2001,0.3,0.2,0.1,01.05.1998,NA,NA,-1.1,23.11.1999,-1.2517324,NA,#VALUE!,29.10.1999,0.811,0.95,-0.139,27.04.2001,88.4,88.8,-0.4,05.01.2001,0.50215208,0.3,0.2,14.04.1998,0,0.1,-0.1,17.04.1998,-12.108,-11.4,-0.7,17.04.1998,0.2,0,0.2
08.05.1998,262,275,-13,08.05.1998,4.3,4.7,-0.4,14.05.1998,0.290023202,NA,#VALUE!,29.01.1999,5.6,4.3,1.3,12.10.2001,-2.4,-0.7,-1.7,01.06.1998,NA,NA,-0.9,23.12.1999,1.20763403,1.1,0.10763403,02.12.1999,0.986,NA,#VALUE!,25.05.2001,92,92.5,-0.5,02.02.2001,0.071377587,0.3,-0.2,14.05.1998,0.24691358,0.2,0,20.05.1998,-13.025,-11.7,-1.3,15.05.1998,0.1,-0.2,0.3
05.06.1998,296,225,71,05.06.1998,4.3,4.4,-0.1,16.06.1998,0.2313476,NA,#VALUE!,30.04.1999,4.5,3.5,1,14.11.2001,7.1,2,5.1,01.07.1998,NA,NA,-1.4,27.01.2000,4.09239795,0.8,3.29239795,06.01.2000,0.865,0.905,-0.04,29.06.2001,92.6,91.6,1,09.03.2001,0.570613409,0.3,0.3,16.06.1998,0.30788177,0.2,0.1,18.06.1998,-14.458,-13,-1.5,16.06.1998,0.5,0.3,0.2
02.07.1998,205,200,5,02.07.1998,4.5,4.4,0.1,14.07.1998,0.115406809,NA,#VALUE!,29.07.1999,2.3,3.4,-1.1,13.12.2001,-3.7,-3,-0.7,03.08.1998,NA,NA,-0.7,24.02.2000,-1.269691,-2.4,1.130309,02.02.2000,0.9,0.9,0,27.07.2001,92.4,93.7,-1.3,06.04.2001,0.496453901,0.3,0.2,14.07.1998,0.06138735,0.2,-0.1,17.07.1998,-15.745,-14.1,-1.6,16.07.1998,-0.6,-0.4,-0.2
07.08.1998,66,30,36,07.08.1998,4.5,4.6,-0.1,18.08.1998,0.172910663,NA,#VALUE!,28.10.1999,4.8,4.4,0.4,15.01.2002,-0.1,-1.4,1.3,01.09.1998,NA,NA,-1.1,24.03.2000,-2.2948853,-0.2,-2.0948853,02.03.2000,0.882,0.89,-0.008,31.08.2001,91.5,93.5,-2,04.05.2001,0.352858151,0.3,0.1,18.08.1998,0.18404908,0.2,0,18.08.1998,-14.151,-15.7,1.5,14.08.1998,-0.6,-0.5,-0.1
04.09.1998,365,350,15,04.09.1998,4.5,4.5,0,17.09.1998,0.230149597,0.2,0,28.01.2000,5.8,5.1,0.7,13.02.2002,-0.2,-0.2,0,01.10.1998,NA,NA,0.1,26.04.2000,2.59877688,1.5,1.09877688,29.03.2000,0.919,0.89,0.029,28.09.2001,81.8,79,2.8,01.06.2001,0.281293952,0.3,0,17.09.1998,0.18371096,0.1,0.1,17.09.1998,-13.923,-15.3,1.4,16.09.1998,1.7,0.9,0.8
02.10.1998,69,210,-141,02.10.1998,4.6,4.5,0.1,16.10.1998,0.172215844,0.2,0,27.04.2000,5.4,6,-0.6,13.03.2002,0.3,0.9,-0.6,02.11.1998,NA,NA,-0.7,26.05.2000,-6.433217,-0.5,-5.933217,02.05.2000,0.966,0.9,0.066,26.10.2001,82.7,83,-0.3,06.07.2001,0.210378682,0.3,-0.1,16.10.1998,0,0.1,-0.1,20.10.1998,-16.774,-14.9,-1.9,16.10.1998,-0.3,0.2,-0.5
