release_date,date,value_T,value_T1_revised,mom_change
1990-07-04,1990-01-01,109931,109570,361
1990-07-04,1990-02-01,110304,109931,373
1990-07-04,1990-03-01,110427,110304,123
1990-07-04,1990-04-01,110404,110427,-23
1990-07-04,1990-05-01,110568,110404,164
1990-07-06,1990-06-01,110797,110757,40
1990-08-03,1990-07-01,110706,110925,-219
1990-09-07,1990-08-01,110665,110740,-75
1990-10-05,1990-09-01,110556,110657,-101
1990-11-02,1990-10-01,110493,110561,-68
1990-12-07,1990-11-01,110167,110434,-267
1991-01-04,1990-12-01,110097,110173,-76
1991-02-01,1991-01-01,109785,110017,-232
1991-03-08,1991-02-01,109587,109771,-184
1991-04-05,1991-03-01,109316,109522,-206
1991-05-03,1991-04-01,109162,109286,-124
1991-06-07,1991-05-01,108781,108722,59
1991-07-05,1991-06-01,108805,108855,-50
1991-08-02,1991-07-01,108815,108866,-51
1991-09-06,1991-08-01,108846,108812,34
1991-10-04,1991-09-01,108960,108936,24
1991-11-01,1991-10-01,109018,109019,-1
1991-12-06,1991-11-01,108829,109070,-241
1992-01-10,1991-12-01,108839,108808,31
1992-02-07,1992-01-01,108755,108846,-91
1992-03-06,1992-02-01,108897,108733,164
1992-04-03,1992-03-01,108886,108867,19
1992-05-08,1992-04-01,109031,108905,126
1992-06-05,1992-05-01,108450,108382,68
1992-07-02,1992-06-01,108353,108470,-117
1992-08-07,1992-07-01,108631,108433,198
1992-09-04,1992-08-01,108517,108600,-83
1992-10-02,1992-09-01,108409,108466,-57
1992-11-06,1992-10-01,108440,108413,27
1992-12-04,1992-11-01,108636,108531,105
1993-01-08,1992-12-01,108711,108647,64
1993-02-05,1993-01-01,108842,108736,106
1993-03-05,1993-02-01,109161,108796,365
1993-04-02,1993-03-01,109210,109232,-22
1993-05-07,1993-04-01,109313,109194,119
1993-06-04,1993-05-01,109990,109781,209
1993-07-02,1993-06-01,110048,110035,13
1993-08-06,1993-07-01,110264,110102,162
1993-09-03,1993-08-01,110273,110312,-39
1993-10-08,1993-09-01,110453,110297,156
1993-11-05,1993-10-01,110644,110467,177
1993-12-03,1993-11-01,110857,110649,208
1994-01-07,1993-12-01,111049,110866,183
1994-02-04,1994-01-01,111132,111070,62
1994-03-04,1994-02-01,111325,111108,217
1994-04-01,1994-03-01,111733,111277,456
1994-05-06,1994-04-01,112088,111821,267
1994-06-03,1994-05-01,112847,112656,191
1994-07-08,1994-06-01,113330,112951,379
1994-08-05,1994-07-01,113566,113307,259
1994-09-02,1994-08-01,113764,113585,179
1994-10-07,1994-09-01,114109,113870,239
1994-11-04,1994-10-01,114356,114162,194
1994-12-02,1994-11-01,114700,114350,350
1995-01-06,1994-12-01,115092,114836,256
1995-02-03,1995-01-01,115226,115092,134
1995-03-10,1995-02-01,115607,115289,318
1995-04-07,1995-03-01,115830,115627,203
