release_date,date,value
2026-04-01,1992-02-01,0.007538777587214233
2026-04-01,1992-03-01,-0.3404757866435495
2026-04-01,1992-04-01,0.8030407130295563
2026-04-01,1992-05-01,0.3439198104063882
2026-04-01,1992-06-01,0.4574035183927314
2026-04-01,1992-07-01,1.023541453428864
2026-04-01,1992-08-01,-0.2720211230849529
2026-04-01,1992-09-01,1.2000344802108218
2026-04-01,1992-10-01,1.0355254592026089
2026-04-01,1992-11-01,0.03673304709658383
2026-04-01,1992-12-01,0.9432712913245527
2026-04-01,1993-01-01,1.0787698803155803
2026-04-01,1993-02-01,-0.3893805309734513
2026-04-01,1993-03-01,-0.6858564321250888
2026-04-01,1993-04-01,2.6359418422967282
2026-04-01,1993-05-01,0.4985415625617366
2026-04-01,1993-06-01,0.03353376503237743
2026-04-01,1993-07-01,1.6206406269867875
2026-04-01,1993-08-01,-0.33499789559895804
2026-04-01,1993-09-01,0.7846695542506263
2026-04-01,1993-10-01,0.5549012502264903
2026-04-01,1993-11-01,1.2219294096447957
2026-04-01,1993-12-01,0.7337642830917122
2026-04-01,1994-01-01,-0.8073913307598425
2026-04-01,1994-02-01,1.9408178604236839
2026-04-01,1994-03-01,1.977050917253319
2026-04-01,1994-04-01,-0.15959640318978582
2026-04-01,1994-05-01,-0.43288650005632356
2026-04-01,1994-06-01,1.1766227049392293
2026-04-01,1994-07-01,0.1395101171458999
2026-04-01,1994-08-01,1.440482394104072
2026-04-01,1994-09-01,0.9508782781450011
2026-04-01,1994-10-01,0.690084897577693
2026-04-01,1994-11-01,0.26351887950328495
2026-04-01,1994-12-01,0.2643692940722644
2026-04-01,1995-01-01,0.4970785732972879
2026-04-01,1995-02-01,-1.4496600445106886
2026-04-01,1995-03-01,1.0933971450473408
2026-04-01,1995-04-01,0.06711787641088438
2026-04-01,1995-05-01,1.4080180226306895
2026-04-01,1995-06-01,1.1728769059880844
2026-04-01,1995-07-01,-0.6352834322272847
2026-04-01,1995-08-01,0.9883983727587765
2026-04-01,1995-09-01,0.12880573707715412
2026-04-01,1995-10-01,-0.3675429752107163
2026-04-01,1995-11-01,1.4696132045843158
2026-04-01,1995-12-01,0.23925913188729767
2026-04-01,1996-01-01,-0.11713848808030114
2026-04-01,1996-02-01,1.512318872581492
2026-04-01,1996-03-01,0.37462235649546827
2026-04-01,1996-04-01,0.7917168312063568
2026-04-01,1996-05-01,0.8901354076084359
2026-04-01,1996-06-01,-0.7970372755816761
2026-04-01,1996-07-01,0.6459035488891223
2026-04-01,1996-08-01,0.009012128427573318
2026-04-01,1996-09-01,1.1321058971951092
2026-04-01,1996-10-01,1.0753495003118654
2026-04-01,1996-11-01,-0.16656923062646734
2026-04-01,1996-12-01,0.243067013064271
2026-04-01,1997-01-01,1.1284714173118828
2026-04-01,1997-02-01,0.6707194073096037
2026-04-01,1997-03-01,0.7295513851002108
2026-04-01,1997-04-01,-1.4756610862203816
2026-04-01,1997-05-01,-0.07066651370884479
2026-04-01,1997-06-01,1.1305453894228341
2026-04-01,1997-07-01,1.2495856660900047
2026-04-01,1997-08-01,0.06054218893647554
2026-04-01,1997-09-01,0.6225349587665829
2026-04-01,1997-10-01,-0.09309203639943164
2026-04-01,1997-11-01,-0.25947391885867144
2026-04-01,1997-12-01,0.6785327957517947
2026-04-01,1998-01-01,0.3187767497202934
2026-04-01,1998-02-01,-0.0920541349124158
2026-04-01,1998-03-01,0.5063212637211734
2026-04-01,1998-04-01,1.551419416542891
2026-04-01,1998-05-01,0.2543303429987544
2026-04-01,1998-06-01,0.9575964847723977
2026-04-01,1998-07-01,-0.710098753467949
2026-04-01,1998-08-01,-0.7596598589511598
2026-04-01,1998-09-01,1.0949032168221695
2026-04-01,1998-10-01,1.664169981231813
2026-04-01,1998-11-01,0.6004047863016251
2026-04-01,1998-12-01,1.0724266810330314
2026-04-01,1999-01-01,0.05371866411260098
2026-04-01,1999-02-01,1.2806479404334308
2026-04-01,1999-03-01,0.5510672047208501
2026-04-01,1999-04-01,0.7932583259429393
2026-04-01,1999-05-01,0.7051105308399694
2026-04-01,1999-06-01,0.3873300398201049
2026-04-01,1999-07-01,0.7756819303009277
2026-04-01,1999-08-01,1.0272105323903638
2026-04-01,1999-09-01,0.4668221427333323
2026-04-01,1999-10-01,-0.08351991342161087
2026-04-01,1999-11-01,1.3017235966344343
2026-04-01,1999-12-01,2.0059426729631626
2026-04-01,2000-01-01,-0.6706897926786195
2026-04-01,2000-02-01,1.5832839473130818
2026-04-01,2000-03-01,1.2544883810212055
2026-04-01,2000-04-01,-1.840762176649233
2026-04-01,2000-05-01,0.7289816599575107
2026-04-01,2000-06-01,0.6609221329964811
2026-04-01,2000-07-01,-0.7719887955182073
2026-04-01,2000-08-01,0.4524188600700836
2026-04-01,2000-09-01,1.3631339340914626
2026-04-01,2000-10-01,-0.06801639786635517
2026-04-01,2000-11-01,-0.5507899341197534
2026-04-01,2000-12-01,-0.19044076622652037
2026-04-01,2001-01-01,1.6930140345385296
2026-04-01,2001-02-01,-0.0930808667514411
2026-04-01,2001-03-01,-1.0296118873038986
2026-04-01,2001-04-01,1.7011340893929285
2026-04-01,2001-05-01,0.49524434240734666
2026-04-01,2001-06-01,-0.46959592992685906
2026-04-01,2001-07-01,-0.5013225296385085
2026-04-01,2001-08-01,0.9377586068004892
2026-04-01,2001-09-01,-2.541908662514193
2026-04-01,2001-10-01,7.437130562958771
2026-04-01,2001-11-01,-2.9792261426314477
2026-04-01,2001-12-01,-1.3323429738637946
2026-04-01,2002-01-01,0.3014817120397246
2026-04-01,2002-02-01,0.6256878416656142
2026-04-01,2002-03-01,-0.2832871348195748
2026-04-01,2002-04-01,1.1032835992649572
2026-04-01,2002-05-01,-0.775750763835289
2026-04-01,2002-06-01,0.5233612698321659
2026-04-01,2002-07-01,1.3319021774015247
2026-04-01,2002-08-01,0.6063464022156454
2026-04-01,2002-09-01,-1.6859985168809728
2026-04-01,2002-10-01,0.6674636381749353
2026-04-01,2002-11-01,0.16540609316462854
2026-04-01,2002-12-01,1.1425224411449217
2026-04-01,2003-01-01,0.7015622056473838
2026-04-01,2003-02-01,-1.3722168525273941
2026-04-01,2003-03-01,1.2227077303509708
2026-04-01,2003-04-01,0.303979845719818
2026-04-01,2003-05-01,0.1958118407350901
2026-04-01,2003-06-01,1.3990794802827162
2026-04-01,2003-07-01,0.8635513891395474
2026-04-01,2003-08-01,1.1427819058968895
2026-04-01,2003-09-01,-0.22397126759058986
2026-04-01,2003-10-01,-0.23952816965017512
2026-04-01,2003-11-01,0.41179725356717695
2026-04-01,2003-12-01,0.42380098385949444
2026-04-01,2004-01-01,0.42932870416558583
2026-04-01,2004-02-01,0.6364385929475186
2026-04-01,2004-03-01,1.8281427372785153
2026-04-01,2004-04-01,-0.682778030897887
2026-04-01,2004-05-01,1.2135685422211233
2026-04-01,2004-06-01,-0.6303682559275832
2026-04-01,2004-07-01,0.8261976469218153
2026-04-01,2004-08-01,-0.156891180405607
2026-04-01,2004-09-01,2.0096917658551634
2026-04-01,2004-10-01,0.32446463335496434
2026-04-01,2004-11-01,0.6418066039513182
2026-04-01,2004-12-01,1.2953949831523774
2026-04-01,2005-01-01,-1.047210723437808
2026-04-01,2005-02-01,1.2562563808859781
2026-04-01,2005-03-01,0.26774625892999865
2026-04-01,2005-04-01,0.9028784808341431
2026-04-01,2005-05-01,-0.5745554866858692
2026-04-01,2005-06-01,3.051648213963751
2026-04-01,2005-07-01,0.6850147826783188
2026-04-01,2005-08-01,-1.1557186573164588
2026-04-01,2005-09-01,0.29647949226024645
2026-04-01,2005-10-01,0.045454545454545456
2026-04-01,2005-11-01,0.880764239665274
2026-04-01,2005-12-01,0.051807523276590356
2026-04-01,2006-01-01,2.874122890892776
2026-04-01,2006-02-01,-0.7558684908941155
2026-04-01,2006-03-01,0.38499111004809505
2026-04-01,2006-04-01,0.49231104872300546
2026-04-01,2006-05-01,-0.3379304828720949
2026-04-01,2006-06-01,0.5463055585014145
2026-04-01,2006-07-01,0.319559856896478
2026-04-01,2006-08-01,0.3890132872617329
2026-04-01,2006-09-01,-0.5788527675955674
2026-04-01,2006-10-01,-0.05836465095091675
2026-04-01,2006-11-01,0.30794650106114774
2026-04-01,2006-12-01,1.2072726033466243
2026-04-01,2007-01-01,-0.16135051786500992
2026-04-01,2007-02-01,0.2116405090614741
2026-04-01,2007-03-01,0.8049474820850102
2026-04-01,2007-04-01,-0.2373301058664775
2026-04-01,2007-05-01,1.2614275913231185
2026-04-01,2007-06-01,-0.7852155831279177
2026-04-01,2007-07-01,0.42638951348290277
2026-04-01,2007-08-01,0.5268540785582
2026-04-01,2007-09-01,0.41300498245691214
2026-04-01,2007-10-01,0.587110943156488
2026-04-01,2007-11-01,0.9403193927943331
2026-04-01,2007-12-01,-1.134647334239541
2026-04-01,2008-01-01,0.21796714943162132
2026-04-01,2008-02-01,-0.8824938481304849
2026-04-01,2008-03-01,0.28506615841769056
2026-04-01,2008-04-01,-0.09529964618637106
2026-04-01,2008-05-01,0.9426669882899873
2026-04-01,2008-06-01,0.18221069639244547
2026-04-01,2008-07-01,-0.3610480150490884
2026-04-01,2008-08-01,-0.8114931146863116
2026-04-01,2008-09-01,-1.5413687464174148
2026-04-01,2008-10-01,-3.58059115688137
2026-04-01,2008-11-01,-3.9403473191250864
2026-04-01,2008-12-01,-2.325126767679806
