release_date,date,value
2011-03-04,2006-04-01,0.49875311720697185
2011-03-04,2006-05-01,-0.09925558312654877
2011-03-04,2006-06-01,0.4967709885742744
2011-03-04,2006-07-01,0.24715768660405688
2011-03-04,2006-08-01,0.1479289940828283
2011-03-04,2006-09-01,0.4923682914820356
2011-03-04,2006-10-01,0.29397354238117945
2011-03-04,2006-11-01,0.09770395701025683
2011-03-04,2006-12-01,0.4392386530014635
2011-03-04,2007-01-01,0.09718172983480626
2011-03-04,2007-02-01,0.3398058252427198
2011-03-04,2007-03-01,0.532172230285435
2011-03-04,2007-04-01,0.3368623676612141
2011-03-04,2007-05-01,0.19184652278177047
2011-03-04,2007-06-01,0.5265677357587335
2011-03-04,2007-07-01,0.1904761904761864
2011-03-04,2007-08-01,-0.047528517110256706
2011-03-04,2007-09-01,0.42796005706134027
2011-03-04,2007-10-01,-0.04734848484849225
2011-03-04,2007-11-01,0.28422548555188193
2011-03-04,2007-12-01,0.4723665564477934
2011-03-04,2008-01-01,-0.09402914903619922
2011-03-04,2008-02-01,0.23529411764706218
2011-03-04,2008-03-01,0.5633802816901454
2011-03-04,2008-04-01,0.09337068160597373
2011-03-04,2008-05-01,0.373134328358201
2011-03-04,2008-06-01,0.4646840148698951
2011-03-04,2008-07-01,0.1850138760406991
2011-03-04,2008-08-01,0.3231763619575267
2011-03-04,2008-09-01,0.3221352968246677
2011-03-04,2008-10-01,0.0917431192660531
2011-03-04,2008-11-01,0.4582951420715005
2011-03-04,2008-12-01,0.31934306569341575
2011-03-04,2009-01-01,0.09095043201456629
2011-03-04,2009-02-01,0.27260336210812686
2011-03-04,2009-03-01,0.04531037607611242
2011-03-04,2009-04-01,0.22644927536232207
2011-03-04,2009-05-01,0.04518752824221221
2011-03-04,2009-06-01,0.18066847335139632
2011-03-04,2009-07-01,0.1352569882777328
2011-03-04,2009-08-01,0.22512381809995816
2011-03-04,2009-09-01,0.22461814914643824
2011-03-04,2009-10-01,0.1344688480502068
2011-03-04,2009-11-01,0.13428827215757
2011-03-04,2009-12-01,0.08940545373267579
2011-03-04,2010-01-01,0.22331397945511705
2011-03-04,2010-02-01,0.17825311942958622
2011-03-04,2010-03-01,0.0
2011-03-04,2010-04-01,0.17793594306049443
2011-03-04,2010-05-01,0.22202486678508307
2011-03-04,2010-06-01,0.0
2011-03-04,2010-07-01,0.1772264067345997
2011-03-04,2010-08-01,0.26536930561699373
2011-03-04,2010-09-01,0.1323334803705231
2011-03-04,2010-10-01,0.3083700440528647
2011-03-04,2010-11-01,-0.04391743522177431
2011-03-04,2010-12-01,0.043936731107196876
2011-03-04,2011-01-01,0.3952569169960468
2011-03-04,2011-02-01,0.04374453193351515
2011-04-01,2011-03-01,0.0
2011-05-06,2011-04-01,0.1308900523560104
2011-06-03,2011-05-01,0.26178010471203633
2011-07-08,2011-06-01,-0.04347826086957201
2011-08-05,2011-07-01,0.43421623968735507
2011-09-02,2011-08-01,-0.12975778546713293
2011-10-07,2011-09-01,0.17331022530330462
2011-11-04,2011-10-01,0.21607605877269104
2011-12-02,2011-11-01,-0.0862068965517223
2012-01-06,2011-12-01,0.1724137931034446
2012-02-03,2012-01-01,0.1720430107526845
2012-03-09,2012-02-01,0.1288659793814329
2012-04-06,2012-03-01,0.2142245072836363
2012-05-04,2012-04-01,0.04278990158321784
2012-06-01,2012-05-01,0.08550662676357235
2012-07-06,2012-06-01,0.2559726962457283
2012-08-03,2012-07-01,0.0851063829787216
2012-09-07,2012-08-01,-0.04249893752656848
2012-10-05,2012-09-01,0.29774564015311245
2012-11-02,2012-10-01,-0.042390843577793824
2012-12-07,2012-11-01,0.16956337431114518
2013-01-04,2012-12-01,0.2958579881656817
2013-02-01,2013-01-01,0.16849199663017145
2013-03-08,2013-02-01,0.16820857863750693
2013-04-05,2013-03-01,0.04199916001680623
2013-05-03,2013-04-01,0.16785564414604576
2013-06-07,2013-05-01,0.041876046901179076
2013-07-05,2013-06-01,0.4182350480970365
2013-08-02,2013-07-01,-0.08333333333333157
2013-09-06,2013-08-01,0.20833333333333628
2013-10-22,2013-09-01,0.12468827930175036
2013-11-08,2013-10-01,0.08305647840532861
2013-12-06,2013-11-01,0.16590626296142327
2014-01-10,2013-12-01,0.082815734989661
2014-02-07,2014-01-01,0.20695364238410888
2014-03-07,2014-02-01,0.3715937241948797
2014-04-04,2014-03-01,-0.04113533525297413
2014-05-02,2014-04-01,0.0
2014-06-06,2014-05-01,0.20550760378134283
2014-07-03,2014-06-01,0.246002460024595
2014-08-01,2014-07-01,0.04091653027822426
2014-09-05,2014-08-01,0.24519820187986216
2014-10-03,2014-09-01,-0.04074979625101064
2014-11-07,2014-10-01,0.12224938875306088
2014-12-05,2014-11-01,0.3663003663003657
2015-01-09,2014-12-01,-0.20308692120227745
2015-02-06,2015-01-01,0.48721071863581406
2015-03-06,2015-02-01,0.12121212121212581
2015-04-03,2015-03-01,0.2823719241629701
2015-05-08,2015-04-01,0.12077294685990796
2015-06-05,2015-05-01,0.32154340836013606
2015-07-02,2015-06-01,0.0
2015-08-07,2015-07-01,0.20048115477144007
2015-09-04,2015-08-01,0.31987205117952133
2015-10-02,2015-09-01,-0.03984063745020543
2015-11-06,2015-10-01,0.3584229390680998
2015-12-04,2015-11-01,0.15866719555731515
2016-01-08,2015-12-01,-0.0396039603960458
2016-02-05,2016-01-01,0.4748713889988167
2016-03-04,2016-02-01,-0.11820330969266188
2016-04-01,2016-03-01,0.2760252365930611
2016-05-06,2016-04-01,0.31434184675835697
2016-06-03,2016-05-01,0.19577133907596206
2016-07-08,2016-06-01,0.07815552950371073
2016-08-05,2016-07-01,0.31237797735260386
2016-09-02,2016-08-01,0.11673151750973204
2016-10-07,2016-09-01,0.23319082782743383
2016-11-04,2016-10-01,0.38729666924864997
