release_date,date,value
1999-07-30,1990-01-01,620.0
1999-07-30,1990-02-01,591.0
1999-07-30,1990-03-01,574.0
1999-07-30,1990-04-01,542.0
1999-07-30,1990-05-01,534.0
1999-07-30,1990-06-01,545.0
1999-07-30,1990-07-01,542.0
1999-07-30,1990-08-01,528.0
1999-07-30,1990-09-01,496.0
1999-07-30,1990-10-01,465.0
1999-07-30,1990-11-01,493.0
1999-07-30,1990-12-01,464.0
1999-07-30,1991-01-01,401.0
1999-07-30,1991-02-01,482.0
1999-07-30,1991-03-01,507.0
1999-07-30,1991-04-01,508.0
1999-07-30,1991-05-01,517.0
1999-07-30,1991-06-01,516.0
1999-07-30,1991-07-01,511.0
1999-07-30,1991-08-01,526.0
1999-07-30,1991-09-01,487.0
1999-07-30,1991-10-01,524.0
1999-07-30,1991-11-01,575.0
1999-07-30,1991-12-01,558.0
1999-07-30,1992-01-01,676.0
1999-07-30,1992-02-01,639.0
1999-07-30,1992-03-01,554.0
1999-07-30,1992-04-01,546.0
1999-07-30,1992-05-01,554.0
1999-07-30,1992-06-01,596.0
1999-07-30,1992-07-01,627.0
1999-07-30,1992-08-01,636.0
1999-07-30,1992-09-01,650.0
1999-07-30,1992-10-01,621.0
1999-07-30,1992-11-01,614.0
1999-07-30,1992-12-01,650.0
1999-07-30,1993-01-01,596.0
1999-07-30,1993-02-01,604.0
1999-07-30,1993-03-01,602.0
1999-07-30,1993-04-01,701.0
1999-07-30,1993-05-01,626.0
1999-07-30,1993-06-01,653.0
1999-07-30,1993-07-01,655.0
1999-07-30,1993-08-01,645.0
1999-07-30,1993-09-01,726.0
1999-07-30,1993-10-01,704.0
1999-07-30,1993-11-01,769.0
1999-07-30,1993-12-01,812.0
1999-07-30,1994-01-01,619.0
1999-07-30,1994-02-01,686.0
1999-07-30,1994-03-01,747.0
1999-07-30,1994-04-01,692.0
1999-07-30,1994-05-01,691.0
1999-07-30,1994-06-01,621.0
1999-07-30,1994-07-01,628.0
1999-07-30,1994-08-01,656.0
1999-07-30,1994-09-01,677.0
1999-07-30,1994-10-01,715.0
1999-07-30,1994-11-01,646.0
1999-07-30,1994-12-01,629.0
1999-07-30,1995-01-01,626.0
1999-07-30,1995-02-01,559.0
1999-07-30,1995-03-01,616.0
1999-07-30,1995-04-01,621.0
1999-07-30,1995-05-01,674.0
1999-07-30,1995-06-01,725.0
1999-07-30,1995-07-01,765.0
1999-07-30,1995-08-01,701.0
1999-07-30,1995-09-01,678.0
1999-07-30,1995-10-01,696.0
1999-07-30,1995-11-01,664.0
1999-07-30,1995-12-01,709.0
1999-07-30,1996-01-01,714.0
1999-07-30,1996-02-01,769.0
1999-07-30,1996-03-01,721.0
1999-07-30,1996-04-01,736.0
1999-07-30,1996-05-01,746.0
1999-07-30,1996-06-01,721.0
1999-07-30,1996-07-01,770.0
1999-07-30,1996-08-01,826.0
1999-07-30,1996-09-01,770.0
1999-07-30,1996-10-01,720.0
1999-07-30,1996-11-01,771.0
1999-07-30,1996-12-01,805.0
1999-07-30,1997-01-01,821.0
1999-07-30,1997-02-01,816.0
1999-07-30,1997-03-01,823.0
1999-07-30,1997-04-01,757.0
1999-07-30,1997-05-01,754.0
1999-07-30,1997-06-01,790.0
1999-07-30,1997-07-01,806.0
1999-07-30,1997-08-01,822.0
1999-07-30,1997-09-01,823.0
1999-07-30,1997-10-01,816.0
1999-07-30,1997-11-01,860.0
1999-07-30,1997-12-01,791.0
1999-07-30,1998-01-01,848.0
1999-07-30,1998-02-01,887.0
1999-07-30,1998-03-01,836.0
1999-07-30,1998-04-01,880.0
1999-07-30,1998-05-01,893.0
1999-07-30,1998-06-01,909.0
1999-07-30,1998-07-01,883.0
1999-07-30,1998-08-01,836.0
1999-07-30,1998-09-01,861.0
1999-07-30,1998-10-01,903.0
1999-07-30,1998-11-01,985.0
1999-07-30,1998-12-01,958.0
1999-07-30,1999-01-01,908.0
1999-07-30,1999-02-01,909.0
1999-07-30,1999-03-01,885.0
1999-07-30,1999-04-01,940.0
1999-07-30,1999-05-01,901.0
1999-07-30,1999-06-01,929.0
1999-08-30,1999-07-01,980.0
1999-09-30,1999-08-01,983.0
1999-10-29,1999-09-01,811.0
1999-12-02,1999-10-01,986.0
2000-01-06,1999-11-01,865.0
2000-02-02,1999-12-01,900.0
2000-03-02,2000-01-01,882.0
2000-03-29,2000-02-01,919.0
2000-05-02,2000-03-01,966.0
2000-05-31,2000-04-01,909.0
2000-06-29,2000-05-01,875.0
2000-08-02,2000-06-01,829.0
2000-08-29,2000-07-01,944.0
2000-10-03,2000-08-01,893.0
2000-10-31,2000-09-01,946.0
2000-12-04,2000-10-01,928.0
2001-01-05,2000-11-01,909.0
2001-01-31,2000-12-01,975.0
