date,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_GSPC,ret_RUT,ret_XLE_lag1,ret_XLF_lag1,ret_XLI_lag1,ret_XLK_lag1,ret_XLV_lag1,ret_GSPC_lag1,ret_RUT_lag1,vix_lag1,surp_nfp_lag0,surp_nfp_bin_d1,surp_nfp_bin_d2_5,surp_nfp_bin_d6_10,surp_nfp_bin_d11_15,surp_unemp_lag0,surp_unemp_bin_d1,surp_unemp_bin_d2_5,surp_unemp_bin_d6_10,surp_unemp_bin_d11_15,surp_ahe_lag0,surp_ahe_bin_d1,surp_ahe_bin_d2_5,surp_ahe_bin_d6_10,surp_ahe_bin_d11_15,surp_jobless_lag0,surp_jobless_bin_d1,surp_jobless_bin_d2_5,surp_jobless_bin_d6_10,surp_jobless_bin_d11_15,surp_cpi_lag0,surp_cpi_bin_d1,surp_cpi_bin_d2_5,surp_cpi_bin_d6_10,surp_cpi_bin_d11_15,surp_core_cpi_lag0,surp_core_cpi_bin_d1,surp_core_cpi_bin_d2_5,surp_core_cpi_bin_d6_10,surp_core_cpi_bin_d11_15,surp_core_pce_lag0,surp_core_pce_bin_d1,surp_core_pce_bin_d2_5,surp_core_pce_bin_d6_10,surp_core_pce_bin_d11_15,surp_gdp_lag0,surp_gdp_bin_d1,surp_gdp_bin_d2_5,surp_gdp_bin_d6_10,surp_gdp_bin_d11_15,surp_ism_mfg_lag0,surp_ism_mfg_bin_d1,surp_ism_mfg_bin_d2_5,surp_ism_mfg_bin_d6_10,surp_ism_mfg_bin_d11_15,surp_retail_sales_lag0,surp_retail_sales_bin_d1,surp_retail_sales_bin_d2_5,surp_retail_sales_bin_d6_10,surp_retail_sales_bin_d11_15,surp_ind_prod_lag0,surp_ind_prod_bin_d1,surp_ind_prod_bin_d2_5,surp_ind_prod_bin_d6_10,surp_ind_prod_bin_d11_15,surp_fed_rate_lag0,surp_fed_rate_bin_d1,surp_fed_rate_bin_d2_5,surp_fed_rate_bin_d6_10,surp_fed_rate_bin_d11_15,surp_trade_bal_lag0,surp_trade_bal_bin_d1,surp_trade_bal_bin_d2_5,surp_trade_bal_bin_d6_10,surp_trade_bal_bin_d11_15,surp_ppi_lag0,surp_ppi_bin_d1,surp_ppi_bin_d2_5,surp_ppi_bin_d6_10,surp_ppi_bin_d11_15,surp_durable_goods_lag0,surp_durable_goods_bin_d1,surp_durable_goods_bin_d2_5,surp_durable_goods_bin_d6_10,surp_durable_goods_bin_d11_15,surp_housing_starts_lag0,surp_housing_starts_bin_d1,surp_housing_starts_bin_d2_5,surp_housing_starts_bin_d6_10,surp_housing_starts_bin_d11_15,surp_conf_board_lag0,surp_conf_board_bin_d1,surp_conf_board_bin_d2_5,surp_conf_board_bin_d6_10,surp_conf_board_bin_d11_15,surp_philly_fed_lag0,surp_philly_fed_bin_d1,surp_philly_fed_bin_d2_5,surp_philly_fed_bin_d6_10,surp_philly_fed_bin_d11_15,surp_pers_income_lag0,surp_pers_income_bin_d1,surp_pers_income_bin_d2_5,surp_pers_income_bin_d6_10,surp_pers_income_bin_d11_15,surp_jolts_lag0,surp_jolts_bin_d1,surp_jolts_bin_d2_5,surp_jolts_bin_d6_10,surp_jolts_bin_d11_15
2008-02-13,0.0242982613090805,-0.0036696389165962,0.0178866100029346,0.0228667526417662,-0.0014936375571901,0.0136040625307414,0.0233174755662113,-0.0005582763750409,0.0275260164921467,0.0101283658995443,0.0022038852736281,0.0145414089392958,0.0072658968384489,0.008188610887817,26.33,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.2,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
2008-02-14,-0.0085885872546322,-0.0272558466840967,-0.0149100347667546,-0.0197763482666611,-0.0041866787550871,-0.0134214759328954,-0.023007750779267,0.0242982613090805,-0.0036696389165962,0.0178866100029346,0.0228667526417662,-0.0014936375571901,0.0136040625307414,0.0233174755662113,24.88,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.2,,,,0.0,0.0,,,,0.0,0.0,,,,61.8,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,
2008-02-15,0.0017873562928172,0.0159024147317325,-0.0062161703270695,-0.0035091402238438,0.0009015941293089,0.0008377480947496,-0.0053876081119331,-0.0085885872546322,-0.0272558466840967,-0.0149100347667546,-0.0197763482666611,-0.0041866787550871,-0.0134214759328954,-0.023007750779267,25.54,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,61.8,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,
2008-02-19,0.0329445442624176,-0.0014906609073157,0.0048959098161711,-0.0092424728348949,0.0126009330796359,-0.0008962740066612,0.0011689008173518,0.0017873562928172,0.0159024147317325,-0.0062161703270695,-0.0035091402238438,0.0009015941293089,0.0008377480947496,-0.0053876081119331,25.02,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,
2008-02-20,0.0119600593730726,0.0115716969332992,0.0032475483718652,0.0017769041998405,-0.0029631813704206,0.0083408708281844,0.0109348640005131,0.0329445442624176,-0.0014906609073157,0.0048959098161711,-0.0092424728348949,0.0126009330796359,-0.0008962740066612,0.0011689008173518,25.59,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0999999999999999,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,
2008-02-21,-0.0274461071523014,-0.0177119096474269,-0.0078234588297586,-0.0017737524117306,-0.0104013377122946,-0.0128673629427487,-0.0193515532751401,0.0119600593730726,0.0115716969332992,0.0032475483718652,0.0017769041998405,-0.0029631813704206,0.0083408708281844,0.0109348640005131,24.4,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,4.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0999999999999999,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.2,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,61.8,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-14.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
2008-02-22,0.0113422996981211,0.0217878878178545,0.0100597457580557,-0.0008887762342142,0.0021024927632837,0.0078806103579138,-0.001220825796127,-0.0274461071523014,-0.0177119096474269,-0.0078234588297586,-0.0017737524117306,-0.0104013377122946,-0.0128673629427487,-0.0193515532751401,25.12,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,4.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0999999999999999,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,61.8,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,-14.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
2008-02-25,0.0285721009598316,0.0,0.0078067614254173,0.0057802380548397,0.0128856029780752,0.0138126713119381,0.0216125698563049,0.0113422996981211,0.0217878878178545,0.0100597457580557,-0.0008887762342142,0.0021024927632837,0.0078806103579138,-0.001220825796127,24.06,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,4.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0999999999999999,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,-14.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
2008-02-26,0.0170037287251891,0.0088234568853715,0.0008007180670381,0.0114946829511233,-0.0088757784494845,0.00691791069878,0.0096556950981072,0.0285721009598316,0.0,0.0078067614254173,0.0057802380548397,0.0128856029780752,0.0138126713119381,0.0216125698563049,23.03,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,4.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0999999999999999,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.6,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-7.0,0.0,0.0,,,0.0,0.0,-14.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
2008-02-27,-0.0130185400153356,0.0043731724625419,0.001868584748303,0.0008738720237222,0.0044776316916155,-0.0009194445013966,-0.0012267953965137,0.0170037287251891,0.0088234568853715,0.0008007180670381,0.0114946829511233,-0.0088757784494845,0.00691791069878,0.0096556950981072,21.9,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,4.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0999999999999999,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.6,0.0,,,-1.2999999999999998,0.0,0.0,,,0.0,0.0,0.0,,,0.0,-7.0,0.0,,,0.0,0.0,-14.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
