Method,ret_XLE,ret_XLF
AR(1) benchmark,0.0003042283960110654,0.00021126322220533052
Fwd (Cp),0.0003582760825245375,0.0003322560425191129
Fwd (CV),0.00030402866008384985,0.00021126322220533052
Bwd (Cp),0.0003582760825245375,0.0003322560425191129
Bwd (CV),0.0003538376642611002,0.0003467361452525248
Best Sub (Cp),0.0003582760825245375,0.00033546700327665915
Ridge,0.0003038621934947874,0.0002150482725752503
Lasso,0.00030399181254825046,0.0002114489849586211
PCR,0.0003299717614190056,0.00022842729972339027
PLS,0.00034373963158559765,0.0003002897539759461
