Method,ret_XLE,ret_XLF
AR(1) benchmark,0.000286861538359525,0.0001444560939730122
Fwd (Cp),0.0002861683105046928,0.00014690589661165262
Fwd (CV),0.00028358249983009436,0.00014445609397301218
Bwd (Cp),0.0002861683105046928,0.00014690589661165262
Bwd (CV),0.00028653700145626947,0.00014665090351390796
Best Sub (Cp),0.0002861683105046928,0.00014658698037679036
Ridge,0.0002835958158673589,0.0001414113391091262
Lasso,0.0002847470593462266,0.00014324808220929244
PCR,0.0002834776654535022,0.00014124731696709726
PLS,0.0002847812546108557,0.00014549026609926604
