Method,ret_XLE,ret_XLF
AR(1) benchmark,-0.01156290861176279,-0.02267118531649981
Fwd (Cp),-0.009118371818245707,-0.04001446588947388
Fwd (CV),0.0,-0.022671185316499587
Bwd (Cp),-0.009118371818245707,-0.04001446588947388
Bwd (CV),-0.010418490661254554,-0.03820925237202433
Best Sub (Cp),-0.009118371818245707,-0.03775671105924716
Ridge,-4.695648452379686e-05,-0.0011159640723878983
Lasso,-0.004106598668218275,-0.014119113968714458
PCR,0.00036967858261682807,4.52241737667336e-05
PLS,-0.004227181795348978,-0.029992565848738773
