Method,p,Adj.R2,Cp,BIC,target
Fwd (Cp),5,0.025243881326464823,4.741324738488856,-11462.464238525683,ret_CADUSD
Fwd (CV),0,0.0,28.760098029514438,-11463.85455821834,ret_CADUSD
Bwd (Cp),8,0.030787420271216503,1.416410925108039,-11450.817980877862,ret_CADUSD
Bwd (CV),0,0.0,28.760098029514438,-11463.85455821834,ret_CADUSD
Ridge,27,-0.020353483360752378,77.93055664323424,-11278.940137580767,ret_CADUSD
Lasso,1,0.0065475653464263095,22.21393659732803,-11465.209230150398,ret_CADUSD
PCR,1,-0.0001843158138288281,29.9470865012579,-11457.625169238556,ret_CADUSD
PLS,1,0.032025421886703986,-7.053378016009447,-11494.385174037043,ret_CADUSD
Fwd (Cp),12,0.03328419212915501,4.756909261399869,-11196.920464593171,ret_EURUSD
Fwd (CV),0,0.0,30.977055875207043,-11231.1389240038,ret_EURUSD
Bwd (Cp),12,0.03328419212915501,4.756909261399869,-11196.920464593171,ret_EURUSD
Bwd (CV),0,0.0,30.977055875207043,-11231.1389240038,ret_EURUSD
Ridge,27,-0.02104328901894581,80.89201979971813,-11045.510760224137,ret_EURUSD
Lasso,0,0.0,30.977055875207043,-11231.1389240038,ret_EURUSD
PCR,1,-0.000771800550942503,32.837846809259645,-11224.251768456552,ret_EURUSD
PLS,1,0.03663650195437018,-10.179842422494403,-11266.99545470657,ret_EURUSD
Fwd (Cp),7,0.024992824156797377,8.426030645650826,-11485.5367715566,ret_GBPUSD
Fwd (CV),0,0.0,30.17482482485616,-11499.27031440969,ret_GBPUSD
Bwd (Cp),11,0.029804184048810467,6.944898260293712,-11467.031705082209,ret_GBPUSD
Bwd (CV),0,0.0,30.17482482485616,-11499.27031440969,ret_GBPUSD
Ridge,27,-0.013085071393135861,71.1597585257548,-11322.4215038981,ret_GBPUSD
Lasso,0,0.0,30.17482482485616,-11499.27031440969,ret_GBPUSD
PCR,1,-0.0007921726998831868,32.05912341812336,-11492.36031917166,ret_GBPUSD
PLS,1,0.03389457300770171,-7.801108756828853,-11531.937940321954,ret_GBPUSD
Fwd (Cp),9,0.03860547998688624,3.5877814337259224,-9899.50849729935,ret_GC
Fwd (CV),0,0.0,39.33106845098678,-9909.464998061823,ret_GC
Bwd (Cp),9,0.03860547998688624,3.5877814337259224,-9899.50849729935,ret_GC
Bwd (CV),0,0.0,39.33106845098678,-9909.464998061823,ret_GC
Ridge,27,-0.017380823667616507,85.09085835278984,-9727.827058751553,ret_GC
Lasso,0,0.0,39.33106845098678,-9909.464998061823,ret_GC
PCR,1,0.0013768315406202936,38.70074874422971,-9904.989823881946,ret_GC
PLS,1,0.0277772308049552,8.09484757870905,-9935.07783970114,ret_GC
Fwd (Cp),9,0.039903033236580066,1.8983246944262646,-11161.975046051175,ret_JPYUSD
Fwd (CV),2,0.01879802254658225,19.288183989829804,-11179.68202492007,ret_JPYUSD
Bwd (Cp),9,0.039903033236580066,1.8983246944262646,-11161.975046051175,ret_JPYUSD
Bwd (CV),2,0.01879802254658225,19.288183989829804,-11179.68202492007,ret_JPYUSD
Ridge,27,-0.024657520261246013,93.12531634962329,-10980.773381342367,ret_JPYUSD
Lasso,1,9.271642052210982e-05,39.98388558571651,-11164.49656176614,ret_JPYUSD
PCR,1,0.001879255634690713,37.9131234318736,-11166.504825958764,ret_JPYUSD
PLS,1,0.029194508110342077,6.252250499079537,-11197.665969680696,ret_JPYUSD
