Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),4.053259664890601e-05,7.245810202878968e-05,4.183024854313789e-05,0.00019739374090725487,6.931018795094849e-05,0.00045099547502347367,0.000531163800989974,0.0002438659693123282,0.00030234230002130976,0.0001467723725076343,4.8002139109936405e-05,3.6513249911497006e-06,0.0002185488626920848,0.0004248632436314412,0.00019519313651661951,0.00044481672745546897,0.00020885605261240683,0.001348653930201134,0.00024319742909622885,0.0016284623406176513,0.002672604613473663,0.0009531332147874521,0.0008301722160660938,0.0005555996513982037,8.017085057151124e-05,4.248621335490266e-06,0.0009532219822222448,0.001299128385258816,0.00045725554678185953,0.0004507442197888929,0.00034287776752878917,0.0017878797358958458,0.0004003658091489419,0.003006789802560989,0.004833768819091878,0.0017805703616303908,0.001417388787922725,0.0010658235492959699,0.00014221416777911188,6.510950833222673e-06,0.0013222717704781456,0.0021659122904083704,0.0007126836150675208,0.0008302793653862673,0.0004910828490617699,0.0021080078692139776,0.0006209625395995679,0.00469320925417815,0.007454130654490133,0.0030342015703856383,0.00228931841871613,0.0014111050189770777,0.00025823437148928685,1.3927032239552152e-05,0.002041950102185638,0.0032791963226624725
Fwd (CV),3.958753743489588e-05,4.698438010062621e-05,3.561936288413719e-05,0.00014424101283986324,5.211650275924439e-05,0.0003442635920135315,0.0005087572121636342,0.0002128944335825642,0.00017815910820449682,0.00013736127063021256,1.8087658371996157e-05,1.3089080999943226e-06,0.00017101129872219321,0.00031452094411740534,0.0002014359767161032,0.0002416552062735876,0.00019349549418741507,0.0007938186432552091,0.00023909919946482313,0.0015381044290940658,0.0024562133658738434,0.0009760959690982644,0.0007861833441579392,0.0005347066394455672,8.208523484243764e-05,3.878102112379282e-06,0.000750879907064363,0.0012607562262189928,0.00040545048664828944,0.00041831785131917946,0.00035771508008487475,0.001485555097661554,0.000396659183729487,0.002918721116617793,0.00338079640021656,0.001832428346391585,0.0014179668858805606,0.0010256866013361797,0.00014672295688100402,6.741529690173121e-06,0.00133683211166191,0.0021426904707576083,0.0006090788216019192,0.0006811615437277971,0.0005146853378262132,0.0021636445426312253,0.0006323988601948401,0.004259938207572966,0.005625507119209505,0.003042806757071066,0.002311753600461915,0.0014324928673134661,0.00024008852780156047,1.1589796887644297e-05,0.002094380578337007,0.0034106908881626034
Bwd (Cp),4.087403822762667e-05,7.245810202878968e-05,5.779257347147653e-05,0.00019739374090725487,6.931018795094849e-05,0.00045099547502347367,0.000531163800989974,0.00024243353366653418,0.00030234230002130976,0.0001467723725076343,4.8002139109936405e-05,3.6513249911497006e-06,0.0002185488626920848,0.0004248632436314412,0.00019519313651661951,0.00044481672745546897,0.0002149856310310833,0.001348653930201134,0.00024319742909622885,0.0016395306047408927,0.0026736634453271065,0.0009476146737696687,0.0010318194885780188,0.0005555996513982037,8.16338555121973e-05,4.148114490929977e-06,0.0007495091090386607,0.0012849588164172599,0.00045725554678185953,0.00047351578436914394,0.00034287776752878917,0.0017878797358958458,0.0004003658091489419,0.003006789802560989,0.00487678490925944,0.0017805703616303908,0.001417388787922725,0.0010658235492959699,0.00015662107351381796,6.510950833222673e-06,0.0013222717704781456,0.0021607049782660383,0.0007126836150675208,0.0008302793653862673,0.0004910828490617699,0.0021080078692139776,0.0006209625395995679,0.00469320925417815,0.00781846992318017,0.0030342015703856383,0.0022863784462186535,0.0014111050189770777,0.00041216817199457345,1.6530542285289037e-05,0.002041950102185638,0.0032791963226624725
Bwd (CV),3.958753743489588e-05,4.698438010062621e-05,3.561936288413719e-05,0.00014424101283986324,5.211650275924439e-05,0.0003442635920135315,0.0005087572121636342,0.0002128944335825642,0.00017815910820449682,0.00013736127063021256,1.8087658371996157e-05,1.3089080999943226e-06,0.00017101129872219321,0.00031452094411740534,0.0002014359767161032,0.0002416552062735876,0.00019349549418741507,0.0007938186432552091,0.00023909919946482313,0.0015381044290940658,0.0024562133658738434,0.0009760959690982644,0.0007861833441579392,0.0005347066394455672,8.208523484243764e-05,3.878102112379282e-06,0.000750879907064363,0.0012607562262189928,0.00040545048664828944,0.00041831785131917946,0.00035771508008487475,0.001485555097661554,0.000396659183729487,0.002920320741898241,0.00338079640021656,0.001832428346391585,0.0014179668858805606,0.0010256866013361797,0.00014672295688100402,6.741529690173121e-06,0.00133683211166191,0.0021426904707576083,0.0006090788216019192,0.0006811615437277971,0.0005146853378262132,0.0021470324660658557,0.0006323988601948401,0.004259938207572966,0.005625507119209505,0.003042806757071066,0.002311753600461915,0.0014324928673134661,0.00024008852780156047,1.1589796887644297e-05,0.002094380578337007,0.0034106908881626034
Ridge,3.958273511200295e-05,4.6966242138724264e-05,3.536578612200025e-05,0.00014412835062026244,5.2244109261576827e-05,0.0003423706799012673,0.000508232996277602,0.00020978741371490922,0.00017709201451226685,0.0001353266142895973,1.8678868265548614e-05,1.3024454202224152e-06,0.0001687288138852931,0.0003111424409209074,0.00020142372137158033,0.00024149009883351423,0.00018994635140569412,0.0007938186453207437,0.00023909920302096072,0.0015225558057824792,0.0024425591274047937,0.0009640711354525588,0.0007812703666135564,0.0005346916117523121,8.207823186071916e-05,3.878102113294309e-06,0.000742995019241837,0.0012403829395688471,0.0004054504886338182,0.00041831785179387423,0.0003537799187263025,0.0014799056433200247,0.0003965734628153833,0.0029307222164222826,0.0033807964260431887,0.0018324267096529404,0.0014178688269267344,0.0010256866093447238,0.00014668464685928872,6.725287843144626e-06,0.0013368321193700662,0.002142483722916975,0.0006090788310319657,0.0006811615449996206,0.0005061307206735057,0.0021546354778510884,0.0006323988773408313,0.004259938212319129,0.005625507139030427,0.003042672450705837,0.0023071598409998067,0.0014324928679207017,0.00024143555677516953,1.1627628893591475e-05,0.002094380578627802,0.0034104922137641065
Lasso,3.9574377968660945e-05,4.698438010062621e-05,3.552297663900868e-05,0.00014416931082568613,5.214546046519839e-05,0.0003379098391216118,0.0005055705611998273,0.00020519912034085142,0.0001781486150386504,0.00013513842155744982,1.879679283697567e-05,1.3089080999943226e-06,0.00016776503699227996,0.00031394684211174037,0.0002011225817460631,0.0002416552062735876,0.00019219233780601894,0.0007938186432552091,0.00023909919946482313,0.0015076938775225202,0.0024562133658738434,0.0009750328811730721,0.0007861486903097272,0.0005345772524829524,8.196329412451831e-05,3.878102112379282e-06,0.0007506410812946797,0.0012553055832235178,0.00040500856763041066,0.00041831785131917946,0.00035493651221449383,0.0014834488367003239,0.000396659183729487,0.002842445301329742,0.0033799751197701486,0.0018319708482717495,0.0014175933127520282,0.001025463187338124,0.00014633500244597519,6.741529690173121e-06,0.0013365107507215116,0.0021413457683829734,0.0006087391483655926,0.0006811615437277971,0.0005146853378262132,0.0021636445426312253,0.0006323988601948401,0.004167012864992346,0.0056222780682384,0.0030417352363208863,0.002311174667443064,0.0014324928673134661,0.00024024359846281946,1.1615568933723085e-05,0.00209351936633662,0.0034093901246999556
PCR,4.179277237574019e-05,8.95413026855734e-05,4.8923558221808905e-05,0.0001885750805126517,6.261139759729875e-05,0.0003441523631286481,0.0005081563030384956,0.00023485005764768997,0.0002552364512284804,0.00015090172022069525,3.953774670906919e-05,3.7905626289911697e-06,0.00018421790489900423,0.00033408605259183094,0.00020809765040191489,0.0002505464335896787,0.00019557981569008677,0.0008314011864374429,0.00023787728110155962,0.0015525698948158292,0.00245366187818593,0.0009771548252200657,0.0007916236021682734,0.000541821738205636,8.23108934781723e-05,3.874059230662577e-06,0.0007497051293179894,0.0012507336167760133,0.0004169733517549335,0.0004224918313936916,0.0003576798685278716,0.0014861141196480445,0.00039978932503826123,0.00292354867251386,0.0033860425047729827,0.001828624777868084,0.001430281140363673,0.0010366346674276531,0.00014865391499098134,6.927740686986506e-06,0.0013357349699895983,0.002136514450595722,0.0006272293334636703,0.0007415156251255289,0.0005208414814485135,0.0021920146945607804,0.0006358006476602426,0.004287843487455921,0.005659865643786945,0.0030475865319218773,0.002344373572814969,0.0014528683799767998,0.0002418515003308289,1.2124076742126e-05,0.0020942635110375537,0.0034202451298256525
PLS,0.00010616634235172916,0.00016698091635122562,0.00012574496534176825,0.0005265765507846082,0.00010683493975404024,0.0006455598638846153,0.000654634796748162,0.0003366276988226308,0.00036412137742679557,0.0002055920886904524,4.5154977780425496e-05,4.08833757389096e-06,0.00028390641916149805,0.0007387366284806945,0.0003511211654359959,0.0006591452864826872,0.0011128888931501199,0.001643487466815833,0.0008655438393126966,0.002354482652232577,0.0030176115681824545,0.001230872358422617,0.001342366216293657,0.0008877046309285304,0.0001155571512649125,1.2741960497422016e-05,0.0010383241426294163,0.001843927322728905,0.0010098728607939526,0.0012531653911898608,0.0017724724859085308,0.002715243745256776,0.0026508697809562985,0.003700385162484772,0.00516548016471483,0.0030916869425237407,0.003668240481103375,0.0018080145944307515,0.0002131913044135696,1.8120336626069965e-05,0.0024993220511280554,0.004377000858634695,0.0017959986337508524,0.00116019859704789,0.002013058815282733,0.003649143362825975,0.0028058241254126036,0.007982700060609037,0.007656193254445327,0.005272766021335505,0.005131262251940763,0.002566024651943412,0.0005848120819540626,3.268547852517205e-05,0.0038856500709359837,0.006740207185971594
RF,3.9644955194535497e-05,4.748841885854747e-05,3.566657139916282e-05,0.00014520315309673513,5.196941503241135e-05,0.0003442743101903462,0.0005117981550461129,0.00021306409192048227,0.00017916176122369007,0.00013710529360873284,1.8207330524105976e-05,1.2653559644984913e-06,0.000171147999238255,0.00031666359626297667,0.00020161697173201704,0.00024170503463971722,0.00019395735892294063,0.000787209046256463,0.00023739273030885756,0.001545148522105135,0.0024641771441326846,0.000981660562169492,0.0007829973637911999,0.0005364276248180014,8.09488893838347e-05,3.8807015394967574e-06,0.000753569706028019,0.0012650839998471456,0.00040725454417928113,0.00041882728276193006,0.0003601416816405723,0.0014729754110809293,0.0003816012977728119,0.0029564098651308417,0.0034216412289534803,0.001851783936937965,0.0014270867104189463,0.0010347001154564059,0.00014486043466270412,6.655334864476435e-06,0.0013553072977454982,0.0021696899200635967,0.0006110195214186735,0.0006818361890130832,0.0005157235090132915,0.0021428196043513847,0.0006013687201583963,0.004311254803639691,0.005687168149502803,0.0030787696006201967,0.0023311963484099574,0.0014465913433370614,0.00024065486190590939,1.1254814631848916e-05,0.002116870197255348,0.0034573884901096426
LGB,3.975715020982816e-05,4.779272953949257e-05,3.573292080095627e-05,0.00014718258118529896,5.2138622382481315e-05,0.0003460028859285622,0.0005110916717556087,0.00021122762934020961,0.0001801106210136608,0.00013672628481926606,1.834151372898507e-05,1.2617027032567697e-06,0.0001710920931087211,0.0003164847328172685,0.000202602533554328,0.0002451988813802525,0.0001955572455889855,0.0007833447489577209,0.0002388865962013057,0.0015701898125048996,0.0024921832082187606,0.00099528897944046,0.0007924647397284899,0.0005384520620318908,8.08567775298712e-05,3.967182241303754e-06,0.00076390782616811,0.0012784464825861192,0.00040922435392017347,0.0004239204268147501,0.0003608071309767193,0.0014648373919893644,0.0003909743902220566,0.0030080857737264485,0.0034910784627905475,0.001877280278864641,0.0014532544578352595,0.0010329224894873833,0.00014510157455586544,6.749634002545064e-06,0.0013711711556393597,0.0021688004575165973,0.0006193488129296901,0.0006896059609850136,0.0005167127770404919,0.0021098003993728826,0.0006061972692501585,0.004502350750639155,0.005874446422598093,0.0031408035297931162,0.0024059046811126194,0.001440641794513215,0.0002573806234233081,1.1474926561359502e-05,0.002188485634376794,0.003499704502609181
