Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),1.8601211215206333e-05,2.5242618475379312e-05,3.0151528962385767e-05,0.00010561079903913483,3.585803164505892e-05,0.0002985133508487787,0.00016008887660396416,0.00013768051572586465,0.00028810003252645447,9.66997884897719e-05,2.0563643145775937e-05,2.073283415163154e-06,0.0001324560656139191,0.00023776367483531013,7.520351178850545e-05,0.00010817248026556357,0.00012105478406789492,0.00046178886620758686,0.00017613888692567808,0.001582939266391778,0.000768224447150299,0.000564700295083886,0.0010843716862520547,0.00037982367260657173,7.755149762788553e-05,7.863631353694642e-06,0.0005279184103748593,0.0009647284535059942,0.0001491063104003487,0.00022316240942918468,0.00026290300778627395,0.0009104751705431816,0.0003989430088449697,0.002780139237930915,0.001459895730260655,0.0010827608408833958,0.002006565182212668,0.0007323822516681173,0.00014149058010788762,1.4636785956817749e-05,0.0009602737686778145,0.0017485743627078942,0.00020595704880092133,0.00032132019610121767,0.0003673841054188546,0.0013379517989165113,0.0006298078530817496,0.00395830897314209,0.0020492354526109825,0.0016124817201137308,0.002977340490509233,0.0010535296661660326,0.00023216780225717045,2.2935210070109877e-05,0.001374622910169226,0.002410648745619746
Fwd (CV),1.8663182942388127e-05,2.3736120028703293e-05,2.9976500336028626e-05,0.00011002794901035334,3.522750787840627e-05,0.0002986253967868978,0.00015872442754397611,0.00013747992187535844,0.0002912271156434986,9.614132043266569e-05,2.1273084060394646e-05,2.230642320411672e-06,0.00013354350517314444,0.0002381735010244157,6.933619020903365e-05,0.00010618112330811409,0.00011799053108693023,0.0004559830035838546,0.00017640847199021142,0.0015830175530365128,0.0007206356627113193,0.0005664179591263417,0.0010798601783123991,0.0003798663946910986,7.551760912832633e-05,7.727833410625807e-06,0.000525394269716585,0.0009656907413667604,0.00014081253850645574,0.0002221141290060226,0.0002557039788278228,0.0009026802410360854,0.0003920289602731397,0.0027635713231476777,0.0014168898151292872,0.0010608373831610925,0.0019951674757843377,0.0007291169201341304,0.00013681288458990267,1.4220850405469787e-05,0.0009431209851643348,0.0017558446502827466,0.00019516438932972897,0.0003210583458372758,0.00035537566945712483,0.0013304503898188599,0.0006286838139328676,0.0038725625040956155,0.0019253498228439109,0.0015855822154084817,0.0029675409657848777,0.0010520613889615975,0.0002298878102838384,2.2895190634557836e-05,0.0013623498056543834,0.0023994730196595856
Bwd (Cp),1.8741437566926715e-05,2.5242618475379312e-05,3.0146545914200346e-05,0.00010561079903913483,3.585803164505892e-05,0.0002985133508487787,0.00016008887660396416,0.00013706826203486585,0.00028810003252645447,9.66997884897719e-05,2.0563643145775937e-05,2.073283415163154e-06,0.0001324560656139191,0.00023776367483531013,7.520351178850545e-05,0.00010817248026556357,0.00012081632199946709,0.00046178886620758686,0.00017613888692567808,0.0015843640972667847,0.0007704247770295296,0.0005689264967438197,0.0011014867579478228,0.00037982367260657173,7.756537984114768e-05,7.865003370385776e-06,0.0005363639563867222,0.0009721273966253644,0.0001491063104003487,0.00022327658348648272,0.00026290300778627395,0.0009104751705431816,0.0003989430088449697,0.002780139237930915,0.0014689623586198583,0.0010827608408833958,0.002006565182212668,0.0007323822516681173,0.00014140956133877443,1.4636785956817749e-05,0.0009602737686778145,0.0017671186740089617,0.00020595704880092133,0.00032132019610121767,0.0003673841054188546,0.0013379517989165113,0.0006298078530817496,0.00395830897314209,0.00204278586930384,0.0016124817201137308,0.002972996202290351,0.0010535296661660326,0.0002331877238074017,2.2943599990989374e-05,0.001374622910169226,0.002410648745619746
Bwd (CV),1.8663182942388127e-05,2.3736120028703293e-05,2.9976500336028626e-05,0.00011002794901035334,3.522750787840627e-05,0.0002986253967868978,0.00015872442754397611,0.00013747992187535844,0.0002912271156434986,9.614132043266569e-05,2.1273084060394646e-05,2.230642320411672e-06,0.00013354350517314444,0.0002381735010244157,6.933619020903365e-05,0.00010618112330811409,0.00011799053108693023,0.0004559830035838546,0.00017640847199021142,0.0015830175530365128,0.0007206356627113193,0.0005664179591263417,0.0010798601783123991,0.0003798663946910986,7.551760912832633e-05,7.727833410625807e-06,0.000525394269716585,0.0009656907413667604,0.00014081253850645574,0.0002221141290060226,0.0002557039788278228,0.0009026802410360854,0.0003920289602731397,0.0027557373852196594,0.0014168898151292872,0.0010608373831610925,0.0019951674757843377,0.0007291169201341304,0.00013681288458990267,1.4220850405469787e-05,0.0009431209851643348,0.0017558446502827466,0.00019516438932972897,0.0003210583458372758,0.00035537566945712483,0.001329718734521067,0.0006286838139328676,0.0038725625040956155,0.0019253498228439109,0.0015855822154084817,0.0029675409657848777,0.0010520613889615975,0.0002298878102838384,2.2895190634557836e-05,0.0013623498056543834,0.0023994730196595856
Ridge,1.8654408590959835e-05,2.377323189667929e-05,3.0075258688914137e-05,0.0001096449462340068,3.523531815907125e-05,0.00029796625221401143,0.00015756556525919037,0.00013530922108911527,0.00028940261754909646,9.568243321243547e-05,2.1028536550667858e-05,2.208041840881774e-06,0.00013165152517213233,0.0002354413240715242,6.950827471295976e-05,0.00010622771009108086,0.00011858104495419786,0.00045598300114862934,0.00017640847202552852,0.0015839314240579155,0.0007334303646592596,0.0005662534560726583,0.001081909122074506,0.00037921693388946016,7.554595599770974e-05,7.727833413186342e-06,0.0005263144672139749,0.00096790930554537,0.00014081253961694377,0.00022211412891989706,0.00025756177405323314,0.000903639426217863,0.0003920976269056412,0.002740901829433066,0.0014168898168279646,0.0010607348839674876,0.001994164840678917,0.0007291169105292223,0.00013712909783748366,1.4277707399407173e-05,0.0009431209742837857,0.0017540004242589603,0.00019516439068587312,0.00032105834786913415,0.00035896366764616005,0.0013332593031421126,0.0006286838119150701,0.003872562634426924,0.0019253499660017762,0.001586041997276778,0.00296590839988572,0.001052061379339704,0.000224451979783963,2.2187556260333358e-05,0.0013623498061128385,0.0023990999826148667
Lasso,1.8666525957541243e-05,2.3736120028703293e-05,2.9976500336028626e-05,0.00011002794901035334,3.523531801448621e-05,0.0002983288274688707,0.0001578112662123604,0.00013569204721726927,0.0002912271156434986,9.582239609202454e-05,2.1281660963076638e-05,2.230642320411672e-06,0.00013278998422044353,0.00023816924763611963,6.930715167321619e-05,0.00010618112330811409,0.00011780558199442776,0.0004559830035838546,0.00017640847199021142,0.001580582420817333,0.0007206356627113193,0.0005652422248158404,0.0010799062583091758,0.00037899312880442903,7.553409315896379e-05,7.727833410625807e-06,0.0005250941606331957,0.0009615825722384661,0.00014078271076465042,0.0002221141290060226,0.0002556368481864977,0.0009026802410360854,0.0003920289602731397,0.002753646770017987,0.0014168898151292872,0.0010608373831610925,0.0019951827441453012,0.0007287904423207293,0.00013704517964597244,1.4220850405469787e-05,0.0009431076013101725,0.0017558446502827466,0.00019516438932972897,0.0003210583458372758,0.00035537566945712483,0.0013304503898188599,0.0006286838139328676,0.0038951571805872797,0.0019253498228439109,0.0015855822154084817,0.0029674636620590626,0.0010520613889615975,0.00022501555480532222,2.2211478218966293e-05,0.0013621452486062367,0.0023984779198555416
PCR,1.867737703571757e-05,2.375869930434815e-05,3.0006193349142154e-05,0.00011035961121715972,3.520729711010977e-05,0.0002993897471195864,0.0001587543131269631,0.00013744808068335242,0.00029081309678722093,9.63418941164972e-05,2.0436923635382958e-05,2.108280639807359e-06,0.0001333762329386419,0.00023806050880745212,7.090201743866395e-05,0.0001065625801530766,0.00011878553807607624,0.0004567516313739618,0.00017602889174638849,0.0015822103802170262,0.0007210791099337548,0.0005668815220158534,0.0010798820374668602,0.00037977353860054537,7.552212760299359e-05,7.728414656019091e-06,0.0005255970436780207,0.0009682017416274856,0.00014096827519615332,0.00022246341322535308,0.00025653636491848613,0.0009017530849695363,0.0003919714290512905,0.0027315363664460715,0.0014176419373137141,0.001061036873892269,0.0019953753339933024,0.0007293202324910387,0.00013671909597636237,1.4220824572131255e-05,0.0009432287086586186,0.0017561852800805858,0.0001951955652394243,0.0003225580364302354,0.00035689893159643077,0.0013295629559091826,0.0006276742550699541,0.0038742805496070312,0.0019311098066627297,0.001587911311130436,0.00296931329573643,0.001052165288894645,0.00022324163699209934,2.218825749880667e-05,0.0013636072222034043,0.0023986892123909432
PLS,1.866194560096267e-05,2.437060094911943e-05,3.0456712688733025e-05,0.00010837299976885266,3.590107881895654e-05,0.0002982294786541058,0.00016206567558182312,0.00013562136989628019,0.0002880350722285081,9.593858147515519e-05,2.050947048931113e-05,2.1197414260782116e-06,0.000131645027459849,0.00023403257036805423,7.186600120566173e-05,0.00010698953793698103,0.00012016754023390365,0.0004561585043478934,0.00018044187015949049,0.0015885253646844924,0.0007397147823961181,0.0005673798314015082,0.0010859581403103397,0.00037336667580370225,7.64737787267529e-05,7.804446090547165e-06,0.0005276148382115538,0.0009703912034295196,0.00014514119636142744,0.00022230342636502667,0.000260698921178456,0.0009046344489627198,0.00039642497883933075,0.002760456461799322,0.0014486650896094139,0.0010630982774688133,0.001988009000560382,0.0007286371276393673,0.00013871501540274115,1.4459874360626316e-05,0.0009454737090276121,0.0017448958859634612,0.00019997225455728742,0.0003234840027345675,0.0003657505853178755,0.0013378045266732176,0.0006356878242513012,0.003987253774205376,0.00200799143759422,0.001610309392773942,0.0029701881095884697,0.0010478016155629646,0.00023089173311874634,2.280572535555688e-05,0.0013737141302480708,0.002417047199978474
RF,1.861305286399152e-05,2.3715265117852523e-05,2.983659798527604e-05,0.00010971768032129655,3.577200291223074e-05,0.0002950081173868361,0.00015418712204386947,0.00013450117684601288,0.0002893402725341154,9.557640897780805e-05,2.0518088401948182e-05,2.1888097159514326e-06,0.00013254034251978603,0.00023473594208579368,6.95743675145392e-05,0.00010637208612234434,0.00011801317008232338,0.0004595417281160589,0.0001789237806387253,0.0015838749143694856,0.0007260865757760688,0.0005681951020878895,0.0010826157430048895,0.0003787459011344534,7.549007944280875e-05,7.788160558841368e-06,0.0005266446310738101,0.0009661683307345202,0.0001412118481190873,0.00022259996485770898,0.00025545226516218136,0.0009124152366085554,0.0003970050324030433,0.0027410302611526375,0.0014232036273042416,0.0010569423666151904,0.0019943506969457656,0.0007286336752527786,0.00013593073283365908,1.4280647618130337e-05,0.0009435653554250806,0.0017594817681674635,0.00019608894847647336,0.0003215866754228433,0.00035767833986989454,0.0013427736346760847,0.0006399495099581586,0.0038788416473836086,0.0019429418439380903,0.0015791632101251594,0.002953800423665756,0.0010460475765447176,0.0002215760753674213,2.2532350145256055e-05,0.0013595993502894762,0.002402039140343332
LGB,1.8702615080455076e-05,2.3822198484030674e-05,3.009018055319923e-05,0.0001100838443292188,3.5874193222234385e-05,0.00029904743643642784,0.0001550495859892182,0.00013583777310700868,0.000287089063475784,9.801935420116385e-05,1.9872621909201318e-05,2.1058091303132316e-06,0.00012974557634582215,0.0002336586826340658,7.149404568515126e-05,0.00010750514787816972,0.0001197783211742699,0.0004629412874834242,0.00017882819518856045,0.001600104876828074,0.0007453028782249926,0.0005818527843816754,0.00109376841582562,0.0003788224357781412,7.647219554875687e-05,7.849383714830708e-06,0.0005362409994348294,0.0009858883126685903,0.0001420923751422061,0.0002247950922150451,0.00026203828058376794,0.0009209380329584472,0.00039842974483070634,0.0027621050765756243,0.0014803589637816343,0.0010898592686154219,0.0020121118469032897,0.0007273423223864853,0.0001365425951424886,1.436579344512489e-05,0.000967888652760062,0.0017953983074635196,0.0001964144734584717,0.00032570302349186914,0.00036480170885113365,0.0013539725837968279,0.0006650791122267747,0.003927717166901895,0.002037173762583852,0.001617421670116084,0.0029587044862267277,0.0010538674134202793,0.00022442816749488543,2.250134385531606e-05,0.001384252524825842,0.0024492831629071773
