Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),-0.060095975624867286,-0.047992680061384456,0.005664032499203461,0.07149498629778,-0.0462526884898455,-0.05698076164206667,0.1152694548386144,0.07970497064805256,0.08390177589917099,-0.0026504840764385463,0.13506824963587719,0.2638181973190263,0.09696636965111981,0.08702296221251452,-0.0021140715143329425,-0.0022087469384522856,0.01886893249458431,-0.06104595588347154,-0.037131116337794035,-0.09715571741499036,-0.08428777876827237,0.012129702075027055,-0.04229341810631576,0.009309398640508117,-0.14100823964645692,-0.076562799901029,-0.012104998864930085,-0.022974716233273886,-0.08953181951833833,0.02876211593716282,-0.0206463955708181,-0.04659077393285458,-0.09956400303527366,-0.10289923196293667,-0.06002857928446014,-0.03592028264045023,-0.07105000098782013,-0.0632296731428012,-0.23422370392840192,-0.2180931785919009,-0.06697377135752591,-0.050175281819218834,-0.1157918771584325,0.03859308718279625,-0.08258141120404233,0.13498346761775873,-0.021004928925243367,-0.1843928848331853,-0.09609029129506043,-0.08320132481396583,-0.08839939348891486,-0.09671558192815016,-0.20094649551155952,-0.2670649868835125,-0.05920780773884639,-0.10578332995095498
Fwd (CV),-0.12209442511273658,-0.08627369505275907,-0.04336441219772591,-0.026265508889910763,-0.06786513234276889,-0.15845525640689576,-0.1610384115772918,-0.10134511550050013,-0.06783837036576552,-0.0326802828265236,-0.020718161252609727,0.0021862599212586634,-0.12239900090631554,-0.086790834931647,-0.13204112202308171,-0.07008553726476471,-0.03638746619696071,0.11822725577600193,-0.08890412236094115,-0.15742935526059795,-0.10070705811874676,-0.11911950158728161,-0.03967645878748279,-0.04893032944210434,-0.19120227712282797,-0.07018826360124038,-0.09596608182496906,-0.1571964658376156,-0.16666086812028655,-0.021092986355309026,-0.013436165477993825,0.12024023173077525,-0.1716160540874618,-0.14045865305470073,-0.10395909136486654,-0.09443342543538291,-0.07835875628907348,-0.1015136805182245,-0.24355959113896608,-0.18791655305682056,-0.09604339540510963,-0.11616777342028017,-0.16825541801029448,-0.1136998705434907,-0.012593960372311388,0.14835985515353767,-0.18936544732930435,-0.2565157047234031,-0.09069115598798921,-0.09916431291187396,-0.10583516487758095,-0.18395678349314257,-0.20213088290698744,-0.2860087719092819,-0.10520547622840266,-0.18716818935766025
Bwd (Cp),-0.028405893589824066,-0.047992680061384456,0.03117952778049385,0.07149498629778,-0.0462526884898455,-0.05698076164206667,0.1152694548386144,0.08005756699787422,0.08390177589917099,-0.0026504840764385463,0.13506824963587719,0.2638181973190263,0.09696636965111981,0.08702296221251452,-0.0021140715143329425,-0.0022087469384522856,0.015538623377718592,-0.06104595588347154,-0.037131116337794035,-0.09456248880825932,-0.05728157236053957,0.005196375004707908,-0.05720807118369933,0.009309398640508117,-0.13380834482955423,-0.07551473643924515,-0.035185950371737676,-0.038898795356441335,-0.08953181951833833,0.011536259362292321,-0.0206463955708181,-0.04659077393285458,-0.09956400303527366,-0.10289923196293667,-0.04663546326449723,-0.03592028264045023,-0.07105000098782013,-0.0632296731428012,-0.23199452122010114,-0.2180931785919009,-0.06697377135752591,-0.059515097759207956,-0.1157918771584325,0.03859308718279625,-0.08258141120404233,0.13498346761775873,-0.021004928925243367,-0.1843928848331853,-0.0552645534020959,-0.08320132481396583,-0.03684938619278271,-0.09671558192815016,-0.19154037160715814,-0.27354041754424324,-0.05920780773884639,-0.10578332995095498
Bwd (CV),-0.12209442511273658,-0.08627369505275907,-0.04336441219772591,-0.026265508889910763,-0.06786513234276889,-0.15845525640689576,-0.1610384115772918,-0.10134511550050013,-0.06783837036576552,-0.0326802828265236,-0.020718161252609727,0.0021862599212586634,-0.12239900090631554,-0.086790834931647,-0.13204112202308171,-0.07008553726476471,-0.03638746619696071,0.11822725577600193,-0.08890412236094115,-0.15742935526059795,-0.10070705811874676,-0.11911950158728161,-0.03967645878748279,-0.04893032944210434,-0.19120227712282797,-0.07018826360124038,-0.09596608182496906,-0.1571964658376156,-0.16666086812028655,-0.021092986355309026,-0.013436165477993825,0.12024023173077525,-0.1716160540874618,-0.15476364469321172,-0.10395909136486654,-0.09443342543538291,-0.07835875628907348,-0.1015136805182245,-0.24355959113896608,-0.18791655305682056,-0.09604339540510963,-0.11616777342028017,-0.16825541801029448,-0.1136998705434907,-0.012593960372311388,0.17795185081931522,-0.18936544732930435,-0.2565157047234031,-0.09069115598798921,-0.09916431291187396,-0.10583516487758095,-0.18395678349314257,-0.20213088290698744,-0.2860087719092819,-0.10520547622840266,-0.18716818935766025
Ridge,-0.04639183757262119,-0.09091128134151329,-0.005439269622213078,0.1306531486157897,-0.11402588379311479,-0.12172569101914775,0.08438989933923745,0.10961781761011531,0.11740979419001184,-0.0015528340514402365,0.2258130857202973,0.24219056961330526,0.1204056972903925,0.12750793103861602,-0.11340020764082456,-0.05664354807217304,0.014885996206536115,0.1187850206792032,-0.09005177999710498,-0.0565530101987142,-0.05489254073185146,-0.008131797832092523,-0.028885536580799478,-0.004209098435660094,-0.13375285387485364,-0.06920629067891862,-0.02218512549139461,-0.046009120352153376,-0.16629120257616078,-0.020763145712244472,-0.006651835496058275,0.043884361251809986,-0.15830579457410934,-0.05969490691683635,-0.1049494562828747,-0.08782457055254433,-0.0633143043126899,-0.10066678625299662,-0.1921984097483818,-0.21275061503742626,-0.09395010291205044,-0.07704602039501708,-0.1684735405378584,-0.11335981237465187,-0.04867795588895739,0.08009732006346025,-0.1883488720801498,-0.2557497047978476,-0.09209976149627129,-0.098106665482548,-0.08444433452625791,-0.18256879926060032,-0.1692012488954315,-0.20197872720860452,-0.1044781730897921,-0.15566419969036793
Lasso,-0.1353071671297108,-0.08627369505275907,-0.04336441219772591,-0.026265508889910763,-0.11361310330903182,-0.12312127848257946,0.08398096218819368,0.08396360243295035,-0.06783837036576552,-0.013723425450861823,-0.06412992856497692,0.0021862599212586634,0.10097644922901224,-0.08475645683275689,-0.09283546300680297,-0.07008553726476471,-0.04379265011894219,0.11822725577600193,-0.08890412236094115,-0.1527002253103268,-0.10070705811874676,-0.05608146218674543,-0.046763639449075786,-0.030182517792701175,-0.19224674939796088,-0.07018826360124038,-0.08771045645572209,-0.060491226998443386,-0.1374058111192982,-0.021092986355309026,-0.00045257882242405597,0.12024023173077525,-0.1716160540874618,-0.15213484111568165,-0.10395909136486654,-0.09443342543538291,-0.08064717825246359,-0.06670421102328379,-0.24545010187492688,-0.18791655305682056,-0.09575987791949954,-0.11616777342028017,-0.16825541801029448,-0.1136998705434907,-0.012593960372311388,0.14835985515353767,-0.18936544732930435,-0.207619166935009,-0.09069115598798921,-0.09916431291187396,-0.10444738083609421,-0.18395678349314257,-0.23522487873478015,-0.21510582390489544,-0.09794006391174949,-0.19181649057688852
PCR,-0.08918509890197882,-0.08930046167622475,-0.04935318051700411,-0.017856587643369122,-0.06605839370535418,-0.15720826676598365,-0.16654683155564057,-0.13164687479141454,-0.09123753408175946,-0.07344635518433675,0.2440593325044685,0.26471493134416535,-0.14235772426483762,-0.13915080950776662,-0.09695371086936984,-0.05630524795360371,-0.06647652090697774,0.08528795455047428,-0.06197347860930175,-0.14799358519696035,-0.11720158141919453,-0.13951782862920728,-0.039059486729356434,-0.046661017379195056,-0.16806816820403583,-0.07327349801735446,-0.09083595480432106,-0.03473143564409147,-0.14384694429187944,-0.012510209528811371,-0.007678182090529318,0.11481754762957089,-0.16802335508694977,-0.06622222468791976,-0.11631669172431777,-0.10851916987361453,-0.08870001645853098,-0.12377444045617872,-0.18349240164486685,-0.18803002479875286,-0.09400249898444085,-0.13192048865193537,-0.16855935166756192,-0.06034489703882277,-0.010210212910902752,0.15228983627124035,-0.12881618300478723,-0.2581788967199351,-0.10695333079896968,-0.1077938302047557,-0.09836085128887503,-0.14056281483987948,-0.2271704766745801,-0.2048528379720369,-0.09211100312898354,-0.1330194294758982
PLS,-0.023189073684990624,-0.08047606128124112,0.013814387989226235,0.1560461015444313,-0.11057729122052454,-0.13340483473520107,0.10347772505940298,0.12132799103090935,0.12261584360458533,-0.0018912558606996937,0.23378297651382218,0.26593634537155486,0.11382101404730395,0.12089124314402255,-0.0639592272908896,-0.040895799243461144,0.022747336479808377,0.010242157780376413,-0.10534671776783253,-0.046936525101655836,-0.026646062810284636,0.016039015495544873,-0.029493624959393335,0.0293434586477694,-0.09832613847268812,-0.08402347170174113,-0.01006996545383843,-0.03720175665378834,-0.05039713140750029,0.012675781117565076,-0.010934382241060152,0.026146749686702317,-0.08859510102887395,-0.02568652724380016,-0.03642895493259708,0.05853997419647543,0.020073983254215267,0.04687106066293978,-0.18091772029004002,-0.2150953700981163,0.03815839517610937,0.020809870680329103,-0.09637595367298177,-0.07223092511954694,-0.037546491177285604,0.04695773626992259,-0.04181956067824267,-0.01380266400464804,-0.09771895406100545,-0.021191914093441323,-0.041645190464172636,0.06215842220936928,-0.12488298553283057,-0.2138354021372467,-0.03512579293324737,-0.03511092899666117
RF,-0.011808074299472312,0.010887240128770653,0.05917155406930662,0.0384509127577816,-0.06823963854699974,-0.028666375136301405,0.1051208051509964,0.09947222139235931,0.08311297684572985,-0.017570614521556928,0.1634004672680617,0.13846189745137769,0.07005362087465128,0.07722486051050888,-0.02326756559584942,-0.013917581694458893,-0.030167731455167286,-0.03094989744821315,-0.15757076420110577,-0.07328463048666455,-0.020718208849008216,-0.034972688501242515,-0.0938140910639423,-0.001902694785572181,-0.011942785174982996,-0.11346690104295035,-0.076357751069441,-0.02062103567846411,-0.0632598759895885,0.015276475581272783,0.03345125634843933,-0.04841717629552372,-0.1124667516099464,-0.10519369334924616,-0.016958513312563334,0.042107461522169286,-0.04240100023491944,0.02917622894987792,-0.04634586709027351,-0.1795843098139787,-0.03402681285952576,-0.02864437799389617,-0.08354275558273531,-0.06922122993645638,-0.05213900804326391,-0.0566190452368921,-0.10137723115963249,-0.1544739029704049,-0.0807376010634589,0.026231852763326406,-0.012009748869099524,0.05759107174541149,-0.0766518845441852,-0.24349082923216706,0.003949560662900424,-0.06448419111050406
LGB,0.022844343419459966,-0.0008870041689746543,0.022565497203530818,0.010929718492411344,-0.0703709674441187,-0.054261334657029224,0.06858817638850141,0.0731749849453405,0.09028006814330214,-0.04777375704976984,0.17448168572810743,0.148362193859962,0.11282809447184519,0.08035640809449882,-0.024375885129488788,-0.0802505175433873,-0.05140578430453657,0.04426541445323977,-0.07524936433268527,-0.044866633345727706,-0.07051012693218281,-0.07807613924787071,-0.08041082804487323,0.031655236912004656,-0.009233593767877182,-0.13930463199002405,-0.09870613488282866,-0.08349521758225692,0.027659417345319702,-0.008752740085625458,-0.09550848573991567,0.03297821124740255,-0.07111941449247322,-0.058921544623170015,-0.0682593812474919,-0.061089743083981796,-0.049043149540164914,0.05392873486925417,0.04656035700863344,-0.04149606847202165,-0.08934395984266771,-0.06656824822264,0.03364111388312467,-0.04570183746840826,-0.07228652078451155,0.015034384904653267,-0.08689463573643842,-0.15555009850181523,-0.10198029946049784,-0.10214557391813801,0.013460742358709287,0.04049853205955311,0.010968023862738664,-0.08296751929859042,-0.057690055760456375,-0.09177298583205903
