Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),0.0034625400083995173,-0.06334861523811997,-0.005774778594587637,0.04016955464529748,-0.01763505961346712,2.23105199229634e-05,-0.008751779585074226,-0.0015839957133285676,0.010798312192973003,-0.005809585586538768,0.03361444628097365,0.07050067941526295,0.008095377511252,0.0017218080326756313,-0.08520068073311426,-0.019269069939126915,-0.02634583515980582,-0.013138433372876346,0.0007254646300208778,-0.00046834670694018143,-0.06629464883948644,0.002712848290586267,-0.004726591227814714,-0.0002920361061937715,-0.027609361957319445,-0.01821024620193823,-0.00522637271925408,0.0005468702874276143,-0.06013458379541348,-0.005896923030167978,-0.029308870826725508,-0.009618914676506218,-0.019108837113569033,-0.01571763037230034,-0.03131741536076871,-0.021950523386445653,-0.007023540502615999,-0.00558465385932827,-0.03537857488104379,-0.03054266297292929,-0.019408235887904413,0.0031828700121907527,-0.0569572158915479,-0.0024323042099874126,-0.03551131452926115,-0.007199040109893806,-0.003771573041220666,-0.023651613335372135,-0.06576418243802218,-0.01885082416176087,-0.005238947840445984,-0.0031163499749837786,-0.04151400430508745,-0.03556645979820017,-0.010896251845732285,-0.006128514089757342
Fwd (CV),0.00014247945521617122,0.00011282948853497121,6.371066218191501e-05,2.4843473269364758e-05,0.0002589256787705052,-0.0003530275947620787,-0.00015411529624831388,-0.00012473628764797517,6.136131460454664e-05,-7.566960729121774e-07,0.0002743690269308985,-4.6836880257750124e-05,-4.7974176520027e-05,1.1055436829332521e-06,-0.0005341376329808245,-0.0005052535881162612,-0.0003660004171719411,-0.0004007019258343014,-0.0008039505650341283,-0.0005178263753584655,-0.00024147078678082856,-0.0003206268030291337,-0.0005464452031851419,-0.00040454768459241564,-0.0006589750885448442,-0.0006266578028113479,-0.0004200755561214464,-0.000450054402242106,-0.001166493234936672,-0.001171834898933799,-0.001123478690412627,-0.0009751772923893842,-0.0014467454273787705,-0.009664579894021363,-0.0009366502696974699,-0.00125833703486955,-0.001303437919947692,-0.0011012474511837844,-0.0011488352372757138,-0.0012575909649190642,-0.0011991695232993482,-0.0009617333567659703,-0.0015700399092224426,-0.0016154020462697538,-0.0016642560290185404,-0.0015520414297138796,-0.0019801083284320953,-0.0014768634679913628,-0.0013338766104042943,-0.0018543012265717085,-0.0019303360257580948,-0.0017183325129561666,-0.03128586953858714,-0.033759509477228056,-0.0018706236092307371,-0.0014641196712001925
Bwd (Cp),-0.004049917688606852,-0.06334861523811997,-0.005608557366083122,0.04016955464529748,-0.01763505961346712,2.23105199229634e-05,-0.008751779585074226,0.0028699642024071492,0.010798312192973003,-0.005809585586538768,0.03361444628097365,0.07050067941526295,0.008095377511252,0.0017218080326756313,-0.08520068073311426,-0.019269069939126915,-0.024324068298966717,-0.013138433372876346,0.0007254646300208778,-0.0013688854832032415,-0.06934870418048522,-0.004750821646683168,-0.020584592558468895,-0.0002920361061937715,-0.027793310594666387,-0.01838789967907095,-0.021307807684006308,-0.0071183922331765626,-0.06013458379541348,-0.006411558685965657,-0.029308870826725508,-0.009618914676506218,-0.019108837113569033,-0.01571763037230034,-0.03772237396954603,-0.021950523386445653,-0.007023540502615999,-0.00558465385932827,-0.03478570786728863,-0.03054266297292929,-0.019408235887904413,-0.007388763406993126,-0.0569572158915479,-0.0024323042099874126,-0.03551131452926115,-0.007199040109893806,-0.003771573041220666,-0.023651613335372135,-0.062409890049783145,-0.01885082416176087,-0.003772186570720315,-0.0031163499749837786,-0.04608941298592484,-0.03594527998936514,-0.010896251845732285,-0.006128514089757342
Bwd (CV),0.00014247945521617122,0.00011282948853497121,6.371066218191501e-05,2.4843473269364758e-05,0.0002589256787705052,-0.0003530275947620787,-0.00015411529624831388,-0.00012473628764797517,6.136131460454664e-05,-7.566960729121774e-07,0.0002743690269308985,-4.6836880257750124e-05,-4.7974176520027e-05,1.1055436829332521e-06,-0.0005341376329808245,-0.0005052535881162612,-0.0003660004171719411,-0.0004007019258343014,-0.0008039505650341283,-0.0005178263753584655,-0.00024147078678082856,-0.0003206268030291337,-0.0005464452031851419,-0.00040454768459241564,-0.0006589750885448442,-0.0006266578028113479,-0.0004200755561214464,-0.000450054402242106,-0.001166493234936672,-0.001171834898933799,-0.001123478690412627,-0.0009751772923893842,-0.0014467454273787705,-0.006802468255809657,-0.0009366502696974699,-0.00125833703486955,-0.001303437919947692,-0.0011012474511837844,-0.0011488352372757138,-0.0012575909649190642,-0.0011991695232993482,-0.0009617333567659703,-0.0015700399092224426,-0.0016154020462697538,-0.0016642560290185404,-0.0010012573773845457,-0.0019801083284320953,-0.0014768634679913628,-0.0013338766104042943,-0.0018543012265717085,-0.0019303360257580948,-0.0017183325129561666,-0.03128586953858714,-0.033759509477228056,-0.0018706236092307371,-0.0014641196712001925
Ridge,0.000612554752155936,-0.0014505128192239258,-0.0032306052125354867,0.003505715966777956,3.727337200754022e-05,0.0018550139054055448,0.007148105925302128,0.015666453595112317,0.006325840282400463,0.004772295779212787,0.01176684528333194,0.010085463515477566,0.01412022340629393,0.011472465374222751,-0.003017349073018538,-0.0009442235260286314,-0.005372588574268811,-0.0004006965830891662,-0.0008039507653958555,-0.0010954221488022053,-0.01800050237083517,-3.0106710719124408e-05,-0.0024448978350815054,0.0013058524681516248,-0.0010345901218011821,-0.0006266581343583599,-0.0021722531167218673,-0.00274847413239665,-0.0011665011304224926,-0.0011718345107258887,-0.008397055062916214,-0.0020388103639230604,-0.001622155875602438,-0.0013823312485607975,-0.0009366514696980133,-0.0011615944296736735,-0.000800251099682292,-0.001101234263332529,-0.003462773178510181,-0.005260762024039245,-0.0011991579727170798,8.96123173365071e-05,-0.0015700468688595315,-0.0016154083851194212,-0.01177741189628323,-0.003666568130319181,-0.0019801051125183378,-0.0014768971727514568,-0.001333951063793748,-0.0021448156116992134,-0.001379133087437534,-0.0017183233514876939,-0.0069005174974898775,-0.0018085301093879735,-0.0018706239463781582,-0.0013084258115345637
Lasso,-3.6618550330658195e-05,0.00011282948853497121,6.371066218191501e-05,2.4843473269364758e-05,3.7277475267050164e-05,0.0006404378585187498,0.005599895462378046,0.012881509617538978,6.136131460454664e-05,0.003316491085990858,-0.00012870132343323348,-4.6836880257750124e-05,0.005594809433743131,1.8963884663270036e-05,-0.00011510615310483807,-0.0005052535881162612,0.0012020642592313058,-0.0004007019258343014,-0.0008039505650341283,0.0010212552287570675,-0.00024147078678082856,0.0017557750191314891,-0.0005891407094142931,0.0018952587120025788,-0.0008773995513082777,-0.0006266578028113479,0.00015137177245605482,0.0038059851887335405,-0.0009544202478213304,-0.001171834898933799,-0.0008606510978261817,-0.0009751772923893842,-0.0014467454273787705,-0.0060386666844023384,-0.0009366502696974699,-0.00125833703486955,-0.0013111005660713104,-0.0006529827939860677,-0.0028486892058017244,-0.0012575909649190642,-0.001184961480128921,-0.0009617333567659703,-0.0015700399092224426,-0.0016154020462697538,-0.0016642560290185404,-0.0015520414297138796,-0.0019801083284320953,-0.007320034680854626,-0.0013338766104042943,-0.0018543012265717085,-0.0019042359823635557,-0.0017183325129561666,-0.009428737481120386,-0.002888650061950937,-0.0017201925697578613,-0.0010487964977046182
PCR,-0.0006179519785090015,-0.0008383254605230928,-0.0009267692477197276,-0.0029894267203340874,0.0008324983333943825,-0.00291349357546955,-0.00034243028515690277,0.00010689872729618966,0.0014829097532572666,-0.0020869963555887328,0.039569612072852145,0.05481064095200727,0.001204653265251543,0.00047551638938891916,-0.023129316170440672,-0.004099579636962725,-0.007106354534654136,-0.0020870274570481406,0.0013494914056864094,-7.667285010448666e-06,-0.0008569750213569538,-0.0011393005627988728,-0.0005666988431751729,-0.00016000471746524525,-0.0007188479086950306,-0.0007019194711654908,-0.0008061839579691643,-0.0030514362316786947,-0.0022737693138021875,-0.0027462215637228393,-0.004382408264048676,5.293893958491225e-05,-0.0012997806346728424,0.002039319632338721,-0.0014679736314970881,-0.0014466239117485458,-0.0014077545458761609,-0.001380401930393571,-0.00046252296861881703,-0.0012557720985666432,-0.0013135267210626633,-0.0011559176160755857,-0.0017300325043110298,-0.0062940320077333745,-0.005957732956788808,-0.000883988527724533,-0.00037109935379686654,-0.0019211643225929276,-0.004329522834315869,-0.003325946496260279,-0.0025287274765859458,-0.001817260644691343,-0.0014708715453808363,-0.0018401923021937883,-0.002795326425552469,-0.0011369833167373944
PLS,0.00020876852999740514,-0.026614762531189884,-0.015954895668600866,0.015065641213284464,-0.018856719346748596,0.0009732423979430527,-0.021207982221377764,0.013395665692487957,0.011021355681741452,0.0021080047606022445,0.03616028274793881,0.04967251416518492,0.014168881886519658,0.017387280162484253,-0.03703978145700404,-0.008122644119122668,-0.018823464021814118,-0.0007857405920850269,-0.023686302962714345,-0.003998939852306815,-0.02672326695967575,-0.002019338261054271,-0.006196523169351709,0.016712913676817043,-0.013328863627342313,-0.010546733169552125,-0.0046483312291658585,-0.005319706067067553,-0.03194292302621693,-0.0020250862661643776,-0.02067950626904924,-0.003142183433549439,-0.012676473156889134,-0.008526572291911227,-0.0233837286945191,-0.0033922543634752333,0.0022891456295580648,-0.0004424767495838644,-0.015067963201358836,-0.018086721621611845,-0.0036967761030326507,0.005279874697444176,-0.026243669070678877,-0.009182797007055044,-0.030907063767932508,-0.007088174784102286,-0.013142920002707115,-0.031136979563007428,-0.04431403922056254,-0.01747823340746879,-0.0028240907240828506,0.0023376029586166247,-0.035789507345521665,-0.029719989369643818,-0.010227936041265373,-0.008799026493572004
RF,0.0028281379543624308,0.0009913453443963771,0.004730480829246653,0.002844681375325564,-0.015193602270614281,0.0117643490196927,0.028436347044720978,0.02154473039740934,0.006539904104277849,0.005875092312258023,0.035755285140432025,0.018707655216531838,0.007464265209138676,0.01443409293927933,-0.003971080508689662,-0.0023046251988585453,-0.0005579419320231871,-0.008208340570249772,-0.015073848172121762,-0.0010597062146810998,-0.007807331849640997,-0.003459144451650742,-0.003099618764884182,0.0025463499609619245,-0.0002941882896445591,-0.008438026072048244,-0.0028009287088259782,-0.0009448342406415122,-0.004005554364248098,-0.0033617233732474716,-0.00013797794953229747,-0.011770239016471562,-0.014158232956340555,-0.001429253489032778,-0.0053969307667058875,0.002417926501255163,-0.0008935257351267989,-0.00043773651050127427,0.005306442757286534,-0.005467776107707101,-0.0016709044788545402,-0.0030351604231768636,-0.0063148129935104436,-0.003263647784536028,-0.008154578367096654,-0.01082887815977207,-0.019935085176335576,-0.003100702132615707,-0.010483116125552305,0.0022015641774406625,0.0027088808010081733,0.004007708010428601,0.006000904214523151,-0.017376601283708437,0.00015205839227272477,-0.0025351372531701166
LGB,-0.0019700497912209514,-0.0035132367360717343,-0.003728358900790596,-0.00048315409220700545,-0.018093718017118565,-0.0017668009901767867,0.02300179057737317,0.011821397965904201,0.014269510312855394,-0.019534867327664074,0.06608889332349299,0.05591867392946159,0.028393027315135155,0.018957090905623586,-0.03167239402441213,-0.012981044924175622,-0.015523525370931157,-0.015666779921323704,-0.01453157095004598,-0.011317562629521438,-0.03447953754131916,-0.027579250625312968,-0.013433148391594596,0.002344790658347251,-0.013307885456963708,-0.016365412533759338,-0.02107368140933419,-0.02137462211541097,-0.010266034867509655,-0.013256184810779503,-0.025923320437327924,-0.021221102344960885,-0.017797692711709168,-0.009128890000008605,-0.045773303317241165,-0.028650287232768967,-0.009807213798776138,0.0013353329789682622,0.0008290483974905394,-0.01146269927942467,-0.027492050943545232,-0.023510252809150423,-0.007985384506742355,-0.01610554297142963,-0.0282325541663766,-0.01925935436510784,-0.05998599955544681,-0.015740317874330723,-0.059491151589269986,-0.021972144588798148,0.0010531230182995177,-0.0034379354070552814,-0.006793694620640833,-0.0159766108843844,-0.01797786040257887,-0.022253297482094148
