Method,p,Adj.R2,Cp,BIC,target
Fwd (Cp),5,0.025268619258476455,4.713008801296837,-11462.49273903944,ret_CADUSD
Fwd (CV),0,0.0,28.760098029514438,-11463.85455821834,ret_CADUSD
Bwd (Cp),8,0.03080833615996237,1.3925341378667326,-11450.842215805269,ret_CADUSD
Bwd (CV),0,0.0,28.760098029514438,-11463.85455821834,ret_CADUSD
Ridge,27,-0.024657523537857218,82.76008601334684,-11274.213078176897,ret_CADUSD
Lasso,0,0.0,28.760098029514438,-11463.85455821834,ret_CADUSD
PCR,1,-0.00018455437863829083,29.947360549089353,-11457.624901379675,ret_CADUSD
PLS,1,0.03195848903953813,-6.976489887964817,-11494.307524282145,ret_CADUSD
Fwd (Cp),11,0.032398973713846924,4.758344648794491,-11201.905124758332,ret_EURUSD
Fwd (CV),0,0.0,30.977055875207043,-11231.1389240038,ret_EURUSD
Bwd (Cp),11,0.032398973713846924,4.758344648794491,-11201.905124758332,ret_EURUSD
Bwd (CV),0,0.0,30.977055875207043,-11231.1389240038,ret_EURUSD
Ridge,27,-0.024680064379275723,84.97704605024501,-11041.521495257179,ret_EURUSD
Lasso,0,0.0,30.977055875207043,-11231.1389240038,ret_EURUSD
PCR,1,-0.0007718195767130176,32.83786868795073,-11224.251747126098,ret_EURUSD
PLS,1,0.03633269098111991,-9.830474898249804,-11266.641671141137,ret_EURUSD
Fwd (Cp),7,0.02500694223654565,8.409893784339374,-11485.553018206429,ret_GBPUSD
Fwd (CV),0,0.0,30.174824824855932,-11499.27031440969,ret_GBPUSD
Bwd (Cp),11,0.029818431798495304,6.928671661428552,-11467.048182263685,ret_GBPUSD
Bwd (CV),0,0.0,30.174824824855932,-11499.27031440969,ret_GBPUSD
Ridge,27,-0.0018405861567265536,58.53813722538507,-11334.944490401906,ret_GBPUSD
Lasso,0,0.0,30.174824824855932,-11499.27031440969,ret_GBPUSD
PCR,1,-0.0007922103969317806,32.059166737641135,-11492.360276909052,ret_GBPUSD
PLS,1,0.033600424767353254,-7.463088659671939,-11531.59637915876,ret_GBPUSD
Fwd (Cp),9,0.03860004660344729,3.59403538629158,-9899.502150610004,ret_GC
Fwd (CV),0,0.0,39.33106845098655,-9909.464998061823,ret_GC
Bwd (Cp),9,0.03860004660344729,3.59403538629158,-9899.502150610004,ret_GC
Bwd (CV),0,0.0,39.33106845098655,-9909.464998061823,ret_GC
Ridge,27,0.015262624500590793,48.125134854946964,-9764.450112484179,ret_GC
Lasso,4,0.020540107982994993,19.44605765065853,-9908.687411382789,ret_GC
PCR,6,0.00025410175698392656,44.832824008195985,-9873.629299015169,ret_GC
PLS,1,0.02728415377493487,8.666470253680245,-9934.508438166115,ret_GC
Fwd (Cp),9,0.03989820420790846,1.9038820348553145,-11161.969397678407,ret_JPYUSD
Fwd (CV),2,0.01879802254658225,19.288183989829804,-11179.68202492007,ret_JPYUSD
Bwd (Cp),9,0.03989820420790846,1.9038820348553145,-11161.969397678407,ret_JPYUSD
Bwd (CV),2,0.01879802254658225,19.288183989829804,-11179.68202492007,ret_JPYUSD
Ridge,27,-0.0246575200260426,93.12531608332438,-10980.773381600144,ret_JPYUSD
Lasso,8,0.019708133061136723,24.152611885371698,-11144.613833044452,ret_JPYUSD
PCR,6,0.010800982646016366,32.45796780912815,-11146.489250537204,ret_JPYUSD
PLS,1,0.02889009393187103,6.605094340889309,-11197.313887272181,ret_JPYUSD
Fwd (Cp),8,0.05746153799426834,-2.745917508086677,-9081.198016882085,ret_XLE
Fwd (CV),0,0.0,56.850852724634024,-9062.894762162061,ret_XLE
Bwd (Cp),8,0.05746153799426834,-2.745917508086677,-9081.198016882085,ret_XLE
Bwd (CV),0,0.0,56.850852724634024,-9062.894762162061,ret_XLE
Ridge,27,0.045743132246664486,29.924804469480478,-8953.189347188341,ret_XLE
Lasso,9,0.04944803273130394,7.627628801112223,-9065.675351420557,ret_XLE
PCR,9,0.03197128302024399,28.047512993786086,-9045.215505280816,ret_XLE
PLS,2,0.0597329388662603,-11.47978349849177,-9120.017883893637,ret_XLE
Fwd (Cp),13,0.10893863977699769,9.36469035916366,-8838.071327267751,ret_XLF
Fwd (CV),0,0.0,132.90955536176943,-8786.763589188586,ret_XLF
Bwd (Cp),13,0.10893863977699769,9.36469035916366,-8838.071327267751,ret_XLF
Bwd (CV),0,0.0,132.90955536176943,-8786.763589188586,ret_XLF
Ridge,27,0.05020838966722607,95.29348440248214,-8682.325364975723,ret_XLF
Lasso,0,0.0,132.90955536176943,-8786.763589188586,ret_XLF
PCR,4,0.04305709259687396,82.64206638218366,-8812.104239418153,ret_XLF
PLS,1,0.0951654006136542,14.569537402644755,-8893.044666045666,ret_XLF
Fwd (Cp),10,0.11058432775783789,3.8969783429445215,-9783.689104037501,ret_XLI
Fwd (CV),0,0.0,132.44440967459104,-9712.267889875564,ret_XLI
Bwd (Cp),12,0.11192423533940343,4.248216457448052,-9773.356267594365,ret_XLI
Bwd (CV),0,0.0,132.44440967459104,-9712.267889875564,ret_XLI
Ridge,27,0.10411766832231495,28.91611132135199,-9673.450514113556,ret_XLI
Lasso,16,0.10584469623434989,15.791450424108234,-9741.653812356879,ret_XLI
PCR,13,0.057125438878023904,73.14750450798692,-9700.103711848622,ret_XLI
PLS,2,0.10566812676719028,1.9970778299168614,-9825.638727609708,ret_XLI
Fwd (Cp),11,0.10335583403127069,2.6275062494046324,-9881.218285178527,ret_XLK
Fwd (CV),0,2.220446049250313e-16,119.7761646222284,-9824.900484433383,ret_XLK
Bwd (Cp),11,0.10335583403127069,2.6275062494046324,-9881.218285178527,ret_XLK
Bwd (CV),0,2.220446049250313e-16,119.7761646222284,-9824.900484433383,ret_XLK
Ridge,27,0.09264090593872054,31.737382038839087,-9771.788208386868,ret_XLK
Lasso,12,0.09396082711847875,15.168368108045797,-9863.500245452875,ret_XLK
PCR,4,0.044854951557918854,67.89617881266986,-9852.35295823474,ret_XLK
PLS,2,0.10060912665797961,-3.0464444562082917,-9931.936706410861,ret_XLK
Fwd (Cp),12,0.10401451887820612,7.415558496270023,-10229.45588097406,ret_XLV
Fwd (CV),0,0.0,124.95231694824747,-10178.325311382578,ret_XLV
Bwd (Cp),12,0.10401451887820612,7.415558496270023,-10229.45588097406,ret_XLV
Bwd (CV),0,0.0,124.95231694824747,-10178.325311382578,ret_XLV
Ridge,27,0.09841646475553179,29.298087034723267,-10132.384047268992,ret_XLV
Lasso,17,0.09738923942693278,20.570423462093004,-10191.133706262279,ret_XLV
PCR,4,0.06083144076698921,52.98755167764034,-10224.720818405603,ret_XLV
PLS,1,0.0706627005676228,37.87795614095853,-10254.600292041587,ret_XLV
Fwd (Cp),16,0.15863447461619262,9.914060799482513,-12362.53474773764,ret_ZN
Fwd (CV),1,0.07631326691746665,103.79656147347009,-12347.934490780135,ret_ZN
Bwd (Cp),16,0.15863447461619262,9.914060799482513,-12362.53474773764,ret_ZN
