Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),4.053651034028718e-05,6.9924540373259e-05,4.186834953105862e-05,0.00019753837298822814,6.942130396903832e-05,0.0004510696336706944,0.0005312296567510936,0.00024390214684718572,0.00030217193755647766,0.00014675490767555136,4.800859573316925e-05,3.6517474863392606e-06,0.00021848541578921798,0.0004246683048151168,0.00019522372571319877,0.00044474877819533864,0.000208843035300989,0.00134913775124154,0.00024316386730631709,0.0016283294647770525,0.0026725038695393044,0.0009533936581472887,0.0008304528192474215,0.000555830637144204,8.016780215494024e-05,4.247968955991812e-06,0.0009278622110349284,0.001299942370950649,0.0004572579820945188,0.00045088372976240135,0.0003429158005481638,0.0017884312169898391,0.00040063815547756245,0.0030070936469445537,0.004839262369620585,0.0017810041761210293,0.0014179927579254673,0.0010664803826344533,0.0001422036932037764,6.513021807833779e-06,0.0013228736815585256,0.00216729187624058,0.0007127144368198835,0.0008308417820687941,0.0004907429989628684,0.0021085253581126454,0.0006209542627110101,0.004693642511844871,0.007454541971738774,0.003035349492957197,0.0022915367536058013,0.0014115860358335812,0.0002585429358317319,1.3924545739554876e-05,0.0020427216726447935,0.003279163167196961
Fwd (CV),3.958753743489588e-05,4.698438010062621e-05,3.561936288413719e-05,0.00014424101283986324,5.211650275924439e-05,0.0003442635920135315,0.0005087572121636342,0.0002128944335825642,0.00017815910820449682,0.00013736127063021256,1.8087658371996157e-05,1.275005568287539e-06,0.00017101129872219321,0.00031452094411740534,0.0002014359767161032,0.0002416552062735876,0.00019349549418741507,0.0007938186432552091,0.00023909919946482313,0.001521217027384169,0.0024562133658738434,0.0009760959690982644,0.0007861833441579392,0.0005347066394455672,8.208523484243764e-05,3.878102112379282e-06,0.000750879907064363,0.001232039130875368,0.00040545048664828944,0.00041831785131917946,0.00035771508008487475,0.001485555097661554,0.0003932253175534342,0.00291065558013796,0.00338079640021656,0.001832428346391585,0.0014179668858805606,0.0010256866013361797,0.00014672295688100402,6.741529690173121e-06,0.00133683211166191,0.0021426904707576083,0.0006090788216019192,0.0006756867905399195,0.0005146853378262132,0.0021636445426312253,0.0006323988601948401,0.004259938207572966,0.005625507119209505,0.003042806757071066,0.002311753600461915,0.0014324928673134661,0.00024008852780156047,1.1627628888085578e-05,0.002094380578337007,0.0034106908881626034
Bwd (Cp),4.0883137058809094e-05,6.9924540373259e-05,5.7832216993210216e-05,0.00019753837298822814,6.942130396903832e-05,0.0004510696336706944,0.0005312296567510936,0.00024246590929798798,0.00030217193755647766,0.00014675490767555136,4.800859573316925e-05,3.6517474863392606e-06,0.00021848541578921798,0.0004246683048151168,0.00019522372571319877,0.00044474877819533864,0.00021500770152265534,0.00134913775124154,0.00024316386730631709,0.0016393849688995479,0.002673576723714504,0.0009478836043206926,0.0010344786575199772,0.000555830637144204,8.163643362688971e-05,4.147592209852223e-06,0.0007496329855037269,0.0012857810449684905,0.0004572579820945188,0.0004736343363079111,0.0003429158005481638,0.0017884312169898391,0.00040063815547756245,0.0030070936469445537,0.004882295253956615,0.0017810041761210293,0.0014179927579254673,0.0010664803826344533,0.00015661008870099542,6.513021807833779e-06,0.0013228736815585256,0.0021620912530600543,0.0007127144368198835,0.0008308417820687941,0.0004907429989628684,0.0021085253581126454,0.0006209542627110101,0.004693642511844871,0.007819003614212654,0.003035349492957197,0.002293696942902096,0.0014115860358335812,0.0004128227097206269,1.652443287038671e-05,0.0020427216726447935,0.003279163167196961
Bwd (CV),3.958753743489588e-05,4.698438010062621e-05,3.561936288413719e-05,0.00014424101283986324,5.211650275924439e-05,0.0003442635920135315,0.0005087572121636342,0.0002128944335825642,0.00017815910820449682,0.00013736127063021256,1.8087658371996157e-05,1.275005568287539e-06,0.00017101129872219321,0.00031452094411740534,0.0002014359767161032,0.0002416552062735876,0.00019349549418741507,0.0007938186432552091,0.00023909919946482313,0.001521217027384169,0.0024562133658738434,0.0009760959690982644,0.0007861833441579392,0.0005347066394455672,8.208523484243764e-05,3.878102112379282e-06,0.000750879907064363,0.0012607562262189928,0.00040545048664828944,0.00041831785131917946,0.00035771508008487475,0.0014834605105357027,0.0003958796970928193,0.0029061467679020164,0.00338079640021656,0.001832428346391585,0.0014179668858805606,0.0010256866013361797,0.00014672295688100402,6.741529690173121e-06,0.00133683211166191,0.0021426904707576083,0.0006090788216019192,0.0006811615437277971,0.0005146716629816906,0.0021470324660658557,0.0006323988601948401,0.004259938207572966,0.005625507119209505,0.003042806757071066,0.002311753600461915,0.0014324928673134661,0.00024008852780156047,1.1627628888085578e-05,0.002094380578337007,0.0034106908881626034
Ridge,3.95875374639745e-05,4.6984380118575094e-05,3.559704561218311e-05,0.00014354805016895925,5.224410924764278e-05,0.0003414679300313221,0.0005078490127401179,0.00020435894597433128,0.00017554654088041595,0.00013395598909362897,1.7518950059940757e-05,1.2642180415756629e-06,0.00016696579522224684,0.00030938580747629917,0.0002013888371741196,0.00024165520638082076,0.00019245507268038318,0.0007938186467603359,0.0002390991997208668,0.001536109585109526,0.002456132308185106,0.0009757500777098877,0.0007861833443403139,0.000534706639551502,8.15753751896288e-05,3.873322249034963e-06,0.000750879907191178,0.0012607562273777553,0.0004050709747884422,0.0004183178519435035,0.00035771508056338326,0.001483387508678054,0.0003933480560241669,0.0029339014427152547,0.0033806021853103967,0.0018324283481906515,0.001417966888061472,0.0010256866047354972,0.00014648290775345714,6.731930080429973e-06,0.0013368321141326168,0.0021426904715480346,0.0006090788218759007,0.0006811615475533815,0.0005146853404604123,0.0021572029459503445,0.0006297236499341411,0.004259938227904106,0.005625507119982411,0.003042806768831605,0.0023117536038288413,0.0014324928703300993,0.00024044005486800645,1.1622352390128159e-05,0.0020943805859054035,0.0034106909053924876
Lasso,3.958753743489588e-05,4.692865059004568e-05,3.5598175467985004e-05,0.00014330480988740627,5.172003455527744e-05,0.000343185866196683,0.0005087572121636342,0.00020280232369267962,0.0001753777015128982,0.00013360949221189052,1.7992992673887033e-05,1.2655270477342693e-06,0.00016728687422004523,0.00031088600523831447,0.0002014359767161032,0.0002416552062735876,0.00019349549418741507,0.0007938186432552091,0.00023909919946482313,0.001536805833958676,0.0024562133658738434,0.000974968852360646,0.000785956471683218,0.0005344482634998424,8.180896216395994e-05,3.878102112379282e-06,0.0007503213302367164,0.0012594327906587418,0.0004047704396006546,0.00041817419299288475,0.00035752175238842177,0.0014855550976615537,0.0003950991052421525,0.002931676502416488,0.0033796603611288283,0.0018315902800715772,0.0014173923297869848,0.001025480847114767,0.00014619134601691819,6.741529690173121e-06,0.0013363442926072392,0.0021403937684125233,0.0006084327762217731,0.0006809648954418839,0.0005146853378262132,0.002158678087745104,0.0006311823111420808,0.0042576347070558355,0.005620215871965827,0.003040960962995541,0.0023104108468516185,0.0014324928673134661,0.00024000184847181404,1.1619956561908274e-05,0.0020929855738010387,0.0034080212185420094
PCR,3.959042544546847e-05,4.7097570252853035e-05,3.568438745193605e-05,0.0001441762603896109,5.229921315240527e-05,0.0003415536742672665,0.0005076051724891862,0.00021213159578108314,0.00017793226462001633,0.00013699524967168827,1.8178264158084246e-05,1.2621345756130633e-06,0.0001705001088656783,0.0003141434905943908,0.00020049009584415848,0.00023806714963597333,0.00019360127151116813,0.0007971659188308388,0.0002387628642647531,0.0015301658436980114,0.0024557945161390125,0.0009759881279752256,0.0007863879646383198,0.0005345774417144319,8.157425763361475e-05,3.870988557441604e-06,0.0007511761197436087,0.0012617488642046612,0.0004044419039298541,0.00041873344225159685,0.00035842445913457285,0.0014871754036694569,0.0003906726349988602,0.00292656031264673,0.0033822563400286044,0.0018291913903323712,0.0014147871474735803,0.001028410654310447,0.00014652951346060607,6.736473710441971e-06,0.0013336881407630407,0.0021413258307964016,0.0006070182524017495,0.0006832151269533039,0.0005162834346869765,0.0021623146148024787,0.00061830082769027,0.004248423499399777,0.005621567342481308,0.003043398172141759,0.0023141889164826216,0.0014330796599134026,0.00024105662841012582,1.1631778598483786e-05,0.00209391858929906,0.003411043510686123
PLS,4.0492453225195314e-05,4.832745966337401e-05,3.6274651815684305e-05,0.00014605786331163897,5.379229633797762e-05,0.00034014064893716014,0.000508936844337601,0.00020554509376296485,0.0001767833010283608,0.0001353518781917019,1.761895661499869e-05,1.2498384336993977e-06,0.00016692377880107154,0.0003108091754676048,0.0002019976469358067,0.00024322673434909667,0.00019189537979238824,0.0008101288710281413,0.00024096032523406345,0.0015295292907503432,0.002477571167844085,0.0009838353994780006,0.0007917212601483937,0.0005385135102861627,8.191744182079304e-05,3.925320389966852e-06,0.0007570185270852297,0.0012736219738820169,0.000407903706362627,0.0004261474435017048,0.00035883172341064025,0.0014919546288351497,0.00039109467756421836,0.0029463290569987934,0.0034628586607681083,0.0018667262756094434,0.0014449072345853271,0.00104133764618418,0.00014775088286009743,6.793158703123609e-06,0.0013630203131720436,0.0021789560495731725,0.0006212430697735267,0.0007027243821951117,0.000524321708434373,0.0021688786693791237,0.0006264977352938773,0.004305867493709875,0.00567945902690451,0.0030926368799418917,0.0023196872801260764,0.0014486351149783049,0.0002421445590637342,1.186202430263595e-05,0.0021230484497898544,0.003456191878319512
RF,3.964521155187988e-05,4.748826605595793e-05,3.5666617743458546e-05,0.00014520419258119796,5.196941503241135e-05,0.0003442764376525214,0.0005117977781180892,0.00021306417186030217,0.00017916293413972094,0.00013710553754813689,1.8207366808481742e-05,1.2653559644984913e-06,0.00017109311787991466,0.000316663493754278,0.00020161711233834245,0.00024170424205882028,0.0001939644160473757,0.0007872735000368307,0.0002373932651637936,0.0015451473116475255,0.0024641806042603287,0.000981661543107526,0.0007830015107971196,0.0005364279246912149,8.09491556350358e-05,3.880703482903181e-06,0.0007535709835420427,0.001265088855307995,0.0004072541003556697,0.0004191123217913984,0.0003601415575643937,0.001472891490486442,0.00038161206044821857,0.0029564015197022196,0.0034216514233341377,0.001851781726158591,0.001427089939725187,0.0010347001154564059,0.0001448592220191185,6.65535944993149e-06,0.0013553085248910006,0.002165055489850996,0.000611017579669348,0.0006818372807534462,0.00051573285981223,0.002142794165200451,0.0006013637540116477,0.004311251786760526,0.0056871706247495464,0.003078770572944214,0.002331203358053866,0.0014445889985509784,0.00024065278464376015,1.1254688322068277e-05,0.0021168720897327712,0.0034574973768707936
LGB,3.975856601333389e-05,4.777413070639369e-05,3.570982521695141e-05,0.00014728098900439372,5.215132044117073e-05,0.0003459376802951997,0.0005109697413911727,0.00021113054679100336,0.0001801726690114322,0.0001367929634041521,1.834990211967023e-05,1.2616460355067497e-06,0.0001710654423001866,0.00031632915456283694,0.0002027590152320456,0.0002451192108487398,0.00019547115129847482,0.0007835536167675124,0.00023894434944993507,0.0015693315163635383,0.0024922525758823634,0.0009949289952117322,0.0007931043755857841,0.000538256347788422,8.082225481634288e-05,3.965638405833554e-06,0.0007641378726204628,0.0012784667542984221,0.0004090182614055096,0.00042383354296930497,0.0003605276837142538,0.0014679746139424088,0.00039053661546095973,0.0030094716995816124,0.003491052371364924,0.0018770400601448472,0.0014527709958593532,0.0010329053356031449,0.00014507311302341128,6.753775543593735e-06,0.001370570157370195,0.0021676163677109084,0.0006192796944039073,0.0006895091544968389,0.0005164113095722462,0.002083267032143942,0.0006064664548406463,0.004500494942639437,0.005872697583228435,0.0031383607097515425,0.002405118820703311,0.0014406785044712427,0.00025799944723395226,1.147820875668311e-05,0.0021881496849270074,0.003498741554124647
