Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),1.860737311250997e-05,2.5239469098389673e-05,3.0147920002953612e-05,0.00010559298555277355,3.5874019170363555e-05,0.00029852044358249954,0.00015982490798250318,0.0001374783657550982,0.0002881037756344148,9.671251335849846e-05,2.0570850541109695e-05,2.0735060135754935e-06,0.00013245702268375892,0.00023766403861946793,7.524748548829454e-05,0.00010831873920920489,0.00012115151412830591,0.00046172004934553763,0.0001761614415449066,0.0015835023731020055,0.0007709761676095804,0.0005647713858596028,0.0010845149337044464,0.000379838521346425,7.754107072267477e-05,7.863969078302194e-06,0.000528938419527542,0.000964778258147443,0.00014910683027043824,0.00022302531389268432,0.00026290449571011,0.0009105700177447047,0.0003989928177256697,0.0027789636829611396,0.0014594795100096839,0.0010824853238671846,0.002006178146581502,0.000732276865943821,0.00014142693079072523,1.4638047761817878e-05,0.0009601743112460665,0.001747995859811536,0.00020591989462828163,0.00032128319279089556,0.0003673595839362869,0.001337441476408718,0.0006298331694704484,0.003955743869347721,0.002047241870567362,0.0016117802736018245,0.0029766722752122767,0.0010534286423397946,0.00023206091970715497,2.293630491775332e-05,0.0013739917578214319,0.0024100750746551265
Fwd (CV),1.8663182942388127e-05,2.3736120028703293e-05,2.9976500336028626e-05,0.00011002794901035334,3.522750787840627e-05,0.0002986253967868978,0.00015872442754397611,0.00013747992187535844,0.0002912271156434986,9.614132043266569e-05,2.1273084060394646e-05,2.2300516221492503e-06,0.00013354350517314444,0.0002381735010244157,6.933619020903365e-05,0.00010618112330811409,0.00011799053108693023,0.0004559830035838546,0.00017640847199021142,0.0015809665075981012,0.0007206356627113193,0.0005664179591263417,0.0010798601783123991,0.0003798663946910986,7.551760912832633e-05,7.727833410625807e-06,0.000525394269716585,0.000960056424009378,0.00014081253850645574,0.0002221141290060226,0.0002557039788278228,0.0009026802410360854,0.0003962981412926917,0.0027542680877926592,0.0014168898151292872,0.0010608373831610925,0.0019951674757843377,0.0007291169201341304,0.00013681288458990267,1.4220850405469787e-05,0.0009431209851643348,0.0017558446502827466,0.00019516438932972897,0.00032239245614234374,0.00035537566945712483,0.0013304503898188599,0.0006286838139328676,0.0038725625040956155,0.0019253498228439109,0.0015855822154084817,0.0029675409657848777,0.0010520613889615975,0.0002298878102838384,2.2187556221829422e-05,0.0013623498056543834,0.0023994730196595856
Bwd (Cp),1.8744664493861965e-05,2.5239469098389673e-05,3.0140506907715235e-05,0.00010559298555277355,3.5874019170363555e-05,0.00029852044358249954,0.00015982490798250318,0.00013686739228025257,0.0002881037756344148,9.671251335849846e-05,2.0570850541109695e-05,2.0735060135754935e-06,0.00013245702268375892,0.00023766403861946793,7.524748548829454e-05,0.00010831873920920489,0.0001209317597434462,0.00046172004934553763,0.0001761614415449066,0.001584911676163958,0.0007732171083808379,0.0005690056991979127,0.0011015947911511307,0.000379838521346425,7.760496142087611e-05,7.865341568350794e-06,0.0005365207454669443,0.0009721863347131097,0.00014910683027043824,0.0002232852299104379,0.00026290449571011,0.0009105700177447047,0.0003989928177256697,0.0027789636829611396,0.0014685459874570956,0.0010824853238671846,0.002006178146581502,0.000732276865943821,0.00014134579333992974,1.4638047761817878e-05,0.0009601743112460665,0.0017665399163315323,0.00020591989462828163,0.00032128319279089556,0.0003673595839362869,0.001337441476408718,0.0006298331694704484,0.003955743869347721,0.0020400980130009967,0.0016117802736018245,0.0029745425182108494,0.0010534286423397946,0.000233224604598754,2.2945472185532222e-05,0.0013739917578214319,0.0024100750746551265
Bwd (CV),1.8663182942388127e-05,2.3736120028703293e-05,2.9976500336028626e-05,0.00011002794901035334,3.522750787840627e-05,0.0002986253967868978,0.00015872442754397611,0.00013747992187535844,0.0002912271156434986,9.614132043266569e-05,2.1273084060394646e-05,2.2300516221492503e-06,0.00013354350517314444,0.0002381735010244157,6.933619020903365e-05,0.00010618112330811409,0.00011799053108693023,0.0004559830035838546,0.00017640847199021142,0.0015809665075981012,0.0007206356627113193,0.0005664179591263417,0.0010798601783123991,0.0003798663946910986,7.551760912832633e-05,7.727833410625807e-06,0.000525394269716585,0.0009656907413667604,0.00014081253850645574,0.0002221141290060226,0.0002557039788278228,0.0009016632764736046,0.0003962981412926917,0.0027542680877926592,0.0014168898151292872,0.0010608373831610925,0.0019951674757843377,0.0007291169201341304,0.00013681288458990267,1.4220850405469787e-05,0.0009431209851643348,0.0017558446502827466,0.00019516438932972897,0.0003210583458372758,0.00036149429566051264,0.001329718734521067,0.0006286838139328676,0.0038725625040956155,0.0019253498228439109,0.0015855822154084817,0.0029675409657848777,0.0010520613889615975,0.0002298878102838384,2.2187556221829422e-05,0.0013623498056543834,0.0023994730196595856
Ridge,1.866318291936452e-05,2.3736120111273156e-05,3.0184279782600026e-05,0.00010776325953214659,3.523531814939353e-05,0.000301400631880538,0.00015733368945332048,0.00013627375551023935,0.00028675002659520505,9.645479095210864e-05,2.040559486347951e-05,2.1303258559541924e-06,0.00013154234581422479,0.00023299206091056154,7.100993080991093e-05,0.00010618112338163399,0.00012165131498887064,0.0004559830010989254,0.00017640847209037655,0.001583634931989303,0.0007213283067379827,0.0005649963207506646,0.0010798601761354359,0.0003798663873967522,7.644025868262748e-05,7.760719395367325e-06,0.0005253942663217261,0.0009656907354276688,0.00014288602281878123,0.00022211412894359312,0.0002557039815360594,0.000905736252477075,0.0003966752374822421,0.002739896313428059,0.0014174189397411629,0.0010608373697779281,0.0019951674549251804,0.0007291169111670685,0.00013812777532245222,1.4336724461138835e-05,0.0009431209757423198,0.0017558446218106393,0.00019516439062240219,0.00032105834773067367,0.0003553756738613997,0.0013539974458639287,0.0006301072935827793,0.0038725626273739475,0.0019253499563698863,0.0015855822312588728,0.002967540957106739,0.001052061379057414,0.00022773867398345033,2.2318581765615142e-05,0.0013623498070447126,0.0023994730125044485
Lasso,1.8663182942388127e-05,2.3736120028703293e-05,2.9976500336028626e-05,0.00010998679543998265,3.534211798840992e-05,0.00029706434139617195,0.00015872442754397611,0.00013585136293293616,0.00028865658060952534,9.577116546336175e-05,2.1234141253409323e-05,2.230642320411672e-06,0.00013172473055092873,0.0002358554536921842,6.933619020903365e-05,0.00010618112330811409,0.00011799053108693023,0.0004559830035838546,0.00017640847199021142,0.0015794345204594412,0.0007206356627113193,0.0005662239979626229,0.0010798593939389818,0.0003797647690510358,7.56584057256361e-05,7.727833410625807e-06,0.000525394269716585,0.0009649020563595089,0.00014081253850645574,0.00022203172886434497,0.00025646557434937746,0.0009026802410360854,0.0003921500768650099,0.002739896324986128,0.0014168898151292872,0.0010608373831610925,0.0019951674757843377,0.0007291169201341304,0.000138318650146076,1.4220850405469787e-05,0.0009431209851643348,0.0017558446502827466,0.00019516438932972897,0.00032179217078197786,0.00035537566945712483,0.0013348957946731055,0.0006281698154441574,0.0038727015772782062,0.0019253498228439109,0.0015855822154084817,0.0029675409657848777,0.0010520613889615975,0.00022571897820829857,2.2202665365921185e-05,0.0013623498056543834,0.0023994730196595856
PCR,1.8676990013786796e-05,2.375938589277889e-05,3.00069595715539e-05,0.0001093398927621746,3.585188192172491e-05,0.0002975047947083682,0.00016041490733613857,0.00013453233594302446,0.00029253318036763417,9.668477728242766e-05,2.0694159115424655e-05,2.1382048636780567e-06,0.00013482159072253347,0.00023806008910871897,7.250824531097423e-05,0.00010867944632889543,0.00011863593919816719,0.00045637774858363366,0.00017664050947160245,0.0015763171244659688,0.0007230208082789713,0.0005664942968910181,0.0010799689307063496,0.0003799272140452997,7.551424715223517e-05,7.725072808912189e-06,0.0005255963545602181,0.0009660177538108177,0.00014156697733582653,0.00022245756762874787,0.0002564853098922644,0.0009017321509593954,0.0003937521246212827,0.002736628412908064,0.0014124098720020614,0.0010570280153499845,0.0019760853639699456,0.0007293428459741718,0.00013673496543737274,1.422083376499822e-05,0.0009315441575257847,0.0017474320569653267,0.00019525201704688743,0.00032324156467161024,0.0003568453449476474,0.0013293732612836297,0.0006277149508258511,0.003914530922288259,0.0019306045741862199,0.0015877407610774795,0.0029693804459663175,0.0010521568713171652,0.00022325013075956952,2.2202620517041987e-05,0.0013635865246253629,0.0023987416993932896
PLS,1.865877089946306e-05,2.4439696472175733e-05,3.0499705641372832e-05,0.00010826416789351173,3.593266235051348e-05,0.0002990354000789453,0.00015966097012413996,0.0001350362083529785,0.00028639632238691975,9.596837891522259e-05,2.0510631297553707e-05,2.1389692837438337e-06,0.00013119704527506267,0.00023377768338155619,7.191143789054638e-05,0.00010700842273863872,0.00011964615766094686,0.00045592169099866744,0.00017688384537281837,0.0015883732385479892,0.0007398196454439521,0.0005678162396772048,0.0010875563991325774,0.00037363645724710736,7.642319887525938e-05,7.802474529803548e-06,0.0005279341330327564,0.000971023634442513,0.00014528143251500366,0.00022232414708087508,0.0002607000207552914,0.0009167211866439353,0.0003964613489794645,0.002758993603762143,0.0014486695415281948,0.0010640034020329512,0.001985713945735686,0.0007258298686999782,0.00013869360080638474,1.4461097679653409e-05,0.000943247547381655,0.0017512318176662392,0.00020005640500526107,0.0003233990399588745,0.0003614174551160658,0.0013376542678041339,0.000628295736433229,0.003985323412482725,0.0020069466628155576,0.001607786386696419,0.002970924288707779,0.001048563460130119,0.00022776337032988744,2.280433784804788e-05,0.0013739010862851033,0.002412846349022276
RF,1.8613295383212928e-05,2.3715887179846835e-05,2.9836959029522748e-05,0.00010971852296911842,3.5771559661770697e-05,0.0002950123345059817,0.00015419288008041825,0.00013450117684601288,0.00028933984070010876,9.557702740743011e-05,2.0518107782723704e-05,2.188804575371755e-06,0.00013125128781688053,0.0002347378105193379,6.957373910152889e-05,0.00010637214771265278,0.00011806050977504298,0.00045863842175961517,0.0001789236084072557,0.0015839063623746164,0.0007261984106061473,0.0005682488868581229,0.0010826534514760515,0.0003787459011344534,7.549007944280875e-05,7.788172717361071e-06,0.0005266790638764415,0.0009661915230202156,0.00014121162935557728,0.0002224521685099252,0.00025545412237528667,0.0009124116580662782,0.00039700400895950784,0.002741038341355965,0.00142220554870558,0.001056961635233946,0.0019943481095429554,0.0007286329191568044,0.00013592823551940384,1.4280614645723252e-05,0.0009435628845440867,0.0017576033186899717,0.0001960903143848505,0.00032158567534529465,0.0003576839137825108,0.0013427778734485124,0.0006399446262297272,0.003878850902617189,0.0019431623645644477,0.001579220541599003,0.0029537569542002315,0.001047521389915522,0.00022157527776410556,2.2532515200869722e-05,0.0013596586379860966,0.0024072881763690405
LGB,1.8670627555976266e-05,2.383785018311237e-05,3.009633756309169e-05,0.00011002615120139175,3.5914032299062136e-05,0.00029933897733129815,0.00015512798068277882,0.00013545318870180037,0.000287230065541709,9.762426550588407e-05,1.9914669240571166e-05,2.1077619986716793e-06,0.00012985576985139526,0.00023373521514070402,7.158295894429896e-05,0.00010744523108556905,0.00011963996050368083,0.00046235942327223976,0.00017841387921743748,0.0015980156550559367,0.0007454083724351621,0.0005821905113856408,0.001094513891587047,0.0003795986787853256,7.661438923943842e-05,7.853477202836177e-06,0.0005370964218960952,0.000987493544513133,0.00014223656623339612,0.00022458407936377448,0.0002618450272737872,0.0009206264974312908,0.00039859893986494987,0.0027643731278750817,0.0014795486815698455,0.001090389783364086,0.0020126284904413935,0.0007276303400406126,0.00013665732545039828,1.4381336305217688e-05,0.0009698314752194674,0.001800306553108819,0.00019631000089261234,0.0003251798861296682,0.00036438666679256215,0.0013596890098636024,0.0006661472791898849,0.003926639592691681,0.0020283104118818526,0.001613778435618584,0.0029614199289083043,0.001055593467795033,0.00022442735500260655,2.249238490565449e-05,0.0013837439682872414,0.0024496848134548262
