Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),-0.06525432244583937,-0.05000873130754838,0.004947396003209107,0.07221429998903874,-0.04639372801258186,-0.0536846471077452,0.11384494114967898,0.07965264364970351,0.0819633648960448,-0.001329775016426722,0.1339480256470571,0.2634420499768405,0.09614422732357052,0.09004235170794869,-0.0033213648511409505,-0.004207394893998432,0.019088097427513568,-0.05856310058162079,-0.0404553410212849,-0.0959318741443243,-0.08600641638501863,0.009144264373997839,-0.04208155460834901,0.016779259963623,-0.14458253870577875,-0.0775485554264181,-0.020472937481225407,-0.0274385742645296,-0.08947325920213729,0.030480707164537463,-0.021025126722216583,-0.04822121647102026,-0.10066506026472963,-0.09777847118673631,-0.058447450698299465,-0.032149244730627025,-0.06942929795517544,-0.05498857179948292,-0.23485233353158586,-0.21859729048180948,-0.062295603300570504,-0.046600760008135594,-0.11342688744983498,0.038249967571012296,-0.0808921684757317,0.13504916871561032,-0.022162567316694328,-0.1842617324474469,-0.09552995835786973,-0.0815885251904856,-0.08793511404340093,-0.0940826664754758,-0.20281960133548096,-0.26708147461252013,-0.05562472456047325,-0.10267801617777171
Fwd (CV),-0.12209442511273658,-0.08627369505275907,-0.04336441219772591,-0.026265508889910763,-0.06786513234276889,-0.15845525640689576,-0.1610384115772918,-0.10134511550050013,-0.06783837036576552,-0.0326802828265236,-0.020718161252609727,0.023905126257143926,-0.12239900090631554,-0.086790834931647,-0.13204112202308171,-0.07008553726476471,-0.03638746619696071,0.11822725577600193,-0.08890412236094115,-0.12759062374420913,-0.10070705811874676,-0.11911950158728161,-0.03967645878748279,-0.04893032944210434,-0.19120227712282797,-0.07018826360124038,-0.09596608182496906,-0.11016007802807547,-0.16666086812028655,-0.021092986355309026,-0.013436165477993825,0.12024023173077525,-0.1040354318301304,-0.15214704631917908,-0.10395909136486654,-0.09443342543538291,-0.07835875628907348,-0.1015136805182245,-0.24355959113896608,-0.18791655305682056,-0.09604339540510963,-0.11616777342028017,-0.16825541801029448,-0.09416591701626083,-0.012593960372311388,0.14835985515353767,-0.18936544732930435,-0.2565157047234031,-0.09069115598798921,-0.09916431291187396,-0.10583516487758095,-0.18395678349314257,-0.20213088290698744,-0.2026794177263234,-0.10520547622840266,-0.18716818935766025
Bwd (Cp),-0.03422283044583121,-0.05000873130754838,0.030691426422370983,0.07221429998903874,-0.04639372801258186,-0.0536846471077452,0.11384494114967898,0.07954829145966825,0.0819633648960448,-0.001329775016426722,0.1339480256470571,0.2634420499768405,0.09614422732357052,0.09004235170794869,-0.0033213648511409505,-0.004207394893998432,0.014493665421547805,-0.05856310058162079,-0.0404553410212849,-0.09291382333833949,-0.059163397192753965,0.002297946147123679,-0.05720271679333348,0.016779259963623,-0.1384386755891092,-0.0763440585429609,-0.03708262146814828,-0.042536982030026524,-0.08947325920213729,0.012454115293985595,-0.021025126722216583,-0.04822121647102026,-0.10066506026472963,-0.09777847118673631,-0.04527637078912801,-0.032149244730627025,-0.06942929795517544,-0.05498857179948292,-0.23230926750907224,-0.21859729048180948,-0.062295603300570504,-0.05695015583054731,-0.11342688744983498,0.038249967571012296,-0.0808921684757317,0.13504916871561032,-0.022162567316694328,-0.1842617324474469,-0.05586360751862878,-0.0815885251904856,-0.03913405953031584,-0.0940826664754758,-0.19383728698433147,-0.27458201733360005,-0.05562472456047325,-0.10267801617777171
Bwd (CV),-0.12209442511273658,-0.08627369505275907,-0.04336441219772591,-0.026265508889910763,-0.06786513234276889,-0.15845525640689576,-0.1610384115772918,-0.10134511550050013,-0.06783837036576552,-0.0326802828265236,-0.020718161252609727,0.023905126257143926,-0.12239900090631554,-0.086790834931647,-0.13204112202308171,-0.07008553726476471,-0.03638746619696071,0.11822725577600193,-0.08890412236094115,-0.12759062374420913,-0.10070705811874676,-0.11911950158728161,-0.03967645878748279,-0.04893032944210434,-0.19120227712282797,-0.07018826360124038,-0.09596608182496906,-0.1571964658376156,-0.16666086812028655,-0.021092986355309026,-0.013436165477993825,0.14108319333547847,-0.1040354318301304,-0.15214704631917908,-0.10395909136486654,-0.09443342543538291,-0.07835875628907348,-0.1015136805182245,-0.24355959113896608,-0.18791655305682056,-0.09604339540510963,-0.11616777342028017,-0.16825541801029448,-0.1136998705434907,-0.04852401252005755,0.17795185081931522,-0.18936544732930435,-0.2565157047234031,-0.09069115598798921,-0.09916431291187396,-0.10583516487758095,-0.18395678349314257,-0.20213088290698744,-0.2026794177263234,-0.10520547622840266,-0.18716818935766025
Ridge,-0.12151502962164355,-0.08641237652730181,0.007479779114360712,0.159178541599141,-0.11408125305880971,-0.07069651926251347,0.09985230984244993,0.0968738817766427,0.1286935634325804,-0.026191426391948307,0.2463688399697688,0.2656719105123821,0.11747392518371186,0.14194117703251288,-0.07350014246937546,-0.06939794930499708,0.001800352915170454,0.11880570809652578,-0.09020851760599609,-0.05548639129969977,-0.06902813129768334,-0.0007350726137474823,-0.039543085531944376,-0.04786575521151028,-0.09981392885025235,-0.08310452439928924,-0.09587906038480665,-0.15716395222399165,-0.07532656622647803,-0.020581547089583107,-0.013491187288836125,0.011968865637361237,-0.09049023614601616,-0.24699557838791467,-0.06922125258667083,-0.09273093877118267,-0.07717214082338271,-0.10071831933125353,-0.1802223935882002,-0.2124904839486174,-0.09415845435284996,-0.11479387693333803,-0.168567720438581,-0.11339678485557217,-0.013212228473194542,0.015018758850053417,-0.047597385171249715,-0.2557304691152067,-0.09216471315194208,-0.09900437230813638,-0.10498841830789818,-0.18265998139259967,-0.13437142317009168,-0.22706455551302468,-0.10450777605593435,-0.18654758779855662
Lasso,-0.12209442511273658,-0.08627369505275907,-0.04336441219772591,0.020074463148541926,-0.16555509306327112,-0.07418076978317514,-0.1610384115772918,0.08278283000339942,0.08328808974883102,-0.009786913206333481,0.02027996504430612,0.0021862599212586634,0.08347804891612838,0.09476838945596411,-0.13204112202308171,-0.07008553726476471,-0.03638746619696071,0.11822725577600193,-0.08890412236094115,-0.1294087474924113,-0.10070705811874676,-0.10114007363552209,-0.040581059390711605,-0.049470113425255376,-0.19021673178922344,-0.07018826360124038,-0.09596608182496906,-0.14066112122158014,-0.16666086812028655,0.0014898362243485437,-0.02284555126048158,0.12024023173077525,-0.17719458917777392,-0.24774863263138472,-0.10395909136486654,-0.09443342543538291,-0.07835875628907348,-0.1015136805182245,-0.23334771759759645,-0.18791655305682056,-0.09604339540510963,-0.11616777342028017,-0.16825541801029448,-0.06574756531989928,-0.012593960372311388,0.08478252560531842,-0.15997069680798562,-0.2544667762086619,-0.09069115598798921,-0.09916431291187396,-0.10583516487758095,-0.18395678349314257,-0.22137368705134075,-0.21119142583826642,-0.10520547622840266,-0.18716818935766025
PCR,-0.09073458645944038,-0.08994018963425314,-0.0537469445749408,0.0700974273918807,-0.17885197668734878,-0.08242640800252739,0.009169713350411354,0.14570154104830807,-0.050710275093365655,-0.07932973498018966,0.15195095182228308,0.20254335102692,-0.028323690664456114,-0.13786027973890774,-0.03314836145615323,-0.05554176056371021,-0.03154666859262465,0.10482369118164155,-0.10066065267219672,0.004134380351918523,-0.12602257447485446,-0.02395475150730652,-0.012781720792758867,0.0012756226593176035,-0.16099660050972578,-0.02130159153178778,-0.087895542658641,-0.10609438536800876,-0.15152192097562722,-0.01057032200160394,0.00016816057115417454,0.11902452074545436,-0.07717719550330743,-0.17788195349817756,-0.017713447729369974,0.06738628048912042,0.005284729503735225,-0.12320733002560012,-0.18395040495999718,-0.18733913635245672,0.019892138061801477,0.0027564032623643947,-0.12557122326888065,-0.09166645900872906,-0.010448535524402492,0.13877939226359576,-0.013630292303060178,-0.06957652582212402,-0.1042683292791634,-0.10659409818029816,-0.09639419009938163,-0.14188158326405673,-0.22596200115801304,-0.19627372351416683,-0.09153130960212176,-0.13371790958841948
PLS,-0.024719942566861882,-0.07754562777215195,0.012399125262981186,0.15940135725277424,-0.10610692273714865,-0.08005745504943167,0.0911308449128108,0.12138980990149684,0.13196181029747836,-5.226615141205921e-05,0.22675472856701823,0.2504460969240657,0.12669576737266938,0.12318328729267482,-0.06339701630247584,-0.03478364095015847,0.023080525589392123,0.011203757613806197,-0.09841047012095018,-0.04351275753476809,-0.029828030975878404,0.013536081380892406,-0.03108533918633102,0.03345928116944266,-0.09322498643300917,-0.07979545010650993,-0.010619520610478383,-0.04344886992244835,-0.051151141710417396,0.012669370304002016,-0.007358504406509688,-0.014185404426790053,-0.0873712520627101,-0.0237618037563669,-0.031041775696729078,0.07254846482590019,0.014777911541868473,0.026430181617115397,-0.17773771019300869,-0.20898857703979454,0.04423646285827356,0.021619975601923,-0.09632074476566159,-0.07293515095545446,-0.044290221734335354,0.045658703156506816,-0.039854023652020495,-0.01426107280524764,-0.09460264856613909,-0.04712098975831051,-0.04555203255277056,0.06171362827505451,-0.13388828277752512,-0.2090572086064191,-0.02953333047296234,-0.05005817857196165
RF,-0.012294107319455391,0.010605526181113106,0.05886063433709917,0.03816554691964051,-0.06811149824639148,-0.028649338437609594,0.10441451429427984,0.09947222139235931,0.08324683660487597,-0.017653729262917663,0.16342833444458008,0.1384473029369043,0.10585319442016546,0.07691035322340672,-0.023154514937837396,-0.013949221273893433,-0.049109920827428544,-0.01393072428899324,-0.15767322776219764,-0.07364446986833466,-0.020805583413434185,-0.03539805832154278,-0.09455543362486067,-0.001902694785572181,-0.011942785174982996,-0.11344377981041828,-0.07820306886303406,-0.02120624622511666,-0.06332829909799546,0.011733268962186022,0.033075360749281135,-0.04845662745591179,-0.1124240950427768,-0.10520429584958081,-0.028146558868817152,0.04135702638814505,-0.042321481484860486,0.02922529633061059,-0.04599709417546767,-0.1795914492678825,-0.033923067584247284,0.0007261479208930265,-0.08362407005935393,-0.06912686051363394,-0.052809385764937974,-0.056538854923544705,-0.10136324157225723,-0.15439165650964298,-0.08087824639256788,0.025710991201735256,-0.011967780105663236,0.0493914263874291,-0.07637471584431312,-0.24392438153376958,0.003794925745105652,-0.06182029887879077
LGB,0.029977304671106982,-0.006688185244497149,0.02538349503311931,0.023640811103273252,-0.07878704317766934,-0.06064473615761062,0.0646100902129211,0.08090854999397326,0.08914581061331585,-0.027908482029722827,0.16883937347286523,0.14019264134349774,0.1087713134711064,0.07516154608925797,-0.03338367071794092,-0.07562466225110977,-0.048560104286598536,0.04675131187127364,-0.06128295478970686,-0.039394309352593054,-0.07226579785094812,-0.08793400027589643,-0.07299049652792448,0.032599434588208444,-0.010601213579512714,-0.13354063164182836,-0.09924175687911993,-0.09667097817125866,0.015469921472101121,-0.006278473634288215,-0.10331570625311491,0.026580589166094935,-0.06920906466651912,-0.06455947563447322,-0.07261361966765317,-0.06703398809679688,-0.055981197062990935,0.05879885428815697,0.03969158547018461,-0.05453507562632743,-0.09843343328151609,-0.07618272919631618,0.03473573973399762,-0.03748819003072452,-0.07785045258399012,0.02346634620519015,-0.09123940187269362,-0.15897802996250665,-0.10546843943996456,-0.1033002652091231,0.003131983772191837,0.03045887001144866,0.012501882192810362,-0.0863317714109475,-0.055527775863419476,-0.09471323826508883
