Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),0.0031324237908774144,-0.06321594731921687,-0.005654393310698502,0.040331450272477976,-0.018088778502097114,-1.4491392616999832e-06,-0.0070884609192050085,-0.00011341598470004932,0.010785460098929223,-0.005941941563117448,0.03327573573824005,0.07040088356896457,0.008088210440466814,0.002140142168343351,-0.08583522941057065,-0.020647213595346825,-0.027165947271871493,-0.012987453102653035,0.0005975073285788834,-0.0008242481943581126,-0.07011403367124758,0.002587298653292547,-0.00485931741973622,-0.0003311412944499992,-0.027471198469333213,-0.01825397595481415,-0.007168604853124538,0.0004952729653114885,-0.060138280032410396,-0.0052789695913266765,-0.0293146962952755,-0.009724090008860209,-0.019236075013125298,-0.015288144002703508,-0.03102338395526849,-0.021690480034038284,-0.006829301115302444,-0.005439955831970655,-0.034912811441205616,-0.030631503780523373,-0.01930265378376772,0.003512659587707745,-0.05676654326781083,-0.0023168638670529873,-0.035442198113299295,-0.006814873549923606,-0.0038119216510128506,-0.02298825616560718,-0.06472736242100807,-0.018407613334719075,-0.00501333842688223,-0.003020160323101484,-0.04103452493036497,-0.0356158941611151,-0.010432103068632292,-0.005889081979933097
Fwd (CV),0.00014247945521617122,0.00011282948853497121,6.371066218191501e-05,2.4843473269364758e-05,0.0002589256787705052,-0.0003530275947620787,-0.00015411529624831388,-0.00012473628764797517,6.136131460454664e-05,-7.566960729121774e-07,0.0002743690269308985,0.00021798636077918765,-4.7974176520027e-05,1.1055436829332521e-06,-0.0005341376329808245,-0.0005052535881162612,-0.0003660004171719411,-0.0004007019258343014,-0.0008039505650341283,0.0007785000740232473,-0.00024147078678082856,-0.0003206268030291337,-0.0005464452031851419,-0.00040454768459241564,-0.0006589750885448442,-0.0006266578028113479,-0.0004200755561214464,0.005387065977243588,-0.001166493234936672,-0.001171834898933799,-0.001123478690412627,-0.0009751772923893842,-0.012352463807704384,-0.006265663738790339,-0.0009366502696974699,-0.00125833703486955,-0.001303437919947692,-0.0011012474511837844,-0.0011488352372757138,-0.0012575909649190642,-0.0011991695232993482,-0.0009617333567659703,-0.0015700399092224426,-0.005777466191027925,-0.0016642560290185404,-0.0015520414297138796,-0.0019801083284320953,-0.0014768634679913628,-0.0013338766104042943,-0.0018543012265717085,-0.0019303360257580948,-0.0017183325129561666,-0.03128586953858714,-0.0018085283708650923,-0.0018706236092307371,-0.0014641196712001925
Bwd (Cp),-0.004222796407870266,-0.06321594731921687,-0.005407112178408724,0.040331450272477976,-0.018088778502097114,-1.4491392616999832e-06,-0.0070884609192050085,0.004331230746789649,0.010785460098929223,-0.005941941563117448,0.03327573573824005,0.07040088356896457,0.008088210440466814,0.002140142168343351,-0.08583522941057065,-0.020647213595346825,-0.02530279085558007,-0.012987453102653035,0.0005975073285788834,-0.0017149728951324494,-0.07322445688365864,-0.004890696887653423,-0.020684690922779803,-0.0003311412944499992,-0.02831779307578075,-0.018431690723912375,-0.021606354799045713,-0.007179451753129618,-0.060138280032410396,-0.006450532146029975,-0.0293146962952755,-0.009724090008860209,-0.019236075013125298,-0.015288144002703508,-0.03742823595509037,-0.021690480034038284,-0.006829301115302444,-0.005439955831970655,-0.034319075956411815,-0.030631503780523373,-0.01930265378376772,-0.007058828587360733,-0.05676654326781083,-0.0023168638670529873,-0.035442198113299295,-0.006814873549923606,-0.0038119216510128506,-0.02298825616560718,-0.061011992618591915,-0.018407613334719075,-0.004294268943867197,-0.003020160323101484,-0.0462548616842795,-0.03602981297898511,-0.010432103068632292,-0.005889081979933097
Bwd (CV),0.00014247945521617122,0.00011282948853497121,6.371066218191501e-05,2.4843473269364758e-05,0.0002589256787705052,-0.0003530275947620787,-0.00015411529624831388,-0.00012473628764797517,6.136131460454664e-05,-7.566960729121774e-07,0.0002743690269308985,0.00021798636077918765,-4.7974176520027e-05,1.1055436829332521e-06,-0.0005341376329808245,-0.0005052535881162612,-0.0003660004171719411,-0.0004007019258343014,-0.0008039505650341283,0.0007785000740232473,-0.00024147078678082856,-0.0003206268030291337,-0.0005464452031851419,-0.00040454768459241564,-0.0006589750885448442,-0.0006266578028113479,-0.0004200755561214464,-0.000450054402242106,-0.001166493234936672,-0.001171834898933799,-0.001123478690412627,0.00015252689005840203,-0.012352463807704384,-0.006265663738790339,-0.0009366502696974699,-0.00125833703486955,-0.001303437919947692,-0.0011012474511837844,-0.0011488352372757138,-0.0012575909649190642,-0.0011991695232993482,-0.0009617333567659703,-0.0015700399092224426,-0.0016154020462697538,-0.018910257065889002,-0.0010012573773845457,-0.0019801083284320953,-0.0014768634679913628,-0.0013338766104042943,-0.0018543012265717085,-0.0019303360257580948,-0.0017183325129561666,-0.03128586953858714,-0.0018085283708650923,-0.0018706236092307371,-0.0014641196712001925
Ridge,0.00014248068867817043,0.0001128260102686296,-0.006867258813116006,0.020607188557618228,3.727364665706556e-05,-0.009649674357165239,0.008609201391620025,0.008649758208555292,0.015433605476457113,-0.003261277305048882,0.041041903357457166,0.04492727754845016,0.014937819107079031,0.021755979042454743,-0.0246865262149234,-0.0005052542808670069,-0.031403438054244726,-0.00040069647404150643,-0.0008039511332929017,-0.0009080296594032866,-0.0012028598989362038,0.002190053107681833,-0.0005464431861157415,-0.0004045284744240707,-0.012884700558799311,-0.0048848491032620345,-0.0004200690918616523,-0.0004500482493774438,-0.015908809791167267,-0.0011718346175351169,-0.0011234892936078378,-0.0043639648772832995,-0.01331576445639926,-0.0010149682330782284,-0.0013104409561228714,-0.0012583244033343988,-0.0013034274514800437,-0.0011012351391159747,-0.010770745697699091,-0.0094160185220995,-0.001199159521068971,-0.0009617171255522639,-0.0015700465431311983,-0.001615407953160064,-0.0016642684429373222,-0.01927807032344009,-0.004248813617501401,-0.001476895348792917,-0.0013339460544508075,-0.0018543112416831153,-0.0019303330957596287,-0.0017183230827060303,-0.021644758530717123,-0.00772457004244953,-0.001870624631677531,-0.0014641166848723408
Lasso,0.00014247945521617122,0.00011282948853497121,6.371066218191501e-05,0.000398862514278453,-0.002993658492060236,0.004876288140463481,-0.00015411529624831388,0.011722536103848102,0.008887384595042569,0.0038493594426791677,0.0021044808327573827,-4.6836880257750124e-05,0.013572020851109756,0.009733694431861895,-0.0005341376329808245,-0.0005052535881162612,-0.0003660004171719411,-0.0004007019258343014,-0.0008039505650341283,0.001746765043080023,-0.00024147078678082856,2.1917690379513743e-05,-0.0005457184405446291,-0.00013690949942768427,-0.002524624443525747,-0.0006266578028113479,-0.0004200755561214464,0.00036701872957045634,-0.001166493234936672,-0.0008004190803700961,-0.00410525144728946,-0.0009751772923893842,-0.001756140469676648,-0.0010149724557928508,-0.0009366502696974699,-0.00125833703486955,-0.001303437919947692,-0.0011012474511837844,-0.012167500893087713,-0.0012575909649190642,-0.0011991695232993482,-0.0009617333567659703,-0.0015700399092224426,-0.0039047378525154386,-0.0016642560290185404,-0.0048985054097479,-0.001160910744551824,-0.0015128289493866465,-0.0013338766104042943,-0.0018543012265717085,-0.0019303360257580948,-0.0017183325129561666,-0.012584322872518872,-0.002490733714084481,-0.0018706236092307371,-0.0014641196712001925
PCR,-0.0005972177452706617,-0.0008672480882518929,-0.0009523283886008205,0.006278156023946546,-0.017460533188437655,0.0034008315680805756,-0.010806163926179613,0.0213180574166818,-0.004423058274558578,-0.005653448572447317,0.02748086641363079,0.04139494218481765,-0.009618988976780152,0.0004772785428919235,-0.046307483505839464,-0.024046022696375013,-0.0058380016441115234,-0.0012667499402492233,-0.0021203500861874947,0.0037170592178712436,-0.0035520500906871533,-0.0004554428684091505,-0.000647209934916182,-0.0005647196802740506,-0.0006144266502603468,-0.00026920552357045935,-0.0008048717866651067,-0.0007888374136484355,-0.006530496221977433,-0.0027198727370836284,-0.004182519370297122,7.615250243886429e-05,-0.005848607287487262,0.00017895188688366037,0.0022281260024468175,0.0023370879946845724,0.008273193813692847,-0.001411450978287876,-0.0005786501334981153,-0.0012564193473294516,0.011090568908733278,0.0038340690439044867,-0.0020197392446030804,-0.008426455672065236,-0.005806693267525143,-0.0007411879836947133,-0.00043595920384920106,-0.012330245375147042,-0.0040667620683030314,-0.00321818399585605,-0.002551399396930387,-0.0018092458636476128,-0.0015089749244174833,-0.0024887087055969204,-0.002780105448286996,-0.0011588897308409951
PLS,0.00037884933452414504,-0.029525420505628563,-0.017389026172442534,0.016054746004912523,-0.019753045986673712,-0.0017264808875383508,-0.0060554559417613785,0.01765253845032122,0.016648061430356242,0.0017980707750806513,0.03610573072579404,0.04105223557433468,0.017523621420889923,0.01845745255199449,-0.03769544128185043,-0.008300588584982727,-0.014402995748713954,-0.0002661856110244276,-0.003500848020916658,-0.0039027912586686586,-0.026868816749429536,-0.0027900557018645245,-0.007677392836759722,0.016002425498248707,-0.012658646668147755,-0.010291448650241897,-0.005256310736297731,-0.005974900959440088,-0.03293999146621407,-0.0021184841837089685,-0.020683811294694765,-0.016545073896128804,-0.01276938149315665,-0.007992120391509205,-0.02338687367348946,-0.004246545068425478,0.0034409518383473614,0.003411981086374527,-0.014911258675585737,-0.018172852719761767,-0.0013335255485256159,0.0016679235042554863,-0.026675523303025583,-0.008917736073931648,-0.018693673789651255,-0.006975061151136108,-0.0013616003813368138,-0.030637771970795757,-0.04377067387111255,-0.015884065368609868,-0.0030726467510724387,0.0016122140436245491,-0.021755547324078472,-0.02965734088137406,-0.010365423315555677,-0.007045724218343485
RF,0.0028151452795250886,0.0009651409012682022,0.004718437353847693,0.0028370230767282845,-0.015181023018836282,0.011750222264398591,0.02840006451379984,0.02154473039740934,0.006541386821667605,0.005868659801374743,0.03575437434357809,0.01870995985336199,0.017117423126268183,0.014426248105699813,-0.003962012391917735,-0.0023052055414396477,-0.0009593048094560519,-0.006226537946165234,-0.015072871065221927,-0.0010795823617755218,-0.007962558465129499,-0.003554130873259398,-0.003134557618573508,0.0025463499609619245,-0.0002941882896445591,-0.008439600399325897,-0.0028664933123925262,-0.0009688613152440961,-0.0040039989722460145,-0.0026955363937688492,-0.00014524924680814344,-0.01176627079846071,-0.01415561854694336,-0.0014322055731819106,-0.0046918558635038465,0.0023997400520608947,-0.0008922272098847994,-0.00043669836613502433,0.005324717229499787,-0.005465454595846353,-0.0016682814389286094,-0.0019643048411008834,-0.006321822740075866,-0.003260527812453118,-0.008170289034747258,-0.010832069072571615,-0.01992730161545131,-0.003103095612975837,-0.010597804257050703,0.0021653391346093676,0.002723557389032405,0.002604419297690397,0.006004482294752811,-0.01738405384494479,0.00010845828212557862,-0.0047259188120951645
LGB,-0.000256356740443886,-0.004172566613472428,-0.003933740368148975,4.118263358210417e-05,-0.01922433337615037,-0.0027434219339717014,0.022507810056571986,0.014619132875791752,0.013785374714625487,-0.015425406458353885,0.06411288482537802,0.0550431593716868,0.027567837113088745,0.018635760355839248,-0.03295542891279113,-0.012416471260727313,-0.014350454028873694,-0.014390203029818194,-0.012181065580297634,-0.009997107513742387,-0.0346259633836683,-0.028175692321505075,-0.014123870336954614,0.00030050075708565327,-0.015192047236233686,-0.01689545155039207,-0.02270251874666096,-0.02303763307472506,-0.011291222614663532,-0.012305051605344453,-0.025166701682925785,-0.020875642994736987,-0.018229905210162434,-0.009957517451474773,-0.04520089383685599,-0.029151007063584977,-0.01006649877467991,0.000939875371453458,-1.0507865609410416e-05,-0.012557036552477863,-0.029554514045825764,-0.02630831701606562,-0.007449238582188489,-0.014473495568955608,-0.027062713824028917,-0.023562632593798094,-0.06168841661421376,-0.01546164822366447,-0.05488150963595384,-0.019670157270684108,0.00013630858177449134,-0.005081394931609751,-0.006790049747929627,-0.015572098008496793,-0.017603868455464022,-0.02242093371255849
