Method,Variable,Coef,HAC SE,t-stat,p-value,target
Fwd (Cp),surp_gdp,-0.0002919143294339804,0.00011602533943393615,-2.5159532465767445,0.012010431186315592,ret_CADUSD
Fwd (Cp),surp_retsailes_x_vix,0.0004372635360316071,0.00019742224685020948,2.214864550515286,0.026970563709295976,ret_CADUSD
Fwd (Cp),surp_ism_pmi_x_vix,-0.0004056402842204423,0.0002610498468733823,-1.5538805675576246,0.12049617790438745,ret_CADUSD
Fwd (Cp),surp_dgorders_x_vix,0.00041376997267476574,0.00036956172346763164,1.1196234523216422,0.26311494714704736,ret_CADUSD
Fwd (Cp),surp_consconfid_x_vix,0.00026779433903049884,0.00012135457980054604,2.2067097877198854,0.027537196236098134,ret_CADUSD
Bwd (Cp),surp_gdp,-0.00029219132556084523,0.00011633373587149827,-2.5116645947276934,0.012156893622906085,ret_CADUSD
Bwd (Cp),surp_corecpi_x_vix,0.00041777383734770655,0.00020734280677111707,2.0148942895756274,0.04415561243284144,ret_CADUSD
Bwd (Cp),surp_retsailes_x_vix,0.0004368274307165058,0.00019803272430686658,2.2058345773176806,0.027599164070978455,ret_CADUSD
Bwd (Cp),surp_ism_pmi_x_vix,-0.0004062133001877785,0.0002611616905570165,-1.5554092153462091,0.12013267322491136,ret_CADUSD
Bwd (Cp),surp_dgorders_x_vix,0.0004138988463642283,0.0003696523169554812,1.1196976926133426,0.2630839602546046,ret_CADUSD
Bwd (Cp),surp_consconfid_x_vix,0.0002672255994535688,0.00012192143291538778,2.191785259274476,0.02860143886850857,ret_CADUSD
Bwd (Cp),surp_cpi_x_vix,-0.0003297115308828293,0.00030228122360135163,-1.0907443305762607,0.27562126114595314,ret_CADUSD
Bwd (Cp),surp_indprod_x_vix,-0.000122783060681474,7.299323574266546e-05,-1.682115601976332,0.09282667899590943,ret_CADUSD
Ridge,surp_nfp,-7.311828898998587e-12,,,,ret_CADUSD
Ridge,surp_unemp,1.3035918922471288e-11,,,,ret_CADUSD
Ridge,surp_corecpi,-5.011338819306787e-12,,,,ret_CADUSD
Ridge,surp_gdp,-1.9610649703047464e-11,,,,ret_CADUSD
Ridge,surp_retsailes,1.078293444136e-11,,,,ret_CADUSD
Ridge,surp_ism_pmi,-1.1669176288434326e-11,,,,ret_CADUSD
Ridge,surp_dgorders,5.500167155932e-12,,,,ret_CADUSD
Ridge,surp_newhomesales,1.0722752162651049e-11,,,,ret_CADUSD
Ridge,surp_consconfid,1.9192240038649023e-11,,,,ret_CADUSD
Ridge,surp_avghourlyearnmings,-1.2951696973773292e-11,,,,ret_CADUSD
