Variable,N,Mean,Std,Min,Max
ret_CADUSD,5453,-0.000019,0.005360,-0.035984,0.036946
ret_EURUSD,5453,-0.000019,0.006966,-0.143324,0.159632
ret_GBPUSD,5453,-0.000061,0.005842,-0.079085,0.034848
ret_GC,5453,0.000427,0.011048,-0.098206,0.086432
ret_JPYUSD,5453,-0.000075,0.007301,-0.162885,0.168471
ret_XLE,5453,0.000265,0.018619,-0.224910,0.152504
ret_XLF,5453,0.000224,0.018087,-0.182321,0.152394
ret_XLI,5453,0.000373,0.012940,-0.120408,0.119126
ret_XLK,5453,0.000537,0.013877,-0.148662,0.130136
ret_XLV,5453,0.000369,0.010332,-0.103818,0.113817
ret_ZN,5453,0.000000,0.003660,-0.026267,0.035369
ret_ZT,5453,-0.000000,0.000946,-0.009252,0.010163
ret_GSPC,5453,0.000321,0.011889,-0.127652,0.109572
ret_RUT,5453,0.000252,0.015294,-0.153991,0.089763
