Variable,N,Mean,Std,Min,Max
surp_nfp,251,-19.613546,1233.960786,-16250.000000,10509.000000
surp_unemp,249,-0.086747,0.553968,-6.500000,0.600000
surp_corecpi,249,-0.004418,0.113684,-0.300000,0.600000
surp_gdp,83,-0.089157,0.869961,-3.400000,2.100000
surp_retsailes,250,0.022800,0.944823,-4.400000,9.700000
surp_ism_pmi,249,0.107631,1.826105,-6.000000,6.900000
surp_dgorders,250,0.156134,2.492378,-9.208274,15.100000
surp_newhomesales,248,0.001633,0.058372,-0.159000,0.236000
surp_consconfid,252,0.125000,1.655093,-10.700000,6.100000
surp_avghourlyearnmings,250,0.001200,0.342737,-2.000000,4.300000
surp_cpi,249,-0.001606,0.141127,-0.700000,0.600000
surp_tradebal,251,0.389641,4.868779,-10.200000,58.900000
surp_indprod,251,-0.056175,0.471330,-2.500000,1.100000
surp_fedratedec,171,0.000000,0.054233,-0.250000,0.500000
VIXCLS,5289,19.160968,8.645057,9.140000,82.690000
