Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum3,ret_EURUSD_cum3,ret_GBPUSD_cum3,ret_GC_cum3,ret_JPYUSD_cum3,ret_XLE_cum3,ret_XLF_cum3,ret_XLI_cum3,ret_XLK_cum3,ret_XLV_cum3,ret_ZN_cum3,ret_ZT_cum3,ret_GSPC_cum3,ret_RUT_cum3,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
AR(1),4.449998490448358e-05,9.413661581164676e-05,4.1239065609017035e-05,0.00018392785232469345,0.00010114137640989946,0.00042363243223512997,0.00052186586248347,0.00023377516240120273,0.00021767743049709077,0.000141487422891591,1.5342241868917056e-05,8.262868798222712e-07,0.00020205482920010516,0.0003020963778276931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fwd (Cp),4.486153810557742e-05,9.801370232114487e-05,4.816296505876313e-05,0.00018641506864527802,8.991549076584369e-05,0.0007742652086538054,0.0005183340689417045,0.00023466953662773136,0.00021351363723023613,0.0001391982424389437,1.579584161740687e-05,9.744960979896882e-07,0.00020185104150226407,0.0003635561601085541,0.00013631128105644167,0.00016990535945605353,0.00011913933241422885,0.0007704700342189741,0.0002639431526701461,0.0009061943767950648,0.00169219258242355,0.000571962456199722,0.0005322562806209028,0.00031671757234326636,5.0584010782595935e-05,2.5746526556029058e-06,0.0006504769109642891,0.0007915906809797551,0.00022067971872617636,0.0003743812407456184,0.0001987279453930705,0.0016907108545299396,0.0002588325113732478,0.0015968725711838808,0.0025535711841193098,0.0010231976152116574,0.0008636402583379656,0.0006049092344180664,9.074011668841344e-05,5.824143845555865e-06,0.0007856835456514525,0.0013156640685336853,0.0007009137078754026,0.0004772683070579222,0.0003645499628804063,0.0019520434744256642,0.00046290546026580095,0.003307645551686642,0.003841724939051856,0.002121925242388785,0.0016860976003661352,0.0010968460032916784,0.00016202857436171695,1.0128138219317057e-05,0.0015909402049485175,0.0024328627392070507,0.0012225718478740693,0.0008315922326305969,0.0005439046533086091,0.0024397193697697993,0.0006834320843430089,0.004707763535430043,0.005783182245808999,0.003254361056648036,0.0024941488772159313,0.001490050151352589,0.0002896863808970924,2.2616745842195352e-05,0.0024746852022689714,0.0034114862961447025
Fwd (CV),4.4013387090954146e-05,9.37065923444614e-05,4.142418039019153e-05,0.00018283189960252404,9.918056636074816e-05,0.00041756014259006213,0.0005256210884996261,0.00023424486005619606,0.00021569601514052057,0.00014204278646771492,1.5182001323849807e-05,7.988710161690662e-07,0.00020308310753016168,0.00030263900407179325,0.0001355437286604142,0.00015868540417846496,0.00011979405807774483,0.0005162638937652842,0.00013810546306628762,0.0009527826781442794,0.0013678752431562395,0.0005775312419108062,0.0004985798694339054,0.0002961547896173254,4.704364885747884e-05,2.1483316234017167e-06,0.00044329786668846036,0.0007431570519383967,0.0002141027904428792,0.00027412270178166725,0.00020255566960833613,0.0008783239439060725,0.00025502282891842634,0.0016240547856252478,0.0025174762736208337,0.0010344189308909275,0.0008011541604334139,0.0005636478250656114,8.61231217539111e-05,3.4132003749509873e-06,0.0007829442836871401,0.001301261833901304,0.00042086647938318456,0.00047313355432480035,0.0003799512595833758,0.0016506749623276798,0.0004215992565634926,0.003006165152885675,0.003426493614690716,0.0019169866832934354,0.0014555810210577563,0.0010621894549948951,0.00014905612292048928,5.574650346749569e-06,0.0013762067119348178,0.002166127466960169,0.0006015561455786678,0.0007558023423161757,0.0005436538414754591,0.002317654170499758,0.0006724616690414828,0.004369429691292876,0.005684032894115514,0.0031781988139596355,0.002370286716839477,0.0014867804336545708,0.0002439216161905013,9.373881288589195e-06,0.0021524597526663748,0.003481835026739584
Bwd (Cp),4.4734757236071694e-05,9.801370232114487e-05,4.689007684433451e-05,0.00018641506864527802,9.112351046914527e-05,0.0007742652086538054,0.0005183340689417045,0.00023466953662773136,0.00021351363723023613,0.0001391982424389437,1.579584161740687e-05,8.859458022123971e-07,0.00020185104150226407,0.00036440174737841424,0.00015268618835938613,0.00017038487651055748,0.00011840875393502127,0.0007704700342189741,0.0002639431526701461,0.0009061943767950648,0.00169219258242355,0.0005675202069943322,0.0005328326866183141,0.00031671757234326636,5.20338564307858e-05,2.5746526556029058e-06,0.0006400741729254586,0.0007915906809797551,0.00022067971872617636,0.0003743812407456184,0.00019988397388735489,0.0016907108545299396,0.0002588325113732478,0.0015968725711838808,0.0025620104574895016,0.0010250065729261555,0.0008707999225706091,0.0006049092344180664,9.074011668841344e-05,5.824143845555865e-06,0.0007856835456514525,0.0013156640685336853,0.0007009137078754026,0.00047143062799539863,0.0003645499628804063,0.0019520434744256642,0.00046290546026580095,0.003307645551686642,0.0041211636679092155,0.002121925242388785,0.0016803264811251146,0.0010968460032916784,0.00016826329340535775,1.0128138219317057e-05,0.0015909402049485175,0.0024323348431997908,0.0012225718478740693,0.0008315922326305969,0.0005439046533086091,0.0024397193697697993,0.0006834320843430089,0.004707763535430043,0.005791141553859384,0.003254361056648036,0.0025580890709906543,0.001490050151352589,0.000289223907004179,2.2529957522116216e-05,0.0024746852022689714,0.0034114862961447025
Bwd (CV),4.4013387090954146e-05,9.37065923444614e-05,4.142418039019153e-05,0.00018283189960252404,9.918056636074816e-05,0.00041756014259006213,0.0005256210884996261,0.00023424486005619606,0.00021453953912002588,0.00014204278646771492,1.5071738620783043e-05,7.988710161690662e-07,0.00020308310753016168,0.00030263900407179325,0.0001355437286604142,0.00015868540417846496,0.00011979405807774483,0.0005162638937652842,0.00013810546306628762,0.0009533668626952448,0.0013619198416486803,0.0005775312419108062,0.0004985798694339054,0.0002968071616309005,4.7116797645491094e-05,2.1483316234017167e-06,0.00045356528683509215,0.0007538903845239708,0.0002141027904428792,0.00027412270178166725,0.00020255566960833613,0.0008783239439060725,0.00025502282891842634,0.0016240547856252478,0.002510121901437342,0.0010344189308909275,0.0008106781942135111,0.0005649055246025031,8.61231217539111e-05,3.4132003749509873e-06,0.0007829442836871401,0.0012967851403222765,0.00041684838340473265,0.00047313355432480035,0.0003799512595833758,0.0016506749623276798,0.0004215992565634926,0.0029521701265683015,0.003426493614690716,0.0019169866832934354,0.0014555810210577563,0.0010621894549948951,0.00014905612292048928,5.574650346749569e-06,0.0013762067119348178,0.002197456417686481,0.000597664776464659,0.0007558023423161757,0.0005390082091319574,0.002317654170499758,0.0006724616690414828,0.004369429691292876,0.005684032894115514,0.003167749189922213,0.002370286716839477,0.0014867804336545708,0.0002439216161905013,9.373881288589195e-06,0.0021443372696925596,0.0034689984025960976
Ridge,4.401338710116129e-05,9.37065923555569e-05,4.1424180396222545e-05,0.00018283189967122443,9.918056640042786e-05,0.00041756014277085263,0.0005256210887319184,0.00023424486007004374,0.0002156960151754796,0.00014204278647854285,1.5126357028109604e-05,7.924126156958578e-07,0.00020308310756839737,0.00030263900411153934,0.00013554372869017752,0.00015868540422388832,0.00011835078350149174,0.0005162638938168338,0.00013758282500951117,0.0009703921321790498,0.0013678752432322858,0.0005760862852769389,0.0004981748103072023,0.00029669924033041474,4.706794984152178e-05,2.0965591661926452e-06,0.0004533608523279681,0.0007529594318138604,0.00021410279063810943,0.0002741227018310174,0.00019832789030902633,0.0008783239443935966,0.00025497372424081177,0.001651997297645099,0.002511729384317595,0.0010323672520804125,0.0008121203902246573,0.0005648715669529206,8.46707420432333e-05,3.350186349898422e-06,0.0007828475294123349,0.0013012618341597235,0.00042086647995446066,0.00047313355455221056,0.000366791563975841,0.0016506749626801415,0.00040616735768469716,0.0030412793038555575,0.003423057996445971,0.0019146375486084894,0.0014555810220182608,0.001062189456111498,0.00014566148369595728,5.270433750885028e-06,0.001376206713253338,0.002197456421428385,0.0006015561471282754,0.0007558023431351091,0.0005267641870252015,0.0023176541721474137,0.0006544969529041035,0.004369429715295474,0.005727821496434038,0.0031781988194207137,0.0023702867205302592,0.0014867804351913147,0.00023648411794558247,9.02054525103153e-06,0.002152459756624233,0.0034818350371143697
Lasso,4.400287780228983e-05,9.37065923444614e-05,4.1418042144452115e-05,0.00018283189960252404,9.908206218131924e-05,0.00041756014259006213,0.0005256210884996261,0.0002342448600561961,0.00021569601514052057,0.00014204278646771492,1.5137311090807155e-05,7.921366307791668e-07,0.00020308310753016168,0.00030263900407179325,0.00013551479367211107,0.00015868540417846496,0.0001188050672551788,0.0005162542847780635,0.0001375604917326844,0.0009559400177145274,0.0013672978748531092,0.0005755967234898579,0.000497870700245259,0.00029588187845492735,4.705254710013127e-05,2.103303288536362e-06,0.0004521246838927354,0.0007408675586058653,0.0002141027904428792,0.00027412270178166725,0.00020207873885760171,0.0008783239439060725,0.000255016954673171,0.001651333942663022,0.0025140672379850054,0.0010320257097089594,0.0008109684390277608,0.0005634534636875811,8.460202230282123e-05,3.36020387701398e-06,0.000781177614853224,0.0012978410951543934,0.00042078239761989385,0.00047313355432480035,0.00036786835194532237,0.0016506749623276798,0.00040737057259753666,0.0030214667963939968,0.003418712357754593,0.0019154653903841763,0.001452960108051504,0.001060904015158401,0.00014554635300568486,5.294302053754345e-06,0.0013739432545521928,0.0021911084352716236,0.0006010445767954744,0.0007558023423161757,0.0005323306378310927,0.0023176541704997586,0.0006543611121613734,0.004368386442562734,0.005711540174667025,0.0031761742439969753,0.0023667078140947244,0.0014852396856225782,0.00023726528158067388,9.155843891621647e-06,0.00214919410964767,0.0034788242939030735
PCR,4.398111369254223e-05,9.03915564976798e-05,4.1407843282363804e-05,0.00018301083399012172,9.541309459722509e-05,0.0004176911478652355,0.0005258686245669723,0.00023426722968818072,0.00021571994507812295,0.00014198930593112993,1.5188048854152297e-05,7.979214222521499e-07,0.0002031659995612604,0.0003027809242283361,0.00013559380466499822,0.00015868246467742322,0.00011804662827292528,0.0005162256314189895,0.00013735094956988123,0.0009560108433653184,0.0013675803292201177,0.0005686587473278275,0.0004965905514122118,0.0002965886776671912,4.6865991234332434e-05,2.10564094523758e-06,0.00045067568390050994,0.0007465468275250391,0.0002148987707589772,0.00027435063212132347,0.00019773813544353425,0.0008793087490325339,0.0002542012527506447,0.0016373726131416195,0.002474238393157439,0.0010234391463432274,0.0008108732065024113,0.0005636429332574052,8.449137070077875e-05,3.3530188141499597e-06,0.0007812682658852277,0.0012994088843885745,0.00042217390957974624,0.00047360474860733674,0.000361074785660935,0.001650257012266873,0.00040853702830502114,0.00302861888159479,0.003423304671991675,0.0019175316586526835,0.001455490785843021,0.001062949043093139,0.0001461619864646127,5.2831473014654055e-06,0.0013763527117424772,0.002197763632574273,0.0006034530025899335,0.0007583062577139503,0.0005270297945766598,0.0023200231448911608,0.0006466013183187905,0.004366863331704853,0.005726807097168818,0.003182078884992542,0.0023713774223742394,0.0014865237290374812,0.00023747533691810402,9.136141233028702e-06,0.0021547697453229856,0.0034892371319658944
PLS,4.571611487359219e-05,9.461185472842014e-05,4.382173678149038e-05,0.00019567160604902004,0.0001020052209396803,0.0004221398215809129,0.0005300889495036615,0.0002393564578685934,0.00021742246346470161,0.00014253619901004875,1.5097499964038981e-05,8.592676829964984e-07,0.00020547755602735236,0.00030698424845033463,0.000139577318662391,0.00016087018173653134,0.00011797778264717657,0.0005324739416004226,0.0001387087124074264,0.0009653870963998316,0.0014094583409707455,0.0005755490385530392,0.0005054852093023987,0.00030010929421417154,4.683312209134048e-05,2.5437294372934633e-06,0.00045969046696914235,0.0007581148903254651,0.00022554947660061178,0.00027661552944777254,0.0001959218277286477,0.0008958125273622635,0.00026980245968516003,0.0016487718031235308,0.0025158611315149273,0.0010351035467161109,0.0008302535548299489,0.0005752817484164217,8.692423890052826e-05,4.717412962684761e-06,0.000795292666646675,0.0013155079162185904,0.00043193811775870967,0.0004900773043915839,0.0003608529697520197,0.0016599313398901541,0.0004139489855379507,0.003077170455216079,0.003474525450671944,0.00190829608656638,0.001549567008623315,0.0011379685655586878,0.00015825968418625163,8.902731644755732e-06,0.0014333634165830667,0.002258459790257834,0.0006327267734965195,0.0007780770482807838,0.0005227004358924121,0.0023332495816006066,0.00066366973130416,0.00481347175693507,0.005869146843201919,0.0032810218573136626,0.002763187298091094,0.0016848796016155365,0.0002720460580581383,1.9400949105841988e-05,0.0024131869104026004,0.003634670037677354
RF,4.274720116440548e-05,9.516346957578032e-05,4.1403460099813625e-05,0.00018436984050346908,9.965882883949007e-05,0.000393759342231946,0.0005134340754533048,0.00023248691077877223,0.00021289638485488197,0.00014172282670641803,1.5093641854733555e-05,8.013092785920064e-07,0.00019746545780470478,0.0002955928703842688,0.00013477559066815513,0.00015394806926328502,0.00011835093499881018,0.00048293325608086816,0.0001359514829378618,0.00098421672275264,0.0013682281409989597,0.0005770157331235712,0.0004958593826102307,0.0002980709199598737,4.832741026173198e-05,2.123786890039843e-06,0.0004521747704852548,0.0007480318108436286,0.0002160059874665573,0.0002693793303667822,0.0002032035982086004,0.0008424439434239354,0.0002568510995065602,0.0016502606439889207,0.0025139058986406904,0.0010391872882182743,0.0008120656854228563,0.0005705882313148894,8.495597678916153e-05,3.3873000528556336e-06,0.0007836321491172187,0.0012919083402266878,0.00042668439202662723,0.0004740892386817798,0.0003806203512663685,0.0016375966329577097,0.0004125087002287712,0.003073816856947397,0.0034303319192767715,0.0019322588062025536,0.0014706440961854926,0.001078988004011454,0.00014684904253383692,5.387579726747998e-06,0.0013914539071067256,0.002214753122085521,0.0006122107354138609,0.0007528064086553572,0.0005456947586094629,0.002269193856411544,0.0006566721477244633,0.00441984078561336,0.0057289927044429706,0.003204399913766644,0.00241121142838,0.001512697715898628,0.0002409240537361103,9.252751915016592e-06,0.002182402509335811,0.0035029655601290064
