Method,ret_XLE,ret_XLF
AR(1) benchmark,-0.0389148846997968,-0.031955482157054106
Fwd (Cp),-0.010986484659792812,-0.031955482157054106
Fwd (CV),-0.10545304487541055,-0.031955482157054106
Bwd (Cp),-0.010986484659792812,-0.031955482157054106
Bwd (CV),-0.10545304487541055,-0.031955482157054106
Best Sub (Cp),-0.0031833324238423107,-0.031955482157054106
Ridge,-0.10544558985676127,-0.03314269432921505
Lasso,-0.10545304487541055,-0.050285048787155756
PCR,-0.07293509130625922,-0.038039146979567784
PLS,0.012466670113398639,-0.03179797054463636
