Method,Variable,Coef,HAC SE,t-stat,p-value,target
Fwd (Cp),surp_nfp,0.001160947,0.000762564,1.522425506,0.128200749,ret_CADUSD
Fwd (Cp),surp_corecpi,0.001302688,0.000398155,3.271814729,0.001103056,ret_CADUSD
Fwd (Cp),surp_gdp,-0.001595072,0.000585045,-2.726408319,0.006508374,ret_CADUSD
Fwd (Cp),surp_corecpi_x_vix,0.001877537,0.000556587,3.373307227,0.00076957,ret_CADUSD
Fwd (Cp),surp_gdp_x_vix,-0.001657468,0.000450404,-3.679955915,0.000245011,ret_CADUSD
Fwd (Cp),surp_dgorders_x_vix,0.001086294,0.000674988,1.609352128,0.107837119,ret_CADUSD
Fwd (Cp),surp_consconfid_x_vix,0.000657502,0.000171958,3.823619363,0.000139172,ret_CADUSD
Fwd (Cp),surp_avghourlyearnmings_x_vix,0.001895247,0.000991016,1.912427347,0.056090697,ret_CADUSD
Fwd (Cp),surp_cpi_x_vix,-0.000560464,0.000604173,-0.927655271,0.353797591,ret_CADUSD
Fwd (Cp),surp_tradebal_x_vix,-0.000855953,0.000588599,-1.454219947,0.146181359,ret_CADUSD
Bwd (Cp),surp_nfp,0.00116385,0.000763381,1.524598586,0.127657816,ret_CADUSD
Bwd (Cp),surp_corecpi,0.00130029,0.000398941,3.259351683,0.001152205,ret_CADUSD
Bwd (Cp),surp_gdp,-0.001601288,0.000585864,-2.733207933,0.006376551,ret_CADUSD
Bwd (Cp),surp_newhomesales,0.001506716,0.000775548,1.942776588,0.052307928,ret_CADUSD
Bwd (Cp),surp_corecpi_x_vix,0.001879477,0.000557155,3.373347671,0.000769484,ret_CADUSD
Bwd (Cp),surp_gdp_x_vix,-0.001647821,0.000455539,-3.617297464,0.000311735,ret_CADUSD
Bwd (Cp),surp_newhomesales_x_vix,0.002157351,0.001196182,1.803530284,0.071589089,ret_CADUSD
Bwd (Cp),surp_consconfid_x_vix,0.000699965,0.000159421,4.390657686,1.24E-05,ret_CADUSD
Bwd (Cp),surp_avghourlyearnmings_x_vix,0.001893567,0.000992001,1.908836867,0.056553234,ret_CADUSD
Bwd (Cp),surp_cpi_x_vix,-0.000561025,0.000603766,-0.929210691,0.352991657,ret_CADUSD
Bwd (Cp),surp_tradebal_x_vix,-0.000856721,0.000589582,-1.45309984,0.146492281,ret_CADUSD
Ridge,surp_nfp,3.26E-12,,,,ret_CADUSD
Ridge,surp_unemp,8.85E-13,,,,ret_CADUSD
Ridge,surp_corecpi,1.28E-11,,,,ret_CADUSD
Ridge,surp_gdp,-5.65E-12,,,,ret_CADUSD
Ridge,surp_retsailes,-3.14E-13,,,,ret_CADUSD
Ridge,surp_ism_pmi,5.01E-12,,,,ret_CADUSD
Ridge,surp_dgorders,4.21E-13,,,,ret_CADUSD
Ridge,surp_newhomesales,4.91E-12,,,,ret_CADUSD
Ridge,surp_consconfid,7.27E-12,,,,ret_CADUSD
Ridge,surp_avghourlyearnmings,-1.59E-12,,,,ret_CADUSD
Ridge,surp_cpi,-2.22E-13,,,,ret_CADUSD
Ridge,surp_tradebal,-5.81E-12,,,,ret_CADUSD
Ridge,surp_indprod,-2.89E-13,,,,ret_CADUSD
Ridge,surp_fedratedec,-3.90E-14,,,,ret_CADUSD
Ridge,VIXCLS,1.83E-12,,,,ret_CADUSD
Ridge,surp_nfp_x_vix,-1.50E-12,,,,ret_CADUSD
Ridge,surp_unemp_x_vix,-6.13E-12,,,,ret_CADUSD
Ridge,surp_corecpi_x_vix,3.15E-11,,,,ret_CADUSD
Ridge,surp_gdp_x_vix,-6.79E-12,,,,ret_CADUSD
Ridge,surp_retsailes_x_vix,1.73E-12,,,,ret_CADUSD
Ridge,surp_ism_pmi_x_vix,4.07E-12,,,,ret_CADUSD
Ridge,surp_dgorders_x_vix,9.14E-12,,,,ret_CADUSD
Ridge,surp_newhomesales_x_vix,4.98E-12,,,,ret_CADUSD
