Method,p,Adj.R2,Cp,BIC,target
AR(1),1,0.0012700692107328049,50.24044276379482,-10851.83082382367,ret_CADUSD
Fwd (Cp),11,0.0462638054387412,9.927267450789259,-10841.50340958905,ret_CADUSD
Fwd (CV),0,0.0,50.70767570816679,-10856.44466063774,ret_CADUSD
Bwd (Cp),12,0.04860015804081752,8.342531439596996,-10838.16570143363,ret_CADUSD
Bwd (CV),1,0.018968363830402124,30.44204691376035,-10870.979976746583,ret_CADUSD
Ridge,30,-0.028846138357150997,110.7076588512682,-10647.154234647927,ret_CADUSD
Lasso,0,0.0,50.70767570816679,-10856.44466063774,ret_CADUSD
PCR,1,0.0007579857600471529,50.81329066144781,-10851.281825736827,ret_CADUSD
PLS,1,0.03971181266403612,7.237155135837384,-10893.868610547366,ret_CADUSD
AR(1),1,0.021471540724262383,333.6431997126472,-10182.665728840437,ret_EURUSD
Fwd (Cp),11,0.25786147264820247,5.342933214005825,-10419.11455292727,ret_EURUSD
Fwd (CV),0,0.0,363.7160577495274,-10165.394182372762,ret_EURUSD
Bwd (Cp),11,0.25786147264820247,5.342933214005825,-10419.11455292727,ret_EURUSD
Bwd (CV),0,0.0,363.7160577495274,-10165.394182372762,ret_EURUSD
Ridge,30,0.17224250056368529,143.69076618654526,-10189.017299580171,ret_EURUSD
Lasso,0,0.0,363.7160577495274,-10165.394182372762,ret_EURUSD
PCR,17,0.2344195354835894,44.4326864837758,-10350.035318578037,ret_EURUSD
PLS,1,0.24832207274968665,8.934549677285986,-10465.133332690026,ret_EURUSD
AR(1),1,-0.0001241276320149698,53.76557174400841,-10920.109864156539,ret_GBPUSD
Fwd (Cp),11,0.05381963866527706,3.396005689204003,-10919.79511782783,ret_GBPUSD
Fwd (CV),0,0.0,52.674765206876145,-10926.217742073248,ret_GBPUSD
Bwd (Cp),13,0.05417415884026122,5.01942997484548,-10908.26836045492,ret_GBPUSD
Bwd (CV),0,0.0,52.674765206876145,-10926.217742073248,ret_GBPUSD
Ridge,30,-0.028846135957510954,112.67474570421382,-10716.927318581393,ret_GBPUSD
Lasso,1,-0.0008565235685988881,54.586314017821906,-10919.325852494418,ret_GBPUSD
PCR,2,0.009221245159255487,44.25427201691036,-10924.190558063918,ret_GBPUSD
PLS,1,0.03978563125958012,9.041639477511126,-10963.724024303252,ret_GBPUSD
AR(1),1,0.0005581934644137698,-4.71671867664395,-9294.697918986645,ret_GC
Fwd (Cp),1,0.00402966997068166,-8.406469725679926,-9298.424422420272,ret_GC
Fwd (CV),0,0.0,-5.129156103905416,-9300.074872346027,ret_GC
Bwd (Cp),1,0.00402966997068166,-8.406469725679926,-9298.424422420272,ret_GC
Bwd (CV),0,0.0,-5.129156103905416,-9300.074872346027,ret_GC
Ridge,30,-0.02884614317110068,54.870832857634014,-9090.784441345028,ret_GC
Lasso,0,0.0,-5.129156103905416,-9300.074872346027,ret_GC
PCR,1,-0.00022188526837840783,-3.887591267181506,-9293.862314111058,ret_GC
PLS,1,0.012583615627316913,-17.498258162957654,-9307.662492366957,ret_GC
AR(1),1,0.021782728961539766,300.1374265417385,-10101.996950006442,ret_JPYUSD
Fwd (Cp),11,0.23857653909050325,7.195979031804427,-10310.629972903558,ret_JPYUSD
Fwd (CV),0,0.0,329.88791663465304,-10084.384753652817,ret_JPYUSD
Bwd (Cp),12,0.23968648517489655,6.6652385887337005,-10306.227796669957,ret_JPYUSD
Bwd (CV),0,0.0,329.88791663465304,-10084.384753652817,ret_JPYUSD
Ridge,30,0.06796515941841452,258.2567919878211,-9980.933763514853,ret_JPYUSD
Lasso,1,0.16615068169519065,98.37158451580808,-10273.013256839513,ret_JPYUSD
PCR,17,0.20602691263940986,58.03305048416519,-10230.025165232153,ret_JPYUSD
PLS,2,0.24150863065154027,-5.938849128923721,-10368.485752725019,ret_JPYUSD
AR(1),1,0.0013956225675504363,58.04841290746026,-8456.95074499884,ret_XLE
Fwd (Cp),13,0.060735495753225566,3.3161727271792643,-8450.936132314335,ret_XLE
Fwd (CV),0,0.0,58.674651795316095,-8461.429934703736,ret_XLE
Bwd (Cp),13,0.060735495753225566,3.3161727271792643,-8450.936132314335,ret_XLE
Bwd (CV),0,0.0,58.674651795316095,-8461.429934703736,ret_XLE
Ridge,30,-0.02884608789839005,118.6745795127681,-8252.13956124008,ret_XLE
Lasso,0,0.0,58.674651795316095,-8461.429934703736,ret_XLE
PCR,1,-0.0006058761868947826,60.303342935820865,-8454.80629232979,ret_XLE
PLS,1,0.05381142106114889,-1.004313316433354,-8514.695625968128,ret_XLE
AR(1),1,0.007125393383920708,38.201384003524936,-8332.767366887927,ret_XLF
Fwd (Cp),7,0.0540752922346448,-7.9699519272041925,-8348.81817954109,ret_XLF
Fwd (CV),1,0.02053185516302325,23.278210408267796,-8347.327251766053,ret_XLF
Bwd (Cp),7,0.0540752922346448,-7.9699519272041925,-8348.81817954109,ret_XLF
Bwd (CV),0,0.0,45.17417803868875,-8331.083698208316,ret_XLF
Ridge,30,-0.028846092924559308,105.17411206452243,-8121.793319512558,ret_XLF
Lasso,0,0.0,45.17417803868875,-8331.083698208316,ret_XLF
PCR,1,0.0013693742739752102,44.6085982119173,-8326.576357662507,ret_XLF
PLS,1,0.040669024250004626,0.8628651103388165,-8369.57574924264,ret_XLF
AR(1),1,-0.0007391354371679704,58.67597562801552,-9168.682980846896,ret_XLI
Fwd (Cp),10,0.0587828267610635,0.809542811027768,-9180.624833066644,ret_XLI
Fwd (CV),0,0.0,56.89680315303258,-9175.449247962128,ret_XLI
Bwd (Cp),10,0.0587828267610635,0.809542811027768,-9180.624833066644,ret_XLI
Bwd (CV),0,0.0,56.89680315303258,-9175.449247962128,ret_XLI
Ridge,30,-0.028846113665498718,116.89675918215221,-8966.158847675631,ret_XLI
Lasso,0,0.0,56.89680315303258,-9175.449247962128,ret_XLI
PCR,3,0.0018550810736908119,57.65730926527749,-9159.515861854055,ret_XLI
PLS,1,0.04647865034048937,5.563306012032399,-9220.44690174675,ret_XLI
AR(1),1,0.0044494357332954815,45.93247003947317,-9248.580673068884,ret_XLK
Fwd (Cp),8,0.055351587770897215,-3.8864389090081204,-9262.991803108733,ret_XLK
Fwd (CV),0,0.0,49.95227305850267,-9249.779639769225,ret_XLK
Bwd (Cp),8,0.055351587770897215,-3.8864389090081204,-9262.991803108733,ret_XLK
Bwd (CV),1,0.01515689391197328,33.96253269388217,-9260.162006242199,ret_XLK
Ridge,30,-0.02884612414794696,109.95224075933334,-9040.489228570794,ret_XLK
Lasso,0,0.0,49.95227305850267,-9249.779639769225,ret_XLK
PCR,1,0.0013930474876234777,49.34922639695765,-9245.297688302906,ret_XLK
PLS,1,0.033198332874177394,13.793890388845739,-9279.963695385823,ret_XLK
AR(1),1,0.004315890646811149,23.876320814986684,-9708.608465874062,ret_XLV
Fwd (Cp),7,0.03605992565464078,-4.830178615643263,-9707.479920052805,ret_XLV
Fwd (CV),0,0.0,27.629719047579783,-9709.951088959795,ret_XLV
Bwd (Cp),7,0.03605992565464078,-4.830178615643263,-9707.479920052805,ret_XLV
Bwd (CV),0,0.0,27.629719047579783,-9709.951088959795,ret_XLV
Ridge,30,-0.02884613289856164,87.62969671989526,-9500.66066865222,ret_XLV
Lasso,0,0.0,27.629719047579783,-9709.951088959795,ret_XLV
PCR,11,0.018332536117529497,18.45862832467583,-9664.094874633287,ret_XLV
PLS,1,0.031871618029937876,-6.3138672403526925,-9738.666448773649,ret_XLV
AR(1),1,-0.0008187138010702366,47.121842737410134,-12049.896401054777,ret_ZN
Fwd (Cp),7,0.05406150443227531,-7.881746287788701,-12074.46670080915,ret_ZN
Fwd (CV),0,0.0,45.25179880637597,-12056.747830262942,ret_ZN
Bwd (Cp),7,0.05406150443227531,-7.881746287788701,-12074.46670080915,ret_ZN
Bwd (CV),1,0.011744902676195879,33.13589368582211,-12063.426127420296,ret_ZN
Ridge,30,0.0386978364575693,32.10090796313921,-11920.183031170629,ret_ZN
Lasso,1,0.0006808857074079855,45.45247290577663,-12051.502361756042,ret_ZN
PCR,1,0.0013829657787153282,44.67091003928749,-12052.255066278536,ret_ZN
PLS,2,0.05661227786851619,-15.793340122316295,-12107.214531738606,ret_ZN
AR(1),1,0.0058853393088103,36.61259612418439,-15098.22686297289,ret_ZT
Fwd (Cp),9,0.04299698378482386,3.462538490273346,-15091.208462968865,ret_ZT
Fwd (CV),0,-2.220446049250313e-16,42.18467344308601,-15097.879988717606,ret_ZT
Bwd (Cp),13,0.045423198522564934,4.823967081620594,-15070.067071304868,ret_ZT
Bwd (CV),0,-2.220446049250313e-16,42.18467344308601,-15097.879988717606,ret_ZT
Ridge,30,0.0019024528955060571,68.97525684242828,-14921.086042994846,ret_ZT
Lasso,0,0.0,42.18467344308601,-15097.879988717606,ret_ZT
PCR,12,0.024342982652227785,26.97659945649889,-15052.636794399574,ret_ZT
PLS,1,0.03802299406344134,0.9351013647356012,-15133.42207009741,ret_ZT
AR(1),1,0.003648872294397587,52.76060762292923,-9332.873091853926,ret_GSPC
