Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum3,ret_EURUSD_cum3,ret_GBPUSD_cum3,ret_GC_cum3,ret_JPYUSD_cum3,ret_XLE_cum3,ret_XLF_cum3,ret_XLI_cum3,ret_XLK_cum3,ret_XLV_cum3,ret_ZN_cum3,ret_ZT_cum3,ret_GSPC_cum3,ret_RUT_cum3,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
AR(1),4.394913660692491e-05,9.466803971649504e-05,4.144461397227421e-05,0.00018313959959605526,0.00010146739252141065,0.00042255118406515804,0.0005233454112067785,0.00023450742687321701,0.00021820917566055825,0.00014217244700306453,1.5189493401148461e-05,8.078900474666778e-07,0.00020299056675106232,0.0003029175089401929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fwd (Cp),4.5170228669904446e-05,9.941264251831172e-05,4.700055630328303e-05,0.00018557353233064687,9.509672934141254e-05,0.0008993079106790002,0.000514104835094652,0.00023466953662773133,0.00021562022950938627,0.0001394078312223244,1.5951035195782046e-05,9.75777660287495e-07,0.00020214215080427086,0.0003637563969435223,0.0001360361019955255,0.0001690968641635412,0.00011901277754729061,0.0008131079414122267,0.0002639431526701459,0.0009064637718653629,0.0016921925824235507,0.0005720050435212395,0.0005325003296967226,0.0003174249880194411,5.0584010782595955e-05,2.574652655602905e-06,0.0006584481098805924,0.0007934826790225318,0.00021924303146548778,0.0003580115349863237,0.0001987279453930705,0.0017710474303001234,0.0002573098427513404,0.0015949413746951333,0.0025535711841193098,0.001022501529519187,0.0008675892455021519,0.0006104249503769551,9.074011668841344e-05,5.824143845555865e-06,0.0007846874231825812,0.0013141479269179982,0.0007355839706092744,0.0004758760849631694,0.0003645499628804063,0.0019369825867707076,0.0004629054602658012,0.003293907144608261,0.003841724939051856,0.002097439503829435,0.001682862308002509,0.0011050696465330103,0.0001620285743617169,1.0128138219317062e-05,0.001453568415902549,0.002319315876955466,0.0013015464689784947,0.0008209293105263215,0.0005439046533086091,0.00246811847249386,0.000683432084343009,0.0046593859774956775,0.005783182245808999,0.0032473424192271554,0.0024795618235477694,0.00150095844860595,0.0002896863808970924,2.2616745842195355e-05,0.0020994609378200187,0.0034058600691684033
Fwd (CV),4.4013387090954146e-05,9.37065923444614e-05,4.142418039019153e-05,0.00018283189960252404,9.918056636074816e-05,0.00041756014259006213,0.0005247479324330239,0.00023424486005619606,0.00021569601514052057,0.00014204278646771492,1.5182001323849807e-05,7.988710161690662e-07,0.00020308310753016168,0.00030263900407179325,0.0001355437286604142,0.00015868540417846496,0.00011979405807774483,0.0005157270595555552,0.00013810546306628762,0.0009539425664135543,0.0013678752431562395,0.0005775312419108062,0.0004985798694339054,0.0002961489605066955,4.704364885747884e-05,2.1483316234017167e-06,0.00044354139975348047,0.0007434202891345582,0.0002141027904428792,0.00027412270178166725,0.00020255566960833613,0.0008783239439060725,0.00025502282891842634,0.0016260242199096651,0.0025174762736208337,0.0010344189308909275,0.0008019250966495131,0.0005636308983037657,8.61231217539111e-05,3.4132003749509873e-06,0.0007829442836871401,0.001301261833901304,0.00042086647938318456,0.00047313355432480035,0.0003799512595833758,0.0016506749623276798,0.0004215992565634926,0.003004289865601199,0.003426493614690716,0.0019169866832934354,0.0014555810210577563,0.0010621894549948951,0.00014905612292048928,5.574650346749569e-06,0.0013762067119348178,0.00216827471772277,0.0006015561455786678,0.0007558023423161757,0.0005436538414754591,0.00231655680913963,0.0006724616690414828,0.004369429691292876,0.005683780308288814,0.0031781988139596355,0.002370286716839477,0.0014867804336545708,0.0002439216161905013,9.373881288589195e-06,0.0021524597526663748,0.003481835026739584
Bwd (Cp),4.503876869980011e-05,9.941264251831172e-05,4.689007684433453e-05,0.00018557353233064687,9.658423732907147e-05,0.0008993079106790002,0.000514104835094652,0.00023466953662773133,0.00021562022950938627,0.0001394078312223244,1.5951035195782046e-05,9.869011662749564e-07,0.00020214215080427086,0.0003646222946746143,0.0001521188112910508,0.00016960889788918468,0.00011839765258968863,0.0008131079414122267,0.0002639431526701459,0.0009064637718653629,0.0016921925824235507,0.0005676108515364041,0.0005333603165033821,0.0003174249880194411,5.203385643078579e-05,2.574652655602905e-06,0.0006476029514271303,0.0007934826790225318,0.00021924303146548778,0.0003580115349863237,0.00019988397388735483,0.0017710474303001234,0.0002573098427513404,0.0016285386367967368,0.002562010457489501,0.001024306328286376,0.0008657454098562446,0.0006104249503769551,9.074011668841344e-05,5.824143845555865e-06,0.0007846874231825812,0.0013141479269179982,0.0007355839706092744,0.00046725763611504844,0.0003645499628804063,0.0019369825867707076,0.0004629054602658012,0.003293907144608261,0.004121163667909217,0.002097439503829435,0.0016777625113331687,0.0011050696465330103,0.00016826329340535772,1.0128138219317062e-05,0.001453568415902549,0.002319579941370752,0.0013015464689784947,0.0008209293105263215,0.0005439046533086091,0.00246811847249386,0.000683432084343009,0.0046593859774956775,0.005791141553859384,0.0032473424192271554,0.0024795618235477694,0.00150095844860595,0.00028922390700417876,2.2529957522116193e-05,0.0020994609378200187,0.0034058600691684033
Bwd (CV),4.400235317156797e-05,9.37065923444614e-05,4.142418039019153e-05,0.00018283189960252404,9.918056636074816e-05,0.00041756014259006213,0.0005256210884996261,0.00023424486005619606,0.00021451091727602568,0.00014204278646771492,1.5074278157414072e-05,7.988710161690662e-07,0.00020308310753016168,0.00030263900407179325,0.0001355437286604142,0.00015868540417846496,0.00011979405807774483,0.0005162638937652842,0.00013810546306628762,0.0009546404647391135,0.0013618775130987343,0.0005775312419108062,0.0004985798694339054,0.0002968071616309005,4.7134246973512116e-05,2.1483316234017167e-06,0.00045356528683509215,0.0007538903845239708,0.0002141027904428792,0.00027412270178166725,0.00020255566960833613,0.0008783239439060725,0.00025502282891842634,0.0016260242199096651,0.0025100675995809035,0.0010344189308909275,0.0008106711056661466,0.0005649055246025031,8.61231217539111e-05,3.4132003749509873e-06,0.0007829442836871401,0.001296853717861475,0.00041676713109714715,0.00047313355432480035,0.0003799512595833758,0.0016506749623276798,0.0004215992565634926,0.0029560623868723056,0.003426493614690716,0.0019169866832934354,0.00141805256014107,0.0010621894549948951,0.00014905612292048928,5.574650346749569e-06,0.0013762067119348178,0.002197456417686481,0.0005977494033005495,0.0007558023423161757,0.0005390082091319574,0.00231655680913963,0.0006724616690414828,0.004369429691292876,0.005683780308288814,0.0031682352651906678,0.002370286716839477,0.0014867804336545708,0.0002439216161905013,9.373881288589195e-06,0.0021446277063950645,0.003469723291897936
Ridge,4.401338710060325e-05,9.354754908730479e-05,4.142418039330958e-05,0.00018283189989571084,9.91630907772198e-05,0.00041756014399500497,0.000525621089185752,0.00023424486018407196,0.00021569601539613904,0.00014204278649205282,1.515911402277354e-05,7.981575162915976e-07,0.00020308310774298766,0.0003026390043190437,0.00013554372866587,0.0001586854044075151,0.00011896962669150914,0.0005162638947229084,0.00013809558384323295,0.0009697317350088199,0.0013678717038512738,0.0005764007959239924,0.000498287511293102,0.00029670745492502273,4.7889445463914164e-05,2.1222726541596777e-06,0.0004533069836140258,0.0007527443690061849,0.00021410279075469773,0.00027381775673449715,0.00019997483224960572,0.0008783239478232409,0.0002550228289563364,0.001648397318526392,0.0025149148568925635,0.001032275026337056,0.0008116847564528352,0.0005647041696149291,8.565162305889973e-05,3.3885286588101106e-06,0.0007819892305685932,0.0012999818079950287,0.0004202759359999504,0.0004731335549173956,0.0003741800813288106,0.0016506476104918445,0.0004143056183472521,0.0030412792998238403,0.003424962671229976,0.0019169866837529363,0.00145558102169951,0.0010621894600363194,0.00014832415440565222,5.433789525081319e-06,0.0013762067130256674,0.002197456421071087,0.0006014864386266456,0.0007558023456103227,0.0005421868408133727,0.0023176541724768507,0.0006674915028147712,0.00436942969451925,0.00572059799533513,0.00317808817092943,0.002370216355026543,0.0014867804349459716,0.00023982050633990955,9.204307073405708e-06,0.0021523457349739,0.0034818350299758165
Lasso,4.400700285773115e-05,9.37065923444614e-05,4.141690314597354e-05,0.00018283189960252404,9.892909652609243e-05,0.00041756014259006213,0.0005256210884996261,0.0002342448600561961,0.00021569601514052057,0.00014204278646771492,1.5174499803806682e-05,7.988253134052043e-07,0.00020308310753016168,0.00030263900407179325,0.0001355157153480861,0.00015868540417846496,0.00011978266248221381,0.0005148455100579221,0.00013810546306628762,0.0009596594050288522,0.0013661785453684,0.0005753605937574724,0.0004972588123152837,0.0002960781134865728,4.7281649858170494e-05,2.1051343754385757e-06,0.00045211364822731983,0.0007428013762399724,0.0002141027904428792,0.00027412270178166725,0.00020204854769819994,0.0008783239439060725,0.00025502282891842634,0.001647495635686806,0.002516501689872813,0.0010315152481355746,0.0008109543380549624,0.000563604473498651,8.455829271646471e-05,3.354409502239896e-06,0.0007809661225074968,0.0012978270531363674,0.0004203059511206401,0.00047313355432480035,0.00037676259783694303,0.0016506749623276798,0.0004097528874909744,0.003037170633774096,0.0034212041503422015,0.0019147541354940583,0.0014532351526896712,0.0010609910921906814,0.00014557598599097883,5.298194787491908e-06,0.001373805152375789,0.00219317441570873,0.0005999747511898677,0.0007541210281499382,0.0005430870690761704,0.0023176541704997586,0.0006602647963162416,0.004364020606357364,0.005709221446976126,0.0031743317411738804,0.002367106985567458,0.0014857524822860194,0.00023705240523562283,9.158221637953709e-06,0.002148748079492726,0.0034757278130793643
PCR,4.387878673359869e-05,8.789411672884092e-05,4.1313582852124985e-05,0.00018287243891062718,9.342517086621225e-05,0.0004172869644596123,0.0005264925787550643,0.00023392204588685336,0.00021573225319892236,0.00014109750204204685,1.5180838718620231e-05,8.00706264160373e-07,0.00020327842426279144,0.0003034322700195641,0.0001349634831728481,0.00015863863141339358,0.0001193238085658489,0.0005158049352929866,0.00013830608092359247,0.0009417432401622718,0.0013614481244264946,0.0005710336577901481,0.0004920512641687207,0.0002908953288876889,4.8241929076388585e-05,2.1362948609581766e-06,0.0004457776355701829,0.0007398126424497169,0.00021444719811172544,0.00027423039775794543,0.0002017362282600837,0.0008787404544048628,0.0002532733226739516,0.0016363587445628299,0.0025121173137794433,0.001028961864690976,0.0008048552963019727,0.0005619260103696706,8.579728302589132e-05,3.395050801527907e-06,0.0007770800613771589,0.0012935233623501351,0.00042003533984403353,0.0004715887922668899,0.00036691452433160204,0.0016432744682661914,0.0004147581283549262,0.0030327759118820605,0.003425541628725918,0.001917801327905138,0.0014540010493375537,0.0010707864194998533,0.0001489068006841062,5.5633776267957425e-06,0.0013766957645240385,0.0021999217175681755,0.000600227550195918,0.0007607067348233722,0.0005473261623324855,0.0023193446774916245,0.0006600960893596839,0.004351579752496088,0.005718469179381635,0.0031771567598985113,0.002364735192877868,0.0014894166399057572,0.0002423980450335535,9.343670514879968e-06,0.0021504692253801042,0.0034799967944748856
PLS,4.4212221812894756e-05,9.230173834215019e-05,4.193906773516254e-05,0.00018741571126033068,9.913548974277371e-05,0.00042440514375113696,0.0005293387343501329,0.00023389702755441575,0.00021620804441170745,0.00014152725645937431,1.498087128909166e-05,8.065657653754696e-07,0.00020328677421299897,0.0003056585152937897,0.00013788094339603303,0.00016093957539493973,0.00011864402942603891,0.0005302818668340685,0.00014108113474784137,0.0009533279911031922,0.0014041886290748734,0.0005769976101754591,0.0005011730667497817,0.00030093355213793284,4.786446659087656e-05,2.1397732464592362e-06,0.00045933762757877674,0.0007555978588272518,0.00021766348306942308,0.0002738924312523421,0.00019918316075846898,0.0008987870383737434,0.0002592453390644036,0.0016427329575443095,0.002537009589635822,0.0010380026211575532,0.0008176038519756345,0.0005701062706314102,8.704100549302042e-05,3.4737023644051333e-06,0.0007884923837117337,0.0013106918934201758,0.0004251874907085327,0.00047639207584089413,0.0003712480782495406,0.001648348111066255,0.0004119245766914461,0.003047976424435524,0.003507261847748995,0.0019343971623239633,0.0014711041185823473,0.0010884336189071818,0.00015020598517987498,5.561022897420678e-06,0.0013932975590135591,0.0022337761298427497,0.0006130248242101152,0.000764959321342375,0.0005432544122525261,0.002323629702530588,0.0006674873632488426,0.004378480082021689,0.00574024350648585,0.0031992183031038864,0.0024109909117981465,0.0015105097082741242,0.00024077962693736256,9.678107537323943e-06,0.0021722879306645022,0.0035087825450341175
RF,4.272848404108633e-05,9.524536133476647e-05,4.180850177135379e-05,0.0001835914607461294,9.96135772846912e-05,0.00039464118544081526,0.0005124059779071696,0.00023256601055309707,0.00021302007116278182,0.00014162744637529495,1.506110546790656e-05,8.033794337214744e-07,0.00019734699937796495,0.0002956569427916068,0.00013477352174708066,0.00015394806926328502,0.00011835391918804307,0.0004829249154614553,0.00013594770837108816,0.000984194853382289,0.001368227744060568,0.0005767968056838485,0.0004966727209184412,0.0002980704138924922,4.832728165935391e-05,2.1237838636675055e-06,0.0004521747704852548,0.0007480318108436286,0.00021600632498592072,0.0002693808400702972,0.00020320916828656392,0.0008424439860715906,0.0002568447635369147,0.0016502606439889207,0.0025139058986406904,0.0010391872882182743,0.0008120656854228563,0.0005705882313148894,8.495229343929333e-05,3.387329006060465e-06,0.0007836321491172187,0.0012919083402266878,0.00042668370403974287,0.0004740892386817798,0.0003806272175997905,0.0016375979044724615,0.0004124973071918943,0.003073816856947397,0.003430352729253636,0.0019322588062025536,0.0014706513542474887,0.001078988004011454,0.0001468393385883066,5.387556969453363e-06,0.0013914539071067256,0.002214753122085521,0.0006122105707131534,0.0007569490424885148,0.0005456996007719507,0.002269259578683099,0.0006566442491565604,0.00441984078561336,0.005729147575481783,0.0032044052127636006,0.0024112208111015175,0.0015127294637871831,0.00024092278784652093,9.252720167106328e-06,0.002182420749609327,0.0035029655601290072
