Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum3,ret_EURUSD_cum3,ret_GBPUSD_cum3,ret_GC_cum3,ret_JPYUSD_cum3,ret_XLE_cum3,ret_XLF_cum3,ret_XLI_cum3,ret_XLK_cum3,ret_XLV_cum3,ret_ZN_cum3,ret_ZT_cum3,ret_GSPC_cum3,ret_RUT_cum3,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
AR(1),0.010931493184621735,0.04263382915270102,0.09763232055368666,0.056485078022730804,-0.012953836870159916,-0.07532273316801442,0.03800208787815375,-0.05913272608826533,0.024822264339459298,0.04900148313210963,-0.034435309083995856,0.06977776489437695,0.029888704075907744,0.019866578547036082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fwd (Cp),0.03209929249785,0.06862319301652071,-0.03629171061509048,-0.028332044617446463,0.03363888449878594,-0.013448904430540311,-0.026028248723680713,-0.08091144422790932,-0.027479384216379885,0.030788870406873975,-0.10404866883102683,-0.001972621458472852,-0.026555522612760965,-0.03875149337806749,-0.08787445582678412,-0.015464269574547884,-0.04894634108294832,0.0769583604586122,9.287633387861834e-05,-0.1333085868354875,-0.08961570979110806,-0.06209532247318192,-0.07358576539335437,-0.02825267288852583,-0.13528572044326131,-0.05456700549512365,-0.02814963660210137,-0.09960612224372804,-0.024933960308452057,-0.025429797432862156,0.015184408269996126,0.027378456558426773,-0.03773914469976687,-0.07256556248165566,-0.09316974099304814,0.0007663067238360698,-0.06404023341208154,0.012038928012118056,-0.14270361468533913,-0.08994627206297368,-0.030920840628316102,-0.03238510530431624,-0.11727750910435125,0.046966162913502627,-0.02463083961149261,0.11549903116266381,-0.10229455267990196,-0.08811096420594029,-0.09722440655028121,0.004471500992811195,-0.06813734033553538,-0.06896595790107456,-0.227391744141444,-0.2401350432087882,-0.04007795165909353,-0.0815703370391949,-0.14208261075951878,0.04570850688775793,-0.07658495897893003,0.14184235551742985,-0.07724703682327104,-0.19318908651647068,-0.10317491481258238,-0.0614880917935925,-0.09387216833531165,-0.07202413115248249,-0.2164281194001907,-0.2669648654208077,-0.04938393712149712,-0.11029314077351453
Fwd (CV),-0.11200370242763952,-0.05308130966502478,0.00013599907050514318,-0.02319391741405143,-0.017827681929085522,-0.0809986369765921,0.002110407799072992,-0.0530529494274845,-0.10991787102081994,-0.01924661831985084,-0.07570073854611617,-0.07495120815339179,-0.03505259904581777,-0.05248004029199584,-0.15397399067320203,-0.02455547896636901,-0.04393832309678184,0.11546714822791708,-0.10923265721559226,-0.08705391360997264,-0.07798633390364615,-0.14149086693335278,-0.07535179896529152,-0.05664866559022486,-0.12694050613704802,-0.10620278299572358,-0.11254965099791538,-0.12337446523625835,-0.18840756967419725,-0.04735282353373229,-0.07035929874724971,0.11123297260090508,-0.08697212407369456,-0.13033582903857255,-0.0694517487235467,-0.09900255053017556,-0.058321823637638215,-0.03163280862307036,-0.2053715292045652,-0.08278623089275916,-0.0899616915658214,-0.14751193068764518,-0.2512991982174327,0.01448826905533444,-0.01662701106086712,0.12603744580059786,-0.16972514142047546,-0.13248478517163664,-0.08780043796263298,-0.0666532074929148,-0.08942762758661642,-0.1134917873024568,-0.2622689470225866,-0.20420307573519728,-0.07080184223460761,-0.10358067618746583,-0.1858518201684234,-0.061825574093741745,-0.02734464653345275,0.16168274314114833,-0.17916050151580054,-0.2329619871110698,-0.0479528849919793,-0.06939639064273423,-0.12390752947231315,-0.19416341137936388,-0.2565631440564731,-0.23358992013402996,-0.09330537449824684,-0.1927391297165302
Bwd (Cp),0.05117958075315011,0.06862319301652071,-0.0363319399231728,-0.028332044617446463,0.0466759508791951,-0.013448904430540311,-0.026028248723680713,-0.08091144422790932,-0.027479384216379885,0.030788870406873975,-0.10404866883102683,-0.004517722540775023,-0.026555522612760965,-0.02704450692299165,-0.0868929428353862,-0.04249118149427157,-0.027946129673834745,0.0769583604586122,9.287633387861834e-05,-0.1333085868354875,-0.08961570979110806,-0.08319949434222762,-0.09076183223968459,-0.02825267288852583,-0.13288571387521117,-0.05456700549512365,-0.05172257377254433,-0.09960612224372804,-0.024933960308452057,-0.025429797432862156,0.009869418953340163,0.027378456558426773,-0.03773914469976687,-0.028334978766725444,-0.08492663282752508,-0.003764108479557971,-0.06526045397541497,0.012038928012118056,-0.14270361468533913,-0.08994627206297368,-0.030920840628316102,-0.03238510530431624,-0.11727750910435125,0.03170060802948635,-0.02463083961149261,0.11549903116266381,-0.10229455267990196,-0.08811096420594029,-0.03661833869641233,0.004471500992811195,-0.07099591584693005,-0.06896595790107456,-0.22927609446499492,-0.2401350432087882,-0.04007795165909353,-0.042668634722077686,-0.14208261075951878,0.04570850688775793,-0.07658495897893003,0.14184235551742985,-0.07724703682327104,-0.19318908651647068,-0.06182381246967041,-0.0614880917935925,-0.09387216833531165,-0.07202413115248249,-0.22927690658349395,-0.2752164162711234,-0.04938393712149712,-0.11029314077351453
Bwd (CV),-0.13855377251704318,-0.05308130966502478,0.00013599907050514318,-0.02319391741405143,-0.017827681929085522,-0.0809986369765921,0.001243659951376055,-0.0530529494274845,-0.11574999853986506,-0.01924661831985084,-0.08148723829132132,-0.07495120815339179,-0.03505259904581777,-0.05248004029199584,-0.15397399067320203,-0.02455547896636901,-0.04393832309678184,0.11589055586267648,-0.10923265721559226,-0.15904262657165996,-0.11972766398344703,-0.14149086693335278,-0.07535179896529152,-0.021477999622251498,-0.12694050613704802,-0.10620278299572358,-0.07352381749649052,-0.09833918298853427,-0.18840756967419725,-0.04735282353373229,-0.07035929874724971,0.11123297260090508,-0.08697212407369456,-0.13033582903857255,-0.08354437258272993,-0.09900255053017556,-0.10479252683112775,-0.05039858686819993,-0.2053715292045652,-0.08278623089275916,-0.0899616915658214,-0.10557196969522054,-0.1423323524744114,0.01448826905533444,-0.01662701106086712,0.12603744580059786,-0.16972514142047546,-0.13754926913499588,-0.08780043796263298,-0.0666532074929148,-0.08760577523222576,-0.1134917873024568,-0.2622689470225866,-0.20420307573519728,-0.07080184223460761,-0.12329264463085919,-0.17737727944157505,-0.061825574093741745,-0.04240537111275004,0.16168274314114833,-0.17916050151580054,-0.2329619871110698,-0.0479528849919793,-0.06237079334349012,-0.12390752947231315,-0.19416341137936388,-0.2565631440564731,-0.23358992013402996,-0.07932916287607564,-0.14778936853563224
Ridge,-0.11102929555609835,0.13034685462236792,0.001334853563269822,-0.02134348770738649,0.08268056493441188,-0.0828804414253459,0.0007748897716394251,-0.0540238996458479,-0.11017660784977215,-0.018031039835899362,-0.06625225736835284,0.003296788594114646,-0.03567501841363753,-0.05249221936356122,-0.1557758817094172,-0.02359623322325008,0.006828309117069337,0.11651135964795255,-0.05270377888659237,-0.10726056891629228,-0.12784314798030275,-0.052699571229477424,-0.06437612760079393,-0.031338835443661534,-0.09588337195483647,-0.06632011990386641,-0.07808169833356254,-0.07753696067585238,-0.1890793851484072,-0.023327353671026903,0.0023508488178536026,0.11153934569905609,-0.08808206778638239,-0.07553155024455727,-0.056012228888337005,-0.026944091525778577,-0.04152126303604013,0.021046700888944538,-0.09367979113600587,-0.09325620800071688,-0.020930220624908926,-0.06284956907433598,-0.13608132430856593,0.014460365370925172,-0.008431732638148635,0.1117448728673917,-0.07813378565221565,-0.1822184528982029,-0.043475225317888666,-0.06521024059258594,-0.08817703937260496,-0.11267525590468558,-0.1734964365966038,-0.17903426760205746,-0.06927691316050963,-0.12181015240619598,-0.17334436884577462,-0.0613955866064582,-0.0370721247295144,0.14183081903223704,-0.04408768363782421,-0.2323745526304509,-0.08019169616496538,-0.08277142359698081,-0.11743676233305832,-0.19329359772699486,-0.12878972215592566,-0.2110171316805113,-0.0779604975929494,-0.19220504038563607
Lasso,-0.11200370242763952,-0.05308130966502478,0.00013599907050514318,-0.02319391741405143,-0.017827681929085522,-0.0809986369765921,0.001243659951376055,-0.0530529494274845,-0.10991787102081994,-0.01924661831985084,-0.07570073854611617,-0.07495120815339179,-0.03505259904581777,-0.05248004029199584,-0.15397399067320203,-0.02455547896636901,-0.04393832309678184,0.1024743668354291,-0.10923265721559226,-0.11901733039081262,-0.07956423652299512,-0.0575200596851046,-0.08631628855907245,-0.06303219489006709,-0.09814801511472539,-0.1176557518319474,-0.09778303153398013,-0.09701769473755512,-0.18840756967419725,-0.04735282353373229,0.03151175988850735,0.11123297260090508,-0.08697212407369456,-0.12863162519378976,-0.06973181386321986,-0.049663389979176784,-0.0968213765823038,-0.02439307236929442,-0.14799382367232577,-0.10365695234881178,-0.07789902843652854,-0.12793300013818582,-0.2512991982174327,0.01448826905533444,-0.024287620617329666,0.12603744580059786,-0.12290516404170687,-0.16908985158977094,-0.08780043796263298,-0.0666532074929148,-0.09522307129478061,-0.1079396006073703,-0.23287338589764212,-0.23441295897650127,-0.07144945048991941,-0.12329264463085919,-0.1773364254643266,-0.008307221892650358,0.005878633467235087,0.14168553915548607,-0.13007758180863432,-0.22193568578507591,-0.10196353364561755,-0.06939639064273423,-0.12467206693222602,-0.18547393314749525,-0.21427774042678766,-0.23358992013402996,-0.09330537449824684,-0.16662728561994533
PCR,-0.1033256911333376,0.0898754533493977,-0.010326822069469449,-0.042332862091872925,0.06441779366881019,-0.10816619032478644,0.006667911600996875,-0.10284956941298194,-0.10651984759423183,-0.0018144971948484596,-0.050802501890707896,0.07078306034711604,-0.052922287428184764,-0.059425552942858575,-0.15366107219313357,-0.07643383613125428,-0.009658728220243143,0.09272998951164498,-0.08614182472747725,-0.08368260308246804,-0.08109356190216795,-0.0003027460607093084,-0.05517747076704564,-0.018957650444267022,-0.03997736075220595,-0.011341432457940505,-0.044889749121010174,-0.0010538641686182672,-0.15061216279733258,-0.049386913570617835,-0.012740477866697322,0.08519171522576648,-0.07820443877037893,-0.0277121428879306,0.0272478638443208,0.05098028148199842,-0.02159923810618485,0.021149531923802412,-0.16378017967722142,-0.07536940537437925,0.027810663639890237,0.009201735607247024,-0.13803486894845834,0.025250211219286972,0.010570003245691356,0.06833904965658424,-0.06951795041863601,-0.10635031357700538,0.01750398023162018,-0.0688421110375532,-0.07743508928975879,-0.13438741419800881,-0.19978996512024644,-0.20138797980440243,-0.028707017966002946,-0.00020456998329778037,-0.09605743264518375,-0.06166198415902992,0.004993710498783641,0.06431262393122138,-0.035901965277296354,-0.04661195126946319,-0.07967795213628716,-0.07801489900018892,-0.06619624619706116,-0.1547803649022018,-0.06358984725799444,-0.23682668336105436,-0.0956824439567604,-0.07540257305955524
PLS,0.053558959538758694,0.13012364354370937,0.08608209652160172,0.0938591218954885,0.07704507529653722,-0.10601643489919738,-0.07167047778447382,-0.057340654223398214,-0.06941547336206567,0.03817423734096897,-0.06190248765545556,0.01648101691797654,-0.10091808872325823,-0.04463911491860955,-0.09281147438357827,0.06095458398586229,0.011237831147746237,0.09786240755982573,0.004507221776370209,-0.11067780224832569,-0.11420223114103022,-0.04992190177891533,-0.06208521224038244,-0.04607435853754155,-0.07532219364664301,-0.03535673929955544,-0.06356343402291019,-0.06016549433813555,-0.07972432662092295,-0.028530480883895353,0.018782468232188786,0.0125274267405846,-0.10112713897788828,-0.061195857202380105,-0.03355257621503797,0.000942720445313799,-0.03424365823972152,0.04222250501326952,-0.08988325290892786,-0.08622798349715757,-0.005353679236956777,-0.045247092098430454,-0.12179758106644027,0.014242392884912606,-0.00024093336275650212,0.004857212437356287,-0.0802093034563496,-0.03191447582500197,-0.033987292349518985,0.07013560839258487,0.008050748316791112,0.024161491638292842,-0.1782592081427373,-0.19719642500188053,0.024821435027783705,0.013723539407721587,-0.1378081842366101,-0.014554493222844144,-0.035016831096860435,0.035520943747992355,-0.042525812885618915,-0.030009996523178546,-0.09453853265433884,-0.05467531938335898,-0.04820239863636627,0.055229811547809995,-0.13056792846532464,-0.1977491153156366,-0.03864786043181381,-0.053883641316916246
RF,0.049787564628587036,0.06606571057403282,0.10365204112420391,0.017132003001451006,-0.015983349992918824,-0.007250600525414814,0.01537718402973163,0.03794406133722868,-0.006015702157320734,0.03666130099907133,-0.033286510853192675,-0.017297128921172248,0.06493730115341222,0.04024113008973373,0.002695876701278923,0.06502796193691443,-0.06764547717910459,-0.05955394729550276,-0.04782094674337603,0.008400537194731621,0.0017520789100011584,-0.032107811261635505,-0.0274342329706427,0.037637753320226855,-0.020531108953689096,-0.07806554078134713,-0.03150185892509705,-0.026064385317564172,-0.016558311368635704,-0.020297794963839197,-0.06266932296470777,-0.0324032700679588,-0.12000597282058757,-0.10041676351981257,-0.0017497200429980435,-0.04531688111907897,-0.14822409504627934,0.029540832478310887,-0.005853982033195418,-0.07516420703860531,-0.11650985314272388,-0.04437821887430703,-0.06139769928886221,0.04015987420347967,0.020527180718472912,0.004721836893044209,-0.06637703926811322,-0.049998509101287565,-0.02428959778382856,0.061590319714892414,-0.08784758943644841,0.03630189037194801,-0.04812994567934481,-0.13961527699376458,-0.03809933107977585,0.013936265901511879,-0.065639429041325,-0.018019780576551958,-0.031871395906389106,-0.04702991071924693,-0.09373902247868264,-0.10475187875385682,-0.0854930928593256,-0.045057809171601536,-0.10486385121023835,-0.013474086221683966,-0.10894348069218293,-0.21323949831211433,-0.0770435607373074,-0.07267785153690756
