Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum3,ret_EURUSD_cum3,ret_GBPUSD_cum3,ret_GC_cum3,ret_JPYUSD_cum3,ret_XLE_cum3,ret_XLF_cum3,ret_XLI_cum3,ret_XLK_cum3,ret_XLV_cum3,ret_ZN_cum3,ret_ZT_cum3,ret_GSPC_cum3,ret_RUT_cum3,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
AR(1),0.002157486302374334,-0.0005851274283430463,0.004299489268283163,0.0010845469116576023,-0.013519772125183183,0.0002132114828028442,-0.006592342913854576,-0.0012622817413805443,-0.00836971578787149,0.0007043054900605084,-0.000856350681516016,-0.00554142956150816,-0.005332470179091997,-0.0038988934918995355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fwd (Cp),-0.08054358123849559,-0.06424741233938236,-0.03915462230748834,-0.00012393041588643072,-0.002931723815514875,-0.04806410394889027,-0.0903560037828055,-0.05393882880982481,-0.04315739390960838,-0.008339908421159725,-0.02073889455277067,-0.016888737481597582,-0.06458444934279028,-0.037457089648045505,-0.0359743180149914,-0.0007854071398456508,-0.018497247144933615,-0.007814287198679049,-0.019053697752900334,-0.023069456580464998,-0.052506599407240895,-0.0035438761446953126,-0.007561359519236088,-0.003490247711883665,-0.024091272601918456,-0.009690638358444525,-0.012692840590888599,-0.00946739397838292,-0.07553851777977205,-0.017635283186386852,-0.021546955933041456,-0.005024032894535013,-0.003891593087896661,-0.0008152351791885781,-0.0694761286755543,0.005126273382146551,-0.019118884328315877,-0.00019235085181357192,-0.02612599170440033,-0.016090774707949285,-0.020216131695162343,0.0006948500236070299,-0.06008233914136496,-0.0059073916398855175,-0.025603727169600132,0.001008346898707435,-0.021860160330797296,-0.015127440108887447,-0.030257699105443292,-0.01678505391052343,-0.004870739829992976,-0.005238386110044457,-0.031368810349461373,-0.02769605353431248,-0.019410247845770945,0.0009588070665645931,-0.05613989683412757,-0.0034036608695366954,-0.032235950623391574,-0.003730191417661066,-0.014719834507998852,-0.02131092031160975,-0.06326685293618661,-0.0161893892400633,-0.005637312434187303,0.0002107026783741972,-0.03540460808130885,-0.03181532278969046,-0.010178888343448156,-0.00575668106147087
Fwd (CV),-0.00011342749634946081,-1.0307098745165888e-05,3.232457679236411e-05,-6.672469989266183e-05,-0.00013664750936137615,-5.7230410588360314e-06,-0.048291371690694085,0.00015561399026131628,9.225971819626366e-06,4.294759736955811e-05,-0.00013537450091116732,-7.577104157818759e-05,0.00010146427560742133,0.00010175480093777001,-0.00026236121607037255,-0.00022651318076660765,-8.105040383643569e-05,-0.000353973661008089,-0.0007994450686426013,-0.004452599370679655,-0.00016101350979713658,-0.00012395233087780788,-0.00022943959358223687,0.001356817804986865,-0.02477383094288821,-0.00040198214760645,-0.003430642512399329,-0.003057937088157603,-0.0006282131314874206,-0.0005880784443414999,-0.0004107969385984678,-0.0005235488578523295,-0.0009406363801056639,0.0025108436399227108,-0.0002510011122658362,-0.000358898536928276,-0.0015742850836109046,0.007418016171022779,-0.0007444147718091987,-0.0006658892224769009,-0.00047188123323671505,-0.00044618869154899876,-0.0013434274015742265,-0.0014118883340454857,-0.0012931706929761866,-0.0011886017241127256,-0.001654850801525054,-0.006233977083845321,-0.0009985537091612429,-0.00134518224817759,-0.0014623079460955868,-0.0012192156791475117,-0.0013204434598157455,-0.0014382236489689504,-0.001313644351823795,0.0034309333518732776,-0.0018121147359659862,-0.0018381648713627907,-0.020271460718838785,-0.0014169897871745274,-0.0022048521068989135,-0.00166172383028651,-0.00747083022025663,-0.001957722678251672,-0.0020659065017702982,-0.0019354354191996048,-0.0019777847453628095,-0.00199535278741636,-0.002011322317039488,-0.0015770592669319683
Bwd (Cp),-0.09104645997641225,-0.06424741233938236,-0.039018804017148856,-0.00012393041588643072,-0.0013648564675374786,-0.04806410394889027,-0.0903560037828055,-0.05393882880982481,-0.04315739390960838,-0.008339908421159725,-0.02073889455277067,-0.01892006640999533,-0.06458444934279028,-0.0375748377576508,-0.03356276240477829,-0.0009160079415082567,-0.016936064624273106,-0.007814287198679049,-0.019053697752900334,-0.023069456580464998,-0.052506599407240895,-0.0291359737536252,-0.02620231084153546,-0.003490247711883665,-0.02494620501116951,-0.009690638358444525,-0.033293271343978637,-0.00946739397838292,-0.07553851777977205,-0.017635283186386852,-0.019870254104005003,-0.005024032894535013,-0.003891593087896661,-0.0034489962986961054,-0.07232587914791622,-0.0019182635391548075,-0.021111624444537513,-0.00019235085181357192,-0.02612599170440033,-0.016090774707949285,-0.020216131695162343,0.0006948500236070299,-0.06008233914136496,-0.006901563929967214,-0.025603727169600132,0.001008346898707435,-0.021860160330797296,-0.015127440108887447,-0.03658268290834199,-0.01678505391052343,-0.012553864637921519,-0.005238386110044457,-0.032112049244563234,-0.02769605353431248,-0.019410247845770945,-0.007024768660245151,-0.05613989683412757,-0.0034036608695366954,-0.032235950623391574,-0.003730191417661066,-0.014719834507998852,-0.02131092031160975,-0.06378075293355656,-0.0161893892400633,-0.005637312434187303,0.0002107026783741972,-0.03676177016299298,-0.03237490104408769,-0.010178888343448156,-0.00575668106147087
Bwd (CV),-0.04836731812056305,-1.0307098745165888e-05,3.232457679236411e-05,-6.672469989266183e-05,-0.00013664750936137615,-5.7230410588360314e-06,7.755477844617609e-05,0.00015561399026131628,-0.006303315606480675,4.294759736955811e-05,-0.014430637590295392,-7.577104157818759e-05,0.00010146427560742133,0.00010175480093777001,-0.00026236121607037255,-0.00022651318076660765,-8.105040383643569e-05,-0.00036514223097294796,-0.0007994450686426013,-0.002109798449848155,-0.009009489375702007,-0.00012395233087780788,-0.00022943959358223687,-0.00016870288630932428,-0.02477383094288821,-0.00040198214760645,-0.00016688210416671012,-0.00013761785218502354,-0.0006282131314874206,-0.0005880784443414999,-0.0004107969385984678,-0.0005235488578523295,-0.0009406363801056639,0.0025108436399227108,-0.0041750247465268675,-0.000358898536928276,-0.0020513586317245647,-0.0004546996879724041,-0.0007444147718091987,-0.0006658892224769009,-0.00047188123323671505,0.0051576314505095144,-0.00013759460361484344,-0.0014118883340454857,-0.0012931706929761866,-0.0011886017241127256,-0.001654850801525054,-0.004117764321359463,-0.0009985537091612429,-0.00134518224817759,-0.003015980963686715,-0.0012192156791475117,-0.0013204434598157455,-0.0014382236489689504,-0.001313644351823795,-0.0010243330494927871,-0.006425107816592668,-0.0018381648713627907,-0.01840010703865147,-0.0014169897871745274,-0.0022048521068989135,-0.00166172383028651,-0.00747083022025663,-0.003031680438628781,-0.0020659065017702982,-0.0019354354191996048,-0.0019777847453628095,-0.00199535278741636,-0.0015872706869934916,0.0024248830227286966
Ridge,-0.00011343115684980809,0.02673778047929265,3.23221395045481e-05,-6.671982559391942e-05,0.01615040460692352,-5.738629103468895e-06,7.753998571091714e-05,0.00015560859513918945,9.220102663354268e-06,4.295144774746351e-05,-0.0289221055126081,-0.0041702097815417005,0.00010145323775279103,0.00010175060929717983,-0.0002623662947840444,-0.00022650829334946998,-0.02904411437245602,-0.00036513577968899646,0.00037733720638188917,-0.0171344596002736,-0.0008220864795156491,-0.01049305807277312,-0.0035817084705058733,0.00253300071575413,-0.024594678266445458,-0.009529136767932211,-0.004087051837814215,-0.007976950879298172,-0.0006282226179910033,-0.02306423075698394,-0.029403394413973327,-0.0005235446011699896,-0.0009406367940503202,-0.004300610275153494,-0.009432925193652464,-0.002690264479218163,-0.0031832149072654747,0.009277609254728536,-0.011418985716924901,-0.007262866626069453,-0.0022473371225526506,-0.003112154627360697,-0.030247956888607153,-0.001411888345913992,-0.02942991646024118,-0.0014193220024414366,-0.017667621624319674,-0.0011202990749534791,-0.0035229945217163383,-0.0013451714376184754,-0.0014622986116290537,-0.0012192031342168619,-0.017445289120117558,-0.019972050737804725,-0.0013136357602776538,-0.0010243184700691188,-0.009892080619765098,-0.0018381702496772512,-0.02425303879225682,-0.0017754939931295954,-0.007555009190235884,-0.0016617570182611008,-0.034291745926656514,-0.0032807532858027955,-0.001850396501920537,-0.001935425842249039,-0.02853536271179924,-0.023145388857022997,-0.0023289364846712513,-0.0015770557375001104
Lasso,-0.00011342749634946081,-1.0307098745165888e-05,3.232457679236411e-05,-6.672469989266183e-05,-0.00013664750936137615,-5.7230410588360314e-06,7.755477844617609e-05,0.00015561399026131628,9.225971819626366e-06,4.294759736955811e-05,-0.00013537450091116732,-7.577104157818759e-05,0.00010146427560742133,0.00010175480093777001,-0.00026236121607037255,-0.00022651318076660765,-8.105040383643569e-05,-0.0009193978248436263,-0.0007994450686426013,-0.006537903501077746,-0.003288428328841908,-0.0009703239260192564,-0.011379593244695396,0.00016989478910067746,-0.01918708511209144,-0.003628830050610654,-0.0016716655648385537,-0.0016722405508642346,-0.0006282131314874206,-0.0005880784443414999,-0.000686000426998179,-0.0005235488578523295,-0.0009406363801056639,0.0020352661173526077,-0.00025480398419763794,0.0016615401315647205,-0.000937036813217329,0.00504513241749005,-0.011460869609074553,-0.0014442304736017597,0.0005693486290649918,0.0015094865518143763,-0.0013434274015742265,-0.0014118883340454857,-0.023315077199501433,-0.0011886017241127256,-0.008165159373092923,-0.0010486164075496074,-0.0009985537091612429,-0.00134518224817759,-0.001523874355278343,-0.0011215543895115587,-0.014056081703447854,-0.0041894182572979055,-0.0013332867100965817,-0.0010243330494927871,-0.002286691123991158,-0.004868082885124414,-0.0019149220439198533,-0.0017754934394775823,-0.006102335712744544,-0.0029372614989433554,-0.02397403449260893,-0.001957722678251672,-0.0020390761673836355,-0.0018438903127455664,-0.011894403088554384,-0.00199535278741636,-0.002011322317039488,-0.00017442505986831058
PCR,-0.004156324400942157,0.029096434410919025,-0.0037766397744001257,-0.00029500834486206884,0.019903857772615052,-0.001793794672092508,-0.0030541933226784224,-0.014279467127836787,-0.0013845228446696112,-0.0070622724579882945,0.0002407535679440631,0.0003165942985629,-0.0020923260756162687,-0.0013067982236820708,-0.012393938794685866,-0.004833472132191208,-0.01558893105273973,-0.0005288845971731515,0.0005987873269902577,-0.016778719513252494,-0.019502838792116117,-0.005961142639275829,-0.003661624312327083,0.007291485671843123,-0.005461904656050676,-0.004522349922557067,-0.006103611077388438,-0.004559527192925739,-0.003895871885037705,-0.004692767176967427,-0.018889136866575784,-0.0008244650270159415,-0.002687604603943905,0.0019502362610984703,-0.00560139149482497,0.005480618395719006,-0.001815519858517911,0.01753870346131059,-0.0006888389273620454,-0.007178604864637617,0.0020267727007907688,9.714236960445266e-05,-0.007534067962904345,-0.0032083057722167574,-0.023148884786299062,-0.0027072011599333923,-0.007841346071918665,-0.007323531340041267,0.004468466032159002,-0.001466942580546915,-0.001764625864026259,-0.0015606928830376177,-0.0008235552535598156,-0.001541096668758568,-0.0010620464184092349,0.005812853320164457,-0.0008813283333766186,-0.008543819538251896,-0.005955105009867179,-0.009348615326670862,-0.00204413296581496,-0.011038590007905524,-0.05058390690155967,-0.003151939372225687,-0.0025314391333906006,-0.0020052673634298745,-0.003373719814590004,-0.0021187240899378512,-0.004783045186033785,-0.0076200322526556175
PLS,-0.05685650177556267,0.046742325374356186,-0.026258881558453906,0.005760947946455763,0.022434099734671697,-0.046303955188123025,-0.06001539878972384,-0.027431029750465186,-0.03431447592533843,-0.005952298093516495,-0.022257263502970526,-0.006801379809589392,-0.05458923892305334,-0.030281298266015666,-0.03627972496410892,0.007047410833128098,-0.016999728956440974,0.0007527512542353509,0.002708007037386051,-0.0183639222463321,-0.03051558413248112,-0.014487852156516157,-0.012589406267895509,0.0016640234784228713,-0.016486794267887017,-0.005454590538833459,-0.01580985354847564,-0.014389734371466067,-0.03476417501653728,-0.014553836227191086,-0.011656086614743932,-0.0006599174088766091,-0.00321261577187415,-0.005812636866557419,-0.024985879512531284,-0.004059128169040083,-0.007900917892843973,0.016427746282536182,-0.011065858394269323,-0.00802661859895415,-0.006405383116486529,-0.007086797497130259,-0.038008168671150866,-0.005879354187627639,-0.032152805963741704,-0.01384714027600209,-0.013637930124017705,-0.009954844822247289,-0.023633668858250356,-0.0065320211325798905,0.0016116232776866024,0.003101893008718437,-0.01419231323136283,-0.015370596029011807,-0.0037465481196965467,-9.86485407066251e-05,-0.03195099120664646,-0.008872747415130222,-0.028610831845129026,-0.01761841962098676,-0.002087180683726819,-0.029522147546024557,-0.044328236172131774,-0.0170080124740577,-0.003283001218348236,0.0014429200679316745,-0.019442804700315897,-0.025863304794274677,-0.010561170379996376,-0.006835382798104472
RF,0.006387809292935809,0.0017910633365931794,0.003274901897148741,-0.0014285204639570281,0.002471775775722662,0.001152118282680692,0.001335027470958372,0.001701434692495729,0.000880336659976444,0.007084810443636069,-0.00495130906307506,-0.005491485273098284,0.005047921008148659,0.0005019132340737809,-0.0007676728784431486,0.002000520933753469,-0.004891623087531993,-0.00951418566156148,-0.0050723548272926244,-0.001951118455303824,-0.00409419958607149,-0.003325039455307932,-0.0013412425498251501,0.003156268888177882,-0.009986781530898936,-0.007070855230645767,-0.002862449092137398,-0.0019121908145560695,-0.002886688578804364,-0.002572025501806019,-0.0021631775858064195,-0.008855567122704633,-0.009068486268692721,-0.0026807723631963043,-0.004447481565093225,-0.004309555264765175,-0.003667034625675303,0.002285217760614744,0.00567184103311813,-0.00421145234799658,-0.004271090096788388,-0.002983712388961779,-0.007298924328909884,-0.0020203689626574484,-0.0015559354834844275,-0.009145999677144356,-0.0176028856244268,-0.0006034702227333266,-0.0030145821060469924,0.003698992459516215,-0.0048794950242407875,0.001979971701376204,0.001485240961769163,-0.00301429113363727,-0.0014762876041944928,-0.002046611654861863,-0.00580580662922392,-0.006631894308335884,-0.005428688693431605,-0.019949998496168186,-0.018161791820688444,-0.004331104287416565,-0.007977229480220283,-0.0026759854706321917,-0.0015740142922293643,-0.0018889388929070883,0.004394635412420467,-0.003571345630065892,-0.005375704144621185,-0.004138972481934733
