Method,Variable,Coef,HAC SE,t-stat,p-value,target
Fwd (Cp),ret_CADUSD_lag1,-0.00039934091639056416,0.00023197238613770273,-1.7215019556401365,0.08545181722534037,ret_CADUSD
Fwd (Cp),surp_nfp,0.0002963790066435394,0.00019340536460566305,1.5324239182704718,0.12571652399633418,ret_CADUSD
Fwd (Cp),surp_corecpi,0.0004335329564673831,0.00013513808615793276,3.2080738213261593,0.001376349193737024,ret_CADUSD
Fwd (Cp),surp_gdp,-0.00033196566469222215,0.0001128753034213686,-2.9409946607450466,0.0033427553254395193,ret_CADUSD
Fwd (Cp),surp_corecpi_x_vix,0.0006609495623217344,0.00019824586802488203,3.333989095998601,0.0008857542417249536,ret_CADUSD
Fwd (Cp),surp_gdp_x_vix,-0.00031620136104586064,9.205521170467599e-05,-3.434909932750706,0.0006157230451839084,ret_CADUSD
Fwd (Cp),surp_dgorders_x_vix,0.0003918134810586773,0.00024439820872389266,1.6031765662461386,0.10919386893338613,ret_CADUSD
Fwd (Cp),surp_consconfid_x_vix,0.0002517491161146379,6.700623269678571e-05,3.7570999888002103,0.00018126754494013548,ret_CADUSD
Fwd (Cp),surp_avghourlyearnmings_x_vix,0.0005163126744993839,0.00027849969946853147,1.85390747453113,0.06403030713684436,ret_CADUSD
Fwd (Cp),surp_cpi_x_vix,-0.0002294959179497158,0.0002417518776905554,-0.9493035592611722,0.3426828270605855,ret_CADUSD
Fwd (Cp),surp_tradebal_x_vix,-0.000332892767224721,0.0002325698390670804,-1.4313668898773426,0.15262013024844331,ret_CADUSD
Bwd (Cp),ret_CADUSD_lag1,-0.0003841207765305778,0.00023863476991685812,-1.6096597183403236,0.10777047044802289,ret_CADUSD
Bwd (Cp),surp_nfp,0.0002978401899122656,0.00019361210168917993,1.538334573684918,0.12426583274121064,ret_CADUSD
Bwd (Cp),surp_corecpi,0.0004326096074157437,0.00013533278535079858,3.1966356584944915,0.001431592894210169,ret_CADUSD
Bwd (Cp),surp_gdp,-0.00033317645165182496,0.00011311587312514608,-2.9454438395503892,0.0032955120031404714,ret_CADUSD
Bwd (Cp),surp_newhomesales,0.000491148826129264,0.00024146229109935278,2.0340601585991513,0.04219459107076991,ret_CADUSD
Bwd (Cp),surp_corecpi_x_vix,0.0006617317912824811,0.00019835880874888924,3.3360343080109702,0.0008793596049729571,ret_CADUSD
Bwd (Cp),surp_gdp_x_vix,-0.0003129391323255014,9.346133485653714e-05,-3.3483272286433956,0.000841656066192654,ret_CADUSD
Bwd (Cp),surp_newhomesales_x_vix,0.0007042855861803021,0.0003689638394245808,1.9088200818776004,0.05655565809681751,ret_CADUSD
Bwd (Cp),surp_consconfid_x_vix,0.00026770600646791755,6.080732670462389e-05,4.402528790129509,1.1784920122479645e-05,ret_CADUSD
Bwd (Cp),surp_avghourlyearnmings_x_vix,0.0005184589450791577,0.0002779634730896882,1.8652053067126226,0.0624292806221265,ret_CADUSD
Bwd (Cp),surp_cpi_x_vix,-0.00022847979931850921,0.00024120761250036844,-0.9472329540103558,0.3437363791578999,ret_CADUSD
Bwd (Cp),surp_tradebal_x_vix,-0.00033375599088791586,0.0002330059056814401,-1.432392839622781,0.15232680547321362,ret_CADUSD
Bwd (CV),surp_corecpi_x_vix,0.00056467339212966,0.00019324125476353297,2.922116153823593,0.0035497733957514004,ret_CADUSD
Ridge,ret_CADUSD_lag1,-1.9778101398987306e-11,,,,ret_CADUSD
Ridge,surp_nfp,1.2890182613090174e-11,,,,ret_CADUSD
Ridge,surp_unemp,2.4228863380757778e-12,,,,ret_CADUSD
Ridge,surp_corecpi,3.773261048864602e-11,,,,ret_CADUSD
Ridge,surp_gdp,-2.903368873331469e-11,,,,ret_CADUSD
Ridge,surp_retsailes,-1.179199184033626e-12,,,,ret_CADUSD
Ridge,surp_ism_pmi,1.4420352658137081e-11,,,,ret_CADUSD
Ridge,surp_dgorders,1.2546772741115667e-12,,,,ret_CADUSD
Ridge,surp_newhomesales,1.5422329647051724e-11,,,,ret_CADUSD
Ridge,surp_consconfid,2.036051847643882e-11,,,,ret_CADUSD
Ridge,surp_avghourlyearnmings,-5.7533712963754106e-12,,,,ret_CADUSD
Ridge,surp_cpi,-5.846316760529462e-13,,,,ret_CADUSD
Ridge,surp_tradebal,-1.4907932470449253e-11,,,,ret_CADUSD
Ridge,surp_indprod,-7.392582641441113e-13,,,,ret_CADUSD
Ridge,surp_fedratedec,-1.3540957972799692e-13,,,,ret_CADUSD
Ridge,VIXCLS,1.830934623415893e-12,,,,ret_CADUSD
Ridge,surp_nfp_x_vix,-5.8407011346625086e-12,,,,ret_CADUSD
Ridge,surp_unemp_x_vix,-1.6628786984356476e-11,,,,ret_CADUSD
Ridge,surp_corecpi_x_vix,9.306490760769747e-11,,,,ret_CADUSD
Ridge,surp_gdp_x_vix,-3.4780385754391566e-11,,,,ret_CADUSD
Ridge,surp_retsailes_x_vix,6.543451620686739e-12,,,,ret_CADUSD
Ridge,surp_ism_pmi_x_vix,1.1683053949029017e-11,,,,ret_CADUSD
Ridge,surp_dgorders_x_vix,2.7222005132672482e-11,,,,ret_CADUSD
