Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),4.030918888423803e-05,6.487516398514871e-05,4.180975560037349e-05,0.00015603510572700065,6.594959899110638e-05,0.0004056498637093102,0.0006058408277420019,0.0002282465763944623,0.00024026340848611817,0.00014364295811008346,2.2566021485151793e-05,1.6401640309631493e-06,0.00022137922802019895,0.0004171969832709376,0.00021924303146548778,0.0003580115349863237,0.0001987279453930705,0.0017710474303001234,0.0002573098427513404,0.0015949413746951333,0.0025535711841193098,0.001022501529519187,0.0008675892455021519,0.0006104249503769551,9.074011668841344e-05,5.824143845555865e-06,0.0007846874231825812,0.0013141479269179982,0.0007355839706092744,0.0004758760849631694,0.0003645499628804063,0.0019369825867707076,0.0004629054602658012,0.003293907144608261,0.003841724939051856,0.002097439503829435,0.001682862308002509,0.0011050696465330103,0.0001620285743617169,1.0128138219317062e-05,0.001453568415902549,0.002319315876955466,0.0013015464689784947,0.0008209293105263215,0.0005439046533086091,0.00246811847249386,0.000683432084343009,0.0046593859774956775,0.005783182245808999,0.0032473424192271554,0.0024795618235477694,0.00150095844860595,0.0002896863808970924,2.2616745842195355e-05,0.0020994609378200187,0.0034058600691684033
Fwd (CV),3.996637226914782e-05,6.1034573481548794e-05,3.653191096628357e-05,0.0001433608140383034,6.103505069004255e-05,0.0003564978528141515,0.0005643593783292878,0.0002274291501116139,0.00018524144141413,0.00014649616783290884,2.0661891124839454e-05,1.3188566849645283e-06,0.0001806354526149123,0.0003315976081113626,0.0002141027904428792,0.00027412270178166725,0.00020255566960833613,0.0008783239439060725,0.00025502282891842634,0.0016260242199096651,0.0025174762736208337,0.0010344189308909275,0.0008019250966495131,0.0005636308983037657,8.61231217539111e-05,3.4132003749509873e-06,0.0007829442836871401,0.001301261833901304,0.00042086647938318456,0.00047313355432480035,0.0003799512595833758,0.0016506749623276798,0.0004215992565634926,0.003004289865601199,0.003426493614690716,0.0019169866832934354,0.0014555810210577563,0.0010621894549948951,0.00014905612292048928,5.574650346749569e-06,0.0013762067119348178,0.00216827471772277,0.0006015561455786678,0.0007558023423161757,0.0005436538414754591,0.00231655680913963,0.0006724616690414828,0.004369429691292876,0.005683780308288814,0.0031781988139596355,0.002370286716839477,0.0014867804336545708,0.0002439216161905013,9.373881288589195e-06,0.0021524597526663748,0.003481835026739584
Bwd (Cp),4.02777557192957e-05,6.487516398514871e-05,4.366308338857913e-05,0.00015603510572700065,6.594959899110638e-05,0.0004025034599900103,0.0006058408277420019,0.0002282465763944623,0.00024026340848611817,0.00014364295811008346,2.2566021485151793e-05,1.6401640309631493e-06,0.00022137922802019895,0.0004171969832709376,0.00021924303146548778,0.0003580115349863237,0.00019988397388735483,0.0017710474303001234,0.0002573098427513404,0.0016285386367967368,0.002562010457489501,0.001024306328286376,0.0008657454098562446,0.0006104249503769551,9.074011668841344e-05,5.824143845555865e-06,0.0007846874231825812,0.0013141479269179982,0.0007355839706092744,0.00046725763611504844,0.0003645499628804063,0.0019369825867707076,0.0004629054602658012,0.003293907144608261,0.004121163667909217,0.002097439503829435,0.0016777625113331687,0.0011050696465330103,0.00016826329340535772,1.0128138219317062e-05,0.001453568415902549,0.002319579941370752,0.0013015464689784947,0.0008209293105263215,0.0005439046533086091,0.00246811847249386,0.000683432084343009,0.0046593859774956775,0.005791141553859384,0.0032473424192271554,0.0024795618235477694,0.00150095844860595,0.00028922390700417876,2.2529957522116193e-05,0.0020994609378200187,0.0034058600691684033
Bwd (CV),3.996637226914782e-05,6.1034573481548794e-05,3.653191096628357e-05,0.0001433608140383034,6.103505069004255e-05,0.0003564978528141515,0.0005643593783292878,0.0002274291501116139,0.00018524144141413,0.00014725555046172506,2.0390035370428337e-05,1.3188566849645283e-06,0.0001806354526149123,0.0003315976081113626,0.0002141027904428792,0.00027412270178166725,0.00020255566960833613,0.0008783239439060725,0.00025502282891842634,0.0016260242199096651,0.0025100675995809035,0.0010344189308909275,0.0008106711056661466,0.0005649055246025031,8.61231217539111e-05,3.4132003749509873e-06,0.0007829442836871401,0.001296853717861475,0.00041676713109714715,0.00047313355432480035,0.0003799512595833758,0.0016506749623276798,0.0004215992565634926,0.0029560623868723056,0.003426493614690716,0.0019169866832934354,0.00141805256014107,0.0010621894549948951,0.00014905612292048928,5.574650346749569e-06,0.0013762067119348178,0.002197456417686481,0.0005977494033005495,0.0007558023423161757,0.0005390082091319574,0.00231655680913963,0.0006724616690414828,0.004369429691292876,0.005683780308288814,0.0031682352651906678,0.002370286716839477,0.0014867804336545708,0.0002439216161905013,9.373881288589195e-06,0.0021446277063950645,0.003469723291897936
Ridge,3.9966372282856516e-05,6.1034573507593174e-05,3.647660911533406e-05,0.00014326795805157667,6.1034998118408066e-05,0.00035419271276929945,0.0005609050050107029,0.00022061156104781973,0.00018412569054053162,0.0001429915979764525,1.9639627771697164e-05,1.294040822523346e-06,0.00017784017901863191,0.0003283434117060332,0.00021410279075469773,0.00027381775673449715,0.00019997483224960572,0.0008783239478232409,0.0002550228289563364,0.001648397318526392,0.0025149148568925635,0.001032275026337056,0.0008116847564528352,0.0005647041696149291,8.565162305889973e-05,3.3885286588101106e-06,0.0007819892305685932,0.0012999818079950287,0.0004202759359999504,0.0004731335549173956,0.0003741800813288106,0.0016506476104918445,0.0004143056183472521,0.0030412792998238403,0.003424962671229976,0.0019169866837529363,0.00145558102169951,0.0010621894600363194,0.00014832415440565222,5.433789525081319e-06,0.0013762067130256674,0.002197456421071087,0.0006014864386266456,0.0007558023456103227,0.0005421868408133727,0.0023176541724768507,0.0006674915028147712,0.00436942969451925,0.00572059799533513,0.00317808817092943,0.002370216355026543,0.0014867804349459716,0.00023982050633990955,9.204307073405708e-06,0.0021523457349739,0.0034818350299758165
Lasso,3.996637226914782e-05,6.099662079274474e-05,3.653191096628357e-05,0.0001433608140383034,6.103505069004255e-05,0.000353465787877798,0.0005617301721749304,0.0002179981846381744,0.00018150638849675813,0.00014202060225857098,1.994045068937108e-05,1.3187772367083777e-06,0.0001765638021478912,0.00032965007069978865,0.0002141027904428792,0.00027412270178166725,0.00020204854769819994,0.0008783239439060725,0.00025502282891842634,0.001647495635686806,0.002516501689872813,0.0010315152481355746,0.0008109543380549624,0.000563604473498651,8.455829271646471e-05,3.354409502239896e-06,0.0007809661225074968,0.0012978270531363674,0.0004203059511206401,0.00047313355432480035,0.00037676259783694303,0.0016506749623276798,0.0004097528874909744,0.003037170633774096,0.0034212041503422015,0.0019147541354940583,0.0014532351526896712,0.0010609910921906814,0.00014557598599097883,5.298194787491908e-06,0.001373805152375789,0.00219317441570873,0.0005999747511898677,0.0007541210281499382,0.0005430870690761704,0.0023176541704997586,0.0006602647963162416,0.004364020606357364,0.005709221446976126,0.0031743317411738804,0.002367106985567458,0.0014857524822860194,0.00023705240523562283,9.158221637953709e-06,0.002148748079492726,0.0034757278130793643
PCR,4.0132707926684865e-05,6.116292373392882e-05,3.639697250916945e-05,0.00014337095626753662,6.082766850706636e-05,0.00035406922833818884,0.0005606807208042296,0.00022311345561355127,0.00018395658676393568,0.00014705688601693786,2.0341883694039816e-05,1.2845696525428424e-06,0.00017853082629456376,0.000329172192774036,0.00021444719811172544,0.00027423039775794543,0.0002017362282600837,0.0008787404544048628,0.0002532733226739516,0.0016363587445628299,0.0025121173137794433,0.001028961864690976,0.0008048552963019727,0.0005619260103696706,8.579728302589132e-05,3.395050801527907e-06,0.0007770800613771589,0.0012935233623501351,0.00042003533984403353,0.0004715887922668899,0.00036691452433160204,0.0016432744682661914,0.0004147581283549262,0.0030327759118820605,0.003425541628725918,0.001917801327905138,0.0014540010493375537,0.0010707864194998533,0.0001489068006841062,5.5633776267957425e-06,0.0013766957645240385,0.0021999217175681755,0.000600227550195918,0.0007607067348233722,0.0005473261623324855,0.0023193446774916245,0.0006600960893596839,0.004351579752496088,0.005718469179381635,0.0031771567598985113,0.002364735192877868,0.0014894166399057572,0.0002423980450335535,9.343670514879968e-06,0.0021504692253801042,0.0034799967944748856
PLS,4.0288314777277375e-05,6.187352188712069e-05,3.693714408394358e-05,0.00014741696376260738,6.201590354313615e-05,0.00035537764038208556,0.0005600859062010688,0.00022134760614779287,0.00018807475207537416,0.00014523339991981952,1.9864849364475798e-05,1.2937406518390877e-06,0.0001790159690772546,0.00033051037576731267,0.00021766348306942308,0.0002738924312523421,0.00019918316075846898,0.0008987870383737434,0.0002592453390644036,0.0016427329575443095,0.002537009589635822,0.0010380026211575532,0.0008176038519756345,0.0005701062706314102,8.704100549302042e-05,3.4737023644051333e-06,0.0007884923837117337,0.0013106918934201758,0.0004251874907085327,0.00047639207584089413,0.0003712480782495406,0.001648348111066255,0.0004119245766914461,0.003047976424435524,0.003507261847748995,0.0019343971623239633,0.0014711041185823473,0.0010884336189071818,0.00015020598517987498,5.561022897420678e-06,0.0013932975590135591,0.0022337761298427497,0.0006130248242101152,0.000764959321342375,0.0005432544122525261,0.002323629702530588,0.0006674873632488426,0.004378480082021689,0.00574024350648585,0.0031992183031038864,0.0024109909117981465,0.0015105097082741242,0.00024077962693736256,9.678107537323943e-06,0.0021722879306645022,0.0035087825450341175
RF,3.9488220875237444e-05,6.0632858672633693e-05,3.6223390047658867e-05,0.00014283137051907053,6.105296818282642e-05,0.00035361894057755447,0.0005383648662626799,0.0002150942219210255,0.0001813486918179805,0.0001429760052905736,2.039064470527919e-05,1.338365402974392e-06,0.00017280791462797067,0.0003193795715177629,0.00021600632498592072,0.0002693808400702972,0.00020320916828656392,0.0008424439860715906,0.0002568447635369147,0.0016502606439889207,0.0025139058986406904,0.0010391872882182743,0.0008120656854228563,0.0005705882313148894,8.495229343929333e-05,3.387329006060465e-06,0.0007836321491172187,0.0012919083402266878,0.00042668370403974287,0.0004740892386817798,0.0003806272175997905,0.0016375979044724615,0.0004124973071918943,0.003073816856947397,0.003430352729253636,0.0019322588062025536,0.0014706513542474887,0.001078988004011454,0.0001468092624301129,5.387556969453363e-06,0.0013914539071067256,0.002214753122085521,0.0006122105707131535,0.0007569490424885148,0.0005456996007719507,0.002269259578683099,0.0006566442491565604,0.00441984078561336,0.005729147575481783,0.0032044052127636006,0.0024112208111015175,0.0015127294637871831,0.00024092278784652093,9.252720167106328e-06,0.002182420749609327,0.0035029655601290064
LGB,3.958436044472039e-05,6.110294012906024e-05,3.6281247967513493e-05,0.0001447118010964107,6.131458003640534e-05,0.00035912256255034455,0.0005419394655757331,0.00021936408226456828,0.0001833946420262525,0.00014409014451349499,2.0757478436919722e-05,1.3504731246087881e-06,0.00017491687414669072,0.00032242733495077184,0.00023007193500439302,0.00027471487851544974,0.00020445374327934026,0.0008300443036593682,0.00025664031757786655,0.0016632706377788574,0.002521797478761117,0.001046012005850722,0.0008271911111038819,0.0005735542880294947,8.58525413640736e-05,3.487950434940532e-06,0.00078937488385529,0.0012986678503787703,0.0004253854949778126,0.0004895446049537796,0.0003844514575003458,0.001612584072520916,0.00041889249997608893,0.0030983090540386213,0.0034821788735760867,0.0019561028163653676,0.0015086059747348318,0.0010980140630857766,0.00015012018044037052,5.6520150647956696e-06,0.0014087130045789033,0.0022239281119569173,0.0006290355777166998,0.0007804860982579984,0.0005517515652046307,0.0022036419034311655,0.0006577785344881998,0.004521884622467398,0.005835767501754006,0.0032582108155609474,0.0025371175967067628,0.0015413294450003217,0.00024753168527263703,9.886320971882771e-06,0.0022354510718304546,0.003538010979046331
