Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),1.8456781254194537e-05,2.407218361098439e-05,2.959213199537195e-05,0.00010246521787172758,3.643418538126357e-05,0.00029479845767972927,0.00016241517945576075,0.00013607968556796722,0.00028595855450925546,9.459320125875748e-05,2.0528560616952913e-05,2.1556660240248265e-06,0.00013247254433170494,0.00024051652473025477,7.674306212976017e-05,0.00011094541784262402,0.00012790809486353463,0.00047475996711740845,0.00018205077801107276,0.0015559694101495863,0.0007578881235513984,0.0005568231629464424,0.001117500366756,0.00037811645605071115,7.598447001573163e-05,7.668841797498978e-06,0.0005328112417721782,0.0009677564534020986,0.0001520978083849708,0.00022708881463241073,0.0002616558834615034,0.0009359308131086165,0.0003982612483820886,0.0027339431270479416,0.0014224669677141,0.0010519609758958234,0.001972297408594859,0.000732676800839124,0.00014177175447978467,1.4476656232052382e-05,0.0009379057839083017,0.0017201615210369527,0.00020701586347964476,0.0003208814357893718,0.00036426800623122523,0.0013292697861013087,0.0006340116422699604,0.00390984348860726,0.0019922438099640523,0.0015750174711642894,0.0029509382597327025,0.001049739376505361,0.000227892013510276,2.2656302737372597e-05,0.001347441100421759,0.002351941878452067
Fwd (CV),1.851322326619916e-05,2.37598575384164e-05,2.940897270780654e-05,0.00010547467788879917,3.588448438437226e-05,0.00029487769385138594,0.00015896113511203416,0.00013651032322531227,0.0002890477478835493,9.358999628508288e-05,2.1125192740506933e-05,2.214136585386607e-06,0.0001335282683771122,0.00024172855990830378,7.139797586018623e-05,0.00010908688435385485,0.00012526163224719537,0.000472633998400905,0.00018151563659916204,0.0015507983488823617,0.0007088314867319121,0.0005598931714264809,0.0010982620851462278,0.00037523940444611785,7.410496819336475e-05,7.552424042828756e-06,0.0005224997418069702,0.0009688614688022493,0.00014367010478811933,0.00022607393142806822,0.0002554536827831902,0.0009379890804670381,0.0003903864019897315,0.002709991235736284,0.0013820691450471174,0.0010359869581826784,0.0019656075517749455,0.0007297473932736886,0.00013764131185785403,1.4106774908345286e-05,0.000921256050278553,0.001715904983327386,0.00019636697808510763,0.00032038080117619797,0.0003600458311747636,0.001326206344289099,0.0006261921000916523,0.00383462126059522,0.0018876987650682563,0.0015529594535191721,0.0029404583399080335,0.0010519927369628862,0.00022053478715081712,2.2001524451890016e-05,0.0013365466793628924,0.0023421679164990702
Bwd (Cp),1.8585388843919336e-05,2.407218361098439e-05,2.957680436811962e-05,0.00010246521787172758,3.643418538126357e-05,0.0002943802529102071,0.00016241517945576075,0.00013607968556796722,0.00028595855450925546,9.459320125875748e-05,2.0528560616952913e-05,2.1556660240248265e-06,0.00013247254433170494,0.00024051652473025477,7.674306212976017e-05,0.00011094541784262402,0.0001276981546984148,0.00047475996711740845,0.00018205077801107276,0.0015600641237306216,0.0007599076095223128,0.0005607659360090571,0.0011196854776836568,0.00037811645605071115,7.598447001573163e-05,7.668841797498978e-06,0.0005328112417721782,0.0009677564534020986,0.0001520978083849708,0.00022731325418695757,0.0002616558834615034,0.0009359308131086165,0.0003982612483820886,0.0027339431270479416,0.0014311998124565,0.0010519609758958234,0.001987377365198185,0.000732676800839124,0.00014187391995259987,1.4476656232052382e-05,0.0009379057839083017,0.001733907740775119,0.00020701586347964476,0.0003208814357893718,0.00036426800623122523,0.0013292697861013087,0.0006340116422699604,0.00390984348860726,0.0019932067047311315,0.0015750174711642894,0.0029509382597327025,0.001049739376505361,0.00022819072417569206,2.2668589795004767e-05,0.001347441100421759,0.002351941878452067
Bwd (CV),1.851322326619916e-05,2.37598575384164e-05,2.940897270780654e-05,0.00010547467788879917,3.588448438437226e-05,0.00029487769385138594,0.00015896113511203416,0.00013651032322531227,0.0002890477478835493,9.329509102139765e-05,2.111947655883919e-05,2.214136585386607e-06,0.0001335282683771122,0.00024172855990830378,7.139797586018623e-05,0.00010908688435385485,0.00012526163224719537,0.000472633998400905,0.00018151563659916204,0.0015507983488823617,0.0007116122602613077,0.0005598931714264809,0.0010987852133829672,0.00037821563538565896,7.410496819336475e-05,7.552424042828756e-06,0.0005224997418069702,0.0009634345648117016,0.0001434970950896492,0.00022607393142806822,0.0002554536827831902,0.0009379890804670381,0.0003903864019897315,0.002704291847552325,0.0013820691450471174,0.0010359869581826784,0.0019686570039531602,0.0007297473932736886,0.00013764131185785403,1.4106774908345286e-05,0.000921256050278553,0.001723576116293481,0.00019727117908033005,0.00032038080117619797,0.0003593854450744504,0.001326206344289099,0.0006261921000916523,0.00383462126059522,0.0018876987650682563,0.0015546240076404778,0.0029404583399080335,0.0010519927369628862,0.00022053478715081712,2.2001524451890016e-05,0.0013359810522233647,0.0023328094545137443
Ridge,1.8513223224353038e-05,2.375985760351908e-05,2.9550710995021345e-05,0.00010385187361623924,3.589705388307255e-05,0.00029488555792697626,0.00016062738783777613,0.0001344589350337324,0.00028475724338805744,9.50021422041014e-05,2.0330179312309965e-05,2.1250022387264792e-06,0.00013116661426387414,0.00023605018806449152,7.139797653707814e-05,0.00011153729674719543,0.00012889180106780864,0.00047263399639010494,0.00018151563667422887,0.0015613881296510413,0.0007153382904146193,0.0005611980189897838,0.0011000263343380224,0.00037453639692370643,7.489541851083765e-05,7.602214058946527e-06,0.000523426979504659,0.0009714432685047656,0.0001478172501796154,0.00022607393143074758,0.000262632035275905,0.0009382052366451466,0.0003966272423175098,0.0026962190685246024,0.0013855546163723275,0.0010359869469981256,0.0019656075334538387,0.000729747384130206,0.00013985782998118386,1.43678519481049e-05,0.000921256042373923,0.0017235760911904485,0.00019795074659847856,0.0003203808028961452,0.00036145089898467867,0.0013266811220862015,0.0006295349556892799,0.003834621387647407,0.0019379531326769962,0.0015550100519054991,0.0029398259481937957,0.0010519927269074655,0.00022638009619183313,2.2465930833066648e-05,0.0013369703334191012,0.0023421679082455643
Lasso,1.851322326619916e-05,2.37598575384164e-05,2.940897270780654e-05,0.00010547467788879917,3.588448438437226e-05,0.00029337591083553776,0.00015834633883816246,0.0001345677335045855,0.0002865526613718899,9.4473079187471e-05,2.080668669467697e-05,2.214136585386607e-06,0.0001312984304936155,0.00023976911707585316,7.139797586018623e-05,0.00010908688435385485,0.00012529609052999537,0.000472633998400905,0.00018151563659916204,0.0015515377301899827,0.0007088341816508497,0.0005587623474637713,0.0010975633195882243,0.0003761364582925525,7.489852000653401e-05,7.558298494273372e-06,0.0005219559560750376,0.0009669675354651017,0.00014367010478811933,0.00022607393142806822,0.00026107199446617676,0.0009379890804670381,0.0003929237390146193,0.0026960260126302053,0.0013820691450471174,0.0010359869581826784,0.0019657283904703864,0.0007296762119874932,0.000139391950194113,1.4145529653423155e-05,0.0009212741221799024,0.001723576116293481,0.00019646000064873633,0.00032134974765356825,0.0003535679520228305,0.0013266811213529836,0.0006286273042708044,0.003839504350111926,0.0019186208298964539,0.0015529594535191721,0.0029403796090780574,0.0010518966182074358,0.00022271742966931108,2.2001524451890016e-05,0.0013365466793628924,0.0023388878844656158
PCR,1.8640842558928982e-05,2.383103041164624e-05,2.943720774880195e-05,0.00010580430464089376,3.63236432391751e-05,0.0002944389388786044,0.0001600913210503608,0.00013340195926857175,0.00028495490857719945,9.430352112220491e-05,2.0651207641524623e-05,2.138407137008908e-06,0.00013087599389131153,0.00023676559389338505,7.163113360823249e-05,0.00010953438889116726,0.00012757530881654072,0.00047277614719128347,0.000181832440651014,0.001551669926274365,0.0007126230602122167,0.0005566248387712705,0.001098526607719186,0.00037141334198149094,7.410085281073129e-05,7.60157810187056e-06,0.0005211948115436777,0.0009683352910468586,0.00014455832151158638,0.0002264794819886961,0.0002610295948321377,0.000939411819085866,0.0003927975355529572,0.0027129256253041138,0.0013745208830922482,0.0010361129308428508,0.001966200922466789,0.0007299962819241448,0.00013757300970243267,1.4108224030717533e-05,0.0009210245682452228,0.001711803763973644,0.00019618453298344564,0.0003225252223910403,0.0003549937010416728,0.0013367104322147905,0.0006260916804456401,0.0038705183399654476,0.001968479765538311,0.0015548103999837597,0.002941824397070806,0.0010520660577533697,0.00022084203173054263,2.2004233403305348e-05,0.0013402437802979418,0.002356299287936223
PLS,1.844789144000975e-05,2.4494806325694693e-05,2.9735552243497926e-05,0.00010369799864269039,3.639396171205617e-05,0.00029421090223874594,0.00016073666007401465,0.0001343659778777001,0.0002855643192377033,9.48058525994499e-05,2.0379365821922938e-05,2.1342645775568964e-06,0.0001314513305859921,0.00023693290461904157,7.383368429879364e-05,0.0001106094699582529,0.00012666965717479217,0.0004726984170881016,0.00018192764883110464,0.0015637388803599233,0.0007263599476993062,0.000561964161454919,0.0011051994646741404,0.0003718333323872409,7.486926948754325e-05,7.607978399297186e-06,0.0005255985327476887,0.0009752924293814798,0.0001489306648278437,0.0002270824850320405,0.00026332670909556116,0.0009498485552112532,0.0003950567045572497,0.0027200122837132425,0.0014133212324015155,0.0010413532369981126,0.0019595742319194085,0.0007265979153655128,0.00013941067655323316,1.4303033485722499e-05,0.0009234944371501802,0.0017219822612213407,0.00020227455297702,0.0003226304112133657,0.00036298873012297544,0.0013476623803373021,0.000626118577282975,0.003941278199328022,0.001956758511129354,0.0015762862758866123,0.002944029777960759,0.0010484455967882762,0.0002243788289219919,2.2525610045934523e-05,0.0013479510126105224,0.0023544644008837053
RF,1.84461256297377e-05,2.3746491597908878e-05,2.93094533228307e-05,0.00010505660761012072,3.607271999524405e-05,0.00029263923997649666,0.00015768888446300177,0.00013404024343582587,0.000286670559284402,9.505066736557377e-05,2.0243887808057996e-05,2.190162402972211e-06,0.00013136785773680686,0.00023965037686748408,7.155912519952348e-05,0.00010930317975841161,0.00012548104817199283,0.0004765699328541839,0.00018298958199920577,0.0015588697644705245,0.0007118053377704128,0.0005621043235717769,0.0011005568599921742,0.0003771798267488013,7.362984544940913e-05,7.5791838199761e-06,0.0005244838911743962,0.0009713188812691919,0.00014452458372531663,0.00022621129908817952,0.0002555207203256461,0.0009454441717215938,0.0003966020120158174,0.002694827144089739,0.0013848526562046013,0.0010307682790452472,0.0019723145927422743,0.0007274156375353134,0.0001373237804707755,1.4128976207158872e-05,0.0009214056897857431,0.0017253362882795548,0.0001971497887508468,0.0003219138021453082,0.0003548079328343944,0.0013507501596819818,0.0006361622270266873,0.003844840342357061,0.0018886476056986655,0.0015540727070709858,0.002939014933301247,0.0010519439174419625,0.00021913222080201383,2.203612964738029e-05,0.0013410343066577266,0.0023481588993011586
LGB,1.8407402889678716e-05,2.3910957247717575e-05,2.9459130478517368e-05,0.00010592847524371299,3.6878616141575736e-05,0.00029395568040007763,0.0001552311822808775,0.0001355710220885528,0.0002847187436352004,9.40890448961266e-05,1.9654395210145214e-05,2.222734860247867e-06,0.0001301028145763221,0.00023857056927242723,7.5524089209167e-05,0.00011172289777500986,0.0001279175452200318,0.00048562493304780746,0.00018531513698116838,0.0015748204805947398,0.000724890002780962,0.0005699746379250579,0.0011089175384304984,0.00037578078294356077,7.530211365683471e-05,7.72949746272337e-06,0.0005299904763389333,0.0009838718449936706,0.000144133918827049,0.00023077293638436538,0.00026196831261232536,0.0009630138767835162,0.00039914826677457123,0.0027269402545599397,0.001435654558213267,0.0010515343577269043,0.0019765459977697354,0.00072552731110768,0.00013725943642564517,1.4303254161399775e-05,0.0009361179135799287,0.0017446694923391021,0.00019949160278279863,0.0003297251579221955,0.00036457898068740374,0.0013870488889484475,0.0006419549889818656,0.0038833697607870573,0.0019507594457569587,0.0015733994240050434,0.002960000240161741,0.0010542228512012775,0.00022206289866584292,2.2319049425535212e-05,0.0013521153074073278,0.002382095710299256
