Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),-0.06182249182130215,-0.026131552557012546,0.00149387225280713,0.10941252896612737,-0.07845069336291828,-0.06685968013335215,0.12246491488652783,0.0909448676575067,0.09153152796274297,0.029517844302263844,0.12021474759092159,0.13417217104703208,0.10051615895595097,0.09984698751883155,-0.024933960308452057,-0.025429797432862156,0.015184408269996126,0.027378456558426773,-0.03773914469976687,-0.07256556248165566,-0.09316974099304814,0.0007663067238360698,-0.06404023341208154,0.012038928012118056,-0.14270361468533913,-0.08994627206297368,-0.030920840628316102,-0.03238510530431624,-0.11727750910435125,0.046966162913502627,-0.02463083961149261,0.11549903116266381,-0.10229455267990196,-0.08811096420594029,-0.09722440655028121,0.004471500992811195,-0.06813734033553538,-0.06896595790107456,-0.227391744141444,-0.2401350432087882,-0.04007795165909353,-0.0815703370391949,-0.14208261075951878,0.04570850688775793,-0.07658495897893003,0.14184235551742985,-0.07724703682327104,-0.19318908651647068,-0.10317491481258238,-0.0614880917935925,-0.09387216833531165,-0.07202413115248249,-0.2164281194001907,-0.2669648654208077,-0.04938393712149712,-0.11029314077351453
Fwd (CV),-0.11041795326554953,-0.1277842134425929,-0.0622142887544947,-0.014109826584302659,-0.11455994902809573,-0.1411074666766012,-0.10802447350971346,-0.09639855323303181,-0.06933278802715767,0.047369499568676775,-0.018156342920172527,0.016593600377820397,-0.06781201049648639,-0.08547259319026447,-0.18840756967419725,-0.04735282353373229,-0.07035929874724971,0.11123297260090508,-0.08697212407369456,-0.13033582903857255,-0.0694517487235467,-0.09900255053017556,-0.058321823637638215,-0.03163280862307036,-0.2053715292045652,-0.08278623089275916,-0.0899616915658214,-0.14751193068764518,-0.2512991982174327,0.01448826905533444,-0.01662701106086712,0.12603744580059786,-0.16972514142047546,-0.13248478517163664,-0.08780043796263298,-0.0666532074929148,-0.08942762758661642,-0.1134917873024568,-0.2622689470225866,-0.20420307573519728,-0.07080184223460761,-0.10358067618746583,-0.1858518201684234,-0.061825574093741745,-0.02734464653345275,0.16168274314114833,-0.17916050151580054,-0.2329619871110698,-0.0479528849919793,-0.06939639064273423,-0.12390752947231315,-0.19416341137936388,-0.2565631440564731,-0.23358992013402996,-0.09330537449824684,-0.1927391297165302
Bwd (Cp),-0.034437621853689045,-0.026131552557012546,0.02730153712898214,0.10941252896612737,-0.07845069336291828,-0.055112002587196486,0.12246491488652783,0.0909448676575067,0.09153152796274297,0.029517844302263844,0.12021474759092159,0.13417217104703208,0.10051615895595097,0.09984698751883155,-0.024933960308452057,-0.025429797432862156,0.009869418953340163,0.027378456558426773,-0.03773914469976687,-0.028334978766725444,-0.08492663282752508,-0.003764108479557971,-0.06526045397541497,0.012038928012118056,-0.14270361468533913,-0.08994627206297368,-0.030920840628316102,-0.03238510530431624,-0.11727750910435125,0.03170060802948635,-0.02463083961149261,0.11549903116266381,-0.10229455267990196,-0.08811096420594029,-0.03661833869641233,0.004471500992811195,-0.07099591584693005,-0.06896595790107456,-0.22927609446499492,-0.2401350432087882,-0.04007795165909353,-0.042668634722077686,-0.14208261075951878,0.04570850688775793,-0.07658495897893003,0.14184235551742985,-0.07724703682327104,-0.19318908651647068,-0.06182381246967041,-0.0614880917935925,-0.09387216833531165,-0.07202413115248249,-0.22927690658349395,-0.2752164162711234,-0.04938393712149712,-0.11029314077351453
Bwd (CV),-0.11041795326554953,-0.1277842134425929,-0.0622142887544947,-0.014109826584302659,-0.11455994902809573,-0.1411074666766012,-0.10802447350971346,-0.09639855323303181,-0.06933278802715767,0.06614509331853011,0.010220110487992557,0.016593600377820397,-0.06781201049648639,-0.08547259319026447,-0.18840756967419725,-0.04735282353373229,-0.07035929874724971,0.11123297260090508,-0.08697212407369456,-0.13033582903857255,-0.08354437258272993,-0.09900255053017556,-0.10479252683112775,-0.05039858686819993,-0.2053715292045652,-0.08278623089275916,-0.0899616915658214,-0.10557196969522054,-0.1423323524744114,0.01448826905533444,-0.01662701106086712,0.12603744580059786,-0.16972514142047546,-0.13754926913499588,-0.08780043796263298,-0.0666532074929148,-0.08760577523222576,-0.1134917873024568,-0.2622689470225866,-0.20420307573519728,-0.07080184223460761,-0.12329264463085919,-0.17737727944157505,-0.061825574093741745,-0.04240537111275004,0.16168274314114833,-0.17916050151580054,-0.2329619871110698,-0.0479528849919793,-0.06237079334349012,-0.12390752947231315,-0.19416341137936388,-0.2565631440564731,-0.23358992013402996,-0.07932916287607564,-0.14778936853563224
Ridge,-0.1099377677250122,-0.1285076979600047,0.024334317856681047,0.1755192351505623,-0.139661020358416,-0.06949233790692062,0.11994292766752056,0.11422393356417296,0.14183026926953024,0.0021145016389337596,0.22884432380096956,0.24737723286674582,0.1354179024521405,0.15153661585322054,-0.1890793851484072,-0.023327353671026903,0.0023508488178536026,0.11153934569905609,-0.08808206778638239,-0.07553155024455727,-0.056012228888337005,-0.026944091525778577,-0.04152126303604013,0.021046700888944538,-0.09367979113600587,-0.09325620800071688,-0.020930220624908926,-0.06284956907433598,-0.13608132430856593,0.014460365370925172,-0.008431732638148635,0.1117448728673917,-0.07813378565221565,-0.1822184528982029,-0.043475225317888666,-0.06521024059258594,-0.08817703937260496,-0.11267525590468558,-0.1734964365966038,-0.17903426760205746,-0.06927691316050963,-0.12181015240619598,-0.17334436884577462,-0.0613955866064582,-0.0370721247295144,0.14183081903223704,-0.04408768363782421,-0.2323745526304509,-0.08019169616496538,-0.08277142359698081,-0.11743676233305832,-0.19329359772699486,-0.12878972215592566,-0.2110171316805113,-0.0779604975929494,-0.19220504038563607
Lasso,-0.11041795326554953,-0.1277842134425929,-0.0622142887544947,-0.014109826584302659,-0.11455994902809573,-0.0847966725020553,0.11529572060388471,0.07612719029077991,0.09819666225538282,0.015409518320999047,0.12152990049298762,0.016593600377820397,0.1295410436190904,0.09205194332316512,-0.18840756967419725,-0.04735282353373229,0.03151175988850735,0.11123297260090508,-0.08697212407369456,-0.12863162519378976,-0.06973181386321986,-0.049663389979176784,-0.0968213765823038,-0.02439307236929442,-0.14799382367232577,-0.10365695234881178,-0.07789902843652854,-0.12793300013818582,-0.2512991982174327,0.01448826905533444,-0.024287620617329666,0.12603744580059786,-0.12290516404170687,-0.16908985158977094,-0.08780043796263298,-0.0666532074929148,-0.09522307129478061,-0.1079396006073703,-0.23287338589764212,-0.23441295897650127,-0.07144945048991941,-0.12329264463085919,-0.1773364254643266,-0.008307221892650358,0.005878633467235087,0.14168553915548607,-0.13007758180863432,-0.22193568578507591,-0.10196353364561755,-0.06939639064273423,-0.12467206693222602,-0.18547393314749525,-0.21427774042678766,-0.23358992013402996,-0.09330537449824684,-0.16662728561994533
PCR,-0.04071031409647235,-0.08018768203248314,-0.05982282684772593,-0.014214286740543551,-0.15019016942978475,-0.1076778564016796,0.07026325398508874,0.1439543151063101,0.11119595982816341,0.06260562758745258,0.10995493726240799,0.13093659361921978,0.13046877405291799,0.1269184350799558,-0.15061216279733258,-0.049386913570617835,-0.012740477866697322,0.08519171522576648,-0.07820443877037893,-0.0277121428879306,0.0272478638443208,0.05098028148199842,-0.02159923810618485,0.021149531923802412,-0.16378017967722142,-0.07536940537437925,0.027810663639890237,0.009201735607247024,-0.13803486894845834,0.025250211219286972,0.010570003245691356,0.06833904965658424,-0.06951795041863601,-0.10635031357700538,0.01750398023162018,-0.0688421110375532,-0.07743508928975879,-0.13438741419800881,-0.19978996512024644,-0.20138797980440243,-0.028707017966002946,-0.00020456998329778037,-0.09605743264518375,-0.06166198415902992,0.004993710498783641,0.06431262393122138,-0.035901965277296354,-0.04661195126946319,-0.07967795213628716,-0.07801489900018892,-0.06619624619706116,-0.1547803649022018,-0.06358984725799444,-0.23682668336105436,-0.0956824439567604,-0.07540257305955524
PLS,-0.014365967648248079,-0.052715272974321,0.012184348747041815,0.1841893692003605,-0.07640243460178209,-0.11228842281498715,0.09663739980383793,0.1383131810503544,0.13720687510647428,0.022519586130741148,0.21054901499874523,0.22943934882641454,0.132185600781598,0.13588905742323082,-0.07972432662092295,-0.028530480883895353,0.018782468232188786,0.0125274267405846,-0.10112713897788828,-0.061195857202380105,-0.03355257621503797,0.000942720445313799,-0.03424365823972152,0.04222250501326952,-0.08988325290892786,-0.08622798349715757,-0.005353679236956777,-0.045247092098430454,-0.12179758106644027,0.014242392884912606,-0.00024093336275650212,0.004857212437356287,-0.0802093034563496,-0.03191447582500197,-0.033987292349518985,0.07013560839258487,0.008050748316791112,0.024161491638292842,-0.1782592081427373,-0.19719642500188053,0.024821435027783705,0.013723539407721587,-0.1378081842366101,-0.014554493222844144,-0.035016831096860435,0.035520943747992355,-0.042525812885618915,-0.030009996523178546,-0.09453853265433884,-0.05467531938335898,-0.04820239863636627,0.055229811547809995,-0.13056792846532464,-0.1977491153156366,-0.03864786043181381,-0.053883641316916246
RF,-0.027897442328654955,-0.011049051302861296,0.050293768885390104,0.03479711908901146,-0.015552888938126595,-0.02145787604449661,0.03803938075308613,0.07714780766428898,0.1033804986063676,-0.016585352837705538,0.15105252522619994,0.06587934388031545,0.08983850806741284,0.08795363613174886,-0.01656164628176525,-0.02028142614678461,-0.06265489921594758,-0.0324032700679588,-0.12000597282058757,-0.10041676351981257,-0.0017693216326146186,-0.045322937203584886,-0.14822409504627934,0.02953780577546129,-0.00582006419963469,-0.07516420703860531,-0.11650076478034502,-0.04438304342569955,-0.06141005964840976,0.04015987420347967,0.020524948034128077,0.004721836893044209,-0.06637703926811322,-0.04999638054458211,-0.02427479206118786,0.061590319714892414,-0.08784758943644841,0.03628287468315097,-0.07228027419756491,-0.13961527699376458,-0.03809933107977585,0.013934551989753673,-0.065639429041325,-0.018019780576551958,-0.031864727185785174,-0.04702991071924693,-0.09373902247868264,-0.10475187875385682,-0.08550421277601634,-0.04505368263026181,-0.10486385121023835,-0.013474086221683966,-0.10894348069218293,-0.21323024301395693,-0.0770435607373074,-0.07267785153690756
LGB,0.04276620924638699,0.029669011323728938,0.07248438548707226,-0.015085401481789364,-0.06928845192476972,-0.036188678721536895,0.05294678136222815,0.09490575874320364,0.10983312487881186,0.09436908064732644,0.17582931726460116,-0.05784310822802744,0.11905591952989042,0.042049375788198874,-0.02047517790179534,-0.06986380047430393,-0.012106160013620412,0.009345822206987998,-0.08780067339023552,-0.06561738820155766,-0.05310532997553993,-0.07122959436896902,-0.07787946615110092,0.04527324500220929,-0.02283313601793498,-0.1455492509618919,-0.08287015458278334,-0.07974196548388285,0.03238787528695602,0.03159295494062538,-0.0057859942637789605,0.029537245866730507,-0.0424643233689362,-0.04649419036911368,-0.03211637873031726,-0.036754644811034666,-0.004396807528859292,0.07630913824587686,0.025473518098026473,-0.04459835298051107,-0.06824244891616198,-0.03808733263275928,0.03794392315642468,0.00555604168201217,-0.012769003934889245,-0.0024512419427418324,-0.08192365069427944,-0.051473162040521644,-0.04731313672269623,-0.053951461275436624,-0.030018146150333096,0.05535025668679554,-0.03237252473985476,-0.058370184861316864,-0.02633852685937196,-0.06896229278757181
