Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),0.003185890109693945,-0.013078124925447687,-0.006180445515400423,0.02858254013101602,-0.015244597609175292,-0.00010195752836672511,-0.02191551094963895,0.0029977750883156684,0.010777306751027282,0.006171093207775646,0.02811372369351639,0.026320620813794715,0.007867002204457019,0.004995419771217757,-0.07553851777977205,-0.017635283186386852,-0.021546955933041456,-0.005024032894535013,-0.003891593087896661,-0.0008152351791885781,-0.0694761286755543,0.005126273382146551,-0.019118884328315877,-0.00019235085181357192,-0.02612599170440033,-0.016090774707949285,-0.020216131695162343,0.0006948500236070299,-0.06008233914136496,-0.0059073916398855175,-0.025603727169600132,0.001008346898707435,-0.021860160330797296,-0.015127440108887447,-0.030257699105443292,-0.01678505391052343,-0.004870739829992976,-0.005238386110044457,-0.031368810349461373,-0.02769605353431248,-0.019410247845770945,0.0009588070665645931,-0.05613989683412757,-0.0034036608695366954,-0.032235950623391574,-0.003730191417661066,-0.014719834507998852,-0.02131092031160975,-0.06326685293618661,-0.0161893892400633,-0.005637312434187303,0.0002107026783741972,-0.03540460808130885,-0.03181532278969046,-0.010178888343448156,-0.00575668106147087
Fwd (CV),0.00013756910605089434,6.612144105666573e-05,4.7267093872482846e-05,5.147304227282046e-05,7.291152556387903e-05,-0.0003707657541782705,-0.0001826809137399632,-0.0001573373056598104,9.079242404663734e-05,0.016711111824422864,-0.00013270739853443736,-8.95833889469344e-05,-3.968266597209613e-05,-1.8707864751332792e-05,-0.0006282131314874206,-0.0005880784443414999,-0.0004107969385984678,-0.0005235488578523295,-0.0009406363801056639,0.0025108436399227108,-0.0002510011122658362,-0.000358898536928276,-0.0015742850836109046,0.007418016171022779,-0.0007444147718091987,-0.0006658892224769009,-0.00047188123323671505,-0.00044618869154899876,-0.0013434274015742265,-0.0014118883340454857,-0.0012931706929761866,-0.0011886017241127256,-0.001654850801525054,-0.006233977083845321,-0.0009985537091612429,-0.00134518224817759,-0.0014623079460955868,-0.0012192156791475117,-0.0013204434598157455,-0.0014382236489689504,-0.001313644351823795,0.0034309333518732776,-0.0018121147359659862,-0.0018381648713627907,-0.020271460718838785,-0.0014169897871745274,-0.0022048521068989135,-0.00166172383028651,-0.00747083022025663,-0.001957722678251672,-0.0020659065017702982,-0.0019354354191996048,-0.0019777847453628095,-0.00199535278741636,-0.002011322317039488,-0.0015770592669319683
Bwd (Cp),-0.0037599504629968195,-0.013078124925447687,-0.0056592813485245586,0.02858254013101602,-0.015244597609175292,0.001316799584335726,-0.02191551094963895,0.0029977750883156684,0.010777306751027282,0.006171093207775646,0.02811372369351639,0.026320620813794715,0.007867002204457019,0.004995419771217757,-0.07553851777977205,-0.017635283186386852,-0.019870254104005003,-0.005024032894535013,-0.003891593087896661,-0.0034489962986961054,-0.07232587914791622,-0.0019182635391548075,-0.021111624444537513,-0.00019235085181357192,-0.02612599170440033,-0.016090774707949285,-0.020216131695162343,0.0006948500236070299,-0.06008233914136496,-0.006901563929967214,-0.025603727169600132,0.001008346898707435,-0.021860160330797296,-0.015127440108887447,-0.03658268290834199,-0.01678505391052343,-0.012553864637921519,-0.005238386110044457,-0.032112049244563234,-0.02769605353431248,-0.019410247845770945,-0.007024768660245151,-0.05613989683412757,-0.0034036608695366954,-0.032235950623391574,-0.003730191417661066,-0.014719834507998852,-0.02131092031160975,-0.06378075293355656,-0.0161893892400633,-0.005637312434187303,0.0002107026783741972,-0.03676177016299298,-0.03237490104408769,-0.010178888343448156,-0.00575668106147087
Bwd (CV),0.00013756910605089434,6.612144105666573e-05,4.7267093872482846e-05,5.147304227282046e-05,7.291152556387903e-05,-0.0003707657541782705,-0.0001826809137399632,-0.0001573373056598104,9.079242404663734e-05,0.01980948857788356,0.00013791452276912253,-8.95833889469344e-05,-3.968266597209613e-05,-1.8707864751332792e-05,-0.0006282131314874206,-0.0005880784443414999,-0.0004107969385984678,-0.0005235488578523295,-0.0009406363801056639,0.0025108436399227108,-0.0041750247465268675,-0.000358898536928276,-0.0020513586317245647,-0.0004546996879724041,-0.0007444147718091987,-0.0006658892224769009,-0.00047188123323671505,0.0051576314505095144,-0.00013759460361484344,-0.0014118883340454857,-0.0012931706929761866,-0.0011886017241127256,-0.001654850801525054,-0.004117764321359463,-0.0009985537091612429,-0.00134518224817759,-0.003015980963686715,-0.0012192156791475117,-0.0013204434598157455,-0.0014382236489689504,-0.001313644351823795,-0.0010243330494927871,-0.006425107816592668,-0.0018381648713627907,-0.01840010703865147,-0.0014169897871745274,-0.0022048521068989135,-0.00166172383028651,-0.00747083022025663,-0.003031680438628781,-0.0020659065017702982,-0.0019354354191996048,-0.0019777847453628095,-0.00199535278741636,-0.0015872706869934916,0.0024248830227286966
Ridge,0.00013757136607694953,6.611870120953878e-05,-0.004772064375677676,0.015436404993407371,-0.0002773396332471645,-0.00039744458233070823,-0.010666734875344197,0.014872375488180767,0.014933028634503853,0.0018746181202904388,0.03750571522452684,0.04017095528121295,0.017647567072782255,0.023472426472783248,-0.0006282226179910033,-0.02306423075698394,-0.029403394413973327,-0.0005235446011699896,-0.0009406367940503202,-0.004300610275153494,-0.009432925193652464,-0.002690264479218163,-0.0031832149072654747,0.009277609254728536,-0.011418985716924901,-0.007262866626069453,-0.0022473371225526506,-0.003112154627360697,-0.030247956888607153,-0.001411888345913992,-0.02942991646024118,-0.0014193220024414366,-0.017667621624319674,-0.0011202990749534791,-0.0035229945217163383,-0.0013451714376184754,-0.0014622986116290537,-0.0012192031342168619,-0.017445289120117558,-0.019972050737804725,-0.0013136357602776538,-0.0010243184700691188,-0.009892080619765098,-0.0018381702496772512,-0.02425303879225682,-0.0017754939931295954,-0.007555009190235884,-0.0016617570182611008,-0.034291745926656514,-0.0032807532858027955,-0.001850396501920537,-0.001935425842249039,-0.02853536271179924,-0.023145388857022997,-0.0023289364846712513,-0.0015770557375001104
Lasso,0.00013756910605089434,6.612144105666573e-05,4.7267093872482846e-05,5.147304227282046e-05,7.291152556387903e-05,0.004724023905692709,0.0036856142200571984,0.014075251971508829,0.008722099863646249,0.007433137257450095,0.014946365150134922,-8.95833889469344e-05,0.01666034944341488,0.008087407069228503,-0.0006282131314874206,-0.0005880784443414999,-0.000686000426998179,-0.0005235488578523295,-0.0009406363801056639,0.0020352661173526077,-0.00025480398419763794,0.0016615401315647205,-0.000937036813217329,0.00504513241749005,-0.011460869609074553,-0.0014442304736017597,0.0005693486290649918,0.0015094865518143763,-0.0013434274015742265,-0.0014118883340454857,-0.023315077199501433,-0.0011886017241127256,-0.008165159373092923,-0.0010486164075496074,-0.0009985537091612429,-0.00134518224817759,-0.001523874355278343,-0.0011215543895115587,-0.014056081703447854,-0.0041894182572979055,-0.0013332867100965817,-0.0010243330494927871,-0.002286691123991158,-0.004868082885124414,-0.0019149220439198533,-0.0017754934394775823,-0.006102335712744544,-0.0029372614989433554,-0.02397403449260893,-0.001957722678251672,-0.0020390761673836355,-0.0018438903127455664,-0.011894403088554384,-0.00199535278741636,-0.002011322317039488,-0.00017442505986831058
PCR,-0.006754895508189307,-0.002929189749754535,-0.0009127700583120291,-0.0030735403903383585,-0.012164322549116369,0.0011177077968971272,-0.007293805283416166,0.02261642034795941,0.014249241114664857,0.0092145729674038,0.022307229890310643,0.03411618014804085,0.019824124206983762,0.020512829092645846,-0.003895871885037705,-0.004692767176967427,-0.018889136866575784,-0.0008244650270159415,-0.002687604603943905,0.0019502362610984703,-0.00560139149482497,0.005480618395719006,-0.001815519858517911,0.01753870346131059,-0.0006888389273620454,-0.007178604864637617,0.0020267727007907688,9.714236960445266e-05,-0.007534067962904345,-0.0032083057722167574,-0.023148884786299062,-0.0027072011599333923,-0.007841346071918665,-0.007323531340041267,0.004468466032159002,-0.001466942580546915,-0.001764625864026259,-0.0015606928830376177,-0.0008235552535598156,-0.001541096668758568,-0.0010620464184092349,0.005812853320164457,-0.0008813283333766186,-0.008543819538251896,-0.005955105009867179,-0.009348615326670862,-0.00204413296581496,-0.011038590007905524,-0.05058390690155967,-0.003151939372225687,-0.0025314391333906006,-0.0020052673634298745,-0.003373719814590004,-0.0021187240899378512,-0.004783045186033785,-0.0076200322526556175
PLS,0.003666011323228191,-0.030864206748712375,-0.01105696638175413,0.016895210615909928,-0.014123758418412624,0.0018913206974042751,-0.011354275248740775,0.015553435934483661,0.012141093463992836,0.0039369046335869795,0.03517707199599063,0.03598730706219322,0.015515227427542744,0.019820673164747116,-0.03476417501653728,-0.014553836227191086,-0.011656086614743932,-0.0006599174088766091,-0.00321261577187415,-0.005812636866557419,-0.024985879512531284,-0.004059128169040083,-0.007900917892843973,0.016427746282536182,-0.011065858394269323,-0.00802661859895415,-0.006405383116486529,-0.007086797497130259,-0.038008168671150866,-0.005879354187627639,-0.032152805963741704,-0.01384714027600209,-0.013637930124017705,-0.009954844822247289,-0.023633668858250356,-0.0065320211325798905,0.0016116232776866024,0.003101893008718437,-0.01419231323136283,-0.015370596029011807,-0.0037465481196965467,-9.86485407066251e-05,-0.03195099120664646,-0.008872747415130222,-0.028610831845129026,-0.01761841962098676,-0.002087180683726819,-0.029522147546024557,-0.044328236172131774,-0.0170080124740577,-0.003283001218348236,0.0014429200679316745,-0.019442804700315897,-0.025863304794274677,-0.010561170379996376,-0.006835382798104472
RF,0.0037613792300329463,0.0006286272014832672,0.003431087466398197,0.004014971843094628,-0.0051723048835705665,0.007223175271611759,0.007822313917522528,0.01793996381278895,0.008314253031633245,0.0013647959815292765,0.04159102496977396,0.01073916595793123,0.016140384651739503,0.008578629247484537,-0.002886688578804364,-0.002572025501806019,-0.0021631775858064195,-0.008855567122704633,-0.009068486268692721,-0.0026807723631963043,-0.004447481565093225,-0.004309555264765175,-0.003667034625675303,0.002285217760614744,0.00567184103311813,-0.00421145234799658,-0.004271090096788388,-0.002983712388961779,-0.007298924328909662,-0.0020203689626574484,-0.0015559354834844275,-0.009145999677144356,-0.0176028856244268,-0.0006034702227333266,-0.0030145821060469924,0.003698992459516215,-0.0048794950242407875,0.001979971701376204,0.0009895510108139938,-0.00301429113363727,-0.0014762876041944928,-0.002046611654861863,-0.00580580662922392,-0.006631894308335884,-0.005428688693431605,-0.019949998496168186,-0.018161791820688444,-0.004331104287416565,-0.007977229480220283,-0.0026759854706321917,-0.0015740142922293643,-0.0018889388929070883,0.004394635412420467,-0.003571345630065892,-0.005375704144621185,-0.004138972481934733
LGB,0.005852717537227714,-0.006292911567721493,-0.0016581783971036934,-0.004250734896790842,-0.027628734202230554,0.0027571592179485016,0.02328616396912242,0.006724551929332079,0.015066211673130048,0.011467934418965764,0.06949944858436286,-0.003973284683896239,0.025614733238340293,0.01304573812514842,-0.05845485846459275,-0.02476663684253788,-0.021622431866933356,-0.028024185883278818,-0.021892408919075068,-0.012940434028137604,-0.02291160106458512,-0.01837141456111735,-0.011291663248417683,0.005985963629026592,-0.016911166683919898,-0.024127407030756887,-0.014814987400321833,-0.015945900606089802,-0.004576091149566253,-0.022226492640043727,-0.026828345157624778,-0.027899510576111952,-0.02413607534999862,-0.012527236779189765,-0.039809145256948675,-0.016372701182786553,-0.007035364155303814,0.004570770548001701,0.001457644542721348,-0.01538626176832425,-0.017467010725547683,-0.013275014924359674,-0.0177531192097089,-0.031058184235647435,-0.033117167221890176,-0.04735913007788217,-0.02743296298003428,-0.014395577689094274,-0.0411265159172296,-0.015145437420722274,-0.008725505016303536,-0.00405943342980164,-0.00892060683003626,-0.016456102935986427,-0.01368314928301051,-0.018651310013728217
