Method,Variable,Coef,HAC SE,t-stat,p-value,target
Fwd (Cp),surp_gdp,-0.0002750889875904092,0.00011769398395424561,-2.337324120979302,0.01960686027205984,ret_CADUSD
Fwd (Cp),surp_retsailes_x_vix,0.00042997217798147047,0.00019321894046489587,2.225310712018877,0.026269190932767694,ret_CADUSD
Fwd (Cp),surp_ism_pmi_x_vix,-0.0003977142008443325,0.0002521628552624055,-1.5772116810402685,0.11504379473654172,ret_CADUSD
Fwd (Cp),surp_dgorders_x_vix,0.00040144468010489226,0.0003719646769466216,1.079254845917805,0.28071849747025585,ret_CADUSD
Fwd (Cp),surp_consconfid_x_vix,0.00027061663700036115,0.00010982780347848564,2.464008460784456,0.013896399135097635,ret_CADUSD
Bwd (Cp),surp_gdp,-0.00027525941193693967,0.0001180022131529383,-2.332663130480325,0.019851897245511025,ret_CADUSD
Bwd (Cp),surp_corecpi_x_vix,0.00038950828148423425,0.0001995532232110158,1.9519017293564442,0.05121240767429057,ret_CADUSD
Bwd (Cp),surp_retsailes_x_vix,0.00042967910610161304,0.00019386895438957262,2.216337873459556,0.026879687726070994,ret_CADUSD
Bwd (Cp),surp_ism_pmi_x_vix,-0.00039810624880638577,0.00025234023529743116,-1.5776566441619646,0.11494231398691906,ret_CADUSD
Bwd (Cp),surp_dgorders_x_vix,0.00040139778404545904,0.00037243826094167154,1.0777565737488044,0.2813871452152403,ret_CADUSD
Bwd (Cp),surp_consconfid_x_vix,0.0002700964872757073,0.00011028729976634876,2.4490262056277134,0.014485069102799156,ret_CADUSD
Bwd (Cp),surp_cpi_x_vix,-0.0003102310230517548,0.0002981146147446874,-1.0406434562674634,0.2982779040018392,ret_CADUSD
Bwd (Cp),surp_indprod_x_vix,-0.00012522772261240822,7.103873538032462e-05,-1.7628090075360796,0.07822029499060289,ret_CADUSD
Ridge,surp_nfp,2.562964592873919e-12,,,,ret_CADUSD
Ridge,surp_unemp,1.5718380053900462e-11,,,,ret_CADUSD
Ridge,surp_corecpi,-3.927419574249819e-12,,,,ret_CADUSD
Ridge,surp_gdp,-1.786791232383601e-11,,,,ret_CADUSD
Ridge,surp_retsailes,1.1100717431467246e-11,,,,ret_CADUSD
Ridge,surp_ism_pmi,-1.228093282884062e-11,,,,ret_CADUSD
Ridge,surp_dgorders,7.868312319786597e-12,,,,ret_CADUSD
Ridge,surp_newhomesales,5.172530728735348e-12,,,,ret_CADUSD
Ridge,surp_consconfid,1.462243162685083e-11,,,,ret_CADUSD
Ridge,surp_avghourlyearnmings,-5.057323377770612e-12,,,,ret_CADUSD
Ridge,surp_cpi,-2.716418686734268e-12,,,,ret_CADUSD
Ridge,surp_tradebal,1.1177990310467089e-11,,,,ret_CADUSD
Ridge,surp_indprod,-1.2113715628492873e-11,,,,ret_CADUSD
Ridge,surp_fedratedec,3.5274918252558093e-13,,,,ret_CADUSD
Ridge,VIXCLS,-1.0492320165552481e-11,,,,ret_CADUSD
Ridge,surp_nfp_x_vix,-8.301953307821551e-12,,,,ret_CADUSD
Ridge,surp_unemp_x_vix,9.885397415212992e-12,,,,ret_CADUSD
Ridge,surp_corecpi_x_vix,2.3435129430069765e-11,,,,ret_CADUSD
Ridge,surp_gdp_x_vix,-8.043136112776139e-12,,,,ret_CADUSD
Ridge,surp_retsailes_x_vix,7.45623086312662e-11,,,,ret_CADUSD
Ridge,surp_ism_pmi_x_vix,-3.2480967202679054e-11,,,,ret_CADUSD
Ridge,surp_dgorders_x_vix,2.919880368044688e-11,,,,ret_CADUSD
Ridge,surp_newhomesales_x_vix,3.0273267003482163e-12,,,,ret_CADUSD
Ridge,surp_consconfid_x_vix,4.688945510419503e-11,,,,ret_CADUSD
Ridge,surp_avghourlyearnmings_x_vix,-1.500153099465744e-11,,,,ret_CADUSD
Ridge,surp_cpi_x_vix,-1.9927377398290412e-11,,,,ret_CADUSD
Ridge,surp_tradebal_x_vix,4.079806733050247e-12,,,,ret_CADUSD
Ridge,surp_indprod_x_vix,-3.3718001466641e-11,,,,ret_CADUSD
Ridge,surp_fedratedec_x_vix,-9.99863069007291e-13,,,,ret_CADUSD
Fwd (Cp),surp_unemp,0.0005957910621412427,0.0002449234965295926,2.4325598424945603,0.015156825144267276,ret_EURUSD
Fwd (Cp),VIXCLS,0.00037450911750747947,0.0003696357520841198,1.0131842371737099,0.3112029415147418,ret_EURUSD
Fwd (Cp),surp_corecpi_x_vix,0.00035353049308012584,0.000265348540477609,1.3323249958103986,0.1830392295875107,ret_EURUSD
Fwd (Cp),surp_gdp_x_vix,-0.0004978001961127748,0.00012433920303945914,-4.003565922445213,6.67326188536794e-05,ret_EURUSD
Fwd (Cp),surp_retsailes_x_vix,0.00025160823205306227,0.00015316824888210543,1.6426918365223768,0.10074273639563147,ret_EURUSD
Fwd (Cp),surp_ism_pmi_x_vix,0.00027617518556301773,0.00020727708996637928,1.3323960964900359,0.18301588456598483,ret_EURUSD
Fwd (Cp),surp_avghourlyearnmings_x_vix,-0.00036226423549083907,0.00027510606971724056,-1.3168165859196832,0.1881841909682768,ret_EURUSD
