Method,p,Adj.R2,Cp,BIC,target
Fwd (Cp),5,0.02609764774346779,3.666858451462076,-10916.473818050954,ret_CADUSD
Fwd (CV),0,0.0,27.265865116264195,-10918.017380402162,ret_CADUSD
Bwd (Cp),8,0.03145074688419147,0.8488868569584156,-10904.468971301227,ret_CADUSD
Bwd (CV),0,0.0,27.265865116264195,-10918.017380402162,ret_CADUSD
Ridge,28,-0.026871389544592894,83.26585272483885,-10722.679646535464,ret_CADUSD
Lasso,0,0.0,27.265865116264195,-10918.017380402162,ret_CADUSD
PCR,3,0.009880789663217149,19.390620091763594,-10910.730310905212,ret_CADUSD
PLS,1,0.032488366469054286,-7.341283718776822,-10947.415240676184,ret_CADUSD
Fwd (Cp),5,0.016046999827265207,-1.310580761265328,-10554.40046841434,ret_EURUSD
Fwd (CV),0,0.0,10.98562642400475,-10566.940081584537,ret_EURUSD
Bwd (Cp),5,0.016046999827265207,-1.310580761265328,-10554.40046841434,ret_EURUSD
Bwd (CV),0,0.0,10.98562642400475,-10566.940081584537,ret_EURUSD
Ridge,28,-0.02687139370683367,66.98561859412985,-10371.60234337673,ret_EURUSD
Lasso,0,0.0,10.98562642400475,-10566.940081584537,ret_EURUSD
PCR,5,0.0011743048123667998,14.67665861913315,-10538.333163328674,ret_EURUSD
PLS,2,0.029098690881421918,-18.40046569722699,-10586.61824434595,ret_EURUSD
Fwd (Cp),5,0.018357205494857642,2.06146432229275,-11009.701319938757,ret_GBPUSD
Fwd (CV),0,0.0,16.978504107360322,-11019.72339474631,ret_GBPUSD
Bwd (Cp),9,0.02144279406666627,2.7535590790844253,-10989.19780213039,ret_GBPUSD
Bwd (CV),0,0.0,16.978504107360322,-11019.72339474631,ret_GBPUSD
Ridge,28,-0.007915748284340163,52.93175675212865,-10844.340651476437,ret_GBPUSD
Lasso,0,0.0,16.978504107360322,-11019.72339474631,ret_GBPUSD
PCR,2,0.0006249728606179117,18.271199263648896,-11008.4439961871,ret_GBPUSD
PLS,1,0.024126636804287727,-8.212951095661992,-11039.904895163454,ret_GBPUSD
Fwd (Cp),8,0.03142045556551709,2.359458998383843,-9425.168176363275,ret_GC
Fwd (CV),0,-2.220446049250313e-16,28.802903437814166,-9438.750080399957,ret_GC
Bwd (Cp),8,0.03142045556551709,2.359458998383843,-9425.168176363275,ret_GC
Bwd (CV),0,-2.220446049250313e-16,28.802903437814166,-9438.750080399957,ret_GC
Ridge,28,-0.0007189693658893326,56.84398325155826,-9271.041986120741,ret_GC
Lasso,0,0.0,28.80290343781394,-9438.750080399957,ret_GC
PCR,1,0.001343063725420257,28.303878120563695,-9434.214522988395,ret_GC
PLS,1,0.02201373013001129,5.632768299062491,-9456.615217971006,ret_GC
Fwd (Cp),7,0.02775818736562019,0.2208034010668598,-10510.324521056684,ret_JPYUSD
Fwd (CV),0,0.0,23.495264580612,-10521.979967797997,ret_JPYUSD
Bwd (Cp),7,0.02775818736562019,0.2208034010668598,-10510.324521056684,ret_JPYUSD
Bwd (CV),0,0.0,23.495264580612,-10521.979967797997,ret_JPYUSD
Ridge,28,-0.026871387882946074,79.4952504639698,-10326.64223566435,ret_JPYUSD
Lasso,0,0.0,23.495264580612,-10521.979967797997,ret_JPYUSD
PCR,5,0.008840331122288103,18.77725756745781,-10501.624723087967,ret_JPYUSD
PLS,1,0.02335897853790958,-1.021482400618197,-10541.319310992521,ret_JPYUSD
Fwd (Cp),6,0.03943244671806567,-6.2315917940238705,-8585.254209262252,ret_XLE
Fwd (CV),0,0.0,31.072337813380273,-8578.002422249483,ret_XLE
Bwd (Cp),6,0.03943244671806567,-6.2315917940238705,-8585.254209262252,ret_XLE
Bwd (CV),1,0.02932494937356045,-0.18518366212038018,-8603.904207820848,ret_XLE
Ridge,28,0.006874464064987262,50.920885159476484,-8418.452041876226,ret_XLE
Lasso,1,0.019170953126895984,10.974507352900446,-8592.758929535858,ret_XLE
PCR,12,0.026902216625333986,13.472593252065735,-8535.572245926243,ret_XLE
PLS,1,0.03582359476046593,-7.327482395772222,-8611.098636479159,ret_XLE
Fwd (Cp),11,0.09065540344477829,7.340302535574438,-8280.222712471015,ret_XLF
Fwd (CV),1,0.029174170793560328,69.2538947843268,-8269.852336079988,ret_XLF
Bwd (Cp),11,0.09065540344477829,7.340302535574438,-8280.222712471015,ret_XLF
Bwd (CV),1,0.029174170793560328,69.2538947843268,-8269.852336079988,ret_XLF
Ridge,28,0.050356323985989326,70.3898356488512,-8132.515447306677,ret_XLF
Lasso,0,0.0,102.49417894902967,-8244.1169000181,ret_XLF
PCR,14,0.08256101672865657,19.711959286092906,-8252.840811139697,ret_XLF
PLS,1,0.08170921874918691,7.766910140484242,-8329.43526190529,ret_XLF
Fwd (Cp),10,0.07694149032533593,-1.3673419943809222,-9199.732768103104,ret_XLI
Fwd (CV),1,0.02595927680457699,47.88161119646088,-9195.887406872474,ret_XLI
Bwd (Cp),10,0.07694149032533593,-1.3673419943809222,-9199.732768103104,ret_XLI
Bwd (CV),0,0.0,76.66517060837486,-9173.692732611487,ret_XLI
Ridge,28,0.05941215096107766,36.39989304680148,-9072.353371888248,ret_XLI
Lasso,10,0.06613555037573748,10.89694620944806,-9187.267746581032,ret_XLI
PCR,14,0.050609213824352905,32.452578141071626,-9145.751572729405,ret_XLI
PLS,1,0.05973269116590507,9.224748375327408,-9233.681826368433,ret_XLI
Fwd (Cp),9,0.08180165334510947,1.193243923205273,-9380.45236091332,ret_XLK
Fwd (CV),1,0.02752209514378756,55.79654224160208,-9366.706304496378,ret_XLK
Bwd (Cp),9,0.08180165334510947,1.193243923205273,-9380.45236091332,ret_XLK
Bwd (CV),0,0.0,86.65285422293573,-9342.791863697512,ret_XLK
Ridge,28,0.04163030632105946,65.56024684174099,-9221.394221688583,ret_XLK
Lasso,10,0.06652638763831153,19.689468351060214,-9356.815202180815,ret_XLK
PCR,14,0.07370645520978314,15.467579909028245,-9341.228698845654,ret_XLK
PLS,1,0.058312782460233525,20.246452024118298,-9401.164847722772,ret_XLK
Fwd (Cp),9,0.0744974610789374,-0.420146059695071,-9662.632907445442,ret_XLV
Fwd (CV),2,0.050925014259742274,19.4457968772374,-9677.487923338043,ret_XLV
Bwd (Cp),9,0.0744974610789374,-0.420146059695071,-9662.632907445442,ret_XLV
Bwd (CV),1,0.03130320061594516,40.90274930465284,-9661.545146785233,ret_XLV
Ridge,28,0.06433334046149064,30.097593942963613,-9537.7372789573,ret_XLV
Lasso,13,0.06859180178197255,10.297646113839619,-9631.960474747191,ret_XLV
PCR,1,0.017057737192624378,57.19534787817065,-9645.909917314038,ret_XLV
PLS,1,0.05656002794919879,12.01640585950372,-9689.839812501908,ret_XLV
Fwd (Cp),15,0.10032794343636142,8.949215876618837,-11717.980262450186,ret_ZN
Fwd (CV),3,0.056608611290247635,48.37307963039325,-11738.763265912869,ret_ZN
Bwd (Cp),15,0.10032794343636142,8.949215876618837,-11717.980262450186,ret_ZN
Bwd (CV),3,0.056608611290247635,48.37307963039325,-11738.763265912869,ret_ZN
Ridge,28,0.0816636633847988,43.508592412708595,-11618.57561911248,ret_ZN
Lasso,9,0.06544395589626217,43.773509633084814,-11713.022397500024,ret_ZN
PCR,14,0.019002509123502653,102.76120177859548,-11631.258028301974,ret_ZN
PLS,2,0.09790447299393856,-1.279992861871051,-11792.675176280281,ret_ZN
Fwd (Cp),11,0.06597353050763277,3.7347305584273727,-14578.920910155923,ret_ZT
Fwd (CV),0,0.0,67.63682195038041,-14571.497185950218,ret_ZT
Bwd (Cp),11,0.06597353050763277,3.7347305584273727,-14578.920910155923,ret_ZT
Bwd (CV),0,0.0,67.63682195038041,-14571.497185950218,ret_ZT
Ridge,28,0.04745329187968972,41.367335445240315,-14456.626712613246,ret_ZT
Lasso,0,0.0,67.63682195038041,-14571.497185950218,ret_ZT
PCR,14,0.01607427691075125,62.73337805170809,-14505.28929421511,ret_ZT
PLS,1,0.040776797911747265,22.269450829983725,-14610.109562585123,ret_ZT
Fwd (Cp),9,0.08648572446345504,-0.02527300728411319,-9449.015424058303,ret_GSPC
Fwd (CV),1,0.037259512725758115,48.959648731710104,-9440.569784392608,ret_GSPC
Bwd (Cp),9,0.08648572446345504,-0.02527300728411319,-9449.015424058303,ret_GSPC
Bwd (CV),0,0.0,91.23330489730347,-9405.877374259037,ret_GSPC
Ridge,28,0.06346388558207683,45.16598842675808,-9309.161484976938,ret_GSPC
Lasso,10,0.06990854540283131,20.037819773321644,-9423.788202379354,ret_GSPC
PCR,14,0.0748528222429522,18.342257335644035,-9405.64048384251,ret_GSPC
PLS,1,0.06452301464209664,17.35718843849645,-9471.336773976704,ret_GSPC
Fwd (Cp),10,0.08815693797221269,1.1489175896649613,-8780.74826070013,ret_RUT
Fwd (CV),0,0.0,93.54213799966487,-8741.615540341989,ret_RUT
Bwd (Cp),10,0.08815693797221269,1.1489175896649613,-8780.74826070013,ret_RUT
Bwd (CV),1,0.0378573220040912,50.48604948393904,-8776.973189560436,ret_RUT
Ridge,28,0.06929496513161493,40.67022576488671,-8651.588777958057,ret_RUT
Lasso,2,0.013344657612085364,79.88443286973029,-8744.054933645135,ret_RUT
PCR,14,0.0737828061118122,21.67798296969545,-8740.140657640848,ret_RUT
PLS,1,0.06528597430446048,18.628886297234885,-8807.948786462399,ret_RUT
Fwd (Cp),10,0.05281874007657361,3.1449692100973152,-9205.581397321,ret_CADUSD_cum5
Fwd (CV),0,0.0,52.296324245164215,-9207.170865570692,ret_CADUSD_cum5
Bwd (Cp),10,0.05281874007657361,3.1449692100973152,-9205.581397321,ret_CADUSD_cum5
Bwd (CV),0,0.0,52.296324245164215,-9207.170865570692,ret_CADUSD_cum5
Ridge,28,-0.02687135934641094,108.29627859578704,-9011.833163199908,ret_CADUSD_cum5
Lasso,0,0.0,52.296324245164215,-9207.170865570692,ret_CADUSD_cum5
PCR,7,0.013286408506156366,44.160203353227416,-9179.691110533902,ret_CADUSD_cum5
PLS,1,0.03291639059524565,16.373850391836186,-9237.042637737452,ret_CADUSD_cum5
Fwd (Cp),8,0.03457977958548053,-2.3571400429684672,-8955.183579214106,ret_EURUSD_cum5
Fwd (CV),0,0.0,27.47310541984234,-8965.266373171578,ret_EURUSD_cum5
Bwd (Cp),8,0.03457977958548053,-2.3571400429684672,-8955.183579214106,ret_EURUSD_cum5
Bwd (CV),0,0.0,27.47310541984234,-8965.266373171578,ret_EURUSD_cum5
Ridge,28,0.022695551835638983,30.546486948240272,-8822.915029843181,ret_EURUSD_cum5
Lasso,0,0.0,27.47310541984234,-8965.266373171578,ret_EURUSD_cum5
PCR,3,0.008301689279511693,21.321823984851335,-8956.272570485635,ret_EURUSD_cum5
PLS,2,0.04057725808907642,-14.985086828628482,-8997.681972817461,ret_EURUSD_cum5
Fwd (Cp),9,0.06010596966144843,-0.12217841638312166,-9265.676724603849,ret_GBPUSD_cum5
Fwd (CV),0,0.0,58.565369448612955,-9253.028044426097,ret_GBPUSD_cum5
Bwd (Cp),9,0.06010596966144843,-0.12217841638312166,-9265.676724603849,ret_GBPUSD_cum5
Bwd (CV),0,0.0,58.565369448612955,-9253.028044426097,ret_GBPUSD_cum5
Ridge,28,0.048697795297419466,31.58593422678564,-9139.557748741094,ret_GBPUSD_cum5
Lasso,0,0.0,58.565369448612955,-9253.028044426097,ret_GBPUSD_cum5
PCR,3,0.0337463444951378,23.459447452140466,-9271.87226888504,ret_GBPUSD_cum5
PLS,1,0.04441512922905655,9.477413076651828,-9295.710445190894,ret_GBPUSD_cum5
Fwd (Cp),5,0.03152328758835421,-7.067421266874362,-7609.664868818469,ret_GC_cum5
Fwd (CV),0,0.0,22.271701005329987,-7605.225175385337,ret_GC_cum5
Bwd (Cp),5,0.03152328758835421,-7.067421266874362,-7609.664868818469,ret_GC_cum5
Bwd (CV),0,0.0,22.271701005329987,-7605.225175385337,ret_GC_cum5
Ridge,28,-0.026871313859845758,78.27160823903478,-7409.887520455852,ret_GC_cum5
Lasso,0,0.0,22.271701005329987,-7605.225175385337,ret_GC_cum5
PCR,10,0.018007311786993108,12.605683285481291,-7564.979693631686,ret_GC_cum5
PLS,1,0.025246659911275615,-4.273396029254627,-7626.636582967589,ret_GC_cum5
Fwd (Cp),6,0.015439335768007156,0.5386388844999601,-8987.15035560933,ret_JPYUSD_cum5
Fwd (CV),0,0.0,11.179455947687757,-9006.321428515228,ret_JPYUSD_cum5
Bwd (Cp),6,0.015439335768007156,0.5386388844999601,-8987.15035560933,ret_JPYUSD_cum5
Bwd (CV),0,0.0,11.179455947687757,-9006.321428515228,ret_JPYUSD_cum5
Ridge,28,-0.026871373950575483,67.17942733454129,-8810.98371091268,ret_JPYUSD_cum5
Lasso,0,0.0,11.179455947687757,-9006.321428515228,ret_JPYUSD_cum5
PCR,14,0.008401026693283242,16.090383660747875,-8931.793628326444,ret_JPYUSD_cum5
PLS,1,0.01617452176984524,-5.285115289860869,-9017.811019984356,ret_JPYUSD_cum5
Fwd (Cp),8,0.039038422515555116,2.6044865838359783,-6975.491157004195,ret_XLE_cum5
Fwd (CV),1,0.014835200199427412,22.324517454275565,-6990.648834436625,ret_XLE_cum5
Bwd (Cp),10,0.04046529954936062,3.0520757761178174,-6965.148760231613,ret_XLE_cum5
Bwd (CV),1,0.014835200199427412,22.324517454275565,-6990.648834436625,ret_XLE_cum5
Ridge,28,0.01805737917392236,45.3383097272108,-6833.194086371907,ret_XLE_cum5
