Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),4.030918888423803e-05,6.115817067361818e-05,3.846404564942621e-05,0.00015603510572700065,6.594959899110638e-05,0.00035432966153345303,0.0005587732913051574,0.0002130846261327551,0.0002326037809486672,0.00014877986411548902,2.053185774861997e-05,1.7419937676645005e-06,0.00017812231926841237,0.0003285095159411844,0.00021924303146548778,0.0003580115349863237,0.00020215707019611596,0.0017710474303001234,0.0002573098427513404,0.0015949413746951333,0.002611952019029576,0.001022501529519187,0.0008675892455021519,0.0006104249503769551,8.905799035850837e-05,3.922379392660554e-06,0.0007846874231825812,0.0013141479269179982,0.0007355839706092744,0.0004758760849631694,0.0003795664548463763,0.0019369825867707076,0.00042545464401847556,0.003293907144608261,0.004071548961844349,0.002097439503829435,0.001682862308002509,0.0011050696465330103,0.0001630572032906673,6.548361599236389e-06,0.001453568415902549,0.002319315876955466,0.0013015464689784947,0.0008209293105263215,0.0005708481005755265,0.00246811847249386,0.0007392119587321727,0.0046593859774956775,0.0057178618001690286,0.0032473424192271554,0.0024795618235477694,0.00150095844860595,0.000244735439780848,9.329996084486677e-06,0.0020994609378200187,0.0034058600691684033
Fwd (CV),3.996637226914782e-05,6.1034573481548794e-05,3.653191096628357e-05,0.0001433608140383034,6.103505069004255e-05,0.0003564978528141515,0.000564056511734312,0.00022687384808846027,0.00018489534059974388,0.0001472128900277255,2.014146333048862e-05,1.3188566849645283e-06,0.0001803756856210958,0.0003315976081113626,0.0002141027904428792,0.00027412270178166725,0.00020255566960833613,0.0008783239439060725,0.00025502282891842634,0.0016260242199096651,0.0025174762736208337,0.0010344189308909275,0.0008019250966495131,0.0005636308983037657,8.61231217539111e-05,3.4132003749509873e-06,0.0007829442836871401,0.001301261833901304,0.00042086647938318456,0.00047313355432480035,0.0003799512595833758,0.0016506749623276798,0.0004215992565634926,0.003004289865601199,0.003426493614690716,0.0019169866832934354,0.0014555810210577563,0.0010621894549948951,0.00014905612292048928,5.574650346749569e-06,0.0013762067119348178,0.00216827471772277,0.0006015561455786678,0.0007558023423161757,0.0005450449064299778,0.00231655680913963,0.0006724616690414828,0.004369429691292876,0.005683780308288814,0.0031781988139596355,0.002370286716839477,0.00146485151588001,0.0002439216161905013,9.373881288589195e-06,0.0021520572484595235,0.003481835026739584
Bwd (Cp),4.02777557192957e-05,6.115817067361818e-05,4.0302348810938935e-05,0.00015603510572700065,6.594959899110638e-05,0.00035432966153345303,0.0005587732913051574,0.0002130846261327551,0.0002326037809486672,0.00014877986411548902,2.053185774861997e-05,1.7419937676645005e-06,0.00017812231926841237,0.0003285095159411844,0.00021924303146548778,0.0003580115349863237,0.00020215707019611596,0.0017710474303001234,0.0002573098427513404,0.0016285386367967368,0.002627365887524056,0.001024306328286376,0.0008657454098562446,0.0006104249503769551,8.722489952982039e-05,3.922379392660554e-06,0.0007846874231825812,0.0013141479269179982,0.0007355839706092744,0.00046725763611504844,0.0003795664548463763,0.0019369825867707076,0.00042545464401847556,0.003293907144608261,0.004057480614265091,0.002097439503829435,0.0016777625113331687,0.0011050696465330103,0.0001630572032906673,6.6592851180137045e-06,0.001453568415902549,0.002319579941370752,0.0013015464689784947,0.0008209293105263215,0.0005708481005755265,0.00246811847249386,0.0007392119587321727,0.0046593859774956775,0.005699882203715984,0.0032473424192271554,0.0024795618235477694,0.00150095844860595,0.000244735439780848,9.329996084486677e-06,0.0020994609378200187,0.0034058600691684033
Bwd (CV),3.996637226914782e-05,6.1034573481548794e-05,3.653191096628357e-05,0.0001433608140383034,6.103505069004255e-05,0.0003557274776607737,0.0005639735208194282,0.0002274291501116139,0.00018524144141413,0.00014615732259501584,2.0283093850224845e-05,1.3188566849645283e-06,0.0001806354526149123,0.0003309975945727595,0.0002141027904428792,0.00027412270178166725,0.00020255566960833613,0.0008783239439060725,0.00025502282891842634,0.0016260242199096651,0.0025100675995809035,0.0010344189308909275,0.0008106711056661466,0.0005649055246025031,8.61231217539111e-05,3.4132003749509873e-06,0.0007829442836871401,0.001296853717861475,0.00041676713109714715,0.00047313355432480035,0.0003799512595833758,0.0016506749623276798,0.0004215992565634926,0.0029560623868723056,0.003426493614690716,0.0019169866832934354,0.00141805256014107,0.0010621894549948951,0.00014873363781689472,5.574650346749569e-06,0.0013762067119348178,0.002197456417686481,0.0005977494033005495,0.0007558023423161757,0.0005421118793448222,0.00231655680913963,0.0006724616690414828,0.004369429691292876,0.005683780308288814,0.0031682352651906678,0.002370286716839477,0.00146485151588001,0.0002439216161905013,9.373881288589195e-06,0.0021446277063950645,0.003469723291897936
Ridge,3.9966372282389415e-05,6.1034573502529516e-05,3.651615317575819e-05,0.00014323143174198836,6.103505069219654e-05,0.0003561943741244439,0.0005635855749490448,0.00022476193236024814,0.00018495404262504337,0.00014584416876105326,1.9840310897911233e-05,1.2964754092790656e-06,0.00017999964980893246,0.0003302997053092177,0.00021410279061127727,0.0002736021770454856,0.00020117627610725478,0.0008783239480477358,0.0002550228290055337,0.0016452061166844143,0.0025165239948658504,0.001031781066962986,0.0008114926586233292,0.0005646761445092775,8.602142416937166e-05,3.4115998447043472e-06,0.0007817038553977676,0.0012993728465501319,0.0004185265766754377,0.0004731335548161753,0.0003799512596802748,0.0016506749627859302,0.0004207783118332639,0.003040634679296217,0.00342610534118205,0.0019164018641912618,0.0014554727264550762,0.0010621894595122172,0.00014894921994664355,5.5712640518280396e-06,0.0013761148750098906,0.002197394020968559,0.0005976141163042361,0.0007558023454117905,0.0005450449086676467,0.0023176541722392716,0.0006720459453326309,0.004354036169842649,0.005719616029657951,0.0031742693449156294,0.0023684113535850483,0.0014867610291365973,0.00024333115200795508,9.372954923914586e-06,0.0021480122611256623,0.003479713431711835
Lasso,3.996637226914782e-05,6.099662079274474e-05,3.653191096628357e-05,0.0001433608140383034,6.103505069004255e-05,0.00035626376674030325,0.0005642454270620218,0.00022506817609313487,0.00018364732635921626,0.00014649812940849055,2.004516459138613e-05,1.3187772367083777e-06,0.00018009110275181057,0.0003314388101689412,0.0002141027904428792,0.00027412270178166725,0.00020255566960833613,0.0008783239439060725,0.00025502282891842634,0.0016475451775488815,0.002516501689872813,0.001031485458238238,0.0008109543380549624,0.000563604473498651,8.583325542070712e-05,3.4057011333519765e-06,0.0007809886939651717,0.0012978270531363674,0.0004203059511206401,0.00047313355432480035,0.0003799512595833758,0.0016506749623276798,0.00042125050886148303,0.003037170633774096,0.0034212041503422015,0.0019147541354940583,0.0014532351526896712,0.0010609910921906814,0.0001486875566924945,5.574650346749569e-06,0.001373805152375789,0.00219317441570873,0.000600060979176919,0.0007523709599283187,0.0005450449064299778,0.0023176541704997586,0.0006717003917125038,0.004364020606357364,0.0057050824176614135,0.0031743317411738804,0.002367106985567458,0.0014747891075513376,0.00024330519944453966,9.373881288589195e-06,0.002148748079492726,0.0034757278130793643
PCR,4.009806128994825e-05,6.115982712276994e-05,3.638792358405848e-05,0.00014336424771554457,6.0870595577216625e-05,0.0003531980225089648,0.0005628996406791659,0.00022441546616531574,0.00018446779925632533,0.00014735795268508415,2.0446319312577143e-05,1.2850314517436427e-06,0.00017949298280709488,0.0003305193030482983,0.0002141123997238025,0.0002740615568256965,0.00020149375068707562,0.0008791212061838699,0.000253121545480606,0.0016357994342538823,0.0025128421306183524,0.0010291793375892353,0.0008047047676428028,0.0005625296801820989,8.590190010450322e-05,3.397016343094423e-06,0.0007777324684342114,0.0012937809298117834,0.0004176617408192056,0.00047175262658373035,0.00037912066522297126,0.0016459957098806809,0.0004182550925651471,0.0030206962189270187,0.0034106582258350278,0.001917835173569185,0.0014474155133776961,0.0010707831342714345,0.00014903434458908235,5.571221692991602e-06,0.0013710416846826907,0.002190060631910048,0.0005984173965431945,0.0007473515657005124,0.0005473909911199038,0.0023155713834508017,0.0006637205580037776,0.004336518025113762,0.005716154361984922,0.003173692562425784,0.002361448532680823,0.001489296290868242,0.00024220804026288257,9.354703640288216e-06,0.002146655737288817,0.0034683683684774876
PLS,4.023218493448275e-05,6.165571593209284e-05,3.684334624039468e-05,0.0001474647830488494,6.205707762011648e-05,0.0003592767062051678,0.0005636917604240376,0.00022556216915599594,0.00018907963706598033,0.00014703634328233053,2.005818275613791e-05,1.2967453467646662e-06,0.0001810977735836392,0.00033167685906929957,0.00021589261011795832,0.0002732511946792135,0.00019977068073774874,0.0008983538794905072,0.000258134505217088,0.0016399277525086322,0.0025434792860826237,0.001037318225510933,0.0008154070641026865,0.000569130591722538,8.786272470920667e-05,3.5165915736165597e-06,0.0007868334118320985,0.0013086958135181427,0.0004217702905254946,0.00047357127234034835,0.00037745908805209553,0.0016493731978303651,0.0004213387457913949,0.003039271425256212,0.003506946298809299,0.0019309321977575662,0.0014636435474098773,0.0010825505696695004,0.00015261720087766584,5.793872064972277e-06,0.0013855383619837734,0.0022222444073928174,0.000601199354181074,0.0007604480472738949,0.0005548603349818156,0.00231904739792059,0.000675859526080925,0.0043322994334855204,0.005732122256559709,0.003183660761152803,0.002379386707915845,0.0014908267662205616,0.00024606794287371784,9.797427483050199e-06,0.002146538820050547,0.00348537286920245
RF,3.9488220875237444e-05,6.0632858672633693e-05,3.6223390047658867e-05,0.00014283137051907053,6.105296818282642e-05,0.00035361894057755447,0.0005383648662626799,0.0002150942219210255,0.0001813486918179805,0.0001429760052905736,2.039064470527919e-05,1.338365402974392e-06,0.00017280791462797067,0.0003194272793145019,0.00021600632498592072,0.0002693808400702972,0.00020320916828656392,0.0008424439860715906,0.0002568447635369147,0.0016502796389688305,0.0025139058986406904,0.0010391872882182743,0.0008120656854228563,0.0005705882313148894,8.495229343929333e-05,3.387329006060466e-06,0.0007836321491172187,0.0012919083402266878,0.00042668370403974287,0.0004740892386817798,0.0003806272175997905,0.0016375979044724615,0.0004124973071918943,0.003073816856947397,0.003430352729253636,0.0019322588062025536,0.0014706513542474887,0.001078988004011454,0.00014684917545516264,5.387556969453363e-06,0.0013914539071067256,0.002214753122085521,0.0006122105707131535,0.0007528064086553572,0.0005456996007719507,0.002269259578683099,0.0006566442491565604,0.00441984078561336,0.005729147575481783,0.0032044052127636006,0.0024112208111015175,0.0015127294637871831,0.00024092278784652093,9.252720167106328e-06,0.002182420749609327,0.0035029655601290064
LGB,3.958436044472039e-05,6.110294012906024e-05,3.6281247967513493e-05,0.0001447118010964107,6.131458003640534e-05,0.00035912256255034455,0.0005419394655757331,0.00021936408226456828,0.0001833946420262525,0.00014409014451349499,2.0757478436919722e-05,1.3504731246087881e-06,0.00017491687414669072,0.00032242733495077184,0.00023007193500439302,0.00027471487851544974,0.00020445374327934026,0.0008300443036593682,0.00025664031757786655,0.0016632706377788574,0.002521797478761117,0.001046012005850722,0.0008271911111038819,0.0005735542880294947,8.58525413640736e-05,3.487950434940532e-06,0.00078937488385529,0.0012986678503787703,0.0004253854949778126,0.0004895446049537796,0.0003844514575003458,0.001612584072520916,0.00041889249997608893,0.0030983090540386213,0.0034821788735760867,0.0019561028163653676,0.0015086059747348318,0.0010980140630857766,0.00015012018044037052,5.6520150647956696e-06,0.0014087130045789033,0.0022239281119569173,0.0006290355777166998,0.0007804860982579984,0.0005517515652046307,0.0022036419034311655,0.0006577785344881998,0.004521884622467398,0.005835767501754006,0.0032582108155609474,0.0025371175967067628,0.0015413294450003217,0.00024753168527263703,9.886320971882771e-06,0.0022354510718304546,0.003538010979046331
