Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),-0.06182249182130215,-0.09218115391772576,-0.054148494740133446,0.10941252896612737,-0.07845069336291828,-0.063040050615043,0.02901979248935899,-0.020605974991276175,0.011391154360239963,-0.021506772827226753,0.1455413099810408,0.16917541185535948,-0.013919391909378152,-0.0032967507470323394,-0.024933960308452057,-0.025429797432862156,-0.07375756095458401,0.027378456558426773,-0.03773914469976687,-0.07256556248165566,-0.00894619740685171,0.0007663067238360698,-0.06404023341208154,0.012038928012118056,-0.11178718696570454,0.02639730338418553,-0.030920840628316102,-0.03238510530431624,-0.11727750910435125,0.046966162913502627,0.015746954092868602,0.11549903116266381,-0.11024545488925377,-0.08811096420594029,0.030501967116023685,0.004471500992811195,-0.06813734033553538,-0.06896595790107456,-0.2026491656994008,-0.16911050234193184,-0.04007795165909353,-0.0815703370391949,-0.14208261075951878,0.04570850688775793,-0.06133192588210259,0.14184235551742985,-0.11043411874308726,-0.19318908651647068,-0.03032105826612978,-0.0614880917935925,-0.09387216833531165,-0.07202413115248249,-0.20453209774398476,-0.19025231511604065,-0.04938393712149712,-0.11029314077351453
Fwd (CV),-0.11041795326554953,-0.1277842134425929,-0.0622142887544947,-0.014109826584302659,-0.11455994902809573,-0.1411074666766012,-0.06284579562957082,-0.06966812852303188,-0.07836912081907244,-0.05663599275841646,0.14644366356948105,0.016593600377820397,-0.053688643051834135,-0.08547259319026447,-0.18840756967419725,-0.04735282353373229,-0.07035929874724971,0.11123297260090508,-0.08697212407369456,-0.13033582903857255,-0.0694517487235467,-0.09900255053017556,-0.058321823637638215,-0.03163280862307036,-0.2053715292045652,-0.08278623089275916,-0.0899616915658214,-0.14751193068764518,-0.2512991982174327,0.01448826905533444,-0.01662701106086712,0.12603744580059786,-0.16972514142047546,-0.13248478517163664,-0.08780043796263298,-0.0666532074929148,-0.08942762758661642,-0.1134917873024568,-0.2622689470225866,-0.20420307573519728,-0.07080184223460761,-0.10358067618746583,-0.1858518201684234,-0.061825574093741745,0.007555732183555569,0.16168274314114833,-0.17916050151580054,-0.2329619871110698,-0.0479528849919793,-0.06939639064273423,-0.12390752947231315,-0.14213193940127458,-0.2565631440564731,-0.23358992013402996,-0.06337504972463529,-0.1927391297165302
Bwd (Cp),-0.034437621853689045,-0.09218115391772576,-0.016841712044367185,0.10941252896612737,-0.07845069336291828,-0.063040050615043,0.02901979248935899,-0.020605974991276175,0.011391154360239963,-0.021506772827226753,0.1455413099810408,0.16917541185535948,-0.013919391909378152,-0.0032967507470323394,-0.024933960308452057,-0.025429797432862156,-0.07375756095458401,0.027378456558426773,-0.03773914469976687,-0.028334978766725444,-0.022877134359728008,-0.003764108479557971,-0.06526045397541497,0.012038928012118056,-0.10130129493213359,0.02639730338418553,-0.030920840628316102,-0.03238510530431624,-0.11727750910435125,0.03170060802948635,0.015746954092868602,0.11549903116266381,-0.11024545488925377,-0.08811096420594029,0.061218476586347235,0.004471500992811195,-0.07099591584693005,-0.06896595790107456,-0.2026491656994008,-0.16858244971834102,-0.04007795165909353,-0.042668634722077686,-0.14208261075951878,0.04570850688775793,-0.06133192588210259,0.14184235551742985,-0.11043411874308726,-0.19318908651647068,0.032539979477757074,-0.0614880917935925,-0.09387216833531165,-0.07202413115248249,-0.20453209774398476,-0.19025231511604065,-0.04938393712149712,-0.11029314077351453
Bwd (CV),-0.11041795326554953,-0.1277842134425929,-0.0622142887544947,-0.014109826584302659,-0.11455994902809573,-0.08328547967548586,-0.06284579562957082,-0.09639855323303181,-0.06933278802715767,-0.029096269713950032,0.14644366356948105,0.016593600377820397,-0.06781201049648639,-0.06712505600189408,-0.18840756967419725,-0.04735282353373229,-0.07035929874724971,0.11123297260090508,-0.08697212407369456,-0.13033582903857255,-0.08354437258272993,-0.09900255053017556,-0.10479252683112775,-0.05039858686819993,-0.2053715292045652,-0.08278623089275916,-0.0899616915658214,-0.10557196969522054,-0.1423323524744114,0.01448826905533444,-0.01662701106086712,0.12603744580059786,-0.16972514142047546,-0.13754926913499588,-0.08780043796263298,-0.0666532074929148,-0.08760577523222576,-0.1134917873024568,-0.2637662109608816,-0.20420307573519728,-0.07080184223460761,-0.12329264463085919,-0.17737727944157505,-0.061825574093741745,-0.0003076749011950269,0.16168274314114833,-0.17916050151580054,-0.2329619871110698,-0.0479528849919793,-0.06237079334349012,-0.12390752947231315,-0.14213193940127458,-0.2565631440564731,-0.23358992013402996,-0.07932916287607564,-0.14778936853563224
Ridge,-0.11029911310798082,-0.12795546862011428,-0.004886116168281655,0.17400509434388262,-0.11511154691721252,-0.10133404295648957,0.06706481422763566,0.0435084060779094,0.029285088268436215,-0.006550090618566646,0.2453626153511021,0.26897138144796434,0.03372765580133291,0.09002908414698477,-0.18880752944846854,-0.009093773283224587,-0.053293261385817546,0.11189032587791228,-0.08789847026007429,-0.06043529752240836,-0.006658258194155669,-0.007444987448866706,-0.037453587489506515,0.01795776743765997,-0.037260137888002434,-0.012451586925659282,-0.01403376798773417,-0.061788623726670606,-0.06855172347873283,0.014395119078639237,-0.016329131388993823,0.12629157529068885,-0.07335833887095655,-0.09209379092178882,-0.0014089251109706447,0.04639800986341084,-0.039660914603408516,-0.11360730126789753,-0.15616087075956245,-0.1462343954349206,-0.015875108622609213,-0.06773271627795255,-0.079560152980144,-0.06148004637878725,0.007721930487913944,0.14167629363424156,-0.06620905275401832,-0.11321959487885896,0.007158230303171421,-0.013879238401466508,-0.0782056214434683,-0.06059395964452807,-0.07976220022998881,-0.2222795988901689,-0.016701549540472156,-0.05305407277617048
Lasso,-0.11041795326554953,-0.1277842134425929,-0.0622142887544947,-0.014109826584302659,-0.11455994902809573,-0.1411074666766012,-0.10802447350971346,-0.03169443378276585,-0.09296151566381222,-0.05509973314986581,0.14219802616053887,0.016593600377820397,-0.0787935641009254,-0.08547259319026447,-0.18840756967419725,-0.04735282353373229,-0.07035929874724971,0.11123297260090508,-0.08697212407369456,-0.12863162519378976,-0.06973181386321986,-0.049663389979176784,-0.0968213765823038,-0.02439307236929442,-0.17595294073940573,-0.08186443523688557,-0.07789902843652854,-0.12793300013818582,-0.2512991982174327,0.01448826905533444,-0.01662701106086712,0.12603744580059786,-0.16972514142047546,-0.16908985158977094,-0.08780043796263298,-0.0666532074929148,-0.09522307129478061,-0.1079396006073703,-0.25024905670139674,-0.20420307573519728,-0.07144945048991941,-0.12329264463085919,-0.1773364254643266,-0.008307221892650358,0.007555732183555569,0.14168553915548607,-0.15803112612747702,-0.22193568578507591,-0.02604626199480282,-0.06939639064273423,-0.12467206693222602,-0.07221289366271232,-0.23933509409393636,-0.23358992013402996,-0.09330537449824684,-0.16662728561994533
PCR,-0.06755793738595711,-0.0799524637371795,-0.0552899486255329,-0.014191503816652884,-0.1520935698813228,-0.12870239227909275,0.008916756618304166,0.112018813358593,0.06631082886740133,-0.03926677982869705,0.15871518024851936,0.200007224888143,0.057961503016171784,0.0891767770167506,-0.07910477476719344,-0.05912220062519628,-0.09498621735730399,0.0980866448963172,-0.023938182333176662,-0.06212154176766756,-0.07922094715387916,0.02655431880083825,-0.03622177021266116,0.012976106665134124,-0.16297179638223594,-0.004803194781848112,0.007573680181113984,-0.018622269384471084,-0.17620592394775808,0.02960810250899007,-0.0019082462586238352,0.06363477120369436,-0.10211709673116075,-0.10945127868187529,-0.02310466793585251,-0.07156946839232722,-0.05179901066672983,-0.1406913696609728,-0.19987526321891963,-0.20595418131071908,-0.019602147226388426,-0.06955950856658884,-0.17410111993869787,-0.05605080710414641,0.005214702985779958,0.10962338667811142,-0.046787962048138884,-0.1410842285134286,-0.08719635362396455,-0.09615491065309735,-0.105660021898154,-0.14627384758186274,-0.07473451531150889,-0.2334293472307408,-0.07785232981435256,-0.1409799767894385
PLS,-0.030053037004804946,-0.07692705564575224,-0.00401995455730316,0.18824411389819937,-0.07171110204982438,-0.12570664273159554,0.05707479562564915,0.05853405226115391,0.055072689842305234,-0.0020036657929791654,0.22548312319801198,0.25624300987358656,0.04868813461218744,0.08180352499040451,-0.0635127368859643,-0.00025102266593049775,-0.038183051557141016,0.06176655918326298,-0.06633094352092644,-0.06012362301855271,0.000321629204834906,0.009585658662539742,-0.03743398596489789,0.04593417171756565,-0.031820971373564017,-0.003079081534085185,-0.004037914069379135,-0.04641948904675016,-0.07123513309204672,0.014860570335710878,0.022487529438753057,0.05538693337023697,-0.05943791773730845,-0.0670309030543992,0.057229933336574876,0.0644251032823872,-0.014026186620188032,0.010234317305602413,-0.14198715271414186,-0.12247258928456402,0.0188661524261439,0.010144343915284548,-0.09967322111896497,-0.024170524068653727,0.0040561858580684205,0.054659020129049864,-0.029909555014481462,-0.12993839622746348,-0.029853354338909118,-0.06094545200531101,-0.08067485263198558,0.035191889321712876,-0.08858814059906109,-0.12282631186506335,-0.05015513397404925,-0.0644117953681541
RF,-0.027909553606932494,-0.011049051302861296,0.050293768885390104,0.03479711908901146,-0.015552888938126595,-0.021452898142452412,0.03803938075308613,0.07714780766428898,0.1033804986063676,-0.016585352837705538,0.15105252522619994,0.06587934388031545,0.08984995314748029,0.0826796497874265,-0.016558311368635704,-0.02031867775271699,-0.06267137226504929,-0.0324032700679588,-0.12000597282058757,-0.08513304822511407,-0.0017700401500740045,-0.045322937203584886,-0.14822409504627934,0.02953780577546129,-0.0058344316647652925,-0.07516420703860531,-0.11649656310003693,-0.04438186550631231,-0.06139769928886221,0.04015987420347967,0.020526661241596512,0.004721836893044209,-0.06637703926811322,-0.04999638054458211,-0.02428980494369559,0.061590319714892414,-0.08784758943644841,0.03630189037194801,-0.033532646210915076,-0.13961527699376458,-0.03810852285435492,0.013931486714249037,-0.06563974482246634,-0.0443614993327369,-0.031871395906389106,-0.04702991071924693,-0.09373902247868264,-0.10475187875385682,-0.08550537474625497,-0.04505368263026181,-0.10486898164240872,-0.013474086221683966,-0.108937971282619,-0.21323024301395693,-0.0770435607373074,-0.07267785153690756
LGB,0.04276620924638699,0.029669011323728938,0.07248438548707226,-0.015085401481789364,-0.06928845192476972,-0.036188678721536895,0.05294678136222815,0.09490575874320364,0.10983312487881186,0.09436908064732644,0.17582931726460116,-0.05784310822802744,0.11905591952989042,0.042049375788198874,-0.02047517790179534,-0.06986380047430393,-0.012106160013620412,0.009345822206987998,-0.08780067339023552,-0.06561738820155766,-0.05310532997553993,-0.07122959436896902,-0.07787946615110092,0.04527324500220929,-0.02283313601793498,-0.1455492509618919,-0.08287015458278334,-0.07974196548388285,0.03238787528695602,0.03159295494062538,-0.0057859942637789605,0.029537245866730507,-0.0424643233689362,-0.04649419036911368,-0.03211637873031726,-0.036754644811034666,-0.004396807528859292,0.07630913824587686,0.025473518098026473,-0.04459835298051107,-0.06824244891616198,-0.03808733263275928,0.03794392315642468,0.00555604168201217,-0.012769003934889245,-0.0024512419427418324,-0.08192365069427944,-0.051473162040521644,-0.04731313672269623,-0.053951461275436624,-0.030018146150333096,0.05535025668679554,-0.03237252473985476,-0.058370184861316864,-0.02633852685937196,-0.06896229278757181
