Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),1.8456781254194537e-05,2.396514395433141e-05,2.9532329724225148e-05,0.00010246521787172758,3.643418538126357e-05,0.00029466509964991093,0.00016863734157535797,0.00014063878886309676,0.000292095620952125,9.685623418186823e-05,2.044566058862173e-05,2.153782420928718e-06,0.00013735028177376256,0.00024590865112401953,7.674306212976017e-05,0.00011094541784262402,0.00012830255917760586,0.00047475996711740845,0.00018205077801107276,0.0015559694101495863,0.0007416101793898241,0.0005568231629464424,0.001117500366756,0.00037811645605071115,7.478060953410193e-05,7.542479116138481e-06,0.0005328112417721782,0.0009677564534020986,0.0001520978083849708,0.00022708881463241073,0.00026060062361324106,0.0009359308131086165,0.00039333580983401015,0.0027339431270479416,0.0013866900331612258,0.0010519609758958234,0.001972297408594859,0.000732676800839124,0.00013993204585764846,1.4129221772525277e-05,0.0009379057839083017,0.0017201615210369527,0.00020701586347964476,0.0003208814357893718,0.00035975286612689576,0.0013292697861013087,0.0006270490497066866,0.00390984348860726,0.0019312096970099538,0.0015750174711642894,0.0029509382597327025,0.001049739376505361,0.00022315740916048924,2.2038455538657876e-05,0.001347441100421759,0.002351941878452067
Fwd (CV),1.851322326619916e-05,2.37598575384164e-05,2.940897270780654e-05,0.00010547467788879917,3.588448438437226e-05,0.00029487769385138594,0.0001588365017049419,0.000136625672588436,0.00028935526517254254,9.562172550189842e-05,2.0339798881438022e-05,2.214136585386607e-06,0.00013370820773822773,0.00024172855990830378,7.139797586018623e-05,0.00010908688435385485,0.00012526163224719537,0.000472633998400905,0.00018151563659916204,0.0015507983488823617,0.0007088314867319121,0.0005598931714264809,0.0010982620851462278,0.00037523940444611785,7.410496819336475e-05,7.552424042828756e-06,0.0005224997418069702,0.0009688614688022493,0.00014367010478811933,0.00022607393142806822,0.0002554536827831902,0.0009379890804670381,0.0003903864019897315,0.002709991235736284,0.0013820691450471174,0.0010359869581826784,0.0019656075517749455,0.0007297473932736886,0.00013764131185785403,1.4106774908345286e-05,0.000921256050278553,0.001715904983327386,0.00019636697808510763,0.00032038080117619797,0.00035354797893829003,0.001326206344289099,0.0006261921000916523,0.00383462126059522,0.0018876987650682563,0.0015529594535191721,0.0029404583399080335,0.0010498202525657118,0.00022053478715081712,2.2001524451890016e-05,0.0013349270177538729,0.0023421679164990702
Bwd (Cp),1.8585388843919336e-05,2.396514395433141e-05,2.9514218012546088e-05,0.00010246521787172758,3.643418538126357e-05,0.00029466509964991093,0.00016863734157535797,0.00014063878886309676,0.000292095620952125,9.685623418186823e-05,2.044566058862173e-05,2.153782420928718e-06,0.00013735028177376256,0.00024590865112401953,7.674306212976017e-05,0.00011094541784262402,0.00012830255917760586,0.00047475996711740845,0.00018205077801107276,0.0015600641237306216,0.0007451181410906055,0.0005607659360090571,0.0011196854776836568,0.00037811645605071115,7.494935416796717e-05,7.542479116138481e-06,0.0005328112417721782,0.0009677564534020986,0.0001520978083849708,0.00022731325418695757,0.00026060062361324106,0.0009359308131086165,0.00039333580983401015,0.0027339431270479416,0.001395448094483027,0.0010519609758958234,0.001987377365198185,0.000732676800839124,0.00013993204585764846,1.4130974840259894e-05,0.0009379057839083017,0.001733907740775119,0.00020701586347964476,0.0003208814357893718,0.00035975286612689576,0.0013292697861013087,0.0006270490497066866,0.00390984348860726,0.001928742389503853,0.0015750174711642894,0.0029509382597327025,0.001049739376505361,0.00022315740916048924,2.2038455538657876e-05,0.001347441100421759,0.002351941878452067
Bwd (CV),1.851322326619916e-05,2.37598575384164e-05,2.940897270780654e-05,0.00010547467788879917,3.588448438437226e-05,0.0002937899208820974,0.0001588365017049419,0.00013651032322531227,0.0002890477478835493,9.532333800825906e-05,2.0339798881438022e-05,2.214136585386607e-06,0.0001335282683771122,0.00024199106542095595,7.139797586018623e-05,0.00010908688435385485,0.00012526163224719537,0.000472633998400905,0.00018151563659916204,0.0015507983488823617,0.0007116122602613077,0.0005598931714264809,0.0010987852133829672,0.00037821563538565896,7.410496819336475e-05,7.552424042828756e-06,0.0005224997418069702,0.0009634345648117016,0.0001434970950896492,0.00022607393142806822,0.0002554536827831902,0.0009379890804670381,0.0003903864019897315,0.002704291847552325,0.0013820691450471174,0.0010359869581826784,0.0019686570039531602,0.0007297473932736886,0.00013857812115418807,1.4106774908345286e-05,0.000921256050278553,0.001723576116293481,0.00019727117908033005,0.00032038080117619797,0.00035390033665737026,0.001326206344289099,0.0006261921000916523,0.00383462126059522,0.0018876987650682563,0.0015546240076404778,0.0029404583399080335,0.0010498202525657118,0.00022053478715081712,2.2001524451890016e-05,0.0013359810522233647,0.0023328094545137443
Ridge,1.851322322909152e-05,2.3759857603690392e-05,2.949246941000996e-05,0.00010381218918467654,3.5884484475093165e-05,0.00029478424873767133,0.00016126827527049558,0.00013812960929932905,0.00028858734184235936,9.689082032050308e-05,2.0333897668914794e-05,2.1235519516588965e-06,0.00013452029722185057,0.00024047956328860737,7.139797649984559e-05,0.00011154626768667889,0.0001293822678188422,0.0004726339953717082,0.00018151563649472998,0.0015601571912858777,0.0007103921556667009,0.0005600263532499647,0.001101544026757987,0.00037458931636817107,7.401539713366901e-05,7.541438166117744e-06,0.0005230656728017768,0.0009723498968626295,0.00014802342289392122,0.00022607393141742735,0.0002554536849580364,0.0009379890774572658,0.0003911801733728353,0.002701739529915174,0.001380814609445489,0.0010340036097805055,0.00196171352855222,0.0007297473855613677,0.00013782662111954004,1.4101886195165901e-05,0.0009197967711372603,0.0017211599572234117,0.00020149324488699923,0.0003203808029772515,0.00035354798142865504,0.0013266811150740717,0.0006251748621619763,0.003915157176957024,0.0019233615842400727,0.001563182124003561,0.002942875347412595,0.0010508399778250594,0.00022128166854146295,2.2002596932038725e-05,0.001343845598467213,0.002344322599895204
Lasso,1.851322326619916e-05,2.37598575384164e-05,2.940897270780654e-05,0.00010547467788879917,3.588448438437226e-05,0.00029487769385138594,0.00015896113511203416,0.00013875895880767326,0.0002913613124595002,9.627506781222194e-05,2.0876960844905997e-05,2.214136585386607e-06,0.00013519558680682273,0.00024172855990830378,7.139797586018623e-05,0.00010908688435385485,0.00012526163224719537,0.000472633998400905,0.00018151563659916204,0.0015515377301899827,0.0007088341816508497,0.0005587623474637713,0.0010975633195882243,0.0003761364582925525,7.423986376133187e-05,7.552525214287251e-06,0.0005219559560750376,0.0009669675354651017,0.00014367010478811933,0.00022607393142806822,0.0002554536827831902,0.0009379890804670381,0.0003903864019897315,0.0026960260126302053,0.0013820691450471174,0.0010359869581826784,0.0019657283904703864,0.0007296762119874932,0.00013850468957340737,1.4106774908345286e-05,0.0009212741221799024,0.001723576116293481,0.00019646000064873633,0.00032134974765356825,0.00035354797893829003,0.0013266811213529836,0.0006257878409252888,0.003839504350111926,0.0018925866632014004,0.0015529594535191721,0.0029403796090780574,0.0010510510120948578,0.00022088141362032658,2.2001524451890016e-05,0.0013365466793628924,0.0023388878844656158
PCR,1.8606292886166377e-05,2.3828219086546695e-05,2.9438212763223775e-05,0.00010580770110983291,3.6306673829720036e-05,0.00029605225758351766,0.00016344517543128142,0.00013563068531505435,0.000287512246954967,9.530262605918816e-05,2.04596076070567e-05,2.1178601633307593e-06,0.00013321131417576924,0.00023999291546761246,7.232802541618198e-05,0.0001095546206809921,0.00012717955312226522,0.0004724084744760456,0.00018144320800141285,0.0015559835643437357,0.0007091341377684686,0.000557667201452999,0.0010996739183918268,0.00037168929156406675,7.409655696284022e-05,7.544335621671314e-06,0.0005220602284081477,0.0009706353918209283,0.00014485848948206964,0.00022610224131725654,0.00026025616600088605,0.0009423342822322992,0.00039014634146369387,0.002739323965729266,0.0013913069861466727,0.0010361373456369586,0.0019592256268876024,0.000729995528815228,0.00013759737078645535,1.4110212224084574e-05,0.0009207312157539436,0.0017152223843347144,0.000199266335983378,0.00032578802899746874,0.0003548862029442601,0.0013292620601529598,0.0006257882267093734,0.0039459899089094985,0.001953753036378285,0.0015832274422756555,0.0029481669987356427,0.0010526078856172294,0.00022063458295202025,2.2004793559815487e-05,0.0013546667302926775,0.0023644373743124817
PLS,1.8464139693920085e-05,2.4413903863497867e-05,2.970618018043513e-05,0.0001036721771493673,3.634090379403229e-05,0.00029515713655701395,0.00016497582059338712,0.00013736634296421599,0.00028829888590942447,9.556107995551588e-05,2.0365495693253167e-05,2.1331655883705065e-06,0.00013377353534366483,0.00024012439769196647,7.37935627635769e-05,0.00011032895569052158,0.0001268979053899018,0.0004719645032754695,0.0001816905227923175,0.0015626682687329412,0.0007201419380805569,0.000561324341411177,0.001105390437330787,0.0003720739546933686,7.423678116948736e-05,7.535264210813565e-06,0.0005252938782810937,0.0009751179541879427,0.00014830866433212814,0.00022706162839426018,0.00025916497846965105,0.0009444732468097873,0.00039190742414464176,0.0027287477338524663,0.0013959053565519711,0.00104159893609367,0.001962048329566486,0.000728431024324387,0.0001382923172247352,1.4106427337066295e-05,0.0009239311388004182,0.0017228077490188925,0.00020137299589523746,0.000322786298676531,0.00035704387645017787,0.0013396312977920321,0.0006242473194491933,0.003967766515568375,0.0019332438565027553,0.0015776339710002263,0.0029493391450553007,0.0010503452167461166,0.00022146336550623054,2.2033495724816005e-05,0.001349371488182794,0.002357596312867711
RF,1.84461256297377e-05,2.3746491597908878e-05,2.93094533228307e-05,0.00010505660761012072,3.607271999524405e-05,0.00029263923997649666,0.00015768888446300177,0.00013404024343582587,0.000286670559284402,9.505066736557377e-05,2.0243887808057996e-05,2.190162402972211e-06,0.00013136785773680686,0.00024009744911067106,7.155912519952348e-05,0.00010930317975841161,0.00012548104817199283,0.0004765699328541839,0.00018298958199920577,0.001559149395796139,0.0007118053377704128,0.0005621043235717769,0.0011005568599921742,0.0003771798267488013,7.362984544940913e-05,7.5791838199761e-06,0.0005244838911743962,0.0009713188812691919,0.00014452458372531666,0.00022621129908817952,0.0002555207203256461,0.0009454441717215938,0.0003966020120158174,0.002694827144089739,0.0013848526562046013,0.0010307682790452472,0.0019723145927422743,0.0007274156375353134,0.00013722186403328077,1.4128976207158872e-05,0.0009214056897857431,0.0017253362882795548,0.0001971497887508468,0.000321358826346398,0.0003548079328343944,0.0013507501596819818,0.0006361622270266873,0.003844840342357061,0.0018886476056986655,0.0015540727070709858,0.002939014933301247,0.0010519439174419625,0.00021913222080201383,2.203612964738029e-05,0.0013410343066577266,0.0023481588993011586
LGB,1.8407402889678716e-05,2.3910957247717575e-05,2.9459130478517368e-05,0.00010592847524371299,3.6878616141575736e-05,0.00029395568040007763,0.0001552311822808775,0.0001355710220885528,0.0002847187436352004,9.40890448961266e-05,1.9654395210145214e-05,2.222734860247867e-06,0.0001301028145763221,0.00023857056927242723,7.5524089209167e-05,0.00011172289777500986,0.0001279175452200318,0.00048562493304780746,0.00018531513698116838,0.0015748204805947398,0.000724890002780962,0.0005699746379250579,0.0011089175384304984,0.00037578078294356077,7.530211365683471e-05,7.72949746272337e-06,0.0005299904763389333,0.0009838718449936706,0.000144133918827049,0.00023077293638436538,0.00026196831261232536,0.0009630138767835162,0.00039914826677457123,0.0027269402545599397,0.001435654558213267,0.0010515343577269043,0.0019765459977697354,0.00072552731110768,0.00013725943642564517,1.4303254161399775e-05,0.0009361179135799287,0.0017446694923391021,0.00019949160278279863,0.0003297251579221955,0.00036457898068740374,0.0013870488889484475,0.0006419549889818656,0.0038833697607870573,0.0019507594457569587,0.0015733994240050434,0.002960000240161741,0.0010542228512012775,0.00022206289866584292,2.2319049425535212e-05,0.0013521153074073278,0.002382095710299256
