Method,ret_CADUSD,ret_EURUSD,ret_GBPUSD,ret_GC,ret_JPYUSD,ret_XLE,ret_XLF,ret_XLI,ret_XLK,ret_XLV,ret_ZN,ret_ZT,ret_GSPC,ret_RUT,ret_CADUSD_cum5,ret_EURUSD_cum5,ret_GBPUSD_cum5,ret_GC_cum5,ret_JPYUSD_cum5,ret_XLE_cum5,ret_XLF_cum5,ret_XLI_cum5,ret_XLK_cum5,ret_XLV_cum5,ret_ZN_cum5,ret_ZT_cum5,ret_GSPC_cum5,ret_RUT_cum5,ret_CADUSD_cum10,ret_EURUSD_cum10,ret_GBPUSD_cum10,ret_GC_cum10,ret_JPYUSD_cum10,ret_XLE_cum10,ret_XLF_cum10,ret_XLI_cum10,ret_XLK_cum10,ret_XLV_cum10,ret_ZN_cum10,ret_ZT_cum10,ret_GSPC_cum10,ret_RUT_cum10,ret_CADUSD_cum15,ret_EURUSD_cum15,ret_GBPUSD_cum15,ret_GC_cum15,ret_JPYUSD_cum15,ret_XLE_cum15,ret_XLF_cum15,ret_XLI_cum15,ret_XLK_cum15,ret_XLV_cum15,ret_ZN_cum15,ret_ZT_cum15,ret_GSPC_cum15,ret_RUT_cum15
Fwd (Cp),0.003185890109693945,-0.008573359740573494,-0.004147071379507317,0.02858254013101602,-0.015244597609175292,0.0003504587689340255,-0.06106532442745882,-0.030404977937418476,-0.010452781663994326,-0.01760511381430918,0.032038470359581406,0.027171413781170717,-0.028664071424888027,-0.017311531757312926,-0.07553851777977205,-0.017635283186386852,-0.02469737279831974,-0.005024032894535013,-0.003891593087896661,-0.0008152351791885781,-0.04650588786594678,0.005126273382146551,-0.019118884328315877,-0.00019235085181357192,-0.00986855738485759,0.0006517736700385468,-0.020216131695162343,0.0006948500236070299,-0.06008233914136496,-0.0059073916398855175,-0.021467460791055215,0.001008346898707435,-0.00922245218096962,-0.015127440108887447,-0.004345348864563281,-0.01678505391052343,-0.004870739829992976,-0.005238386110044457,-0.017985198783359024,-0.0030317237889336823,-0.019410247845770945,0.0009588070665645931,-0.05613989683412757,-0.0034036608695366954,-0.019441277860305473,-0.003730191417661066,-0.0035763786114217933,-0.02131092031160975,-0.030692752879814877,-0.0161893892400633,-0.005637312434187303,0.0002107026783741972,-0.01389340597421973,-0.003677271574257901,-0.010178888343448156,-0.00575668106147087
Fwd (CV),0.00013756910605089434,6.612144105666573e-05,4.7267093872482846e-05,5.147304227282046e-05,7.291152556387903e-05,-0.0003707657541782705,0.0006015118711762968,-0.0010024566281841008,-0.0009730088717758711,-0.004634938415722489,0.03705029473041688,-8.95833889469344e-05,-0.0013873111777182867,-1.8707864751332792e-05,-0.0006282131314874206,-0.0005880784443414999,-0.0004107969385984678,-0.0005235488578523295,-0.0009406363801056639,0.0025108436399227108,-0.0002510011122658362,-0.000358898536928276,-0.0015742850836109046,0.007418016171022779,-0.0007444147718091987,-0.0006658892224769009,-0.00047188123323671505,-0.00044618869154899876,-0.0013434274015742265,-0.0014118883340454857,-0.0012931706929761866,-0.0011886017241127256,-0.001654850801525054,-0.006233977083845321,-0.0009985537091612429,-0.00134518224817759,-0.0014623079460955868,-0.0012192156791475117,-0.0013204434598157455,-0.0014382236489689504,-0.001313644351823795,0.0034309333518732776,-0.0018121147359659862,-0.0018381648713627907,-0.0018583237823242005,-0.0014169897871745274,-0.0022048521068989135,-0.00166172383028651,-0.00747083022025663,-0.001957722678251672,-0.0020659065017702982,0.00013367496906102616,-0.0019777847453628095,-0.00199535278741636,-0.0007970592496746587,-0.0015770592669319683
Bwd (Cp),-0.0037599504629968195,-0.008573359740573494,-0.003531243830173114,0.02858254013101602,-0.015244597609175292,0.0003504587689340255,-0.06106532442745882,-0.030404977937418476,-0.010452781663994326,-0.01760511381430918,0.032038470359581406,0.027171413781170717,-0.028664071424888027,-0.017311531757312926,-0.07553851777977205,-0.017635283186386852,-0.02469737279831974,-0.005024032894535013,-0.003891593087896661,-0.0034489962986961054,-0.05145606610823594,-0.0019182635391548075,-0.021111624444537513,-0.00019235085181357192,-0.012147355338359533,0.0006517736700385468,-0.020216131695162343,0.0006948500236070299,-0.06008233914136496,-0.006901563929967214,-0.021467460791055215,0.001008346898707435,-0.00922245218096962,-0.015127440108887447,-0.01068859641323816,-0.01678505391052343,-0.012553864637921519,-0.005238386110044457,-0.017985198783359024,-0.003156173852785882,-0.019410247845770945,-0.007024768660245151,-0.05613989683412757,-0.0034036608695366954,-0.019441277860305473,-0.003730191417661066,-0.0035763786114217933,-0.02131092031160975,-0.029375943022448725,-0.0161893892400633,-0.005637312434187303,0.0002107026783741972,-0.01389340597421973,-0.003677271574257901,-0.010178888343448156,-0.00575668106147087
Bwd (CV),0.00013756910605089434,6.612144105666573e-05,4.7267093872482846e-05,5.147304227282046e-05,7.291152556387903e-05,0.0033194973648839055,0.0006015118711762968,-0.0001573373056598104,9.079242404663734e-05,-0.001499976149323512,0.03705029473041688,-8.95833889469344e-05,-3.968266597209613e-05,-0.0011046797650899887,-0.0006282131314874206,-0.0005880784443414999,-0.0004107969385984678,-0.0005235488578523295,-0.0009406363801056639,0.0025108436399227108,-0.0041750247465268675,-0.000358898536928276,-0.0020513586317245647,-0.0004546996879724041,-0.0007444147718091987,-0.0006658892224769009,-0.00047188123323671505,0.0051576314505095144,-0.00013759460361484344,-0.0014118883340454857,-0.0012931706929761866,-0.0011886017241127256,-0.001654850801525054,-0.004117764321359463,-0.0009985537091612429,-0.00134518224817759,-0.003015980963686715,-0.0012192156791475117,-0.008135594284673031,-0.0014382236489689504,-0.001313644351823795,-0.0010243330494927871,-0.006425107816592668,-0.0018381648713627907,-0.002856809235047386,-0.0014169897871745274,-0.0022048521068989135,-0.00166172383028651,-0.00747083022025663,-0.003031680438628781,-0.0020659065017702982,0.00013367496906102616,-0.0019777847453628095,-0.00199535278741636,-0.0015872706869934916,0.0024248830227286966
Ridge,0.00013757111016088341,6.611869399986148e-05,-0.0027917560976717937,0.015812631682870393,7.290899761080993e-05,-5.3753779682308434e-05,-0.014699195452387182,-0.01202120818267538,0.0016834851302873766,-0.017968487755483098,0.03732967659122577,0.04082602642668165,-0.007469332006483587,0.005148327367784145,-0.0006282220961844054,-0.02314651576450588,-0.03332054146427743,-0.0005235424453158277,-0.0009406358042307605,-0.003508858289936967,-0.002453302637589694,-0.0005968539702942977,-0.0045672941002576906,0.009137626921989828,0.00046519019667012884,0.0007896953720285538,-0.0015555143945935601,-0.004048338916231131,-0.03168492731947126,-0.0014118882869109672,-0.0012931792176473778,-0.001188598511549177,-0.0036915123047460696,-0.00317007537943792,-8.992455170764302e-05,0.0005718461000551178,0.0005216676854107316,-0.0012192050977819502,-0.002668541277135894,-0.0010911744988904015,0.0002724468490453713,0.00037893194054361423,-0.02796496505521895,-0.0018381705032988194,-0.0018583308393378406,-0.0017754886982779272,-0.0005767881490186255,-0.02269893698147385,-0.026504190152409457,-0.008553312547013192,-0.0028895878929358076,-0.0008375283822872337,-0.005371165766721031,-0.002044195772243018,-0.007483334403210584,-0.0024984626575037527
Lasso,0.00013756910605089434,6.612144105666573e-05,4.7267093872482846e-05,5.147304227282046e-05,7.291152556387903e-05,-0.0003707657541782705,-0.0001826809137399632,-0.016632203993309114,-0.007912572206031143,-0.011499178819784461,0.011619367049240714,-8.95833889469344e-05,-0.012526810774619479,-1.8707864751332792e-05,-0.0006282131314874206,-0.0005880784443414999,-0.0004107969385984678,-0.0005235488578523295,-0.0009406363801056639,0.0020352661173526077,-0.00025480398419763794,0.0016615401315647205,-0.000937036813217329,0.00504513241749005,-0.0025661008140773767,-0.0006792940348794296,0.0005693486290649918,0.0015094865518143763,-0.0013434274015742265,-0.0014118883340454857,-0.0012931706929761866,-0.0011886017241127256,-0.001654850801525054,-0.0010486164075496074,-0.0009985537091612429,-0.00134518224817759,-0.001523874355278343,-0.0011215543895115587,-0.0076013902579981085,-0.0014382236489689504,-0.0013332867100965817,-0.0010243330494927871,-0.002286691123991158,-0.004868082885124414,-0.0018583237823242005,-0.0017754934394775823,-0.0015578453848739127,-0.0029372614989433554,-0.010079516988164894,-0.001957722678251672,-0.0020390761673836355,-0.0010385209419976338,-0.0035526474984926004,-0.00199535278741636,-0.002011322317039488,-0.00017442505986831058
PCR,-0.004888936280112555,-0.002810875100513366,-0.0009469421774030984,-0.003105740480260799,-0.01169146714989222,-0.004355466003264752,-0.02839624056572121,0.006287422983015101,0.005402584430637125,-0.0012823692449293045,0.03137817487831163,0.04339691489643294,0.002334097678692193,0.007161564551347088,-0.01366266983880604,-0.004878341160716726,-0.015728406302871978,-4.613504840111915e-05,-0.0005412397877158082,-0.0008243392997797638,-0.0006780800555263866,0.0036182331454877037,-0.002861824636093857,0.016808762573268132,-0.0006308260047671599,0.00040579413428631916,0.00036969008587317553,-0.0022779413003750637,-0.009626160989516519,-0.0015372891682394751,-0.020117301924341913,-0.00582657307171619,-0.001038902630262184,-0.017125373768213326,-0.007689293903447636,-0.0014905409823051663,0.0017892349272751185,-0.0015596596116262962,-0.0010007785822792048,-0.001682238272469938,-0.0007432014544781484,0.003827375490354834,-0.01660386789002133,-0.0187466911551335,-0.005650484788286114,-0.0037243575623395753,-0.0015584628226881225,-0.03075291815434178,-0.04272420474577432,-0.021486400658717875,-0.004692906548382947,-0.002521313261489855,-0.0024311970033936703,-0.0021442347867637324,-0.015595955366489944,-0.011100107512578283
PLS,0.0027884753901834536,-0.02745942569400106,-0.01005826863659487,0.017140010265731975,-0.01264529076309251,-0.001318773417160024,-0.03802705240336657,-0.006429056561132684,0.002681347059444006,-0.003997775318785868,0.0358337272752518,0.036483702652609695,-0.0018765723551801283,0.006617629303664607,-0.03420187980286582,-0.011980848339710137,-0.013479006966979457,0.0008937119424923257,-0.0019050199492065545,-0.00512400865815299,-0.016211480431086445,-0.002915964246199332,-0.008075077872176761,0.015791252984817983,-0.0025244722074315717,0.0016077196830895923,-0.005822036938617936,-0.006906634441816273,-0.03367298628130144,-0.005786968104491308,-0.015840211020554662,-0.008109656104416718,-0.005557494981438316,-0.013198363332306284,-0.01101978003839843,-0.006769504436472618,0.0003510890792456367,0.000586852967499607,-0.00605641243498356,-0.0014135496064267006,-0.004221199353479088,-0.0005780781198085894,-0.0273514866694613,-0.009360211112863004,-0.011764741666234979,-0.011554157794877229,0.0009077208493404321,-0.036441300887012806,-0.03177839026589391,-0.01787753519330293,-0.005092357153895444,-0.0003663096755022188,-0.006196687783473376,-0.0034513912980471684,-0.011626103336298987,-0.008174676694467031
RF,0.0037613792300329463,0.0006286272014832672,0.003431087466398197,0.004014971843094628,-0.0051723048835705665,0.007223175271611759,0.007822313917522528,0.01793996381278895,0.008314253031633245,0.0013647959815292765,0.04159102496977396,0.01073916595793123,0.016140384651739503,0.006729114208286702,-0.002886688578804364,-0.002572025501806019,-0.0021631775858064195,-0.008855567122704633,-0.009068486268692721,-0.0028606340552597143,-0.004447481565093225,-0.004309555264765175,-0.003667034625675303,0.002285217760614744,0.00567184103311813,-0.00421145234799658,-0.004271090096788388,-0.002983712388961779,-0.007298924328909884,-0.0020203689626574484,-0.0015559354834844275,-0.009145999677144356,-0.0176028856244268,-0.0006034702227333266,-0.0030145821060469924,0.003698992459516215,-0.0048794950242407875,0.001979971701376204,0.0017309782103269722,-0.00301429113363727,-0.0014762876041944928,-0.002046611654861863,-0.00580580662922392,-0.004896472167286836,-0.005428688693431605,-0.019949998496168186,-0.018161791820688444,-0.004331104287416565,-0.007977229480220283,-0.0026759854706321917,-0.0015740142922293643,-0.0018889388929070883,0.004394635412420467,-0.003571345630065892,-0.005375704144621185,-0.004138972481934733
LGB,0.005852717537227714,-0.006292911567721493,-0.0016581783971036934,-0.004250734896790842,-0.027628734202230554,0.0027571592179485016,0.02328616396912242,0.006724551929332079,0.015066211673130048,0.011467934418965764,0.06949944858436286,-0.003973284683896239,0.025614733238340293,0.01304573812514842,-0.05845485846459275,-0.02476663684253788,-0.021622431866933356,-0.028024185883278818,-0.021892408919075068,-0.012940434028137604,-0.02291160106458512,-0.01837141456111735,-0.011291663248417683,0.005985963629026592,-0.016911166683919898,-0.024127407030756887,-0.014814987400321833,-0.015945900606089802,-0.004576091149566253,-0.022226492640043727,-0.026828345157624778,-0.027899510576111952,-0.02413607534999862,-0.012527236779189765,-0.039809145256948675,-0.016372701182786553,-0.007035364155303814,0.004570770548001701,0.001457644542721348,-0.01538626176832425,-0.017467010725547683,-0.013275014924359674,-0.0177531192097089,-0.031058184235647435,-0.033117167221890176,-0.04735913007788217,-0.02743296298003428,-0.014395577689094274,-0.0411265159172296,-0.015145437420722274,-0.008725505016303536,-0.00405943342980164,-0.00892060683003626,-0.016456102935986427,-0.01368314928301051,-0.018651310013728217
